5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-0.02232143)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.05580357)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.11383928)}, {'J8': 3}, {'J8': 4}, 
35.0, {'J8': np.float32(-0.20089285)}, {'J8': 4}, {'J8': 5}, 
40.0, {'J8': np.float32(-0.22321428)}, {'J8': 4}, {'J8': 5}, 
45.0, {'J8': np.float32(-0.22321428)}, {'J8': 4}, {'J8': 5}, 
50.0, {'J8': np.float32(-0.22991072)}, {'J8': 4}, {'J8': 6}, 
55.0, {'J8': np.float32(-0.26785713)}, {'J8': 4}, {'J8': 6}, 
60.0, {'J8': np.float32(-0.3125)}, {'J8': 4}, {'J8': 9}, 
65.0, {'J8': np.float32(-0.4375)}, {'J8': 4}, {'J8': 12}, 
70.0, {'J8': np.float32(-0.53571427)}, {'J8': 4}, {'J8': 12}, 
75.0, {'J8': np.float32(-0.30580357)}, {'J8': 4}, {'J8': 11}, 
80.0, {'J8': np.float32(-0.29464287)}, {'J8': 4}, {'J8': 10}, 
85.0, {'J8': np.float32(-0.2544643)}, {'J8': 4}, {'J8': 9}, 
90.0, {'J8': np.float32(-0.18080357)}, {'J8': 4}, {'J8': 9}, 
95.0, {'J8': np.float32(-0.35044643)}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': np.float32(-0.3638393)}, {'J8': 4}, {'J8': 9}, 
105.0, {'J8': np.float32(-0.4486607)}, {'J8': 5}, {'J8': 13}, 
110.0, {'J8': np.float32(-0.484375)}, {'J8': 5}, {'J8': 12}, 
115.0, {'J8': np.float32(-0.23883928)}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
125.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
150.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
155.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
160.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
165.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
170.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
175.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
180.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
185.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
190.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
195.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
200.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
205.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
210.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
215.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
220.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
225.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
230.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
235.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
240.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
245.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
250.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
255.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
260.0, {'J8': np.float32(-0.41517857)}, {'J8': 5}, {'J8': 10}, 
265.0, {'J8': np.float32(-0.45982143)}, {'J8': 5}, {'J8': 12}, 
270.0, {'J8': np.float32(-0.53571427)}, {'J8': 5}, {'J8': 12}, 
275.0, {'J8': np.float32(-0.55133927)}, {'J8': 5}, {'J8': 14}, 
