5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-0.03348214)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-0.08928572)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.12053572)}, {'J8': 2}, {'J8': 4}, 
35.0, {'J8': np.float32(-0.234375)}, {'J8': 3}, {'J8': 7}, 
40.0, {'J8': np.float32(-0.3125)}, {'J8': 3}, {'J8': 7}, 
45.0, {'J8': np.float32(-0.36607143)}, {'J8': 5}, {'J8': 10}, 
50.0, {'J8': np.float32(-0.45982143)}, {'J8': 6}, {'J8': 11}, 
55.0, {'J8': np.float32(-0.50223213)}, {'J8': 7}, {'J8': 12}, 
60.0, {'J8': np.float32(-0.27901787)}, {'J8': 7}, {'J8': 13}, 
65.0, {'J8': np.float32(0.19419643)}, {'J8': 8}, {'J8': 12}, 
70.0, {'J8': np.float32(-0.5401786)}, {'J8': 8}, {'J8': 13}, 
75.0, {'J8': np.float32(-0.59821427)}, {'J8': 8}, {'J8': 15}, 
80.0, {'J8': np.float32(-0.6875)}, {'J8': 8}, {'J8': 16}, 
85.0, {'J8': np.float32(-0.71428573)}, {'J8': 8}, {'J8': 16}, 
90.0, {'J8': np.float32(-0.71428573)}, {'J8': 8}, {'J8': 16}, 
95.0, {'J8': np.float32(-0.71428573)}, {'J8': 8}, {'J8': 16}, 
100.0, {'J8': np.float32(-0.71428573)}, {'J8': 8}, {'J8': 16}, 
105.0, {'J8': np.float32(-0.73660713)}, {'J8': 8}, {'J8': 17}, 
110.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
115.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
120.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
125.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
130.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
135.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
140.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
145.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
150.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
155.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
160.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
165.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
170.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
175.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
180.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
185.0, {'J8': np.float32(-0.7589286)}, {'J8': 8}, {'J8': 17}, 
190.0, {'J8': np.float32(0.77008927)}, {'J8': 7}, {'J8': 16}, 
195.0, {'J8': np.float32(3.5379465)}, {'J8': 5}, {'J8': 13}, 
200.0, {'J8': np.float32(0.81473213)}, {'J8': 5}, {'J8': 12}, 
205.0, {'J8': np.float32(-0.53571427)}, {'J8': 5}, {'J8': 12}, 
210.0, {'J8': np.float32(-0.5379464)}, {'J8': 5}, {'J8': 13}, 
215.0, {'J8': np.float32(-0.59598213)}, {'J8': 5}, {'J8': 14}, 
220.0, {'J8': np.float32(-0.6473214)}, {'J8': 6}, {'J8': 15}, 
225.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
230.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
235.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
240.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
245.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
250.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
255.0, {'J8': np.float32(-0.66964287)}, {'J8': 6}, {'J8': 15}, 
260.0, {'J8': np.float32(1.21875)}, {'J8': 5}, {'J8': 14}, 
265.0, {'J8': np.float32(1.2611607)}, {'J8': 5}, {'J8': 13}, 
270.0, {'J8': np.float32(-0.12723215)}, {'J8': 5}, {'J8': 13}, 
275.0, {'J8': np.float32(-0.60491073)}, {'J8': 6}, {'J8': 15}, 
