5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-0.03348214)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-0.09375)}, {'J8': 1}, {'J8': 3}, 
30.0, {'J8': np.float32(-0.16071428)}, {'J8': 3}, {'J8': 5}, 
35.0, {'J8': np.float32(-0.24553572)}, {'J8': 3}, {'J8': 7}, 
40.0, {'J8': np.float32(-0.12276786)}, {'J8': 3}, {'J8': 6}, 
45.0, {'J8': np.float32(-0.18526785)}, {'J8': 4}, {'J8': 6}, 
50.0, {'J8': np.float32(-0.2924107)}, {'J8': 4}, {'J8': 8}, 
55.0, {'J8': np.float32(-0.37723213)}, {'J8': 4}, {'J8': 9}, 
60.0, {'J8': np.float32(-0.20089285)}, {'J8': 4}, {'J8': 10}, 
65.0, {'J8': np.float32(-0.06696428)}, {'J8': 4}, {'J8': 8}, 
70.0, {'J8': np.float32(-0.359375)}, {'J8': 4}, {'J8': 9}, 
75.0, {'J8': np.float32(-0.41517857)}, {'J8': 4}, {'J8': 10}, 
80.0, {'J8': np.float32(-0.3549107)}, {'J8': 4}, {'J8': 9}, 
85.0, {'J8': np.float32(-0.30580357)}, {'J8': 4}, {'J8': 9}, 
90.0, {'J8': np.float32(-0.4263393)}, {'J8': 4}, {'J8': 11}, 
95.0, {'J8': np.float32(-0.3950893)}, {'J8': 4}, {'J8': 10}, 
100.0, {'J8': np.float32(-0.24330357)}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': np.float32(-0.37723213)}, {'J8': 5}, {'J8': 9}, 
110.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': np.float32(-0.40625)}, {'J8': 5}, {'J8': 10}, 
125.0, {'J8': np.float32(1.3169643)}, {'J8': 5}, {'J8': 8}, 
130.0, {'J8': np.float32(-0.26339287)}, {'J8': 5}, {'J8': 7}, 
135.0, {'J8': np.float32(0.62946427)}, {'J8': 5}, {'J8': 7}, 
140.0, {'J8': np.float32(0.5401786)}, {'J8': 5}, {'J8': 8}, 
145.0, {'J8': np.float32(-0.2924107)}, {'J8': 5}, {'J8': 10}, 
150.0, {'J8': np.float32(-0.35714287)}, {'J8': 5}, {'J8': 10}, 
155.0, {'J8': np.float32(-0.46651787)}, {'J8': 5}, {'J8': 12}, 
160.0, {'J8': np.float32(-0.54464287)}, {'J8': 5}, {'J8': 13}, 
165.0, {'J8': np.float32(-0.33035713)}, {'J8': 5}, {'J8': 11}, 
170.0, {'J8': np.float32(-0.49107143)}, {'J8': 5}, {'J8': 11}, 
175.0, {'J8': np.float32(-0.18303572)}, {'J8': 5}, {'J8': 12}, 
180.0, {'J8': np.float32(0.02232143)}, {'J8': 5}, {'J8': 10}, 
185.0, {'J8': np.float32(-0.21875)}, {'J8': 5}, {'J8': 10}, 
190.0, {'J8': np.float32(-0.47544643)}, {'J8': 5}, {'J8': 12}, 
195.0, {'J8': np.float32(0.328125)}, {'J8': 5}, {'J8': 12}, 
200.0, {'J8': np.float32(-0.32142857)}, {'J8': 6}, {'J8': 13}, 
205.0, {'J8': np.float32(-0.06696428)}, {'J8': 5}, {'J8': 12}, 
210.0, {'J8': np.float32(-0.15625)}, {'J8': 5}, {'J8': 10}, 
215.0, {'J8': np.float32(-0.20535715)}, {'J8': 5}, {'J8': 10}, 
220.0, {'J8': np.float32(-0.3169643)}, {'J8': 5}, {'J8': 10}, 
225.0, {'J8': np.float32(-0.28794643)}, {'J8': 5}, {'J8': 11}, 
230.0, {'J8': np.float32(-0.58258927)}, {'J8': 7}, {'J8': 15}, 
235.0, {'J8': np.float32(-0.6941964)}, {'J8': 8}, {'J8': 17}, 
240.0, {'J8': np.float32(-0.6183036)}, {'J8': 7}, {'J8': 16}, 
245.0, {'J8': np.float32(-0.29910713)}, {'J8': 6}, {'J8': 15}, 
250.0, {'J8': np.float32(0.37723213)}, {'J8': 5}, {'J8': 12}, 
255.0, {'J8': np.float32(-0.54910713)}, {'J8': 5}, {'J8': 13}, 
260.0, {'J8': np.float32(-0.19642857)}, {'J8': 5}, {'J8': 11}, 
265.0, {'J8': np.float32(-0.125)}, {'J8': 5}, {'J8': 10}, 
270.0, {'J8': np.float32(0.29910713)}, {'J8': 5}, {'J8': 8}, 
275.0, {'J8': np.float32(-0.020089285)}, {'J8': 5}, {'J8': 10}, 
