5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.004464286)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.04464286)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.04464286)}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': np.float32(-0.051339287)}, {'J8': 1}, {'J8': 2}, 
35.0, {'J8': np.float32(-0.12053572)}, {'J8': 3}, {'J8': 4}, 
40.0, {'J8': np.float32(-0.17857143)}, {'J8': 3}, {'J8': 4}, 
45.0, {'J8': np.float32(-0.18303572)}, {'J8': 4}, {'J8': 5}, 
50.0, {'J8': np.float32(-0.22321428)}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': np.float32(-0.22321428)}, {'J8': 4}, {'J8': 5}, 
60.0, {'J8': np.float32(-0.24776785)}, {'J8': 4}, {'J8': 7}, 
65.0, {'J8': np.float32(-0.33035713)}, {'J8': 4}, {'J8': 8}, 
70.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
75.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
80.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': np.float32(-0.35714287)}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': np.float32(-0.375)}, {'J8': 5}, {'J8': 9}, 
110.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
125.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': np.float32(0.484375)}, {'J8': 5}, {'J8': 9}, 
