5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.0024753849)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.0609918)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-0.109571375)}, {'J8': 1}, {'J8': 4}, 
30.0, {'J8': np.float32(-0.22484817)}, {'J8': 3}, {'J8': 6}, 
35.0, {'J8': np.float32(-0.36034027)}, {'J8': 4}, {'J8': 10}, 
40.0, {'J8': np.float32(-0.5731254)}, {'J8': 4}, {'J8': 14}, 
45.0, {'J8': np.float32(-0.74523836)}, {'J8': 4}, {'J8': 16}, 
50.0, {'J8': np.float32(-0.86530966)}, {'J8': 5}, {'J8': 18}, 
55.0, {'J8': np.float32(-0.36611885)}, {'J8': 6}, {'J8': 18}, 
60.0, {'J8': np.float32(0.3578951)}, {'J8': 5}, {'J8': 16}, 
65.0, {'J8': np.float32(-0.6368338)}, {'J8': 5}, {'J8': 20}, 
70.0, {'J8': np.float32(-0.05598755)}, {'J8': 5}, {'J8': 18}, 
75.0, {'J8': np.float32(-0.31668207)}, {'J8': 7}, {'J8': 17}, 
80.0, {'J8': np.float32(-1.0063862)}, {'J8': 8}, {'J8': 19}, 
85.0, {'J8': np.float32(-1.1272678)}, {'J8': 8}, {'J8': 20}, 
90.0, {'J8': np.float32(-1.2417113)}, {'J8': 8}, {'J8': 22}, 
95.0, {'J8': np.float32(-0.34665814)}, {'J8': 7}, {'J8': 22}, 
100.0, {'J8': np.float32(-0.35558453)}, {'J8': 6}, {'J8': 23}, 
105.0, {'J8': np.float32(-0.03736017)}, {'J8': 5}, {'J8': 22}, 
110.0, {'J8': np.float32(0.692286)}, {'J8': 5}, {'J8': 18}, 
115.0, {'J8': np.float32(0.45256117)}, {'J8': 5}, {'J8': 12}, 
120.0, {'J8': np.float32(-0.2406035)}, {'J8': 5}, {'J8': 11}, 
125.0, {'J8': np.float32(-0.056055468)}, {'J8': 5}, {'J8': 11}, 
130.0, {'J8': np.float32(-0.40635645)}, {'J8': 5}, {'J8': 13}, 
135.0, {'J8': np.float32(-0.80714136)}, {'J8': 5}, {'J8': 17}, 
