5.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': -3}, {'J8': 1}, {'J8': 3}, 
30.0, {'J8': -7}, {'J8': 4}, {'J8': 7}, 
35.0, {'J8': -9}, {'J8': 4}, {'J8': 9}, 
40.0, {'J8': -10}, {'J8': 4}, {'J8': 10}, 
45.0, {'J8': -9}, {'J8': 3}, {'J8': 9}, 
50.0, {'J8': -7}, {'J8': 2}, {'J8': 7}, 
55.0, {'J8': -6}, {'J8': 2}, {'J8': 6}, 
60.0, {'J8': -7}, {'J8': 3}, {'J8': 7}, 
65.0, {'J8': -13}, {'J8': 4}, {'J8': 13}, 
70.0, {'J8': -17}, {'J8': 6}, {'J8': 17}, 
75.0, {'J8': -20}, {'J8': 8}, {'J8': 20}, 
80.0, {'J8': -20}, {'J8': 8}, {'J8': 20}, 
85.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
90.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
95.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
100.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
105.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
110.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
115.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
120.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
125.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
130.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
135.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
140.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
145.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
150.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
155.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
160.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
165.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
170.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
175.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
180.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
185.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
190.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
195.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
200.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
205.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
210.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
215.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
220.0, {'J8': -19}, {'J8': 7}, {'J8': 19}, 
225.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
230.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
235.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
240.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
245.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
250.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
255.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
260.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
265.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
270.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
275.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
280.0, {'J8': -23}, {'J8': 7}, {'J8': 23}, 
285.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
290.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
295.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
300.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
305.0, {'J8': -27}, {'J8': 7}, {'J8': 27}, 
310.0, {'J8': -25}, {'J8': 7}, {'J8': 25}, 
315.0, {'J8': -23}, {'J8': 6}, {'J8': 23}, 
320.0, {'J8': -21}, {'J8': 5}, {'J8': 21}, 
325.0, {'J8': -20}, {'J8': 5}, {'J8': 20}, 
330.0, {'J8': -17}, {'J8': 5}, {'J8': 17}, 
335.0, {'J8': -17}, {'J8': 5}, {'J8': 17}, 
340.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
345.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
350.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
355.0, {'J8': -21}, {'J8': 6}, {'J8': 21}, 
360.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
365.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
370.0, {'J8': -20}, {'J8': 6}, {'J8': 20}, 
375.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
380.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
385.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
390.0, {'J8': -24}, {'J8': 7}, {'J8': 24}, 
395.0, {'J8': -20}, {'J8': 6}, {'J8': 20}, 
400.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
405.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
410.0, {'J8': -17}, {'J8': 5}, {'J8': 17}, 
415.0, {'J8': -19}, {'J8': 7}, {'J8': 19}, 
420.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
425.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
430.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
435.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
440.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
445.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
450.0, {'J8': -26}, {'J8': 7}, {'J8': 26}, 
455.0, {'J8': -23}, {'J8': 7}, {'J8': 23}, 
460.0, {'J8': -21}, {'J8': 6}, {'J8': 21}, 
465.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
470.0, {'J8': -18}, {'J8': 5}, {'J8': 18}, 
475.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
480.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
485.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
490.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
495.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
500.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
505.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
510.0, {'J8': -23}, {'J8': 7}, {'J8': 23}, 
515.0, {'J8': -20}, {'J8': 6}, {'J8': 20}, 
520.0, {'J8': -19}, {'J8': 5}, {'J8': 19}, 
525.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
530.0, {'J8': -14}, {'J8': 5}, {'J8': 14}, 
535.0, {'J8': -12}, {'J8': 5}, {'J8': 12}, 
540.0, {'J8': -14}, {'J8': 5}, {'J8': 14}, 
545.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
550.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
555.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
560.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
565.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
570.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
575.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
580.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
585.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
590.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
595.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
600.0, {'J8': -27}, {'J8': 8}, {'J8': 27}, 
605.0, {'J8': -26}, {'J8': 7}, {'J8': 26}, 
610.0, {'J8': -24}, {'J8': 7}, {'J8': 24}, 
615.0, {'J8': -22}, {'J8': 6}, {'J8': 22}, 
620.0, {'J8': -20}, {'J8': 6}, {'J8': 20}, 
625.0, {'J8': -19}, {'J8': 5}, {'J8': 19}, 
630.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
635.0, {'J8': -17}, {'J8': 5}, {'J8': 17}, 
640.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
645.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
650.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
655.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
660.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
665.0, {'J8': -23}, {'J8': 7}, {'J8': 23}, 
670.0, {'J8': -20}, {'J8': 6}, {'J8': 20}, 
675.0, {'J8': -18}, {'J8': 5}, {'J8': 18}, 
680.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
685.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
690.0, {'J8': -14}, {'J8': 5}, {'J8': 14}, 
695.0, {'J8': -12}, {'J8': 5}, {'J8': 12}, 
700.0, {'J8': -12}, {'J8': 5}, {'J8': 12}, 
705.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
710.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
715.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
720.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
725.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
730.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
735.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
740.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
745.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
750.0, {'J8': -25}, {'J8': 8}, {'J8': 25}, 
755.0, {'J8': -23}, {'J8': 7}, {'J8': 23}, 
760.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
765.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
