5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.02232143)}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': np.float32(-0.13839285)}, {'J01': 4}, {'J01': 6}, 
25.0, {'J01': np.float32(-0.2767857)}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': np.float32(-0.06026786)}, {'J01': 3}, {'J01': 8}, 
35.0, {'J01': np.float32(0.051339287)}, {'J01': 3}, {'J01': 9}, 
40.0, {'J01': np.float32(-0.44419643)}, {'J01': 4}, {'J01': 13}, 
45.0, {'J01': np.float32(0.06026786)}, {'J01': 3}, {'J01': 11}, 
50.0, {'J01': np.float32(0.004464286)}, {'J01': 2}, {'J01': 11}, 
55.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 16}, 
60.0, {'J01': np.float32(-0.7723214)}, {'J01': 6}, {'J01': 20}, 
65.0, {'J01': np.float32(-0.087053575)}, {'J01': 5}, {'J01': 19}, 
70.0, {'J01': np.float32(-0.71651787)}, {'J01': 5}, {'J01': 17}, 
75.0, {'J01': np.float32(-0.77678573)}, {'J01': 5}, {'J01': 19}, 
80.0, {'J01': np.float32(1.0870535)}, {'J01': 3}, {'J01': 13}, 
85.0, {'J01': np.float32(0.10714286)}, {'J01': 2}, {'J01': 13}, 
90.0, {'J01': np.float32(-0.421875)}, {'J01': 3}, {'J01': 18}, 
95.0, {'J01': np.float32(-0.81696427)}, {'J01': 3}, {'J01': 20}, 
100.0, {'J01': np.float32(0.53125)}, {'J01': 2}, {'J01': 14}, 
105.0, {'J01': np.float32(0.07366072)}, {'J01': 2}, {'J01': 13}, 
110.0, {'J01': np.float32(-0.49776787)}, {'J01': 2}, {'J01': 18}, 
115.0, {'J01': np.float32(-0.23660715)}, {'J01': 2}, {'J01': 10}, 
120.0, {'J01': np.float32(-0.20758928)}, {'J01': 3}, {'J01': 13}, 
125.0, {'J01': np.float32(-0.60714287)}, {'J01': 3}, {'J01': 18}, 
130.0, {'J01': np.float32(-0.2767857)}, {'J01': 3}, {'J01': 13}, 
135.0, {'J01': np.float32(-0.32589287)}, {'J01': 3}, {'J01': 15}, 
