5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
25.0, {'J01': -7}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -5}, {'J01': 4}, {'J01': 5}, 
35.0, {'J01': -8}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -8}, {'J01': 2}, {'J01': 8}, 
45.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
50.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
55.0, {'J01': -7}, {'J01': 3}, {'J01': 7}, 
60.0, {'J01': -12}, {'J01': 2}, {'J01': 12}, 
65.0, {'J01': -7}, {'J01': 1}, {'J01': 7}, 
70.0, {'J01': -15}, {'J01': 3}, {'J01': 15}, 
75.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
80.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
85.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
90.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
95.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
105.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
110.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
115.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
120.0, {'J01': -21}, {'J01': 7}, {'J01': 21}, 
125.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
130.0, {'J01': -21}, {'J01': 6}, {'J01': 21}, 
135.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
140.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
145.0, {'J01': -23}, {'J01': 7}, {'J01': 23}, 
150.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
155.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
160.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
165.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
170.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
175.0, {'J01': -23}, {'J01': 7}, {'J01': 23}, 
180.0, {'J01': -21}, {'J01': 6}, {'J01': 21}, 
185.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
190.0, {'J01': -22}, {'J01': 5}, {'J01': 22}, 
195.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
200.0, {'J01': -24}, {'J01': 7}, {'J01': 24}, 
205.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
210.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
215.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
220.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
225.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
230.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
235.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
240.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
245.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
250.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
255.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
260.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
265.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
270.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
275.0, {'J01': -10}, {'J01': 3}, {'J01': 10}, 
280.0, {'J01': -14}, {'J01': 2}, {'J01': 14}, 
285.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
290.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
295.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
300.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
305.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
310.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
315.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
320.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
325.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
330.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
335.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
340.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
345.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
350.0, {'J01': -10}, {'J01': 3}, {'J01': 10}, 
355.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
360.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
365.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
370.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
375.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
380.0, {'J01': -18}, {'J01': 3}, {'J01': 18}, 
385.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
390.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
395.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
400.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
405.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
410.0, {'J01': -24}, {'J01': 5}, {'J01': 24}, 
415.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
420.0, {'J01': -16}, {'J01': 3}, {'J01': 16}, 
425.0, {'J01': -15}, {'J01': 3}, {'J01': 15}, 
430.0, {'J01': -23}, {'J01': 4}, {'J01': 23}, 
435.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
440.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
445.0, {'J01': -31}, {'J01': 7}, {'J01': 31}, 
450.0, {'J01': -30}, {'J01': 7}, {'J01': 30}, 
455.0, {'J01': -31}, {'J01': 7}, {'J01': 31}, 
460.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
465.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
470.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
475.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
480.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
485.0, {'J01': -17}, {'J01': 3}, {'J01': 17}, 
490.0, {'J01': -24}, {'J01': 6}, {'J01': 24}, 
495.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
500.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
505.0, {'J01': -26}, {'J01': 7}, {'J01': 26}, 
510.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
515.0, {'J01': -26}, {'J01': 6}, {'J01': 26}, 
520.0, {'J01': -28}, {'J01': 6}, {'J01': 28}, 
525.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
530.0, {'J01': -21}, {'J01': 6}, {'J01': 21}, 
535.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
540.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
545.0, {'J01': -25}, {'J01': 5}, {'J01': 25}, 
550.0, {'J01': -25}, {'J01': 6}, {'J01': 25}, 
555.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
560.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
565.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
570.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
575.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
580.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
585.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
590.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
595.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
600.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
605.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
610.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
615.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
620.0, {'J01': -23}, {'J01': 4}, {'J01': 23}, 
625.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
630.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
635.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
640.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
645.0, {'J01': -24}, {'J01': 7}, {'J01': 24}, 
650.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
655.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
660.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
665.0, {'J01': -24}, {'J01': 7}, {'J01': 24}, 
670.0, {'J01': -20}, {'J01': 6}, {'J01': 20}, 
675.0, {'J01': -16}, {'J01': 5}, {'J01': 16}, 
680.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
685.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
690.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
695.0, {'J01': -17}, {'J01': 3}, {'J01': 17}, 
700.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
705.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
710.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
715.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
720.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
725.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
730.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
735.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
740.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
745.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
750.0, {'J01': -20}, {'J01': 6}, {'J01': 20}, 
755.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
760.0, {'J01': -24}, {'J01': 7}, {'J01': 24}, 
765.0, {'J01': -26}, {'J01': 7}, {'J01': 26}, 
770.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
775.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
780.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
785.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
790.0, {'J01': -31}, {'J01': 8}, {'J01': 31}, 
795.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
