5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': np.float32(-0.011160715)}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': np.float32(-0.04910714)}, {'J01': 1}, {'J01': 2}, 
30.0, {'J01': np.float32(-0.12946428)}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': np.float32(-0.29017857)}, {'J01': 4}, {'J01': 10}, 
40.0, {'J01': np.float32(-0.008928572)}, {'J01': 2}, {'J01': 9}, 
45.0, {'J01': np.float32(0.10491072)}, {'J01': 2}, {'J01': 5}, 
50.0, {'J01': np.float32(-0.002232143)}, {'J01': 3}, {'J01': 6}, 
55.0, {'J01': np.float32(-0.17410715)}, {'J01': 3}, {'J01': 5}, 
60.0, {'J01': np.float32(-0.25223213)}, {'J01': 4}, {'J01': 7}, 
65.0, {'J01': np.float32(-0.32589287)}, {'J01': 4}, {'J01': 8}, 
70.0, {'J01': np.float32(-0.2767857)}, {'J01': 4}, {'J01': 9}, 
75.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 8}, 
80.0, {'J01': np.float32(-0.37276787)}, {'J01': 4}, {'J01': 10}, 
85.0, {'J01': np.float32(-0.34151787)}, {'J01': 4}, {'J01': 8}, 
90.0, {'J01': np.float32(-0.3705357)}, {'J01': 4}, {'J01': 10}, 
95.0, {'J01': np.float32(0.09151786)}, {'J01': 4}, {'J01': 10}, 
100.0, {'J01': np.float32(-0.203125)}, {'J01': 4}, {'J01': 8}, 
105.0, {'J01': np.float32(-0.25892857)}, {'J01': 4}, {'J01': 7}, 
110.0, {'J01': np.float32(0.99776787)}, {'J01': 3}, {'J01': 6}, 
115.0, {'J01': np.float32(1.0089285)}, {'J01': 2}, {'J01': 5}, 
120.0, {'J01': np.float32(-0.31473213)}, {'J01': 3}, {'J01': 11}, 
125.0, {'J01': np.float32(-0.55803573)}, {'J01': 4}, {'J01': 15}, 
130.0, {'J01': np.float32(0.13616072)}, {'J01': 4}, {'J01': 16}, 
135.0, {'J01': np.float32(-0.04910714)}, {'J01': 5}, {'J01': 18}, 
140.0, {'J01': np.float32(-0.8683036)}, {'J01': 7}, {'J01': 23}, 
145.0, {'J01': np.float32(-1.0558035)}, {'J01': 7}, {'J01': 25}, 
150.0, {'J01': np.float32(0.3549107)}, {'J01': 7}, {'J01': 23}, 
155.0, {'J01': np.float32(0.55133927)}, {'J01': 6}, {'J01': 18}, 
160.0, {'J01': np.float32(-0.31919643)}, {'J01': 6}, {'J01': 21}, 
165.0, {'J01': np.float32(0.34151787)}, {'J01': 6}, {'J01': 20}, 
170.0, {'J01': np.float32(-0.002232143)}, {'J01': 5}, {'J01': 18}, 
175.0, {'J01': np.float32(-0.8504464)}, {'J01': 5}, {'J01': 22}, 
180.0, {'J01': np.float32(0.8504464)}, {'J01': 4}, {'J01': 19}, 
185.0, {'J01': np.float32(0.93973213)}, {'J01': 4}, {'J01': 11}, 
190.0, {'J01': np.float32(-0.27232143)}, {'J01': 4}, {'J01': 11}, 
195.0, {'J01': np.float32(0.43973213)}, {'J01': 3}, {'J01': 12}, 
200.0, {'J01': np.float32(0.16964285)}, {'J01': 3}, {'J01': 10}, 
205.0, {'J01': np.float32(-0.16964285)}, {'J01': 3}, {'J01': 12}, 
210.0, {'J01': np.float32(0.042410713)}, {'J01': 4}, {'J01': 10}, 
215.0, {'J01': np.float32(0.453125)}, {'J01': 3}, {'J01': 10}, 
220.0, {'J01': np.float32(0.18303572)}, {'J01': 4}, {'J01': 19}, 
225.0, {'J01': np.float32(-0.49107143)}, {'J01': 7}, {'J01': 25}, 
230.0, {'J01': np.float32(-0.6785714)}, {'J01': 8}, {'J01': 25}, 
235.0, {'J01': np.float32(-0.76785713)}, {'J01': 8}, {'J01': 24}, 
240.0, {'J01': np.float32(-1.1227678)}, {'J01': 8}, {'J01': 28}, 
245.0, {'J01': np.float32(-0.90401787)}, {'J01': 8}, {'J01': 25}, 
250.0, {'J01': np.float32(-0.91741073)}, {'J01': 8}, {'J01': 25}, 
255.0, {'J01': np.float32(-1.0848215)}, {'J01': 8}, {'J01': 26}, 
260.0, {'J01': np.float32(0.52008927)}, {'J01': 7}, {'J01': 26}, 
265.0, {'J01': np.float32(-0.29910713)}, {'J01': 7}, {'J01': 25}, 
270.0, {'J01': np.float32(-1.1629465)}, {'J01': 7}, {'J01': 29}, 
275.0, {'J01': np.float32(-0.75)}, {'J01': 8}, {'J01': 28}, 
280.0, {'J01': np.float32(1.1004465)}, {'J01': 7}, {'J01': 25}, 
285.0, {'J01': np.float32(0.36160713)}, {'J01': 6}, {'J01': 21}, 
290.0, {'J01': np.float32(0.68973213)}, {'J01': 5}, {'J01': 17}, 
295.0, {'J01': np.float32(3.060268)}, {'J01': 4}, {'J01': 11}, 
300.0, {'J01': np.float32(0.68526787)}, {'J01': 2}, {'J01': 10}, 
305.0, {'J01': np.float32(-0.08258928)}, {'J01': 3}, {'J01': 16}, 
310.0, {'J01': np.float32(0.069196425)}, {'J01': 7}, {'J01': 21}, 
315.0, {'J01': np.float32(0.82366073)}, {'J01': 7}, {'J01': 22}, 
320.0, {'J01': np.float32(-0.9754464)}, {'J01': 7}, {'J01': 25}, 
325.0, {'J01': np.float32(-0.71875)}, {'J01': 7}, {'J01': 26}, 
330.0, {'J01': np.float32(0.50223213)}, {'J01': 6}, {'J01': 21}, 
335.0, {'J01': np.float32(1.0401785)}, {'J01': 4}, {'J01': 12}, 
340.0, {'J01': np.float32(0.515625)}, {'J01': 3}, {'J01': 10}, 
345.0, {'J01': np.float32(-0.23660715)}, {'J01': 3}, {'J01': 14}, 
350.0, {'J01': np.float32(-0.73660713)}, {'J01': 6}, {'J01': 23}, 
355.0, {'J01': np.float32(-1.1026785)}, {'J01': 8}, {'J01': 28}, 
360.0, {'J01': np.float32(-0.06473214)}, {'J01': 7}, {'J01': 27}, 
365.0, {'J01': np.float32(1.1026785)}, {'J01': 4}, {'J01': 17}, 
370.0, {'J01': np.float32(-0.069196425)}, {'J01': 4}, {'J01': 15}, 
375.0, {'J01': np.float32(0.30357143)}, {'J01': 3}, {'J01': 17}, 
380.0, {'J01': np.float32(0.53125)}, {'J01': 6}, {'J01': 19}, 
385.0, {'J01': np.float32(-0.9151786)}, {'J01': 8}, {'J01': 25}, 
390.0, {'J01': np.float32(-0.9441964)}, {'J01': 8}, {'J01': 27}, 
395.0, {'J01': np.float32(-1.2232143)}, {'J01': 8}, {'J01': 28}, 
400.0, {'J01': np.float32(-0.875)}, {'J01': 8}, {'J01': 25}, 
405.0, {'J01': np.float32(-0.9776786)}, {'J01': 8}, {'J01': 25}, 
410.0, {'J01': np.float32(-1.1473215)}, {'J01': 8}, {'J01': 29}, 
415.0, {'J01': np.float32(-1.2455357)}, {'J01': 8}, {'J01': 28}, 
420.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
425.0, {'J01': np.float32(-0.47544643)}, {'J01': 8}, {'J01': 26}, 
430.0, {'J01': np.float32(-0.91741073)}, {'J01': 8}, {'J01': 25}, 
435.0, {'J01': np.float32(-0.83035713)}, {'J01': 8}, {'J01': 23}, 
440.0, {'J01': np.float32(2.1004465)}, {'J01': 7}, {'J01': 20}, 
445.0, {'J01': np.float32(-0.78571427)}, {'J01': 7}, {'J01': 19}, 
450.0, {'J01': np.float32(-0.86383927)}, {'J01': 7}, {'J01': 21}, 
455.0, {'J01': np.float32(2.296875)}, {'J01': 6}, {'J01': 20}, 
460.0, {'J01': np.float32(-0.7254464)}, {'J01': 6}, {'J01': 21}, 
465.0, {'J01': np.float32(-0.765625)}, {'J01': 6}, {'J01': 22}, 
470.0, {'J01': np.float32(2.6450894)}, {'J01': 7}, {'J01': 26}, 
475.0, {'J01': np.float32(1.1607143)}, {'J01': 6}, {'J01': 21}, 
480.0, {'J01': np.float32(-0.97321427)}, {'J01': 6}, {'J01': 24}, 
485.0, {'J01': np.float32(-0.6183036)}, {'J01': 7}, {'J01': 23}, 
490.0, {'J01': np.float32(-0.69866073)}, {'J01': 8}, {'J01': 25}, 
495.0, {'J01': np.float32(-1.140625)}, {'J01': 8}, {'J01': 27}, 
500.0, {'J01': np.float32(2.1339285)}, {'J01': 7}, {'J01': 23}, 
505.0, {'J01': np.float32(1.6741072)}, {'J01': 6}, {'J01': 19}, 
510.0, {'J01': np.float32(-0.3125)}, {'J01': 6}, {'J01': 21}, 
515.0, {'J01': np.float32(-0.71428573)}, {'J01': 7}, {'J01': 22}, 
520.0, {'J01': np.float32(-0.83928573)}, {'J01': 8}, {'J01': 26}, 
525.0, {'J01': np.float32(-1.0625)}, {'J01': 8}, {'J01': 29}, 
530.0, {'J01': np.float32(2.4375)}, {'J01': 7}, {'J01': 24}, 
535.0, {'J01': np.float32(2.1495535)}, {'J01': 6}, {'J01': 20}, 
540.0, {'J01': np.float32(-0.60491073)}, {'J01': 6}, {'J01': 21}, 
545.0, {'J01': np.float32(1.2455357)}, {'J01': 5}, {'J01': 18}, 
550.0, {'J01': np.float32(0.81696427)}, {'J01': 4}, {'J01': 15}, 
555.0, {'J01': np.float32(0.54464287)}, {'J01': 4}, {'J01': 15}, 
560.0, {'J01': np.float32(0.72321427)}, {'J01': 4}, {'J01': 11}, 
565.0, {'J01': np.float32(1.2455357)}, {'J01': 4}, {'J01': 7}, 
570.0, {'J01': np.float32(0.35044643)}, {'J01': 3}, {'J01': 9}, 
575.0, {'J01': np.float32(0.17410715)}, {'J01': 2}, {'J01': 8}, 
580.0, {'J01': np.float32(0.002232143)}, {'J01': 3}, {'J01': 11}, 
585.0, {'J01': np.float32(0.16294643)}, {'J01': 4}, {'J01': 17}, 
590.0, {'J01': np.float32(0.14732143)}, {'J01': 5}, {'J01': 17}, 
595.0, {'J01': np.float32(-0.3861607)}, {'J01': 5}, {'J01': 20}, 
600.0, {'J01': np.float32(-0.6941964)}, {'J01': 6}, {'J01': 24}, 
605.0, {'J01': np.float32(-0.75)}, {'J01': 7}, {'J01': 26}, 
610.0, {'J01': np.float32(-0.63839287)}, {'J01': 8}, {'J01': 25}, 
615.0, {'J01': np.float32(-1.0669643)}, {'J01': 8}, {'J01': 27}, 
620.0, {'J01': np.float32(0.16294643)}, {'J01': 7}, {'J01': 26}, 
625.0, {'J01': np.float32(1.8325893)}, {'J01': 4}, {'J01': 16}, 
630.0, {'J01': np.float32(0.0)}, {'J01': 4}, {'J01': 17}, 
635.0, {'J01': np.float32(0.16071428)}, {'J01': 4}, {'J01': 13}, 
640.0, {'J01': np.float32(0.62946427)}, {'J01': 4}, {'J01': 9}, 
645.0, {'J01': np.float32(0.100446425)}, {'J01': 3}, {'J01': 12}, 
650.0, {'J01': np.float32(-0.06696428)}, {'J01': 2}, {'J01': 11}, 
655.0, {'J01': np.float32(0.13169643)}, {'J01': 2}, {'J01': 10}, 
660.0, {'J01': np.float32(-0.22098215)}, {'J01': 4}, {'J01': 19}, 
665.0, {'J01': np.float32(-0.071428575)}, {'J01': 7}, {'J01': 25}, 
670.0, {'J01': np.float32(-0.43526787)}, {'J01': 8}, {'J01': 27}, 
675.0, {'J01': np.float32(-0.7723214)}, {'J01': 8}, {'J01': 26}, 
680.0, {'J01': np.float32(-0.39285713)}, {'J01': 8}, {'J01': 22}, 
685.0, {'J01': np.float32(-0.828125)}, {'J01': 8}, {'J01': 25}, 
690.0, {'J01': np.float32(-1.1450893)}, {'J01': 8}, {'J01': 28}, 
695.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
700.0, {'J01': np.float32(0.3794643)}, {'J01': 7}, {'J01': 24}, 
705.0, {'J01': np.float32(0.15401785)}, {'J01': 6}, {'J01': 21}, 
710.0, {'J01': np.float32(-0.38392857)}, {'J01': 6}, {'J01': 23}, 
715.0, {'J01': np.float32(1.1183035)}, {'J01': 6}, {'J01': 21}, 
720.0, {'J01': np.float32(-0.90625)}, {'J01': 6}, {'J01': 22}, 
725.0, {'J01': np.float32(-0.60491073)}, {'J01': 6}, {'J01': 24}, 
730.0, {'J01': np.float32(1.0200893)}, {'J01': 6}, {'J01': 21}, 
