5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -9.5}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -40.5}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -86.5}, {'J01': 2}, {'J01': 7}, 
35.0, {'J01': -164.0}, {'J01': 3}, {'J01': 10}, 
40.0, {'J01': -261.0}, {'J01': 3}, {'J01': 13}, 
45.0, {'J01': -396.0}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': -572.5}, {'J01': 6}, {'J01': 20}, 
55.0, {'J01': -776.5}, {'J01': 6}, {'J01': 21}, 
60.0, {'J01': -1003.5}, {'J01': 8}, {'J01': 25}, 
65.0, {'J01': -1274.0}, {'J01': 8}, {'J01': 31}, 
70.0, {'J01': -1503.0}, {'J01': 8}, {'J01': 29}, 
75.0, {'J01': -1762.5}, {'J01': 8}, {'J01': 28}, 
80.0, {'J01': -1997.0}, {'J01': 8}, {'J01': 26}, 
85.0, {'J01': -2259.0}, {'J01': 8}, {'J01': 27}, 
90.0, {'J01': -2540.0}, {'J01': 8}, {'J01': 30}, 
95.0, {'J01': -2789.0}, {'J01': 8}, {'J01': 27}, 
100.0, {'J01': -3059.0}, {'J01': 8}, {'J01': 27}, 
105.0, {'J01': -3339.0}, {'J01': 8}, {'J01': 31}, 
110.0, {'J01': -2820.5}, {'J01': 7}, {'J01': 26}, 
115.0, {'J01': -1743.5}, {'J01': 4}, {'J01': 17}, 
120.0, {'J01': -1352.0}, {'J01': 4}, {'J01': 13}, 
125.0, {'J01': -969.0}, {'J01': 4}, {'J01': 10}, 
130.0, {'J01': -891.0}, {'J01': 3}, {'J01': 12}, 
135.0, {'J01': -889.0}, {'J01': 3}, {'J01': 17}, 
140.0, {'J01': -1084.5}, {'J01': 7}, {'J01': 25}, 
145.0, {'J01': -1349.5}, {'J01': 8}, {'J01': 29}, 
150.0, {'J01': -1112.5}, {'J01': 8}, {'J01': 28}, 
155.0, {'J01': -956.5}, {'J01': 8}, {'J01': 27}, 
160.0, {'J01': -1238.5}, {'J01': 8}, {'J01': 31}, 
165.0, {'J01': -1202.5}, {'J01': 7}, {'J01': 28}, 
170.0, {'J01': -854.0}, {'J01': 4}, {'J01': 20}, 
175.0, {'J01': -764.0}, {'J01': 4}, {'J01': 16}, 
180.0, {'J01': -627.0}, {'J01': 4}, {'J01': 13}, 
185.0, {'J01': -757.0}, {'J01': 4}, {'J01': 13}, 
190.0, {'J01': -887.0}, {'J01': 4}, {'J01': 13}, 
195.0, {'J01': -1017.0}, {'J01': 4}, {'J01': 13}, 
200.0, {'J01': -1147.0}, {'J01': 4}, {'J01': 13}, 
205.0, {'J01': -1277.0}, {'J01': 4}, {'J01': 13}, 
210.0, {'J01': -1407.0}, {'J01': 4}, {'J01': 13}, 
215.0, {'J01': -1537.0}, {'J01': 4}, {'J01': 13}, 
220.0, {'J01': -1667.0}, {'J01': 4}, {'J01': 13}, 
225.0, {'J01': -1426.5}, {'J01': 4}, {'J01': 13}, 
230.0, {'J01': -1389.5}, {'J01': 4}, {'J01': 11}, 
235.0, {'J01': -1489.0}, {'J01': 4}, {'J01': 11}, 
240.0, {'J01': -1599.0}, {'J01': 4}, {'J01': 11}, 
245.0, {'J01': -1709.0}, {'J01': 4}, {'J01': 11}, 
250.0, {'J01': -1819.0}, {'J01': 4}, {'J01': 11}, 
255.0, {'J01': -1929.0}, {'J01': 4}, {'J01': 11}, 
260.0, {'J01': -2039.0}, {'J01': 4}, {'J01': 11}, 
265.0, {'J01': -2149.0}, {'J01': 4}, {'J01': 11}, 
270.0, {'J01': -2259.0}, {'J01': 4}, {'J01': 11}, 
275.0, {'J01': -2369.0}, {'J01': 4}, {'J01': 11}, 
280.0, {'J01': -2479.0}, {'J01': 4}, {'J01': 11}, 
285.0, {'J01': -2593.5}, {'J01': 4}, {'J01': 12}, 
290.0, {'J01': -2437.5}, {'J01': 4}, {'J01': 10}, 
295.0, {'J01': -2272.5}, {'J01': 4}, {'J01': 9}, 
