5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -6}, {'J01': 3}, {'J01': 6}, 
25.0, {'J01': -7}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -7}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
55.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
60.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
65.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
70.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
75.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
80.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
85.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
90.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
95.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
100.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
105.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
110.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
115.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
120.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
125.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
130.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
135.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
140.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
145.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
150.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
155.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
160.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
165.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
170.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
175.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
180.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
185.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
190.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
195.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
200.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
205.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
210.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
215.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
220.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
225.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
230.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
235.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
240.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
245.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
250.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
255.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
260.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
265.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
270.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
275.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
280.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
285.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
290.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
295.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
300.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
305.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
310.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
315.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
320.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
325.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
330.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
335.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
340.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
345.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
350.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
355.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
360.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
365.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
370.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
375.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
380.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
385.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
390.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
395.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
400.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
405.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
410.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
415.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
420.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
425.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
430.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
435.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
440.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
445.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
450.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
455.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
460.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
465.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
470.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
475.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
480.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
485.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
490.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
495.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
500.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
505.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
510.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
515.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
520.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
525.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
530.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
535.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
540.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
545.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
550.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
555.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
560.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
565.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
570.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
575.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
580.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
585.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
590.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
595.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
600.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
605.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
610.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
615.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
620.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
625.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
630.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
635.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
640.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
645.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
650.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
655.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
660.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
665.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
670.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
675.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
680.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
685.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
690.0, {'J01': -8}, {'J01': 4}, {'J01': 8}, 
695.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
700.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
705.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
710.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
715.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
720.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
725.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
730.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
735.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
740.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
745.0, {'J01': -12}, {'J01': 4}, {'J01': 12}, 
750.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
755.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
760.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
765.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
770.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
775.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
780.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
785.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
790.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
795.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
