5.0, {'J01': np.float32(4.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': np.float32(-0.06473214)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.17410715)}, {'J01': 2}, {'J01': 4}, 
30.0, {'J01': np.float32(-0.22098215)}, {'J01': 3}, {'J01': 5}, 
35.0, {'J01': np.float32(0.071428575)}, {'J01': 1}, {'J01': 5}, 
40.0, {'J01': np.float32(0.16517857)}, {'J01': 1}, {'J01': 4}, 
45.0, {'J01': np.float32(-0.071428575)}, {'J01': 2}, {'J01': 7}, 
50.0, {'J01': np.float32(-0.20758928)}, {'J01': 3}, {'J01': 11}, 
55.0, {'J01': np.float32(-0.16517857)}, {'J01': 2}, {'J01': 10}, 
60.0, {'J01': np.float32(-0.10491072)}, {'J01': 3}, {'J01': 13}, 
65.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 15}, 
70.0, {'J01': np.float32(-0.19419643)}, {'J01': 5}, {'J01': 17}, 
75.0, {'J01': np.float32(-0.80133927)}, {'J01': 5}, {'J01': 23}, 
80.0, {'J01': np.float32(-0.6339286)}, {'J01': 6}, {'J01': 29}, 
85.0, {'J01': np.float32(-1.3772322)}, {'J01': 7}, {'J01': 34}, 
90.0, {'J01': np.float32(-1.1964285)}, {'J01': 8}, {'J01': 34}, 
95.0, {'J01': np.float32(-1.4308035)}, {'J01': 8}, {'J01': 36}, 
100.0, {'J01': np.float32(-1.6674107)}, {'J01': 8}, {'J01': 36}, 
105.0, {'J01': np.float32(-1.0)}, {'J01': 8}, {'J01': 36}, 
110.0, {'J01': np.float32(-1.0959822)}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': np.float32(0.87723213)}, {'J01': 7}, {'J01': 28}, 
120.0, {'J01': np.float32(1.265625)}, {'J01': 5}, {'J01': 24}, 
125.0, {'J01': np.float32(1.4129465)}, {'J01': 5}, {'J01': 23}, 
130.0, {'J01': np.float32(-0.98214287)}, {'J01': 5}, {'J01': 27}, 
135.0, {'J01': np.float32(-1.3816965)}, {'J01': 7}, {'J01': 36}, 
140.0, {'J01': np.float32(-1.7946428)}, {'J01': 8}, {'J01': 41}, 
145.0, {'J01': np.float32(-1.1473215)}, {'J01': 8}, {'J01': 39}, 
150.0, {'J01': np.float32(-1.7142857)}, {'J01': 8}, {'J01': 41}, 
155.0, {'J01': np.float32(-2.0044644)}, {'J01': 8}, {'J01': 46}, 
160.0, {'J01': np.float32(1.625)}, {'J01': 8}, {'J01': 39}, 
165.0, {'J01': np.float32(-0.4799107)}, {'J01': 8}, {'J01': 38}, 
170.0, {'J01': np.float32(-1.3839285)}, {'J01': 8}, {'J01': 43}, 
175.0, {'J01': np.float32(-1.6964285)}, {'J01': 8}, {'J01': 42}, 
180.0, {'J01': np.float32(-1.03125)}, {'J01': 8}, {'J01': 42}, 
185.0, {'J01': np.float32(-0.28348213)}, {'J01': 8}, {'J01': 42}, 
190.0, {'J01': np.float32(-1.1741072)}, {'J01': 8}, {'J01': 40}, 
195.0, {'J01': np.float32(-1.8303572)}, {'J01': 8}, {'J01': 42}, 
200.0, {'J01': np.float32(4.0)}, {'J01': 7}, {'J01': 32}, 
205.0, {'J01': np.float32(0.65178573)}, {'J01': 6}, {'J01': 31}, 
210.0, {'J01': np.float32(-1.5558035)}, {'J01': 6}, {'J01': 35}, 
215.0, {'J01': np.float32(-1.796875)}, {'J01': 7}, {'J01': 38}, 
220.0, {'J01': np.float32(2.450893)}, {'J01': 7}, {'J01': 33}, 
225.0, {'J01': np.float32(4.0)}, {'J01': 6}, {'J01': 25}, 
230.0, {'J01': np.float32(-1.1830357)}, {'J01': 6}, {'J01': 30}, 
235.0, {'J01': np.float32(0.30580357)}, {'J01': 7}, {'J01': 30}, 
240.0, {'J01': np.float32(-0.62723213)}, {'J01': 8}, {'J01': 31}, 
245.0, {'J01': np.float32(-1.4508928)}, {'J01': 8}, {'J01': 33}, 
250.0, {'J01': np.float32(-0.03348214)}, {'J01': 8}, {'J01': 33}, 
255.0, {'J01': np.float32(-0.59375)}, {'J01': 8}, {'J01': 32}, 
260.0, {'J01': np.float32(-1.4866072)}, {'J01': 8}, {'J01': 37}, 
265.0, {'J01': np.float32(-1.6986607)}, {'J01': 8}, {'J01': 38}, 
270.0, {'J01': np.float32(4.0)}, {'J01': 7}, {'J01': 27}, 
275.0, {'J01': np.float32(1.65625)}, {'J01': 6}, {'J01': 23}, 
280.0, {'J01': np.float32(-1.0535715)}, {'J01': 6}, {'J01': 28}, 
285.0, {'J01': np.float32(-1.046875)}, {'J01': 7}, {'J01': 31}, 
290.0, {'J01': np.float32(-0.875)}, {'J01': 8}, {'J01': 33}, 
295.0, {'J01': np.float32(-1.1183035)}, {'J01': 8}, {'J01': 33}, 
300.0, {'J01': np.float32(-0.2700893)}, {'J01': 8}, {'J01': 36}, 
305.0, {'J01': np.float32(-0.74553573)}, {'J01': 8}, {'J01': 37}, 
310.0, {'J01': np.float32(-1.8348215)}, {'J01': 8}, {'J01': 41}, 
315.0, {'J01': np.float32(-1.2946428)}, {'J01': 8}, {'J01': 39}, 
320.0, {'J01': np.float32(-1.6495535)}, {'J01': 8}, {'J01': 40}, 
325.0, {'J01': np.float32(-1.4285715)}, {'J01': 11}, {'J01': 40}, 
330.0, {'J01': np.float32(-1.4352678)}, {'J01': 12}, {'J01': 43}, 
335.0, {'J01': np.float32(3.904018)}, {'J01': 13}, {'J01': 42}, 
340.0, {'J01': np.float32(1.4308035)}, {'J01': 13}, {'J01': 34}, 
345.0, {'J01': np.float32(-1.4977678)}, {'J01': 14}, {'J01': 38}, 
350.0, {'J01': np.float32(-1.734375)}, {'J01': 14}, {'J01': 40}, 
355.0, {'J01': np.float32(-1.9709822)}, {'J01': 14}, {'J01': 47}, 
360.0, {'J01': np.float32(-2.0535715)}, {'J01': 16}, {'J01': 49}, 
365.0, {'J01': np.float32(4.0)}, {'J01': 14}, {'J01': 43}, 
370.0, {'J01': np.float32(0.66071427)}, {'J01': 12}, {'J01': 38}, 
375.0, {'J01': np.float32(4.0)}, {'J01': 10}, {'J01': 30}, 
380.0, {'J01': np.float32(0.45535713)}, {'J01': 10}, {'J01': 29}, 
385.0, {'J01': np.float32(-1.2879465)}, {'J01': 10}, {'J01': 29}, 
390.0, {'J01': np.float32(4.0)}, {'J01': 6}, {'J01': 20}, 
395.0, {'J01': np.float32(1.8102678)}, {'J01': 4}, {'J01': 18}, 
400.0, {'J01': np.float32(-0.84375)}, {'J01': 4}, {'J01': 22}, 
405.0, {'J01': np.float32(-1.2477678)}, {'J01': 7}, {'J01': 36}, 
410.0, {'J01': np.float32(2.2299106)}, {'J01': 7}, {'J01': 32}, 
415.0, {'J01': np.float32(-1.2232143)}, {'J01': 9}, {'J01': 36}, 
420.0, {'J01': np.float32(-1.7633928)}, {'J01': 10}, {'J01': 38}, 
425.0, {'J01': np.float32(-1.7098215)}, {'J01': 10}, {'J01': 43}, 
430.0, {'J01': np.float32(-0.88839287)}, {'J01': 10}, {'J01': 42}, 
435.0, {'J01': np.float32(-0.9441964)}, {'J01': 10}, {'J01': 40}, 
440.0, {'J01': np.float32(-1.1428572)}, {'J01': 10}, {'J01': 42}, 
445.0, {'J01': np.float32(-1.4107143)}, {'J01': 11}, {'J01': 45}, 
450.0, {'J01': np.float32(-1.78125)}, {'J01': 12}, {'J01': 45}, 
455.0, {'J01': np.float32(-2.1004465)}, {'J01': 13}, {'J01': 46}, 
460.0, {'J01': np.float32(-1.3616072)}, {'J01': 13}, {'J01': 43}, 
465.0, {'J01': np.float32(-1.3928572)}, {'J01': 14}, {'J01': 42}, 
470.0, {'J01': np.float32(-1.9084822)}, {'J01': 16}, {'J01': 44}, 
475.0, {'J01': np.float32(-1.8705357)}, {'J01': 16}, {'J01': 44}, 
480.0, {'J01': np.float32(-2.1049106)}, {'J01': 16}, {'J01': 50}, 
485.0, {'J01': np.float32(-0.9598214)}, {'J01': 16}, {'J01': 48}, 
490.0, {'J01': np.float32(0.20758928)}, {'J01': 18}, {'J01': 46}, 
495.0, {'J01': np.float32(-0.5848214)}, {'J01': 19}, {'J01': 45}, 
500.0, {'J01': np.float32(-1.9397322)}, {'J01': 21}, {'J01': 51}, 
505.0, {'J01': np.float32(-1.8772322)}, {'J01': 21}, {'J01': 51}, 
510.0, {'J01': np.float32(-2.361607)}, {'J01': 22}, {'J01': 55}, 
515.0, {'J01': np.float32(-2.611607)}, {'J01': 22}, {'J01': 59}, 
520.0, {'J01': np.float32(-2.8013394)}, {'J01': 23}, {'J01': 62}, 
525.0, {'J01': np.float32(-2.9776785)}, {'J01': 23}, {'J01': 64}, 
530.0, {'J01': np.float32(-3.078125)}, {'J01': 24}, {'J01': 66}, 
535.0, {'J01': np.float32(4.0)}, {'J01': 21}, {'J01': 54}, 
540.0, {'J01': np.float32(-1.8125)}, {'J01': 21}, {'J01': 52}, 
545.0, {'J01': np.float32(4.0)}, {'J01': 19}, {'J01': 44}, 
550.0, {'J01': np.float32(4.0)}, {'J01': 13}, {'J01': 30}, 
555.0, {'J01': np.float32(4.0)}, {'J01': 12}, {'J01': 25}, 
560.0, {'J01': np.float32(0.6183036)}, {'J01': 10}, {'J01': 27}, 
565.0, {'J01': np.float32(1.3794643)}, {'J01': 8}, {'J01': 28}, 
570.0, {'J01': np.float32(-0.78125)}, {'J01': 8}, {'J01': 36}, 
575.0, {'J01': np.float32(-1.2254465)}, {'J01': 9}, {'J01': 45}, 
580.0, {'J01': np.float32(-0.71428573)}, {'J01': 10}, {'J01': 40}, 
585.0, {'J01': np.float32(0.28348213)}, {'J01': 9}, {'J01': 30}, 
590.0, {'J01': np.float32(3.71875)}, {'J01': 6}, {'J01': 26}, 
595.0, {'J01': np.float32(-0.19196428)}, {'J01': 5}, {'J01': 28}, 
600.0, {'J01': np.float32(-1.2857143)}, {'J01': 6}, {'J01': 32}, 
605.0, {'J01': np.float32(-1.7276785)}, {'J01': 8}, {'J01': 42}, 
610.0, {'J01': np.float32(-1.7700893)}, {'J01': 9}, {'J01': 42}, 
615.0, {'J01': np.float32(-1.8415178)}, {'J01': 9}, {'J01': 44}, 
620.0, {'J01': np.float32(-2.142857)}, {'J01': 9}, {'J01': 45}, 
625.0, {'J01': np.float32(0.78571427)}, {'J01': 8}, {'J01': 41}, 
630.0, {'J01': np.float32(0.484375)}, {'J01': 8}, {'J01': 40}, 
635.0, {'J01': np.float32(-1.1316965)}, {'J01': 11}, {'J01': 43}, 
640.0, {'J01': np.float32(1.3705357)}, {'J01': 12}, {'J01': 38}, 
645.0, {'J01': np.float32(3.7566965)}, {'J01': 9}, {'J01': 32}, 
650.0, {'J01': np.float32(-0.12723215)}, {'J01': 9}, {'J01': 38}, 
655.0, {'J01': np.float32(-1.7209822)}, {'J01': 9}, {'J01': 40}, 
660.0, {'J01': np.float32(-1.859375)}, {'J01': 10}, {'J01': 43}, 
665.0, {'J01': np.float32(1.6205357)}, {'J01': 11}, {'J01': 39}, 
670.0, {'J01': np.float32(-1.6852678)}, {'J01': 12}, {'J01': 40}, 
675.0, {'J01': np.float32(-2.046875)}, {'J01': 13}, {'J01': 47}, 
680.0, {'J01': np.float32(4.0)}, {'J01': 10}, {'J01': 41}, 
685.0, {'J01': np.float32(0.10491072)}, {'J01': 10}, {'J01': 37}, 
690.0, {'J01': np.float32(1.0066965)}, {'J01': 10}, {'J01': 36}, 
695.0, {'J01': np.float32(-0.984375)}, {'J01': 12}, {'J01': 45}, 
700.0, {'J01': np.float32(-1.4866072)}, {'J01': 13}, {'J01': 47}, 
705.0, {'J01': np.float32(-0.7745536)}, {'J01': 13}, {'J01': 44}, 
710.0, {'J01': np.float32(-0.98214287)}, {'J01': 14}, {'J01': 45}, 
715.0, {'J01': np.float32(-2.2232144)}, {'J01': 15}, {'J01': 49}, 
720.0, {'J01': np.float32(4.0)}, {'J01': 11}, {'J01': 40}, 
725.0, {'J01': np.float32(1.3370535)}, {'J01': 11}, {'J01': 35}, 
730.0, {'J01': np.float32(-1.7700893)}, {'J01': 11}, {'J01': 40}, 
