5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.04464286)}, {'J01': 2}, {'J01': 3}, 
20.0, {'J01': np.float32(-0.21428572)}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 8}, 
30.0, {'J01': np.float32(-0.11160714)}, {'J01': 4}, {'J01': 9}, 
35.0, {'J01': np.float32(-0.45535713)}, {'J01': 4}, {'J01': 14}, 
40.0, {'J01': np.float32(-0.68303573)}, {'J01': 4}, {'J01': 16}, 
45.0, {'J01': np.float32(-0.84151787)}, {'J01': 5}, {'J01': 22}, 
50.0, {'J01': np.float32(-0.87276787)}, {'J01': 5}, {'J01': 21}, 
55.0, {'J01': np.float32(-1.0691965)}, {'J01': 6}, {'J01': 27}, 
60.0, {'J01': np.float32(-0.002232143)}, {'J01': 8}, {'J01': 29}, 
65.0, {'J01': np.float32(-0.76339287)}, {'J01': 8}, {'J01': 31}, 
70.0, {'J01': np.float32(-0.02232143)}, {'J01': 8}, {'J01': 29}, 
75.0, {'J01': np.float32(0.5089286)}, {'J01': 7}, {'J01': 24}, 
80.0, {'J01': np.float32(-1.1495535)}, {'J01': 7}, {'J01': 31}, 
85.0, {'J01': np.float32(-1.421875)}, {'J01': 7}, {'J01': 33}, 
90.0, {'J01': np.float32(-1.3526785)}, {'J01': 8}, {'J01': 35}, 
95.0, {'J01': np.float32(-1.6450893)}, {'J01': 8}, {'J01': 36}, 
100.0, {'J01': np.float32(1.3928572)}, {'J01': 7}, {'J01': 30}, 
105.0, {'J01': np.float32(0.20535715)}, {'J01': 6}, {'J01': 28}, 
110.0, {'J01': np.float32(0.64508927)}, {'J01': 6}, {'J01': 26}, 
115.0, {'J01': np.float32(0.9375)}, {'J01': 7}, {'J01': 25}, 
120.0, {'J01': np.float32(-0.9620536)}, {'J01': 8}, {'J01': 29}, 
125.0, {'J01': np.float32(-0.37723213)}, {'J01': 8}, {'J01': 30}, 
130.0, {'J01': np.float32(-0.68973213)}, {'J01': 8}, {'J01': 32}, 
135.0, {'J01': np.float32(-0.19196428)}, {'J01': 8}, {'J01': 31}, 
140.0, {'J01': np.float32(-1.1517857)}, {'J01': 8}, {'J01': 32}, 
145.0, {'J01': np.float32(-1.3638393)}, {'J01': 8}, {'J01': 39}, 
150.0, {'J01': np.float32(-1.9508928)}, {'J01': 8}, {'J01': 42}, 
155.0, {'J01': np.float32(0.88839287)}, {'J01': 7}, {'J01': 39}, 
160.0, {'J01': np.float32(-1.8459822)}, {'J01': 7}, {'J01': 39}, 
165.0, {'J01': np.float32(-1.3816965)}, {'J01': 7}, {'J01': 37}, 
170.0, {'J01': np.float32(-1.2767857)}, {'J01': 7}, {'J01': 37}, 
175.0, {'J01': np.float32(-1.8482143)}, {'J01': 8}, {'J01': 41}, 
180.0, {'J01': np.float32(0.30357143)}, {'J01': 8}, {'J01': 42}, 
185.0, {'J01': np.float32(-0.8125)}, {'J01': 8}, {'J01': 40}, 
190.0, {'J01': np.float32(-1.8973215)}, {'J01': 8}, {'J01': 40}, 
195.0, {'J01': np.float32(-0.47098213)}, {'J01': 8}, {'J01': 41}, 
200.0, {'J01': np.float32(-1.859375)}, {'J01': 8}, {'J01': 43}, 
205.0, {'J01': np.float32(-2.0223215)}, {'J01': 8}, {'J01': 47}, 
210.0, {'J01': np.float32(4.0)}, {'J01': 6}, {'J01': 36}, 
215.0, {'J01': np.float32(0.029017856)}, {'J01': 6}, {'J01': 31}, 
220.0, {'J01': np.float32(-1.3883928)}, {'J01': 6}, {'J01': 32}, 
225.0, {'J01': np.float32(-1.5424107)}, {'J01': 7}, {'J01': 36}, 
230.0, {'J01': np.float32(-0.27232143)}, {'J01': 8}, {'J01': 37}, 
235.0, {'J01': np.float32(-1.7924107)}, {'J01': 8}, {'J01': 39}, 
240.0, {'J01': np.float32(-1.2008928)}, {'J01': 8}, {'J01': 43}, 
245.0, {'J01': np.float32(-1.5267857)}, {'J01': 8}, {'J01': 42}, 
250.0, {'J01': np.float32(-1.9263393)}, {'J01': 8}, {'J01': 45}, 
255.0, {'J01': np.float32(-0.22767857)}, {'J01': 8}, {'J01': 45}, 
260.0, {'J01': np.float32(-0.31919643)}, {'J01': 8}, {'J01': 42}, 
265.0, {'J01': np.float32(-1.4397322)}, {'J01': 8}, {'J01': 40}, 
270.0, {'J01': np.float32(-1.8191965)}, {'J01': 8}, {'J01': 42}, 
275.0, {'J01': np.float32(-2.0)}, {'J01': 9}, {'J01': 45}, 
280.0, {'J01': np.float32(-0.375)}, {'J01': 9}, {'J01': 43}, 
285.0, {'J01': np.float32(-1.5)}, {'J01': 11}, {'J01': 44}, 
290.0, {'J01': np.float32(-2.0401785)}, {'J01': 12}, {'J01': 47}, 
295.0, {'J01': np.float32(-0.70758927)}, {'J01': 13}, {'J01': 45}, 
300.0, {'J01': np.float32(-1.7946428)}, {'J01': 15}, {'J01': 45}, 
305.0, {'J01': np.float32(-1.5714285)}, {'J01': 15}, {'J01': 48}, 
310.0, {'J01': np.float32(-1.4375)}, {'J01': 15}, {'J01': 48}, 
