5.0, {'J01': np.float32(3.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.0068043084)}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': np.float32(0.0018552548)}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': np.float32(-0.014556041)}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': np.float32(-0.02154294)}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': np.float32(-0.03988355)}, {'J01': 3}, {'J01': 10}, 
40.0, {'J01': np.float32(-0.062882096)}, {'J01': 3}, {'J01': 12}, 
45.0, {'J01': np.float32(-0.080058224)}, {'J01': 5}, {'J01': 17}, 
50.0, {'J01': np.float32(-0.10470015)}, {'J01': 5}, {'J01': 22}, 
55.0, {'J01': np.float32(-0.13188647)}, {'J01': 7}, {'J01': 28}, 
60.0, {'J01': np.float32(-0.15900728)}, {'J01': 8}, {'J01': 31}, 
65.0, {'J01': np.float32(-0.17273654)}, {'J01': 8}, {'J01': 34}, 
70.0, {'J01': np.float32(-0.19002119)}, {'J01': 8}, {'J01': 34}, 
75.0, {'J01': np.float32(-0.2055936)}, {'J01': 8}, {'J01': 34}, 
80.0, {'J01': np.float32(-0.05887051)}, {'J01': 8}, {'J01': 33}, 
85.0, {'J01': np.float32(-0.13526137)}, {'J01': 8}, {'J01': 32}, 
90.0, {'J01': np.float32(-0.18605939)}, {'J01': 8}, {'J01': 32}, 
95.0, {'J01': np.float32(-0.18605939)}, {'J01': 8}, {'J01': 32}, 
100.0, {'J01': np.float32(-0.20702708)}, {'J01': 8}, {'J01': 35}, 
105.0, {'J01': np.float32(-0.21505117)}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': np.float32(-0.24167074)}, {'J01': 8}, {'J01': 37}, 
115.0, {'J01': np.float32(-0.11486795)}, {'J01': 8}, {'J01': 38}, 
120.0, {'J01': np.float32(-0.17412835)}, {'J01': 8}, {'J01': 39}, 
125.0, {'J01': np.float32(-0.28658137)}, {'J01': 8}, {'J01': 43}, 
130.0, {'J01': np.float32(0.51867974)}, {'J01': 8}, {'J01': 43}, 
135.0, {'J01': np.float32(0.22789475)}, {'J01': 8}, {'J01': 37}, 
140.0, {'J01': np.float32(0.3687824)}, {'J01': 6}, {'J01': 29}, 
145.0, {'J01': np.float32(0.47770634)}, {'J01': 4}, {'J01': 23}, 
150.0, {'J01': np.float32(0.20057872)}, {'J01': 6}, {'J01': 23}, 
155.0, {'J01': np.float32(-0.0121351965)}, {'J01': 6}, {'J01': 22}, 
160.0, {'J01': np.float32(-0.24333683)}, {'J01': 6}, {'J01': 23}, 
165.0, {'J01': np.float32(-0.26525712)}, {'J01': 8}, {'J01': 27}, 
170.0, {'J01': np.float32(-0.32871312)}, {'J01': 10}, {'J01': 32}, 
175.0, {'J01': np.float32(-0.3648562)}, {'J01': 11}, {'J01': 33}, 
180.0, {'J01': np.float32(1.4371608)}, {'J01': 10}, {'J01': 28}, 
185.0, {'J01': np.float32(0.056201514)}, {'J01': 9}, {'J01': 26}, 
190.0, {'J01': np.float32(0.21154411)}, {'J01': 9}, {'J01': 26}, 
195.0, {'J01': np.float32(-0.06615153)}, {'J01': 9}, {'J01': 27}, 
200.0, {'J01': np.float32(-0.16229564)}, {'J01': 10}, {'J01': 32}, 
205.0, {'J01': np.float32(-0.18319957)}, {'J01': 10}, {'J01': 34}, 
210.0, {'J01': np.float32(-0.19345002)}, {'J01': 10}, {'J01': 34}, 
215.0, {'J01': np.float32(-0.19323295)}, {'J01': 10}, {'J01': 39}, 
220.0, {'J01': np.float32(-0.222923)}, {'J01': 11}, {'J01': 42}, 
225.0, {'J01': np.float32(-0.2342949)}, {'J01': 12}, {'J01': 44}, 
230.0, {'J01': np.float32(-0.25436252)}, {'J01': 12}, {'J01': 45}, 
235.0, {'J01': np.float32(-0.26346314)}, {'J01': 12}, {'J01': 46}, 
240.0, {'J01': np.float32(-0.24887292)}, {'J01': 11}, {'J01': 46}, 
245.0, {'J01': np.float32(0.35516652)}, {'J01': 11}, {'J01': 43}, 
250.0, {'J01': np.float32(-0.038687773)}, {'J01': 11}, {'J01': 43}, 
255.0, {'J01': np.float32(0.40918574)}, {'J01': 7}, {'J01': 35}, 
260.0, {'J01': np.float32(0.4511386)}, {'J01': 4}, {'J01': 25}, 
265.0, {'J01': np.float32(0.08056943)}, {'J01': 4}, {'J01': 23}, 
270.0, {'J01': np.float32(-0.002282096)}, {'J01': 4}, {'J01': 20}, 
275.0, {'J01': np.float32(-0.12205066)}, {'J01': 4}, {'J01': 23}, 
280.0, {'J01': np.float32(-0.12971295)}, {'J01': 4}, {'J01': 23}, 
285.0, {'J01': np.float32(-0.15696466)}, {'J01': 4}, {'J01': 23}, 
290.0, {'J01': np.float32(-0.18839112)}, {'J01': 4}, {'J01': 24}, 
295.0, {'J01': np.float32(-0.2029809)}, {'J01': 5}, {'J01': 26}, 
300.0, {'J01': np.float32(0.7096705)}, {'J01': 4}, {'J01': 22}, 
305.0, {'J01': np.float32(0.65871626)}, {'J01': 4}, {'J01': 26}, 
310.0, {'J01': np.float32(-0.19387366)}, {'J01': 4}, {'J01': 29}, 
315.0, {'J01': np.float32(-0.2833323)}, {'J01': 4}, {'J01': 34}, 
320.0, {'J01': np.float32(-0.34625155)}, {'J01': 6}, {'J01': 42}, 
325.0, {'J01': np.float32(-0.40136498)}, {'J01': 6}, {'J01': 45}, 
330.0, {'J01': np.float32(-0.4392505)}, {'J01': 8}, {'J01': 51}, 
335.0, {'J01': np.float32(0.58009094)}, {'J01': 8}, {'J01': 51}, 
340.0, {'J01': np.float32(0.039861426)}, {'J01': 9}, {'J01': 52}, 
345.0, {'J01': np.float32(-0.16386655)}, {'J01': 10}, {'J01': 52}, 
350.0, {'J01': np.float32(-0.2679518)}, {'J01': 10}, {'J01': 55}, 
355.0, {'J01': np.float32(-0.28159145)}, {'J01': 10}, {'J01': 57}, 
360.0, {'J01': np.float32(-0.28853363)}, {'J01': 11}, {'J01': 58}, 
365.0, {'J01': np.float32(-0.29022357)}, {'J01': 12}, {'J01': 59}, 
370.0, {'J01': np.float32(-0.29451728)}, {'J01': 12}, {'J01': 60}, 
375.0, {'J01': np.float32(-0.313069)}, {'J01': 12}, {'J01': 60}, 
380.0, {'J01': np.float32(-0.313069)}, {'J01': 12}, {'J01': 60}, 
385.0, {'J01': np.float32(-0.3131629)}, {'J01': 13}, {'J01': 61}, 
390.0, {'J01': np.float32(0.3332545)}, {'J01': 13}, {'J01': 61}, 
395.0, {'J01': np.float32(-0.29428577)}, {'J01': 13}, {'J01': 63}, 
400.0, {'J01': np.float32(-0.30064496)}, {'J01': 14}, {'J01': 65}, 
405.0, {'J01': np.float32(-0.34258035)}, {'J01': 16}, {'J01': 67}, 
410.0, {'J01': np.float32(-0.36709064)}, {'J01': 16}, {'J01': 67}, 
415.0, {'J01': np.float32(-0.4093765)}, {'J01': 17}, {'J01': 69}, 
420.0, {'J01': np.float32(-0.42406017)}, {'J01': 18}, {'J01': 70}, 
