episode,decision,signal_id,reward
1,50,J01,1.67599
1,100,J01,-0.27021
1,150,J01,-0.30932
1,200,J01,-0.43292
1,250,J01,-0.36675
1,300,J01,-0.32743
1,350,J01,-0.27298
1,400,J01,-0.24317
1,450,J01,-0.37455
1,500,J01,-0.42801
1,550,J01,-0.52356
1,600,J01,-0.32692
1,650,J01,-0.37953
1,700,J01,-0.37424
2,50,J01,-0.24388
2,100,J01,-0.38679
2,150,J01,-0.31957
2,200,J01,-0.53078
2,250,J01,-0.49244
2,300,J01,-0.44437
2,350,J01,-0.44778
2,400,J01,-0.53705
2,450,J01,-0.54477
2,500,J01,-0.56423
2,550,J01,-0.6129
2,600,J01,0.61927
2,650,J01,-0.10485
2,700,J01,-0.40267
3,50,J01,-0.26225
3,100,J01,0.39705
3,150,J01,-0.37371
3,200,J01,-0.36902
3,250,J01,-0.28995
3,300,J01,-0.36759
3,350,J01,-0.33704
3,400,J01,-0.36972
3,450,J01,0.62649
3,500,J01,-0.30008
3,550,J01,-0.19986
3,600,J01,-0.32619
3,650,J01,-0.29795
3,700,J01,0.0186
4,50,J01,-0.22328
4,100,J01,-0.1768
4,150,J01,-0.14745
4,200,J01,-0.23685
4,250,J01,-0.33951
4,300,J01,-0.37003
4,350,J01,-0.10791
4,400,J01,-0.37553
4,450,J01,-0.33695
4,500,J01,-0.3161
4,550,J01,-0.42842
4,600,J01,0.77646
4,650,J01,-0.37149
4,700,J01,-0.54892
5,50,J01,-0.32207
5,100,J01,-0.33401
5,150,J01,-0.25568
5,200,J01,-0.31769
5,250,J01,-0.01128
5,300,J01,-0.12714
5,350,J01,-0.36143
5,400,J01,-0.43671
5,450,J01,-0.35071
5,500,J01,-0.28547
5,550,J01,-0.55551
5,600,J01,-0.36597
5,650,J01,-0.54017
5,700,J01,-0.49331
6,50,J01,-0.22832
6,100,J01,0.07419
6,150,J01,3.0
6,200,J01,-0.32395
6,250,J01,-0.333
6,300,J01,-0.40105
6,350,J01,-0.45765
6,400,J01,-0.50763
6,450,J01,-0.30207
6,500,J01,-0.4443
6,550,J01,-0.63172
6,600,J01,-0.46237
6,650,J01,-0.61004
6,700,J01,-0.47204
7,50,J01,-0.17351
7,100,J01,-0.34614
7,150,J01,-0.37735
7,200,J01,-0.30815
7,250,J01,-0.39317
7,300,J01,-0.4241
7,350,J01,-0.40813
7,400,J01,-0.47517
7,450,J01,-0.38039
7,500,J01,-0.34456
7,550,J01,-0.29193
7,600,J01,-0.35218
7,650,J01,0.08352
7,700,J01,-0.37571
8,50,J01,-0.09778
8,100,J01,-0.37136
8,150,J01,-0.42072
8,200,J01,-0.28354
8,250,J01,-0.3913
8,300,J01,-0.51764
8,350,J01,-0.3389
8,400,J01,0.25608
8,450,J01,-0.40396
8,500,J01,-0.31612
8,550,J01,-0.43751
8,600,J01,-0.17527
8,650,J01,-0.47981
8,700,J01,-0.26959
9,50,J01,-0.24678
9,100,J01,0.26847
9,150,J01,-0.19602
9,200,J01,-0.36204
9,250,J01,-0.30519
9,300,J01,-0.33485
9,350,J01,-0.41532
9,400,J01,-0.47058
9,450,J01,1.02248
9,500,J01,-0.35488
9,550,J01,0.08833
9,600,J01,-0.58652
9,650,J01,-0.52444
9,700,J01,-0.39413
10,50,J01,0.10266
10,100,J01,-0.275
10,150,J01,-0.41677
10,200,J01,-0.36882
10,250,J01,-0.53386
10,300,J01,-0.49459
10,350,J01,-0.16514
10,400,J01,-0.58149
10,450,J01,-0.43745
10,500,J01,-0.51336
10,550,J01,-0.51336
10,600,J01,-0.3226
10,650,J01,-0.4355
10,700,J01,-0.34791
11,50,J01,-0.29344
11,100,J01,-0.54557
11,150,J01,-0.63624
11,200,J01,-0.47023
11,250,J01,-0.47657
11,300,J01,-0.54928
11,350,J01,-0.58968
11,400,J01,-0.35971
11,450,J01,-0.56987
11,500,J01,-0.59517
11,550,J01,-0.51342
11,600,J01,-0.44529
11,650,J01,-0.53677
11,700,J01,-0.44139
12,50,J01,-0.1657
12,100,J01,-0.42304
12,150,J01,-0.54673
12,200,J01,-0.52087
12,250,J01,-0.4664
12,300,J01,-0.52206
12,350,J01,-0.55273
12,400,J01,-0.66535
12,450,J01,-0.5252
12,500,J01,-0.71401
12,550,J01,0.28262
12,600,J01,-0.62837
12,650,J01,-0.58943
12,700,J01,0.53567
13,50,J01,-0.16676
13,100,J01,-0.4848
13,150,J01,-0.72005
13,200,J01,-0.2648
13,250,J01,-0.34444
13,300,J01,-0.80109
13,350,J01,-0.73564
13,400,J01,-0.49162
13,450,J01,-0.43865
13,500,J01,-0.43268
13,550,J01,-0.63284
13,600,J01,-0.53907
13,650,J01,-0.49429
13,700,J01,-0.50987
14,50,J01,0.23217
14,100,J01,-0.44217
14,150,J01,1.06281
14,200,J01,-0.32094
14,250,J01,-0.45608
14,300,J01,1.10811
14,350,J01,-0.57626
14,400,J01,-0.35407
14,450,J01,-0.52503
14,500,J01,-0.51335
14,550,J01,-0.80728
14,600,J01,-0.51529
14,650,J01,-0.55228
14,700,J01,-0.46468
15,50,J01,-0.22243
15,100,J01,-0.80799
15,150,J01,0.09567
15,200,J01,-0.56366
15,250,J01,-0.47955
15,300,J01,-0.02566
15,350,J01,-0.55658
15,400,J01,-0.58745
15,450,J01,-0.63209
15,500,J01,-0.59121
15,550,J01,0.57867
15,600,J01,-0.4277
15,650,J01,-0.63014
15,700,J01,-0.47636
16,50,J01,-0.41289
16,100,J01,-0.45747
16,150,J01,-0.15895
16,200,J01,-0.26518
16,250,J01,-0.26615
16,300,J01,-0.35803
16,350,J01,-0.28671
16,400,J01,-0.30213
16,450,J01,-0.39619
16,500,J01,-0.33274
16,550,J01,-0.31583
16,600,J01,-0.38876
16,650,J01,-0.28527
16,700,J01,-0.24048
17,50,J01,-0.19188
17,100,J01,-0.44982
17,150,J01,0.72568
17,200,J01,-0.47192
17,250,J01,-0.42479
17,300,J01,-0.52761
17,350,J01,0.01596
17,400,J01,-0.69238
17,450,J01,-0.53081
17,500,J01,-0.21547
