episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,56261734.5,187011009.5,371074.0,85753.0,66115.0,-1.45993,1.95565,-3.0,3.0,0.7676,0.0015,nan,-1.60272,nan,720,33.9
2,52633138.0,150518364.0,36732.5,72242.0,53078.0,-0.66753,1.66712,-3.0,3.0,0.7408,0.0002,0.9644,-9.64246,0.905294,720,29.3
3,60196873.5,180172412.0,402505.5,84282.0,63342.0,-1.4269,1.94736,-3.0,3.0,0.7483,0.0017,0.9407,-9.32607,0.728397,720,30.9
4,61020172.0,188962184.5,401459.5,83890.0,64182.0,-1.51386,1.86084,-3.0,3.0,0.7547,0.0016,0.9169,-12.46251,0.907151,720,33.7
5,55668831.0,155767919.5,254620.5,73032.0,53301.0,-1.06216,1.83391,-3.0,3.0,0.7358,0.0012,0.8932,-15.90848,1.160484,720,30.0
6,60570108.5,154545610.5,396080.5,73919.0,54207.0,-1.46964,1.96166,-3.0,3.0,0.7171,0.0018,0.8694,-17.77814,1.257292,720,31.0
7,49391620.0,131497885.0,267574.0,70006.0,50195.0,-1.10801,1.8288,-3.0,3.0,0.7259,0.0015,0.8457,-19.21514,1.454618,720,28.2
8,32130028.0,97653593.5,165854.5,66932.0,47984.0,-0.87315,1.72448,-3.0,3.0,0.7515,0.0013,0.8219,-21.2043,1.544127,720,30.2
9,68567231.5,205432578.0,932580.5,88469.0,67875.0,-1.80291,2.10798,-3.0,3.0,0.7472,0.0034,0.7982,-22.53669,1.535843,720,35.0
10,58265469.0,166219761.5,19070.0,73215.0,54617.0,-0.38989,1.33445,-3.0,3.0,0.7404,0.0001,0.7744,-23.83769,1.688129,720,29.8
11,51292505.5,118822754.5,1694960.0,64709.0,44180.0,-1.32297,2.3885,-3.0,3.0,0.6916,0.0099,0.7507,-24.51106,1.788274,720,30.7
12,54714770.5,161564692.5,16168.5,73030.0,54343.0,-0.3545,1.39941,-3.0,3.0,0.747,0.0001,0.7269,-21.31502,1.727863,720,29.9
13,62648401.0,181181084.5,380020.0,87364.0,64638.0,-1.39177,1.88444,-3.0,3.0,0.7419,0.0016,0.7032,-20.26426,1.693897,720,32.8
14,68676081.5,165630368.0,488693.5,69597.0,49745.0,-1.55398,1.95301,-3.0,3.0,0.7054,0.0021,0.6794,-18.78555,1.605739,720,30.3
15,62872189.0,190480048.5,377415.0,84439.0,64628.0,-1.47839,1.87315,-3.0,3.0,0.7507,0.0015,0.6557,-19.38646,1.62097,720,35.3
16,55083758.5,185660588.0,331133.5,84959.0,65358.0,-1.29914,1.83744,-3.0,3.0,0.7701,0.0014,0.6319,-20.67968,1.679666,720,32.2
17,63056700.5,195080081.0,424749.0,85440.0,65672.0,-1.52413,1.86333,-3.0,3.0,0.7545,0.0016,0.6082,-19.9542,1.56663,720,34.4
18,61887374.0,192098401.0,733889.5,85625.0,65829.0,-1.80578,2.02434,-3.0,3.0,0.7542,0.0029,0.5844,-21.79501,1.685995,720,35.9
19,48806172.0,118395358.0,710651.0,81092.0,56483.0,-1.35284,2.10885,-3.0,3.0,0.7051,0.0042,0.5607,-22.48652,1.6764,720,31.3
20,61046523.5,166616490.5,7837.5,74366.0,54631.0,-0.23598,1.07886,-3.0,3.0,0.7318,0.0,0.5369,-23.63943,1.712732,720,30.5
21,56393324.0,164584573.0,9245.0,73396.0,54524.0,-0.25133,1.08961,-3.0,3.0,0.7448,0.0,0.5132,-19.10881,1.514742,720,30.4
22,65790224.5,183606479.0,809398.0,86981.0,64739.0,-1.75268,2.01893,-3.0,3.0,0.7338,0.0032,0.4894,-19.60468,1.342502,720,34.5
23,73835572.5,206523511.5,409575.0,89629.0,67642.0,-1.50828,1.78192,-3.0,3.0,0.7356,0.0015,0.4657,-20.92819,1.448559,720,35.0
24,61618301.5,161220956.0,6369.5,73402.0,53778.0,-0.20523,0.98319,-3.0,3.0,0.7235,0.0,0.4419,-20.0886,1.411925,720,29.9
25,41902248.5,126887825.5,290272.5,77506.0,56376.0,-1.12478,1.80787,-3.0,3.0,0.7505,0.0017,0.4182,-19.40496,1.193038,720,30.7
26,37222292.0,120509346.0,532438.5,75843.0,55409.0,-1.44105,1.91007,-3.0,3.0,0.7614,0.0034,0.3944,-22.81969,1.425235,720,31.8
27,72442402.0,190072390.0,350113.0,85106.0,63361.0,-1.42759,1.7249,-3.0,3.0,0.7231,0.0013,0.3707,-23.36452,1.233354,720,33.5
28,56258452.5,160231169.0,1207457.0,82805.0,61308.0,-1.3831,2.37562,-3.0,3.0,0.736,0.0055,0.3469,-23.14046,1.356102,720,33.1
29,33523750.5,103788176.5,194222.5,66389.0,46985.0,-0.79452,1.47759,-3.0,3.0,0.7548,0.0014,0.3232,-23.65806,1.357467,720,28.4
30,68931325.5,201390964.5,728650.5,88408.0,67185.0,-1.80077,2.03729,-3.0,3.0,0.743,0.0027,0.2994,-23.49818,1.283028,720,34.8
31,58956016.5,166219996.0,4580.0,73838.0,54877.0,-0.18003,0.86868,-3.0,3.0,0.7382,0.0,0.2757,-22.75661,1.2499,720,30.7
32,35612569.5,110241103.0,806004.0,73271.0,53563.0,-1.32733,2.14768,-3.0,3.0,0.7517,0.0055,0.2519,-20.31605,1.068994,720,30.9
33,78412849.5,190951917.5,827002.0,89620.0,65047.0,-1.8533,2.06487,-3.0,3.0,0.7067,0.0031,0.2282,-20.86931,1.083293,720,34.8
34,70287406.5,197606259.5,1558723.0,86043.0,65420.0,-1.75784,2.23865,-3.0,3.0,0.7334,0.0058,0.2044,-21.1294,1.103173,720,35.4
35,62113677.0,161907957.0,4451.0,75814.0,54771.0,-0.20162,0.82817,-3.0,3.0,0.7227,0.0,0.1807,-22.02387,1.064449,720,30.4
36,69300213.5,188912635.5,644831.0,86010.0,64047.0,-1.60654,1.85719,-3.0,3.0,0.7298,0.0025,0.1569,-22.89375,1.210689,720,34.8
37,75065997.5,206378944.5,264464.5,90566.0,68167.0,-1.10836,1.49628,-3.0,3.0,0.7326,0.0009,0.1332,-23.19936,1.116426,720,35.4
38,63012448.5,193798300.0,402912.0,84815.0,65175.0,-1.44975,1.76692,-3.0,3.0,0.7535,0.0016,0.1094,-25.5388,1.296887,720,34.8
39,76494207.0,213135298.5,453704.5,91017.0,68570.0,-1.63477,1.71113,-3.0,3.0,0.7347,0.0016,0.0857,-27.29571,1.275748,720,35.5
40,57728317.0,142861121.5,1064288.0,79547.0,57743.0,-1.67752,2.11411,-3.0,3.0,0.7084,0.0053,0.0619,-27.98954,1.280351,720,29.5
41,61834450.0,154893326.5,253772.0,75298.0,52877.0,-1.08276,1.37228,-3.0,3.0,0.7139,0.0012,0.05,-28.15113,1.31047,720,32.2
42,74405518.0,189205599.0,700584.0,89416.0,64151.0,-1.2691,1.87955,-3.0,3.0,0.7158,0.0027,0.05,-29.97949,1.415707,720,36.2
43,22462035.0,39378605.5,143421.5,59436.0,35754.0,-0.5869,1.30591,-3.0,3.0,0.6353,0.0023,0.05,-26.55693,1.342691,720,25.7
44,66773313.0,185545999.5,495358.5,86419.0,64808.0,-1.58522,1.83327,-3.0,3.0,0.7339,0.002,0.05,-27.74566,1.357177,720,34.8
45,57675511.0,162985693.0,5172.5,73834.0,54673.0,-0.1844,0.88359,-3.0,3.0,0.7386,0.0,0.05,-28.26969,1.364865,720,30.2
46,58339178.0,160664448.5,294062.5,75241.0,54561.0,-1.18349,1.42998,-3.0,3.0,0.7326,0.0013,0.05,-28.71407,1.411615,720,30.8
47,58841144.5,158525454.5,269730.5,75871.0,54244.0,-1.14402,1.43296,-3.0,3.0,0.7284,0.0012,0.05,-27.06354,1.285123,720,32.5
48,67302873.0,173684223.0,1884145.5,83927.0,62659.0,-1.90735,2.11003,-3.0,3.0,0.7151,0.0078,0.05,-25.90186,1.247367,720,38.2
49,53448015.0,155594423.0,387325.5,74014.0,53630.0,-1.02261,1.35752,-3.0,3.0,0.7429,0.0018,0.05,-25.89058,1.252327,720,31.9
50,75694259.0,175580366.5,1639084.0,87208.0,62102.0,-1.62087,2.19549,-3.0,3.0,0.6942,0.0065,0.05,-27.29593,1.356625,720,38.4
51,71767698.5,174989178.5,1051892.5,84734.0,61492.0,-1.82575,2.065,-3.0,3.0,0.7061,0.0042,0.05,-27.9813,1.276708,720,37.4
52,71582828.5,182875621.5,851482.0,86263.0,62401.0,-1.6583,2.04147,-3.0,3.0,0.7163,0.0033,0.05,-29.45101,1.327591,720,35.2
53,74754658.0,182308681.0,2079738.5,88467.0,63790.0,-1.52131,2.26605,-3.0,3.0,0.7035,0.008,0.05,-31.41014,1.380282,720,36.8
54,70889335.0,183499072.0,521783.0,88116.0,64145.0,-1.69475,1.74868,-3.0,3.0,0.7199,0.002,0.05,-30.32452,1.290998,720,35.9
55,54801974.5,157970402.5,1740.5,75867.0,54482.0,-0.16956,0.4572,-3.0,3.0,0.7424,0.0,0.05,-28.42495,1.275032,720,30.4
56,44201007.5,117179074.5,679391.5,78010.0,54546.0,-1.31659,1.8766,-3.0,3.0,0.7231,0.0042,0.05,-28.62667,1.327406,720,31.8
57,41181037.5,116342932.0,210053.5,68935.0,48471.0,-0.85462,1.2776,-3.0,3.0,0.7376,0.0013,0.05,-26.64539,1.171055,720,29.9
58,25652576.0,78343049.0,144868.0,62392.0,41607.0,-0.60355,1.24542,-3.0,3.0,0.7523,0.0014,0.05,-27.81887,1.231546,720,25.4
59,75314012.0,191900853.5,1215970.0,86676.0,64019.0,-1.76936,2.15184,-3.0,3.0,0.7149,0.0045,0.05,-27.5355,1.317161,720,35.9
60,59884476.5,168093229.5,282497.0,77865.0,57152.0,-1.08789,1.23729,-3.0,3.0,0.7364,0.0012,0.05,-28.19929,1.283258,720,32.1
61,30017785.5,73593135.5,166247.5,61436.0,39836.0,-0.63883,1.27282,-3.0,3.0,0.7091,0.0016,0.05,-28.9307,1.296765,720,25.8
