5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.0035373187)}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': np.float32(-0.020162717)}, {'J01': 3}, {'J01': 5}, 
25.0, {'J01': np.float32(-0.39216873)}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': np.float32(-0.44196218)}, {'J01': 4}, {'J01': 10}, 
35.0, {'J01': np.float32(0.7513577)}, {'J01': 3}, {'J01': 11}, 
40.0, {'J01': np.float32(-0.03042094)}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': np.float32(-0.09267775)}, {'J01': 5}, {'J01': 16}, 
50.0, {'J01': np.float32(-0.12203749)}, {'J01': 6}, {'J01': 22}, 
55.0, {'J01': np.float32(-0.15458083)}, {'J01': 6}, {'J01': 26}, 
60.0, {'J01': np.float32(-0.17545101)}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': np.float32(-0.19773611)}, {'J01': 8}, {'J01': 32}, 
70.0, {'J01': np.float32(-0.31103584)}, {'J01': 8}, {'J01': 32}, 
75.0, {'J01': np.float32(-0.558069)}, {'J01': 8}, {'J01': 32}, 
80.0, {'J01': np.float32(-0.558069)}, {'J01': 8}, {'J01': 34}, 
85.0, {'J01': np.float32(0.93301034)}, {'J01': 7}, {'J01': 29}, 
90.0, {'J01': np.float32(-0.97683597)}, {'J01': 7}, {'J01': 23}, 
95.0, {'J01': np.float32(0.74411756)}, {'J01': 6}, {'J01': 24}, 
100.0, {'J01': np.float32(0.14039437)}, {'J01': 6}, {'J01': 28}, 
105.0, {'J01': np.float32(-0.86261773)}, {'J01': 7}, {'J01': 33}, 
110.0, {'J01': np.float32(0.2797875)}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': np.float32(-1.2009137)}, {'J01': 8}, {'J01': 33}, 
120.0, {'J01': np.float32(-1.3040379)}, {'J01': 8}, {'J01': 34}, 
125.0, {'J01': np.float32(-1.8246341)}, {'J01': 8}, {'J01': 37}, 
130.0, {'J01': np.float32(-2.3578818)}, {'J01': 8}, {'J01': 36}, 
135.0, {'J01': np.float32(-2.6754959)}, {'J01': 8}, {'J01': 37}, 
140.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 37}, 
145.0, {'J01': np.float32(-0.61438066)}, {'J01': 8}, {'J01': 35}, 
150.0, {'J01': np.float32(-0.5620967)}, {'J01': 6}, {'J01': 26}, 
155.0, {'J01': np.float32(2.0698159)}, {'J01': 5}, {'J01': 24}, 
160.0, {'J01': np.float32(-0.2642605)}, {'J01': 5}, {'J01': 28}, 
165.0, {'J01': np.float32(0.069813475)}, {'J01': 6}, {'J01': 34}, 
170.0, {'J01': np.float32(-0.21887729)}, {'J01': 8}, {'J01': 40}, 
175.0, {'J01': np.float32(-0.23346303)}, {'J01': 8}, {'J01': 43}, 
180.0, {'J01': np.float32(-0.54993314)}, {'J01': 8}, {'J01': 43}, 
185.0, {'J01': np.float32(-0.043757234)}, {'J01': 9}, {'J01': 43}, 
190.0, {'J01': np.float32(-0.6472778)}, {'J01': 9}, {'J01': 37}, 
195.0, {'J01': np.float32(0.74103945)}, {'J01': 9}, {'J01': 37}, 
200.0, {'J01': np.float32(-0.76804304)}, {'J01': 9}, {'J01': 41}, 
205.0, {'J01': np.float32(0.47906685)}, {'J01': 10}, {'J01': 44}, 
210.0, {'J01': np.float32(-0.044969507)}, {'J01': 9}, {'J01': 39}, 
215.0, {'J01': np.float32(0.27001733)}, {'J01': 5}, {'J01': 30}, 
220.0, {'J01': np.float32(-0.32184443)}, {'J01': 4}, {'J01': 20}, 
225.0, {'J01': np.float32(1.2906417)}, {'J01': 4}, {'J01': 21}, 
230.0, {'J01': np.float32(-0.13901663)}, {'J01': 4}, {'J01': 28}, 
235.0, {'J01': np.float32(-0.27391678)}, {'J01': 6}, {'J01': 33}, 
240.0, {'J01': np.float32(-0.9024839)}, {'J01': 8}, {'J01': 36}, 
245.0, {'J01': np.float32(-1.2666706)}, {'J01': 7}, {'J01': 30}, 
250.0, {'J01': np.float32(2.1565485)}, {'J01': 7}, {'J01': 33}, 
255.0, {'J01': np.float32(-0.42656347)}, {'J01': 7}, {'J01': 36}, 
260.0, {'J01': np.float32(-0.3252079)}, {'J01': 7}, {'J01': 36}, 
265.0, {'J01': np.float32(-1.2200979)}, {'J01': 8}, {'J01': 38}, 
270.0, {'J01': np.float32(1.32822)}, {'J01': 7}, {'J01': 36}, 
275.0, {'J01': np.float32(0.014360311)}, {'J01': 7}, {'J01': 40}, 
280.0, {'J01': np.float32(-0.14184648)}, {'J01': 7}, {'J01': 35}, 
285.0, {'J01': np.float32(0.07605235)}, {'J01': 6}, {'J01': 32}, 
290.0, {'J01': np.float32(0.3910536)}, {'J01': 6}, {'J01': 28}, 
295.0, {'J01': np.float32(-0.7816359)}, {'J01': 6}, {'J01': 30}, 
300.0, {'J01': np.float32(1.3845689)}, {'J01': 6}, {'J01': 38}, 
305.0, {'J01': np.float32(-0.1944698)}, {'J01': 8}, {'J01': 43}, 
310.0, {'J01': np.float32(-1.9098008)}, {'J01': 8}, {'J01': 45}, 
315.0, {'J01': np.float32(1.4286426)}, {'J01': 8}, {'J01': 47}, 
320.0, {'J01': np.float32(-0.10568309)}, {'J01': 8}, {'J01': 47}, 
325.0, {'J01': np.float32(-0.5353474)}, {'J01': 8}, {'J01': 48}, 
330.0, {'J01': np.float32(0.26713592)}, {'J01': 8}, {'J01': 48}, 
335.0, {'J01': np.float32(-0.2618671)}, {'J01': 8}, {'J01': 49}, 
340.0, {'J01': np.float32(-0.75016814)}, {'J01': 10}, {'J01': 52}, 
345.0, {'J01': np.float32(0.3181788)}, {'J01': 11}, {'J01': 52}, 
350.0, {'J01': np.float32(-0.23691761)}, {'J01': 11}, {'J01': 51}, 
355.0, {'J01': np.float32(-1.1694088)}, {'J01': 11}, {'J01': 54}, 
360.0, {'J01': np.float32(0.7913749)}, {'J01': 12}, {'J01': 54}, 
365.0, {'J01': np.float32(-0.22214362)}, {'J01': 13}, {'J01': 53}, 
370.0, {'J01': np.float32(-0.24053767)}, {'J01': 13}, {'J01': 54}, 
375.0, {'J01': np.float32(-0.24053767)}, {'J01': 13}, {'J01': 54}, 
380.0, {'J01': np.float32(-0.24053767)}, {'J01': 13}, {'J01': 54}, 
385.0, {'J01': np.float32(-0.24053767)}, {'J01': 13}, {'J01': 54}, 
390.0, {'J01': np.float32(-0.31111857)}, {'J01': 13}, {'J01': 54}, 
395.0, {'J01': np.float32(-0.59344214)}, {'J01': 14}, {'J01': 55}, 
400.0, {'J01': np.float32(0.18294773)}, {'J01': 14}, {'J01': 56}, 
405.0, {'J01': np.float32(-0.49110815)}, {'J01': 17}, {'J01': 61}, 
410.0, {'J01': np.float32(-0.38559052)}, {'J01': 17}, {'J01': 60}, 
415.0, {'J01': np.float32(-0.5517845)}, {'J01': 18}, {'J01': 62}, 
420.0, {'J01': np.float32(-0.45121917)}, {'J01': 19}, {'J01': 62}, 
425.0, {'J01': np.float32(-0.7003747)}, {'J01': 19}, {'J01': 64}, 
430.0, {'J01': np.float32(-0.48650962)}, {'J01': 19}, {'J01': 62}, 
435.0, {'J01': np.float32(-0.59450334)}, {'J01': 19}, {'J01': 66}, 
440.0, {'J01': np.float32(-0.59238094)}, {'J01': 20}, {'J01': 66}, 
445.0, {'J01': np.float32(-0.59414965)}, {'J01': 20}, {'J01': 67}, 
450.0, {'J01': np.float32(-0.59414965)}, {'J01': 22}, {'J01': 69}, 
455.0, {'J01': np.float32(-0.601578)}, {'J01': 23}, {'J01': 72}, 
460.0, {'J01': np.float32(-0.5994556)}, {'J01': 24}, {'J01': 72}, 
