episode,decision,signal_id,reward
1,50,J01,0.5515
1,100,J01,-2.15321
1,150,J01,-0.16166
1,200,J01,3.0
1,250,J01,-0.17793
1,300,J01,-1.94493
1,350,J01,-1.28608
1,400,J01,-1.68605
1,450,J01,0.26855
1,500,J01,0.122
1,550,J01,-0.81626
1,600,J01,3.0
1,650,J01,-0.14565
1,700,J01,-0.31944
2,50,J01,0.39785
2,100,J01,-2.98604
2,150,J01,1.14295
2,200,J01,-3.0
2,250,J01,-0.02164
2,300,J01,-3.0
2,350,J01,-1.92732
2,400,J01,-2.20965
2,450,J01,-3.0
2,500,J01,-2.3861
2,550,J01,3.0
2,600,J01,0.19011
2,650,J01,-2.88016
2,700,J01,-1.18622
3,50,J01,-0.59544
3,100,J01,-2.03319
3,150,J01,-2.80958
3,200,J01,-2.06848
3,250,J01,-3.0
3,300,J01,-0.62158
3,350,J01,-2.20965
3,400,J01,-3.0
3,450,J01,-0.19809
3,500,J01,-3.0
3,550,J01,-3.0
3,600,J01,-2.28023
3,650,J01,-3.0
3,700,J01,1.3194
4,50,J01,-1.63376
4,100,J01,0.39469
4,150,J01,3.0
4,200,J01,3.0
4,250,J01,3.0
4,300,J01,-2.5062
4,350,J01,-2.85911
4,400,J01,0.42291
4,450,J01,-0.6711
4,500,J01,-0.00058
4,550,J01,-2.22388
4,600,J01,-2.25917
4,650,J01,-2.43562
4,700,J01,2.99911
5,50,J01,0.09463
5,100,J01,3.0
5,150,J01,0.59237
5,200,J01,-1.63093
5,250,J01,-2.33674
5,300,J01,0.0983
5,350,J01,-3.0
5,400,J01,-2.26616
5,450,J01,-0.28989
5,500,J01,2.25102
5,550,J01,-3.0
5,600,J01,-1.45448
5,650,J01,-2.4779
5,700,J01,-1.41919
6,50,J01,0.11438
6,100,J01,-2.31552
6,150,J01,2.94276
6,200,J01,-3.0
6,250,J01,-1.96261
6,300,J01,-3.0
6,350,J01,1.10766
6,400,J01,-2.13906
6,450,J01,0.2254
6,500,J01,-1.60971
6,550,J01,-3.0
6,600,J01,-2.63313
6,650,J01,-2.13906
6,700,J01,-3.0
7,50,J01,-1.2759
7,100,J01,-3.0
7,150,J01,-3.0
7,200,J01,-1.44033
7,250,J01,-3.0
7,300,J01,-2.53433
7,350,J01,-3.0
7,400,J01,3.0
7,450,J01,-3.0
7,500,J01,-3.0
7,550,J01,-3.0
7,600,J01,3.0
7,650,J01,-1.51091
7,700,J01,-0.91097
8,50,J01,-0.55981
8,100,J01,-0.96068
8,150,J01,-2.16083
8,200,J01,-0.43851
8,250,J01,-0.89223
8,300,J01,0.19185
8,350,J01,-2.65215
8,400,J01,3.0
8,450,J01,-3.0
8,500,J01,-3.0
8,550,J01,-3.0
8,600,J01,-1.65199
8,650,J01,-2.46367
8,700,J01,-2.11077
9,50,J01,-1.43636
9,100,J01,-3.0
9,150,J01,-2.30031
9,200,J01,3.0
9,250,J01,-0.13406
9,300,J01,1.19182
9,350,J01,0.27484
9,400,J01,0.83293
9,450,J01,-0.53402
9,500,J01,-1.2568
9,550,J01,-0.92186
9,600,J01,-0.1628
9,650,J01,-0.45105
