episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2545563.5,4047356.5,44665.0,35737.0,17876.0,-0.53408,1.61315,-3.0,3.0,0.6098,0.0067,nan,0.91806,nan,720,20.4
2,2110745.5,1995621.0,49212.5,30962.0,12774.0,-0.46041,1.53725,-3.0,3.0,0.4802,0.0118,0.9644,2.50081,0.23908,720,19.2
3,2157117.5,4322410.0,28307.5,34089.0,16255.0,-0.34805,1.41943,-3.0,3.0,0.6642,0.0043,0.9407,2.71502,0.176334,720,19.5
4,2390366.0,10228899.5,21287.5,43869.0,25546.0,-0.2823,1.43951,-3.0,3.0,0.8092,0.0017,0.9169,2.91902,0.155738,720,21.8
5,1920029.0,1628772.5,26984.0,29961.0,11797.0,-0.32457,1.46013,-3.0,3.0,0.4555,0.0075,0.8932,3.0478,0.157084,720,19.1
6,2107349.0,2919025.5,23992.5,33295.0,15138.0,-0.31185,1.45472,-3.0,3.0,0.578,0.0048,0.8694,2.97749,0.151718,720,19.7
7,1964527.0,3454341.0,22711.0,33254.0,15389.0,-0.28534,1.43931,-3.0,3.0,0.6348,0.0042,0.8457,2.86082,0.146641,720,19.6
8,2105267.5,2895579.5,23661.5,32391.0,14462.0,-0.3042,1.45633,-3.0,3.0,0.5763,0.0047,0.8219,2.70838,0.145928,720,19.2
9,2097338.0,2592698.0,31159.5,32967.0,14322.0,-0.36825,1.4244,-3.0,3.0,0.5492,0.0066,0.7982,2.57165,0.149651,720,19.6
10,2209819.0,6570934.5,16756.0,41220.0,22511.0,-0.1812,1.35439,-3.0,3.0,0.7469,0.0019,0.7744,2.71537,0.150957,720,21.1
11,1978721.0,3800913.5,20769.0,35914.0,17471.0,-0.24816,1.44442,-3.0,3.0,0.6553,0.0036,0.7507,2.54356,0.141591,720,20.3
12,1860267.5,2985605.0,14875.0,33606.0,15194.0,-0.1329,1.2941,-3.0,3.0,0.6142,0.0031,0.7269,2.49201,0.133686,720,19.9
13,2166166.0,5745272.5,19170.5,37996.0,19405.0,-0.21661,1.39329,-3.0,3.0,0.7244,0.0024,0.7032,2.53385,0.127686,720,20.8
14,1802443.0,2179616.5,13969.0,30317.0,11779.0,-0.15449,1.26698,-3.0,3.0,0.5454,0.0035,0.6794,2.45225,0.120667,720,19.5
15,2022678.0,7657855.5,13999.5,41665.0,23134.0,-0.14637,1.35506,-3.0,3.0,0.7899,0.0014,0.6557,2.30119,0.119265,720,21.7
16,1678787.5,1654163.5,12687.0,29419.0,11093.0,-0.11784,1.24588,-3.0,3.0,0.4944,0.0038,0.6319,1.93918,0.103688,720,19.6
17,2003403.0,1163414.5,15656.0,28208.0,9235.0,-0.14525,1.29758,-3.0,3.0,0.3656,0.0049,0.6082,1.99511,0.104824,720,19.4
18,2061252.5,2055080.0,13764.0,31295.0,12161.0,-0.11913,1.31532,-3.0,3.0,0.4976,0.0033,0.5844,1.86538,0.098112,720,19.7
19,1807470.5,1955463.0,14658.5,30663.0,11946.0,-0.12816,1.33257,-3.0,3.0,0.5176,0.0039,0.5607,1.57507,0.090459,720,19.6
20,1893760.0,6725201.0,11031.5,42453.0,22758.0,-0.09944,1.2446,-3.0,3.0,0.7793,0.0013,0.5369,1.43307,0.087027,720,21.6
21,1894505.0,2155380.5,12172.0,31094.0,12025.0,-0.1104,1.30187,-3.0,3.0,0.5306,0.003,0.5132,1.41394,0.087129,720,19.6
22,1795403.0,2909914.0,12477.5,33342.0,14074.0,-0.09965,1.28672,-3.0,3.0,0.6168,0.0026,0.4894,1.3585,0.082218,720,20.0
23,2189551.5,4182226.5,11392.0,37207.0,17895.0,-0.09575,1.26095,-3.0,3.0,0.6552,0.0018,0.4657,1.37425,0.076291,720,21.3
24,2009895.0,854312.0,10125.5,27663.0,7841.0,-0.06173,1.16673,-3.0,3.0,0.2972,0.0035,0.4419,1.32107,0.077593,720,19.3
25,1943722.5,963015.0,9785.0,27410.0,8036.0,-0.05589,1.18821,-3.0,3.0,0.3302,0.0034,0.4182,1.01172,0.072786,720,19.6
26,2016502.5,5079128.5,9574.5,39373.0,19521.0,-0.04336,1.15098,-3.0,3.0,0.7148,0.0013,0.3944,1.02409,0.070614,720,21.4
27,1898959.0,428566.5,8952.0,24352.0,5700.0,-0.04992,1.09041,-3.0,3.0,0.1834,0.0038,0.3707,1.07999,0.068053,720,19.1
28,2015950.0,390909.0,8886.5,25922.0,5856.0,-0.05089,1.10929,-3.0,3.0,0.1618,0.0037,0.3469,1.209,0.068852,720,19.5
29,2211970.0,672424.0,8110.5,27543.0,7112.0,-0.04105,1.08094,-3.0,3.0,0.2325,0.0028,0.3232,1.10199,0.061548,720,19.5
30,2056157.5,651184.5,9328.0,26658.0,7267.0,-0.04686,1.14661,-3.0,3.0,0.2397,0.0034,0.2994,0.9751,0.059298,720,19.1
31,2036223.0,2931078.0,10745.0,32557.0,12910.0,-0.08744,1.18364,-3.0,3.0,0.5888,0.0022,0.2757,0.89547,0.061547,720,19.9
32,2074853.0,799543.5,8191.0,28031.0,8108.0,-0.01782,1.13466,-3.0,3.0,0.2774,0.0028,0.2519,0.78778,0.063492,720,19.5
33,2071152.0,1703563.0,7716.0,30728.0,10764.0,-0.02836,1.05731,-3.0,3.0,0.4504,0.002,0.2282,0.79962,0.057074,720,19.9
34,2051203.0,994488.0,8485.5,28123.0,8393.0,-0.02714,1.14214,-3.0,3.0,0.3256,0.0028,0.2044,0.68647,0.052147,720,19.4
35,1863761.5,865765.0,9127.0,27423.0,8088.0,-0.0338,1.16469,-3.0,3.0,0.3161,0.0033,0.1807,0.64383,0.054241,720,19.4
36,1801753.5,838977.5,9293.0,26763.0,7793.0,-0.0267,1.11635,-2.61027,3.0,0.3166,0.0035,0.1569,0.62741,0.050385,720,19.1
37,1773828.0,802646.0,9159.5,27976.0,8343.0,-0.02665,1.15202,-3.0,3.0,0.3104,0.0035,0.1332,0.61583,0.043598,720,19.5
38,1790001.5,815726.5,8850.5,27825.0,8127.0,-0.02852,1.15422,-2.8408,3.0,0.312,0.0034,0.1094,0.5083,0.042969,720,19.5
39,1997301.5,1612444.0,7911.0,28582.0,9721.0,-0.00956,1.10328,-2.47366,3.0,0.4457,0.0022,0.0857,0.52177,0.041294,720,19.9
40,2137196.5,367754.5,8145.0,25278.0,5449.0,-0.0118,1.05394,-2.11874,3.0,0.1463,0.0032,0.0619,0.37736,0.040097,720,18.9
41,2079922.0,1354404.0,8480.5,29585.0,9445.0,-0.02343,1.10361,-2.95553,3.0,0.3934,0.0025,0.05,0.38526,0.042895,720,19.6
42,1523967.5,320007.0,7740.5,23710.0,5048.0,-0.01096,1.06391,-2.67302,3.0,0.1728,0.0042,0.05,0.35262,0.041097,720,18.6
43,2302350.0,591402.5,7472.5,26178.0,6680.0,-0.00721,1.03363,-2.66143,3.0,0.2038,0.0026,0.05,0.39198,0.03891,720,19.0
44,1951756.0,360422.5,7777.5,24949.0,5196.0,-0.01254,1.01909,-2.19808,3.0,0.1554,0.0034,0.05,0.3821,0.038916,720,18.8
45,1917627.0,589013.5,8839.0,26215.0,6654.0,-0.01062,1.13269,-2.35116,3.0,0.2342,0.0035,0.05,0.27344,0.038214,720,19.5
46,3513042.0,1097616.0,7385.5,26829.0,7282.0,-0.01018,1.07061,-2.43594,3.0,0.2377,0.0016,0.05,0.18121,0.036464,720,18.8
47,2126130.0,1496234.5,7315.5,28964.0,9413.0,-0.00662,1.03131,-2.28368,3.0,0.4122,0.002,0.05,0.12897,0.036766,720,19.4
48,1846939.5,466338.0,7901.5,25387.0,5637.0,-0.0174,1.07681,-3.0,3.0,0.2009,0.0034,0.05,0.20379,0.036479,720,18.9
49,2217073.0,366942.0,7612.0,25421.0,5586.0,-0.01478,1.06624,-2.36496,3.0,0.1416,0.0029,0.05,0.20343,0.040309,720,19.0
50,2024742.5,1171842.5,8137.5,27843.0,8471.0,-0.02584,1.05938,-2.68965,3.0,0.3657,0.0025,0.05,0.2092,0.036966,720,19.3
51,1797268.0,401559.5,7801.0,24990.0,5594.0,-0.00972,1.04427,-2.35167,3.0,0.182,0.0035,0.05,0.25387,0.038341,720,19.3
52,2015752.5,823621.0,7244.0,26091.0,6832.0,-0.00882,0.99526,-3.0,3.0,0.2893,0.0025,0.05,0.24636,0.036978,720,19.2
53,2095301.0,1566444.5,7379.5,30622.0,10810.0,-0.01307,1.02817,-2.25715,3.0,0.4269,0.002,0.05,0.20863,0.038526,720,19.5
54,1913967.5,444258.0,8128.5,25591.0,5777.0,-0.01535,1.05488,-2.08257,3.0,0.1877,0.0034,0.05,0.39056,0.036821,720,18.8
55,1943832.5,290377.5,6980.0,24306.0,4745.0,-0.01109,0.99288,-3.0,3.0,0.1296,0.0031,0.05,0.34875,0.037803,720,18.8
56,1735316.0,499491.5,8468.0,26182.0,6490.0,-0.01007,1.07364,-2.60951,3.0,0.2227,0.0038,0.05,0.27204,0.036352,720,19.4
57,1847198.0,622020.0,10765.0,25923.0,6562.0,-0.04236,1.02563,-3.0,3.0,0.2508,0.0043,0.05,0.12555,0.035102,720,19.2
58,1946833.0,513850.5,6852.5,25150.0,5868.0,-0.01141,0.97684,-2.7591,3.0,0.2082,0.0028,0.05,0.16254,0.036,720,18.9
59,1920975.0,388040.0,6933.5,24649.0,5524.0,-0.00899,0.96043,-2.10546,3.0,0.1676,0.003,0.05,0.16154,0.035628,720,19.1
60,1720943.0,169759.5,7470.5,22405.0,3740.0,-0.00987,1.02652,-2.24126,3.0,0.0894,0.0039,0.05,0.15873,0.035161,720,18.6
61,1881624.0,343810.0,7962.5,24333.0,5047.0,-0.00714,1.04429,-2.18763,3.0,0.1539,0.0036,0.05,0.19639,0.032535,720,19.2
62,1933131.5,782810.0,7569.0,26868.0,7419.0,-0.01595,1.01859,-2.28759,3.0,0.2874,0.0028,0.05,0.22169,0.029568,720,19.5
63,1760256.5,796308.5,8052.5,26020.0,6930.0,-0.00754,1.06894,-2.37911,3.0,0.3105,0.0031,0.05,0.41032,0.030878,720,19.1
64,1987327.5,1060946.0,17204.5,28918.0,9166.0,-0.10447,1.19197,-3.0,3.0,0.3461,0.0056,0.05,0.34862,0.037661,720,19.8
65,1969341.5,288541.0,7005.5,24458.0,5166.0,-0.01444,0.98278,-3.0,3.0,0.1274,0.0031,0.05,0.4822,0.038318,720,18.9
66,2026978.0,1459776.0,7911.5,28699.0,9194.0,-0.01254,1.05721,-2.56416,3.0,0.4177,0.0023,0.05,0.56034,0.040343,720,19.8
67,1917328.0,666225.5,7361.5,25853.0,6787.0,-0.00968,1.03054,-2.31914,3.0,0.2571,0.0028,0.05,0.37633,0.03674,720,19.4
68,1690699.0,288342.5,8000.5,24140.0,4810.0,-0.01175,1.07164,-2.36142,3.0,0.1451,0.004,0.05,0.25516,0.032877,720,19.0
69,1553877.5,167775.5,7120.5,22783.0,4055.0,-0.00983,0.97894,-2.04387,3.0,0.097,0.0041,0.05,0.25485,0.035426,720,18.8
70,1618291.5,409793.5,6918.5,24618.0,5635.0,-0.00616,0.95178,-2.4588,3.0,0.2014,0.0034,0.05,0.18279,0.032691,720,19.2
71,1860591.5,530197.0,7096.0,25795.0,6332.0,-0.00965,0.99589,-2.16716,3.0,0.2211,0.003,0.05,0.11073,0.034013,720,205.0
72,1623493.0,413039.5,7609.5,23862.0,5044.0,-0.01446,1.03578,-3.0,3.0,0.2021,0.0037,0.05,0.12464,0.032507,720,18.8
73,2125343.0,496818.5,7947.5,24885.0,6029.0,-0.01774,1.09403,-2.79826,3.0,0.1889,0.003,0.05,0.16677,0.032493,720,19.3
74,1786036.0,903730.5,7778.5,27794.0,8387.0,-0.01279,1.01066,-2.45887,3.0,0.335,0.0029,0.05,0.18856,0.031597,720,19.8
75,1900116.5,1266106.5,7580.0,28673.0,8831.0,-0.01122,1.00883,-2.23803,3.0,0.3989,0.0024,0.05,0.2252,0.031721,720,19.8
76,1671619.0,1284296.0,7786.5,27083.0,8245.0,-0.012,1.01318,-2.23963,3.0,0.4333,0.0026,0.05,0.26649,0.031348,720,19.4
77,1797317.5,686596.5,7657.5,25933.0,7051.0,-0.01286,1.06602,-2.04073,3.0,0.2756,0.0031,0.05,0.19359,0.031961,720,19.2
78,1769091.0,603618.0,7459.0,26155.0,6551.0,-0.01308,1.03288,-2.57928,3.0,0.2536,0.0031,0.05,0.16878,0.027166,720,19.3
79,1643341.5,625847.5,7891.5,25367.0,6624.0,-0.01617,1.06055,-2.89042,3.0,0.2748,0.0035,0.05,0.22304,0.030087,720,19.2
80,1823257.5,598512.0,7148.5,26292.0,6994.0,-0.01292,1.0054,-2.76069,3.0,0.2464,0.0029,0.05,0.27874,0.02879,720,19.6
81,1661051.0,372828.0,7588.5,24907.0,5296.0,-0.01386,1.0065,-2.30526,3.0,0.1826,0.0037,0.05,0.34771,0.028635,720,19.3
82,1895627.5,1415628.5,6783.0,27725.0,8761.0,-0.0096,1.00097,-2.96419,3.0,0.4266,0.002,0.05,0.25598,0.030697,720,19.7
83,1948559.5,1175948.0,7259.5,27632.0,8103.0,-0.00864,0.96658,-1.87293,3.0,0.3755,0.0023,0.05,0.1393,0.03165,720,19.9
84,1859329.0,1883254.5,6981.5,29756.0,10446.0,-0.00558,1.00943,-2.05017,3.0,0.5023,0.0019,0.05,0.12436,0.030622,720,20.3
85,1814688.0,743202.5,6996.0,26109.0,6607.0,-0.0085,0.99387,-2.2023,3.0,0.2898,0.0027,0.05,0.15117,0.033671,720,19.5
86,1920700.0,426249.5,6452.0,25153.0,5878.0,-0.00803,0.97583,-2.06884,3.0,0.1811,0.0027,0.05,0.21071,0.03036,720,19.4
87,1760463.0,583056.0,7009.0,25351.0,6068.0,-0.00523,0.97805,-2.30012,3.0,0.2481,0.003,0.05,0.25759,0.031944,720,19.4
88,1939553.0,196337.0,7128.0,23450.0,4014.0,-0.0086,0.97138,-1.91259,3.0,0.0916,0.0033,0.05,0.14577,0.028265,720,19.1
89,1969797.0,245215.0,7442.0,23340.0,4408.0,-0.01409,1.01421,-2.27731,3.0,0.1103,0.0033,0.05,0.16146,0.028569,720,19.0
90,1544779.5,1292244.0,7449.0,26672.0,7743.0,-0.01269,0.99652,-2.29869,3.0,0.4543,0.0026,0.05,0.19544,0.029049,720,19.7
91,2091468.5,1839501.0,7729.5,29162.0,9174.0,-0.02114,1.0289,-2.85938,3.0,0.467,0.002,0.05,0.21346,0.031063,720,20.2
92,1705219.5,353809.5,7579.5,24523.0,5292.0,-0.01955,1.05192,-2.67169,3.0,0.1712,0.0037,0.05,0.20977,0.031271,720,19.2
