episode,decision,signal_id,reward
1,50,J01,1.99618
1,100,J01,-1.77166
1,150,J01,-0.35544
1,200,J01,-0.19183
1,250,J01,-3.0
1,300,J01,3.0
1,350,J01,3.0
1,400,J01,-2.20445
1,450,J01,-1.72561
1,500,J01,3.0
1,550,J01,-2.85646
1,600,J01,-1.02906
1,650,J01,-0.80219
1,700,J01,-1.70677
2,50,J01,-1.60971
2,100,J01,-0.44533
2,150,J01,-3.0
2,200,J01,-0.23205
2,250,J01,-0.49421
2,300,J01,2.45196
2,350,J01,0.33045
2,400,J01,0.96443
2,450,J01,-0.22587
2,500,J01,-0.15246
2,550,J01,0.46372
2,600,J01,-0.27468
2,650,J01,0.46933
2,700,J01,0.7381
3,50,J01,-0.88258
3,100,J01,-0.99774
3,150,J01,-0.93919
3,200,J01,0.17984
3,250,J01,-0.57603
3,300,J01,0.17895
3,350,J01,-1.13194
3,400,J01,-1.59237
3,450,J01,1.06236
3,500,J01,-3.0
3,550,J01,-1.36118
3,600,J01,-0.85484
3,650,J01,-1.45723
3,700,J01,-2.06557
4,50,J01,-0.68508
4,100,J01,0.90013
4,150,J01,-0.84498
4,200,J01,0.12279
4,250,J01,-0.52057
4,300,J01,-2.55556
4,350,J01,-2.44854
4,400,J01,-1.9237
4,450,J01,-1.74174
4,500,J01,-0.09374
4,550,J01,-0.29947
4,600,J01,0.07926
4,650,J01,-1.02658
4,700,J01,-1.2376
5,50,J01,1.17117
5,100,J01,-0.29936
5,150,J01,0.18052
5,200,J01,0.47278
5,250,J01,0.84479
5,300,J01,-1.27035
5,350,J01,-1.20799
5,400,J01,-2.58012
5,450,J01,-1.37737
5,500,J01,0.51733
5,550,J01,3.0
5,600,J01,1.30121
5,650,J01,-0.18819
5,700,J01,-1.56487
6,50,J01,-0.93372
6,100,J01,-2.26997
6,150,J01,-0.32617
6,200,J01,-0.60778
6,250,J01,0.24679
6,300,J01,-1.81925
6,350,J01,0.24953
6,400,J01,1.33858
6,450,J01,0.04584
6,500,J01,3.0
6,550,J01,-2.58036
6,600,J01,-0.34146
6,650,J01,1.02019
6,700,J01,-1.17837
7,50,J01,-1.50288
7,100,J01,-0.24718
7,150,J01,-0.76603
7,200,J01,-0.13708
7,250,J01,-1.46655
7,300,J01,0.18744
7,350,J01,-1.15085
7,400,J01,-2.36691
7,450,J01,-0.07853
7,500,J01,-0.11744
7,550,J01,3.0
7,600,J01,-2.02437
7,650,J01,-0.38553
7,700,J01,-0.1176
8,50,J01,3.0
8,100,J01,-1.69136
8,150,J01,-0.56569
8,200,J01,-0.16484
8,250,J01,-0.04343
8,300,J01,-0.69931
8,350,J01,-3.0
8,400,J01,-3.0
8,450,J01,3.0
8,500,J01,-0.19314
8,550,J01,3.0
8,600,J01,-0.50281
8,650,J01,-1.325
8,700,J01,-1.04639
9,50,J01,-0.20343
9,100,J01,-2.84487
9,150,J01,0.30003
9,200,J01,-0.03325
9,250,J01,-0.58647
9,300,J01,3.0
9,350,J01,-3.0
9,400,J01,-2.06578
9,450,J01,-1.27095
9,500,J01,-0.14008
9,550,J01,-1.22257
9,600,J01,1.86998
9,650,J01,-3.0
9,700,J01,-0.83729
10,50,J01,-1.83454
10,100,J01,-0.25539
10,150,J01,-1.55805
10,200,J01,-0.40975
10,250,J01,-0.91451
10,300,J01,1.1599
10,350,J01,-0.84314
10,400,J01,0.87467
10,450,J01,-0.17847
10,500,J01,-0.98509
10,550,J01,0.45385
10,600,J01,3.0
10,650,J01,-0.15812
10,700,J01,-1.77024
11,50,J01,-0.32956
11,100,J01,-0.2143
11,150,J01,-0.54871
11,200,J01,-0.26151
11,250,J01,-1.21754
11,300,J01,-0.05252
11,350,J01,-1.04887
11,400,J01,-0.3857
11,450,J01,-0.43595
11,500,J01,-0.10966
11,550,J01,-0.36738
11,600,J01,0.46269
11,650,J01,-0.61646
11,700,J01,-0.721
12,50,J01,0.53767
12,100,J01,-1.17014
12,150,J01,-1.18631
12,200,J01,-1.81829
12,250,J01,-0.54993
12,300,J01,-0.61806
12,350,J01,-0.711
12,400,J01,0.07395
12,450,J01,-0.0382
12,500,J01,-0.18759
12,550,J01,-0.41208
12,600,J01,-0.87979
12,650,J01,-0.55994
12,700,J01,-0.51506
13,50,J01,-0.23401
13,100,J01,-2.87698
13,150,J01,2.00525
13,200,J01,3.0
13,250,J01,-0.43894
13,300,J01,2.59737
13,350,J01,-0.42744
13,400,J01,-1.91777
13,450,J01,-1.62263
13,500,J01,-0.38994
13,550,J01,-1.6909
13,600,J01,-1.38286
13,650,J01,-0.83116
13,700,J01,-1.32845
14,50,J01,-1.23346
14,100,J01,0.84522
14,150,J01,-1.17863
14,200,J01,2.67184
14,250,J01,1.16034
14,300,J01,0.88033
14,350,J01,0.01921
14,400,J01,0.94995
14,450,J01,-0.71174
14,500,J01,-0.46681
14,550,J01,-3.0
14,600,J01,-1.53657
14,650,J01,-0.33226
14,700,J01,-0.88127
15,50,J01,1.39963
15,100,J01,-2.27573
15,150,J01,0.77132
15,200,J01,-0.05377
15,250,J01,-0.0757
15,300,J01,0.21468
15,350,J01,-1.20039
15,400,J01,1.5229
15,450,J01,0.45561
15,500,J01,1.08699
15,550,J01,-0.59097
15,600,J01,1.52964
15,650,J01,-0.19713
15,700,J01,-0.39048
16,50,J01,-0.09232
16,100,J01,-0.55882
16,150,J01,0.36984
16,200,J01,-0.79732
16,250,J01,-0.43108
16,300,J01,-1.20453
16,350,J01,0.61718
16,400,J01,-0.47565
16,450,J01,-0.75344
16,500,J01,2.25747
16,550,J01,-0.37203
16,600,J01,0.59422
16,650,J01,-0.67474
16,700,J01,1.64407
17,50,J01,0.86959
17,100,J01,-0.25629
17,150,J01,-0.1942
17,200,J01,-0.2287
17,250,J01,-0.43946
17,300,J01,0.18499
17,350,J01,0.87225
17,400,J01,0.27758
17,450,J01,-0.37578
17,500,J01,-0.9354
17,550,J01,-2.74909
17,600,J01,0.5155
17,650,J01,-1.06947
17,700,J01,-0.32333
18,50,J01,0.31056
18,100,J01,-0.26109
18,150,J01,0.07129
18,200,J01,-0.16409
18,250,J01,-0.33982
18,300,J01,-0.61096
18,350,J01,-0.324
18,400,J01,-1.01697
18,450,J01,-0.76859
18,500,J01,-0.3048
18,550,J01,-3.0
18,600,J01,-0.18881
18,650,J01,-0.11842
18,700,J01,-0.05572
19,50,J01,-0.73877
19,100,J01,-2.99975
19,150,J01,-0.12903
19,200,J01,-0.22975
19,250,J01,-0.14432
19,300,J01,0.91599
19,350,J01,0.31895
19,400,J01,2.4562
19,450,J01,-0.24042
19,500,J01,0.79896
19,550,J01,0.82682
19,600,J01,-1.45059
19,650,J01,-0.97944
19,700,J01,-1.88384
20,50,J01,-1.19569
20,100,J01,-1.45194
20,150,J01,-0.09033
20,200,J01,1.55786
20,250,J01,-0.11815
20,300,J01,-0.41726
20,350,J01,-0.69234
20,400,J01,-1.28596
20,450,J01,-0.63329
20,500,J01,-0.00884
20,550,J01,-1.89407
20,600,J01,3.0
20,650,J01,1.34079
20,700,J01,-0.91855
21,50,J01,0.64505
21,100,J01,-1.14821
21,150,J01,-0.3513
21,200,J01,2.13971
21,250,J01,0.2083
21,300,J01,-2.34311
21,350,J01,-0.21809
21,400,J01,-2.37401
21,450,J01,-0.09418
21,500,J01,-0.22591
21,550,J01,0.14037
21,600,J01,-0.14555
21,650,J01,2.56159
21,700,J01,-0.89701
22,50,J01,-1.45902
22,100,J01,3.0
22,150,J01,-0.25107
22,200,J01,-0.20163
22,250,J01,-0.03419
22,300,J01,-2.77429
22,350,J01,0.22398
22,400,J01,0.11501
22,450,J01,-0.26624
22,500,J01,-0.03997
22,550,J01,-0.89427
22,600,J01,1.13225
22,650,J01,-0.90239
22,700,J01,0.0809
23,50,J01,-0.32513
23,100,J01,-0.35544
23,150,J01,-1.24867
23,200,J01,-0.31487
23,250,J01,-0.14857
23,300,J01,-0.98855
23,350,J01,0.07501
23,400,J01,-1.20391
23,450,J01,-2.2713
23,500,J01,-0.8657
23,550,J01,2.29981
23,600,J01,-1.12184
23,650,J01,-1.52261
23,700,J01,-0.16616
24,50,J01,-0.56049
