episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2375471.5,5901991.5,36859.0,39573.0,21637.0,-0.97532,2.32071,-3.0,3.0,0.7099,0.0044,nan,-0.46857,nan,720,21.4
2,2698839.5,6896539.0,35088.0,40635.0,22428.0,-0.96713,2.25878,-3.0,3.0,0.7161,0.0036,0.9644,-0.59976,0.536832,720,20.6
3,2092894.5,1516597.0,23868.0,29882.0,11837.0,-0.82393,2.22768,-3.0,3.0,0.4174,0.0066,0.9407,-1.27945,0.499759,720,19.1
4,2377051.0,3270704.5,23877.0,34906.0,16526.0,-0.8734,2.17701,-3.0,3.0,0.5767,0.0042,0.9169,-1.87006,0.533933,720,19.9
5,2216134.0,3131887.0,31106.5,33822.0,15836.0,-0.96594,2.22384,-3.0,3.0,0.5822,0.0058,0.8932,-2.27381,0.50279,720,19.9
6,2473414.0,3448260.0,37932.5,35092.0,16718.0,-0.9439,2.28896,-3.0,3.0,0.5786,0.0064,0.8694,-2.55483,0.504342,720,20.3
7,2214061.5,8251205.0,26316.0,43751.0,25402.0,-0.89956,2.28263,-3.0,3.0,0.7865,0.0025,0.8457,-1.96452,0.509901,720,22.1
8,1920169.5,5157748.0,24069.5,38127.0,20138.0,-0.77831,2.21568,-3.0,3.0,0.7262,0.0034,0.8219,-1.48072,0.506321,720,20.9
9,2088362.5,3498059.0,20254.0,35402.0,16867.0,-0.80166,2.18249,-3.0,3.0,0.6239,0.0036,0.7982,-1.64416,0.536415,720,20.4
10,2353846.0,6757054.0,15630.0,40288.0,21879.0,-0.6674,2.21167,-3.0,3.0,0.7404,0.0017,0.7744,-1.98026,0.53404,720,20.9
11,2118676.0,1566513.0,22517.0,29510.0,11205.0,-0.87638,2.21409,-3.0,3.0,0.4225,0.0061,0.7507,-2.55083,0.526326,720,19.3
12,2098081.5,5530756.5,16340.5,38791.0,20398.0,-0.68479,2.19215,-3.0,3.0,0.7234,0.0021,0.7269,-2.85714,0.512758,720,20.9
13,2035706.0,3971794.5,14741.0,35692.0,16640.0,-0.61936,2.15962,-3.0,3.0,0.6595,0.0024,0.7032,-2.94208,0.513314,720,20.8
14,2031848.0,3967867.0,16166.5,35340.0,17384.0,-0.62533,2.174,-3.0,3.0,0.6596,0.0027,0.6794,-3.00346,0.516038,720,47.1
15,2028849.0,4833133.5,15264.5,37682.0,19130.0,-0.69489,2.16813,-3.0,3.0,0.7028,0.0022,0.6557,-3.4568,0.51845,720,60.9
16,1837687.5,2325930.0,15253.0,32186.0,13593.0,-0.63361,2.15888,-3.0,3.0,0.5566,0.0037,0.6319,-3.60606,0.516666,720,20.3
17,2053442.0,7102549.0,14061.5,42177.0,23409.0,-0.63257,2.29116,-3.0,3.0,0.7745,0.0015,0.6082,-3.10735,0.518413,720,21.6
18,1985961.0,4983654.0,11145.5,37487.0,19040.0,-0.54231,2.15713,-3.0,3.0,0.7139,0.0016,0.5844,-3.45026,0.524288,720,20.7
19,1919809.5,9066971.5,11465.0,43586.0,24571.0,-0.50274,2.17302,-3.0,3.0,0.8244,0.001,0.5607,-3.03496,0.521725,720,22.1
20,2100148.5,5877918.5,14996.5,40431.0,21499.0,-0.56157,2.1894,-3.0,3.0,0.7354,0.0019,0.5369,-3.58303,0.519665,720,21.3
21,2144095.0,7654136.5,11809.0,42910.0,23785.0,-0.54416,2.2116,-3.0,3.0,0.7802,0.0012,0.5132,-3.57385,0.539358,720,22.2
22,1998862.0,9873274.0,11528.5,44894.0,25885.0,-0.53154,2.26134,-3.0,3.0,0.8308,0.001,0.4894,-3.98884,0.554612,720,23.3
23,2403521.5,3407806.5,9478.5,35811.0,16278.0,-0.37966,2.1529,-3.0,3.0,0.5855,0.0016,0.4657,-4.48419,0.559507,720,21.0
24,2189304.0,3521871.0,11313.0,34728.0,15266.0,-0.48959,2.14794,-3.0,3.0,0.6154,0.002,0.4419,-4.45886,0.559426,720,20.1
25,2188030.0,9828675.0,9741.5,45551.0,25592.0,-0.41576,2.19483,-3.0,3.0,0.8173,0.0008,0.4182,-4.56658,0.5694,720,22.5
26,2575891.5,6098804.0,8995.5,40417.0,20247.0,-0.40067,2.12354,-3.0,3.0,0.7023,0.001,0.3944,-4.5374,0.54082,720,21.4
27,2050841.5,5700482.5,13516.0,40159.0,20556.0,-0.41801,2.13691,-3.0,3.0,0.7341,0.0017,0.3707,-4.78717,0.557011,720,21.5
28,2077108.5,8789401.5,9492.5,44266.0,24707.0,-0.37168,2.15732,-3.0,3.0,0.8081,0.0009,0.3469,-5.02399,0.554156,720,22.8
29,2015891.0,2140001.5,8102.0,32651.0,12910.0,-0.29734,2.06788,-3.0,3.0,0.5139,0.0019,0.3232,-4.62418,0.56002,720,20.4
30,2648015.5,3988406.0,6415.0,36801.0,16562.0,-0.27243,1.98308,-3.0,3.0,0.6004,0.001,0.2994,-4.28667,0.571237,720,20.8
31,2673264.0,4892333.5,8448.0,38919.0,19125.0,-0.3527,2.10598,-3.0,3.0,0.6459,0.0011,0.2757,-4.84232,0.536008,720,21.6
32,2393348.0,4346808.0,6945.5,36489.0,16861.0,-0.29139,2.00757,-3.0,3.0,0.6442,0.001,0.2519,-4.63626,0.560291,720,20.8
33,2298455.5,2169818.5,8073.5,32962.0,13241.0,-0.29043,2.02945,-3.0,3.0,0.4847,0.0018,0.2282,-4.58024,0.519618,720,20.1
34,2809333.0,2365142.0,6284.5,32744.0,12573.0,-0.19824,1.93183,-3.0,3.0,0.4565,0.0012,0.2044,-4.54952,0.539008,720,20.4
35,2311957.0,1594568.0,6284.0,30294.0,10544.0,-0.20463,2.02974,-3.0,3.0,0.4075,0.0016,0.1807,-4.58857,0.499978,720,20.1
36,2470246.5,3619172.5,6002.0,36377.0,16309.0,-0.19092,2.06729,-3.0,3.0,0.5938,0.001,0.1569,-4.69378,0.493792,720,20.9
37,2199396.0,3389561.5,6191.0,35777.0,16095.0,-0.16311,2.07536,-3.0,3.0,0.6058,0.0011,0.1332,-4.67133,0.485838,720,20.9
38,2789725.5,5666607.0,6563.0,40492.0,20111.0,-0.24267,2.04136,-3.0,3.0,0.6696,0.0008,0.1094,-4.30584,0.500911,720,21.7
39,2487779.0,1832397.0,5574.5,31221.0,11606.0,-0.14782,1.97643,-3.0,3.0,0.4236,0.0013,0.0857,-4.0532,0.471174,720,19.9
40,2605567.5,838608.5,5574.0,28125.0,7867.0,-0.14801,1.93656,-3.0,3.0,0.2431,0.0016,0.0619,-3.75511,0.466719,720,19.6
41,3111672.0,2700801.5,5173.5,34285.0,14255.0,-0.14485,1.95993,-3.0,3.0,0.4642,0.0009,0.05,-3.51962,0.437874,720,20.6
42,2559308.0,2280404.5,5587.5,32568.0,12442.0,-0.12822,2.01676,-3.0,3.0,0.4706,0.0012,0.05,-3.4392,0.417058,720,20.3
43,2913768.0,2032800.5,5593.5,32407.0,11726.0,-0.1408,1.91737,-3.0,3.0,0.4105,0.0011,0.05,-3.46833,0.416683,720,20.6
44,2637420.5,2531186.5,5549.0,32953.0,12638.0,-0.11038,2.01186,-3.0,3.0,0.4892,0.0011,0.05,-3.5917,0.421931,720,20.9
45,2038261.5,1567782.0,5368.0,30489.0,10613.0,-0.13709,1.95192,-3.0,3.0,0.4341,0.0015,0.05,-3.36983,0.419062,720,20.2
46,2439659.0,1986536.0,5133.5,30964.0,11524.0,-0.0793,1.91394,-3.0,3.0,0.4483,0.0012,0.05,-2.99523,0.383067,720,19.9
47,2330722.0,1641831.0,5564.0,30941.0,10886.0,-0.15144,1.88969,-3.0,3.0,0.4127,0.0014,0.05,-2.86132,0.387943,720,19.9
48,2987632.5,2564559.5,5214.5,32534.0,12623.0,-0.13268,1.92054,-3.0,3.0,0.4615,0.0009,0.05,-2.58923,0.377257,720,20.2
49,2647723.5,3128158.5,5904.5,36382.0,15465.0,-0.1667,2.01432,-3.0,3.0,0.541,0.001,0.05,-2.69396,0.394447,720,21.3
50,2181959.0,1458746.5,5523.0,29710.0,9585.0,-0.16313,1.90799,-3.0,3.0,0.4001,0.0015,0.05,-3.10635,0.420257,720,20.1
51,2065993.0,1231512.0,5445.5,29207.0,9811.0,-0.10682,1.94867,-3.0,3.0,0.3729,0.0016,0.05,-2.96605,0.398413,720,19.6
52,2272419.5,2214568.5,5548.0,33249.0,13029.0,-0.14646,1.95236,-3.0,3.0,0.4929,0.0012,0.05,-3.12773,0.383877,720,20.4
53,2056982.0,1977416.5,6326.5,32199.0,12319.0,-0.18564,2.05197,-3.0,3.0,0.4894,0.0016,0.05,-3.3379,0.404229,720,20.5
54,2283198.0,1477623.5,4941.5,30112.0,10315.0,-0.11052,1.93563,-3.0,3.0,0.3924,0.0013,0.05,-3.28683,0.39698,720,20.3
55,1942467.0,1789424.0,5616.0,31416.0,11946.0,-0.14077,1.9642,-3.0,3.0,0.4788,0.0015,0.05,-3.0558,0.385253,720,20.3
56,4978109.5,8182015.5,405075.0,42276.0,22085.0,-0.58792,2.19063,-3.0,3.0,0.6032,0.0299,0.05,-3.04096,0.391068,720,22.7
57,2407772.5,2597959.0,12365.5,34080.0,13822.0,-0.22565,2.02104,-3.0,3.0,0.5177,0.0025,0.05,-2.81528,0.42544,720,20.3
58,1912602.5,2137608.5,5446.0,32581.0,12691.0,-0.12744,1.96626,-3.0,3.0,0.5271,0.0013,0.05,-2.20015,0.461709,720,20.3
59,2393049.0,988337.0,5031.0,28964.0,8891.0,-0.09793,1.86639,-3.0,3.0,0.2919,0.0015,0.05,-2.52942,0.445396,720,19.8
60,2187709.0,2364787.0,5582.0,33420.0,13890.0,-0.1173,1.94978,-3.0,3.0,0.5188,0.0012,0.05,-2.7132,0.456708,720,20.5
61,2140196.5,1091489.5,5254.0,28621.0,9141.0,-0.08579,1.97755,-3.0,3.0,0.3372,0.0016,0.05,-3.15935,0.404655,720,19.8
62,2380647.5,1066838.5,5369.5,28618.0,8876.0,-0.1224,1.88534,-3.0,3.0,0.309,0.0016,0.05,-3.20684,0.420186,720,19.9
63,2785382.5,1167020.0,42507.5,27853.0,8636.0,-0.27213,1.88556,-3.0,3.0,0.2921,0.0106,0.05,-2.78755,0.393878,720,19.4
64,2412380.5,1509129.5,5504.5,29807.0,9902.0,-0.14747,1.83239,-3.0,3.0,0.3843,0.0014,0.05,-2.84998,0.414092,720,20.1
65,2579056.0,1381210.5,5258.0,29832.0,9702.0,-0.10927,1.90486,-3.0,3.0,0.3483,0.0013,0.05,-3.37619,0.417017,720,19.8
66,2265666.5,1436425.0,5686.0,30424.0,10635.0,-0.11277,1.99389,-3.0,3.0,0.3874,0.0015,0.05,-3.02818,0.417511,720,19.8
67,2330034.0,1909582.5,5678.0,31755.0,11405.0,-0.13716,1.96987,-3.0,3.0,0.4498,0.0013,0.05,-3.31853,0.401566,720,20.4
68,2064715.0,3345134.0,6071.0,35632.0,15790.0,-0.15322,2.06244,-3.0,3.0,0.6176,0.0011,0.05,-3.51698,0.423513,720,21.0
69,1950467.0,2645174.0,6288.0,34349.0,14244.0,-0.19548,2.0293,-3.0,3.0,0.5748,0.0014,0.05,-3.67224,0.400563,720,20.5
70,1794468.5,3879391.5,6644.0,36216.0,17079.0,-0.15326,2.0345,-3.0,3.0,0.6829,0.0012,0.05,-3.57384,0.41147,720,1345.9
71,1957165.5,2165416.0,5656.5,31829.0,12512.0,-0.10372,2.04023,-3.0,3.0,0.5245,0.0014,0.05,-3.08471,0.379212,720,20.2
72,2163026.5,2030148.5,6163.0,31242.0,11880.0,-0.16175,1.97028,-3.0,3.0,0.4834,0.0015,0.05,-3.2349,0.377848,720,20.0
73,2035162.0,1331839.5,6184.0,30205.0,10441.0,-0.15641,1.98229,-3.0,3.0,0.3948,0.0018,0.05,-3.48161,0.37911,720,20.2
74,2197660.5,2898478.5,6351.0,34325.0,14964.0,-0.12208,1.99545,-3.0,3.0,0.5681,0.0012,0.05,-3.12339,0.37826,720,21.2
75,1896922.5,2705319.5,7528.0,33921.0,14358.0,-0.22868,2.01193,-3.0,3.0,0.5869,0.0016,0.05,-3.11368,0.384134,720,20.7
76,1799904.0,1880364.5,6121.5,31176.0,11917.0,-0.113,2.00385,-3.0,3.0,0.5101,0.0017,0.05,-3.00284,0.382604,720,19.8
