episode,decision,signal_id,reward
1,50,J01,3.0
1,100,J01,-1.74024
1,150,J01,-3.0
1,200,J01,-0.71908
1,250,J01,3.0
1,300,J01,3.0
1,350,J01,-3.0
1,400,J01,-3.0
1,450,J01,-0.55045
1,500,J01,-0.27733
1,550,J01,-3.0
1,600,J01,-0.84899
1,650,J01,1.24372
1,700,J01,-3.0
2,50,J01,3.0
2,100,J01,-0.23687
2,150,J01,0.19163
2,200,J01,-3.0
2,250,J01,0.38647
2,300,J01,-0.54695
2,350,J01,3.0
2,400,J01,-3.0
2,450,J01,-3.0
2,500,J01,-2.23906
2,550,J01,-3.0
2,600,J01,-3.0
2,650,J01,-3.0
2,700,J01,3.0
3,50,J01,3.0
3,100,J01,-3.0
3,150,J01,2.97151
3,200,J01,3.0
3,250,J01,-1.97324
3,300,J01,3.0
3,350,J01,3.0
3,400,J01,-3.0
3,450,J01,2.45147
3,500,J01,-2.95893
3,550,J01,-3.0
3,600,J01,-3.0
3,650,J01,2.35377
3,700,J01,3.0
4,50,J01,-2.73108
4,100,J01,1.72926
4,150,J01,3.0
4,200,J01,1.38547
4,250,J01,-2.64401
4,300,J01,-3.0
4,350,J01,-2.81512
4,400,J01,1.47251
4,450,J01,0.96726
4,500,J01,-3.0
4,550,J01,-2.52631
4,600,J01,-1.51201
4,650,J01,-2.59843
4,700,J01,-1.25979
5,50,J01,-3.0
5,100,J01,-3.0
5,150,J01,-3.0
5,200,J01,3.0
5,250,J01,-2.0495
5,300,J01,3.0
5,350,J01,-3.0
5,400,J01,-0.61318
5,450,J01,-3.0
5,500,J01,-0.38769
5,550,J01,-1.20501
5,600,J01,-3.0
5,650,J01,-1.3761
5,700,J01,-2.33581
6,50,J01,2.76629
6,100,J01,-3.0
6,150,J01,-3.0
6,200,J01,-0.78165
6,250,J01,1.57131
6,300,J01,3.0
6,350,J01,-1.7879
6,400,J01,-3.0
6,450,J01,-3.0
6,500,J01,0.59968
6,550,J01,3.0
6,600,J01,-2.77247
6,650,J01,3.0
6,700,J01,-3.0
7,50,J01,2.6027
7,100,J01,-3.0
7,150,J01,-3.0
7,200,J01,-1.88242
7,250,J01,-2.14374
7,300,J01,0.94037
7,350,J01,3.0
7,400,J01,-3.0
7,450,J01,2.37666
7,500,J01,0.93713
7,550,J01,-3.0
7,600,J01,-1.88176
7,650,J01,-0.89783
7,700,J01,-2.95946
8,50,J01,2.67903
8,100,J01,-3.0
8,150,J01,-3.0
8,200,J01,-3.0
8,250,J01,-1.63235
8,300,J01,0.68777
8,350,J01,3.0
8,400,J01,-3.0
8,450,J01,0.47905
8,500,J01,-3.0
8,550,J01,-3.0
8,600,J01,3.0
8,650,J01,-2.90489
8,700,J01,-3.0
9,50,J01,3.0
9,100,J01,3.0
9,150,J01,-3.0
9,200,J01,-1.9704
9,250,J01,-2.08425
9,300,J01,3.0
9,350,J01,3.0
9,400,J01,-3.0
9,450,J01,-1.525
9,500,J01,0.62472
9,550,J01,-3.0
9,600,J01,-0.59139
9,650,J01,-2.19793
9,700,J01,-3.0
10,50,J01,-3.0
10,100,J01,2.42853
10,150,J01,-2.45993
10,200,J01,0.39971
10,250,J01,-0.79188
10,300,J01,0.62049
10,350,J01,-2.21211
10,400,J01,-2.03563
10,450,J01,-0.04476
10,500,J01,0.71635
10,550,J01,3.0
10,600,J01,-2.1457
10,650,J01,-0.58713
10,700,J01,-3.0
11,50,J01,3.0
11,100,J01,-2.77204
11,150,J01,0.50786
11,200,J01,-1.55306
11,250,J01,-0.55898
11,300,J01,1.94003
11,350,J01,-3.0
11,400,J01,-2.84569
11,450,J01,-1.28063
11,500,J01,-1.93639
11,550,J01,3.0
11,600,J01,-2.11881
11,650,J01,-0.50766
11,700,J01,-1.09883
12,50,J01,-2.9536
12,100,J01,-3.0
12,150,J01,-0.43496
12,200,J01,-2.49745
12,250,J01,-1.14771
12,300,J01,-3.0
12,350,J01,3.0
12,400,J01,-3.0
12,450,J01,-1.75393
12,500,J01,-0.12637
12,550,J01,-3.0
12,600,J01,-3.0
12,650,J01,-0.98831
12,700,J01,-3.0
13,50,J01,3.0
13,100,J01,0.01191
13,150,J01,2.89133
13,200,J01,-0.84912
13,250,J01,-3.0
13,300,J01,-2.68212
13,350,J01,-0.94085
13,400,J01,-3.0
13,450,J01,-0.4969
13,500,J01,-0.63334
13,550,J01,-1.15454
13,600,J01,1.11181
13,650,J01,-3.0
13,700,J01,-1.44249
14,50,J01,3.0
14,100,J01,-3.0
14,150,J01,-3.0
14,200,J01,-0.40778
14,250,J01,-0.65423
14,300,J01,-0.91227
14,350,J01,-3.0
14,400,J01,3.0
14,450,J01,3.0
14,500,J01,-2.40459
14,550,J01,0.62062
14,600,J01,3.0
14,650,J01,3.0
14,700,J01,-2.34997
15,50,J01,2.42019
15,100,J01,3.0
15,150,J01,-3.0
15,200,J01,-3.0
15,250,J01,-1.19025
15,300,J01,-3.0
15,350,J01,-3.0
15,400,J01,-3.0
15,450,J01,-2.60366
15,500,J01,-0.60696
15,550,J01,-0.19202
15,600,J01,-3.0
15,650,J01,-2.6164
15,700,J01,-0.3754
16,50,J01,2.13904
16,100,J01,-2.86003
16,150,J01,-0.96831
16,200,J01,-3.0
16,250,J01,-1.69182
16,300,J01,-3.0
16,350,J01,-2.09561
16,400,J01,1.10661
16,450,J01,-0.72001
16,500,J01,-2.4462
16,550,J01,-2.65438
16,600,J01,-0.58634
16,650,J01,-0.74572
16,700,J01,-1.44286
17,50,J01,-3.0
17,100,J01,-2.08369
17,150,J01,-3.0
17,200,J01,-1.92039
17,250,J01,-1.12653
17,300,J01,-3.0
17,350,J01,3.0
17,400,J01,3.0
17,450,J01,-3.0
17,500,J01,-3.0
17,550,J01,-0.71465
17,600,J01,-2.97931
17,650,J01,-0.57448
17,700,J01,3.0
18,50,J01,3.0
18,100,J01,-2.02726
18,150,J01,0.8081
18,200,J01,-0.21027
18,250,J01,-0.81148
18,300,J01,-3.0
18,350,J01,3.0
18,400,J01,-1.55156
18,450,J01,-1.71365
18,500,J01,3.0
18,550,J01,-0.20242
18,600,J01,-0.1316
18,650,J01,1.27928
18,700,J01,-3.0
19,50,J01,-0.54824
19,100,J01,3.0
19,150,J01,0.77667
19,200,J01,3.0
19,250,J01,-0.97065
19,300,J01,-1.24775
19,350,J01,-3.0
19,400,J01,3.0
19,450,J01,3.0
19,500,J01,-2.09805
19,550,J01,-3.0
19,600,J01,1.70672
19,650,J01,-1.26041
19,700,J01,-1.63902
20,50,J01,-0.23127
20,100,J01,-3.0
20,150,J01,-0.56851
20,200,J01,-0.66742
20,250,J01,-2.07618
20,300,J01,2.41441
20,350,J01,3.0
