episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2645393.5,5808095.5,30757.5,39320.0,21079.0,-0.93771,2.28471,-3.0,3.0,0.6846,0.0036,nan,1.77796,nan,720,26.7
2,2179988.0,4823950.0,33029.5,38819.0,20805.0,-1.03703,2.19646,-3.0,3.0,0.6855,0.0047,0.9644,1.30699,0.676898,720,25.8
3,2132460.5,3096869.0,44217.5,33220.0,15153.0,-1.11218,2.27453,-3.0,3.0,0.5872,0.0084,0.9407,-0.87999,0.606471,720,25.4
4,2546587.0,8524564.5,27481.0,43751.0,25499.0,-0.96231,2.28409,-3.0,3.0,0.7681,0.0025,0.9169,-1.32676,0.599653,720,27.9
5,1934685.0,6136118.5,20908.5,40072.0,21841.0,-0.78129,2.25171,-3.0,3.0,0.7583,0.0026,0.8932,-1.64851,0.595847,720,26.2
6,1972157.5,8223071.5,28861.0,42962.0,24928.0,-0.99077,2.27207,-3.0,3.0,0.8043,0.0028,0.8694,-1.34382,0.580888,720,27.4
7,2050239.5,2779943.5,19011.0,32759.0,14445.0,-0.74876,2.15127,-3.0,3.0,0.5733,0.0039,0.8457,-1.68149,0.56593,720,25.5
8,2188671.5,3178060.0,24230.0,34960.0,16466.0,-0.8321,2.17974,-3.0,3.0,0.5895,0.0045,0.8219,-1.59907,0.561716,720,26.8
9,2205045.5,6771378.5,19528.0,41617.0,23056.0,-0.7907,2.25764,-3.0,3.0,0.7527,0.0022,0.7982,-2.27243,0.558911,720,27.9
10,2219957.0,7196265.5,18361.5,41736.0,23195.0,-0.6545,2.24975,-3.0,3.0,0.7628,0.0019,0.7744,-3.05519,0.587368,720,28.4
11,1989668.0,4058081.5,20161.5,36395.0,17864.0,-0.74427,2.18353,-3.0,3.0,0.6688,0.0033,0.7507,-3.48286,0.640238,720,26.7
12,2058549.0,3735882.5,20677.5,34339.0,15579.0,-0.77085,2.14525,-3.0,3.0,0.6424,0.0036,0.7269,-2.74453,0.610545,720,27.3
13,2075405.0,2742611.5,14850.5,33537.0,14585.0,-0.64505,2.18512,-3.0,3.0,0.5675,0.0031,0.7032,-3.34423,0.616367,720,27.5
14,2111518.0,3562678.5,14167.0,35452.0,16775.0,-0.57831,2.17173,-3.0,3.0,0.6263,0.0025,0.6794,-3.50041,0.583335,720,28.0
15,1953176.0,1893307.0,14131.0,31125.0,12179.0,-0.60158,2.16556,-3.0,3.0,0.4904,0.0037,0.6557,-3.325,0.613238,720,26.6
16,2105311.5,3345867.0,15182.5,34626.0,15586.0,-0.59692,2.16303,-3.0,3.0,0.6121,0.0028,0.6319,-3.92099,0.573236,720,27.0
17,1816676.5,1393259.5,14487.5,28598.0,9829.0,-0.6509,2.15628,-3.0,3.0,0.4321,0.0045,0.6082,-3.9352,0.536694,720,25.3
18,2201459.5,3651675.0,12012.5,35504.0,16158.0,-0.47767,2.11765,-3.0,3.0,0.6226,0.002,0.5844,-4.16204,0.537716,720,27.2
19,2176453.5,9820265.0,12568.0,45808.0,26532.0,-0.57416,2.24629,-3.0,3.0,0.8177,0.001,0.5607,-4.14817,0.531985,720,28.6
20,2194792.0,6436035.5,13640.0,41192.0,21912.0,-0.4773,2.22509,-3.0,3.0,0.7445,0.0016,0.5369,-4.37942,0.532781,720,28.3
21,2099447.5,4920242.0,11663.0,38971.0,19385.0,-0.47461,2.13508,-3.0,3.0,0.6998,0.0017,0.5132,-4.31925,0.536327,720,27.4
22,2335183.5,4741272.5,11704.0,38902.0,19083.0,-0.52591,2.21771,-3.0,3.0,0.6689,0.0017,0.4894,-4.32014,0.527417,720,27.3
23,2047950.5,1368597.0,12654.0,29501.0,9759.0,-0.49834,2.07364,-3.0,3.0,0.3991,0.0037,0.4657,-4.99667,0.504399,720,26.4
24,2224571.5,1882385.5,9253.5,31400.0,11535.0,-0.38028,2.06053,-3.0,3.0,0.4573,0.0022,0.4419,-5.41674,0.508561,720,26.1
25,1948915.5,1866269.0,10349.0,30694.0,11557.0,-0.39658,2.10602,-3.0,3.0,0.4878,0.0027,0.4182,-5.85356,0.509402,720,43.7
26,2486288.5,4713172.0,10125.0,38949.0,18462.0,-0.3888,2.15232,-3.0,3.0,0.6537,0.0014,0.3944,-4.92829,0.541979,720,99.7
27,2324582.5,4273782.0,7320.5,37974.0,17723.0,-0.27761,2.07338,-3.0,3.0,0.647,0.0011,0.3707,-4.47197,0.50424,720,55.7
28,2148090.5,4267526.5,7585.0,37681.0,16954.0,-0.30875,2.08647,-3.0,3.0,0.6644,0.0012,0.3469,-4.63624,0.515942,720,27.7
29,2029069.0,9390532.5,8543.0,45176.0,25184.0,-0.41305,2.19148,-3.0,3.0,0.8217,0.0007,0.3232,-4.26309,0.533568,720,28.8
30,2302391.0,3687516.0,8708.5,36658.0,16185.0,-0.26834,2.09574,-3.0,3.0,0.6147,0.0015,0.2994,-4.404,0.512191,720,27.2
31,2467270.5,7871884.0,8609.5,43886.0,23086.0,-0.36097,2.17242,-3.0,3.0,0.7607,0.0008,0.2757,-4.3865,0.510589,720,28.5
32,2327770.5,3351315.0,7031.5,36754.0,16133.0,-0.27824,2.11724,-3.0,3.0,0.5894,0.0012,0.2519,-4.53889,0.5477,720,26.3
