episode,decision,signal_id,reward
1,50,J01,-3.0
1,100,J01,-0.78596
1,150,J01,3.0
1,200,J01,-3.0
1,250,J01,2.58082
1,300,J01,-3.0
1,350,J01,1.40985
1,400,J01,-3.0
1,450,J01,3.0
1,500,J01,-0.8612
1,550,J01,-1.04476
1,600,J01,-1.1538
1,650,J01,-3.0
1,700,J01,-2.64645
2,50,J01,-2.4531
2,100,J01,3.0
2,150,J01,-3.0
2,200,J01,-0.57783
2,250,J01,-0.83232
2,300,J01,3.0
2,350,J01,-3.0
2,400,J01,-3.0
2,450,J01,-3.0
2,500,J01,-3.0
2,550,J01,-3.0
2,600,J01,3.0
2,650,J01,-3.0
2,700,J01,-3.0
3,50,J01,-3.0
3,100,J01,-3.0
3,150,J01,-1.91365
3,200,J01,3.0
3,250,J01,3.0
3,300,J01,-3.0
3,350,J01,-1.83422
3,400,J01,-3.0
3,450,J01,-2.72141
3,500,J01,3.0
3,550,J01,-3.0
3,600,J01,-3.0
3,650,J01,-2.0896
3,700,J01,-3.0
4,50,J01,-3.0
4,100,J01,-3.0
4,150,J01,-3.0
4,200,J01,-0.63892
4,250,J01,-1.64579
4,300,J01,-3.0
4,350,J01,-3.0
4,400,J01,-3.0
4,450,J01,-3.0
4,500,J01,-3.0
4,550,J01,-3.0
4,600,J01,1.05355
4,650,J01,3.0
4,700,J01,-3.0
5,50,J01,-1.32502
5,100,J01,3.0
5,150,J01,-1.73449
5,200,J01,0.60854
5,250,J01,-2.06605
5,300,J01,-3.0
5,350,J01,-3.0
5,400,J01,-1.71049
5,450,J01,-0.54095
5,500,J01,3.0
5,550,J01,-3.0
5,600,J01,-3.0
5,650,J01,-0.84916
5,700,J01,-3.0
6,50,J01,-1.50403
6,100,J01,-3.0
6,150,J01,-0.87405
6,200,J01,-1.19578
6,250,J01,0.51398
6,300,J01,-2.9716
6,350,J01,-2.14132
6,400,J01,-1.21271
6,450,J01,-0.28078
6,500,J01,-3.0
6,550,J01,-0.95111
6,600,J01,-1.72032
6,650,J01,3.0
6,700,J01,1.57976
7,50,J01,-1.67005
7,100,J01,-3.0
7,150,J01,0.30906
7,200,J01,-1.46467
7,250,J01,-1.21861
7,300,J01,-2.26662
7,350,J01,-2.00617
7,400,J01,-1.29319
7,450,J01,3.0
7,500,J01,-3.0
7,550,J01,-3.0
7,600,J01,-3.0
7,650,J01,-0.60381
7,700,J01,3.0
8,50,J01,-1.57893
8,100,J01,2.17085
8,150,J01,-3.0
8,200,J01,-3.0
8,250,J01,0.21569
8,300,J01,-2.03554
8,350,J01,-0.57479
8,400,J01,-3.0
8,450,J01,3.0
8,500,J01,3.0
8,550,J01,-1.05714
8,600,J01,3.0
8,650,J01,-1.35471
8,700,J01,-3.0
9,50,J01,1.80284
9,100,J01,-3.0
9,150,J01,-0.99397
9,200,J01,3.0
9,250,J01,-1.30763
9,300,J01,-3.0
9,350,J01,-0.53879
9,400,J01,-1.86209
9,450,J01,-1.29253
9,500,J01,-0.00332
9,550,J01,3.0
9,600,J01,-3.0
9,650,J01,-3.0
9,700,J01,-3.0
10,50,J01,2.40492
10,100,J01,0.582
10,150,J01,-3.0
10,200,J01,-3.0
10,250,J01,3.0
10,300,J01,-3.0
10,350,J01,-3.0
10,400,J01,-1.00501
10,450,J01,-1.62973
10,500,J01,-0.80051
10,550,J01,3.0
10,600,J01,-0.89557
10,650,J01,-3.0
10,700,J01,-0.66595
11,50,J01,-0.67173
11,100,J01,-1.1237
11,150,J01,-3.0
11,200,J01,-3.0
11,250,J01,0.50597
11,300,J01,-1.90858
11,350,J01,-3.0
11,400,J01,-3.0
11,450,J01,-2.55562
11,500,J01,-0.0583
11,550,J01,-3.0
11,600,J01,0.22004
11,650,J01,-3.0
11,700,J01,-1.05507
12,50,J01,-2.11983
12,100,J01,3.0
12,150,J01,-3.0
12,200,J01,1.40417
12,250,J01,3.0
12,300,J01,-2.48693
12,350,J01,-2.6241
12,400,J01,-3.0
12,450,J01,-2.8876
12,500,J01,-0.46141
12,550,J01,3.0
12,600,J01,-2.18383
12,650,J01,0.11399
12,700,J01,-2.50259
13,50,J01,-2.59492
13,100,J01,3.0
13,150,J01,0.22619
13,200,J01,3.0
13,250,J01,-1.10041
13,300,J01,-3.0
13,350,J01,-3.0
13,400,J01,1.61281
13,450,J01,3.0
13,500,J01,0.96974
13,550,J01,-3.0
13,600,J01,-1.63592
13,650,J01,-3.0
13,700,J01,-2.88373
14,50,J01,0.42405
14,100,J01,3.0
14,150,J01,-3.0
14,200,J01,-3.0
14,250,J01,0.92962
14,300,J01,3.0
14,350,J01,-1.50092
14,400,J01,1.4627
14,450,J01,-3.0
14,500,J01,0.04503
14,550,J01,-3.0
14,600,J01,2.82247
14,650,J01,-0.48554
14,700,J01,2.8132
15,50,J01,-1.80622
15,100,J01,3.0
15,150,J01,-2.21053
15,200,J01,-3.0
15,250,J01,-0.52946
15,300,J01,-1.5484
15,350,J01,-3.0
15,400,J01,-2.38448
15,450,J01,-1.01772
15,500,J01,-1.14384
15,550,J01,3.0
15,600,J01,-0.0514
15,650,J01,-3.0
15,700,J01,-1.15653
16,50,J01,3.0
16,100,J01,-1.38637
16,150,J01,-2.62522
16,200,J01,-1.02517
16,250,J01,0.07619
16,300,J01,-0.68343
16,350,J01,1.22041
16,400,J01,0.26131
16,450,J01,-3.0
16,500,J01,-1.96838
16,550,J01,-3.0
16,600,J01,-3.0
16,650,J01,-0.36557
16,700,J01,-3.0
17,50,J01,3.0
17,100,J01,0.06764
17,150,J01,-0.54148
17,200,J01,-3.0
17,250,J01,-0.37959
17,300,J01,-3.0
17,350,J01,-3.0
17,400,J01,-2.16668
17,450,J01,3.0
17,500,J01,2.75936
17,550,J01,-3.0
17,600,J01,-3.0
17,650,J01,-3.0
17,700,J01,3.0
18,50,J01,-3.0
18,100,J01,3.0
18,150,J01,-0.95383
18,200,J01,3.0
18,250,J01,0.4937
18,300,J01,-3.0
18,350,J01,0.35022
18,400,J01,-3.0
18,450,J01,-1.11908
18,500,J01,1.89711
18,550,J01,3.0
18,600,J01,3.0
18,650,J01,-3.0
18,700,J01,0.08188
19,50,J01,0.39456
19,100,J01,-3.0
19,150,J01,1.82457
19,200,J01,3.0
19,250,J01,3.0
19,300,J01,-3.0
19,350,J01,-3.0
19,400,J01,1.44232
19,450,J01,-0.78981
19,500,J01,-0.55887
19,550,J01,1.85953
19,600,J01,-3.0
19,650,J01,-3.0
19,700,J01,-3.0
20,50,J01,-1.58623
20,100,J01,1.39631
20,150,J01,3.0
20,200,J01,-1.23552
20,250,J01,-0.05894
20,300,J01,-2.82228
20,350,J01,-3.0
20,400,J01,1.83938
20,450,J01,-3.0
20,500,J01,0.05
20,550,J01,-0.83743
20,600,J01,-3.0
20,650,J01,-3.0
20,700,J01,-0.06118
21,50,J01,-1.33532
21,100,J01,-3.0
21,150,J01,-2.88965
21,200,J01,-0.91919
21,250,J01,0.58335
21,300,J01,0.26488
21,350,J01,-0.83295
21,400,J01,-0.5112
21,450,J01,-0.82422
21,500,J01,0.52091
21,550,J01,-2.39633
21,600,J01,2.14839
21,650,J01,-1.052
21,700,J01,0.65153
22,50,J01,-3.0
22,100,J01,3.0
22,150,J01,-0.55219
22,200,J01,-1.03554
22,250,J01,-1.20138
22,300,J01,-2.74979
22,350,J01,-2.47532
22,400,J01,0.96309
22,450,J01,-0.79873
22,500,J01,3.0
22,550,J01,3.0
22,600,J01,-0.05258
22,650,J01,-0.24121
22,700,J01,-3.0
23,50,J01,-1.00899
23,100,J01,-3.0
23,150,J01,-2.03131
23,200,J01,-1.28733
23,250,J01,-0.72456
23,300,J01,3.0
23,350,J01,-3.0
23,400,J01,-3.0
23,450,J01,3.0
23,500,J01,-1.5679
23,550,J01,-3.0
23,600,J01,1.11921
23,650,J01,-1.4031
23,700,J01,-0.99239
24,50,J01,3.0
24,100,J01,3.0
24,150,J01,-1.50808
24,200,J01,-0.92874
24,250,J01,0.32542
24,300,J01,-0.77247
