5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -11.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -43.0}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -91.0}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -166.5}, {'J01': 2}, {'J01': 9}, 
40.0, {'J01': -249.5}, {'J01': 2}, {'J01': 10}, 
45.0, {'J01': -371.5}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': -554.5}, {'J01': 6}, {'J01': 22}, 
55.0, {'J01': -788.0}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -1055.5}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': -1376.0}, {'J01': 8}, {'J01': 36}, 
70.0, {'J01': -1737.5}, {'J01': 8}, {'J01': 37}, 
75.0, {'J01': -2107.5}, {'J01': 8}, {'J01': 37}, 
80.0, {'J01': -2487.5}, {'J01': 8}, {'J01': 39}, 
85.0, {'J01': -2882.5}, {'J01': 8}, {'J01': 40}, 
90.0, {'J01': -3282.5}, {'J01': 8}, {'J01': 40}, 
95.0, {'J01': -3684.5}, {'J01': 8}, {'J01': 42}, 
100.0, {'J01': -4112.5}, {'J01': 8}, {'J01': 44}, 
105.0, {'J01': -4556.0}, {'J01': 8}, {'J01': 45}, 
110.0, {'J01': -3780.0}, {'J01': 6}, {'J01': 37}, 
115.0, {'J01': -2648.0}, {'J01': 4}, {'J01': 24}, 
120.0, {'J01': -2308.0}, {'J01': 4}, {'J01': 20}, 
125.0, {'J01': -2105.5}, {'J01': 4}, {'J01': 19}, 
130.0, {'J01': -2299.0}, {'J01': 4}, {'J01': 20}, 
135.0, {'J01': -2501.5}, {'J01': 4}, {'J01': 21}, 
140.0, {'J01': -2720.5}, {'J01': 5}, {'J01': 24}, 
145.0, {'J01': -2964.5}, {'J01': 5}, {'J01': 25}, 
150.0, {'J01': -3219.0}, {'J01': 5}, {'J01': 26}, 
155.0, {'J01': -3486.5}, {'J01': 5}, {'J01': 28}, 
160.0, {'J01': -3766.5}, {'J01': 5}, {'J01': 28}, 
165.0, {'J01': -4059.0}, {'J01': 7}, {'J01': 31}, 
170.0, {'J01': -3129.5}, {'J01': 6}, {'J01': 26}, 
175.0, {'J01': -2871.0}, {'J01': 6}, {'J01': 24}, 
180.0, {'J01': -2935.5}, {'J01': 7}, {'J01': 25}, 
185.0, {'J01': -3140.5}, {'J01': 7}, {'J01': 24}, 
190.0, {'J01': -3328.0}, {'J01': 7}, {'J01': 23}, 
195.0, {'J01': -3558.0}, {'J01': 7}, {'J01': 23}, 
200.0, {'J01': -3788.0}, {'J01': 7}, {'J01': 23}, 
205.0, {'J01': -4021.5}, {'J01': 8}, {'J01': 24}, 
210.0, {'J01': -4268.0}, {'J01': 8}, {'J01': 26}, 
215.0, {'J01': -4515.5}, {'J01': 8}, {'J01': 25}, 
220.0, {'J01': -4744.0}, {'J01': 8}, {'J01': 25}, 
225.0, {'J01': -4994.0}, {'J01': 8}, {'J01': 25}, 
230.0, {'J01': -5244.0}, {'J01': 8}, {'J01': 25}, 
235.0, {'J01': -4824.0}, {'J01': 8}, {'J01': 22}, 
240.0, {'J01': -4911.5}, {'J01': 8}, {'J01': 22}, 
245.0, {'J01': -5141.5}, {'J01': 8}, {'J01': 25}, 
250.0, {'J01': -5370.0}, {'J01': 9}, {'J01': 26}, 
255.0, {'J01': -5605.0}, {'J01': 9}, {'J01': 25}, 
260.0, {'J01': -5835.5}, {'J01': 9}, {'J01': 25}, 
265.0, {'J01': -6094.5}, {'J01': 9}, {'J01': 29}, 
270.0, {'J01': -6388.5}, {'J01': 9}, {'J01': 31}, 
275.0, {'J01': -6705.5}, {'J01': 9}, {'J01': 34}, 
280.0, {'J01': -7049.5}, {'J01': 9}, {'J01': 36}, 
285.0, {'J01': -7414.5}, {'J01': 9}, {'J01': 39}, 
290.0, {'J01': -7809.0}, {'J01': 9}, {'J01': 41}, 
295.0, {'J01': -7990.5}, {'J01': 10}, {'J01': 41}, 
