5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -4.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -29.5}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -64.5}, {'J01': 4}, {'J01': 5}, 
30.0, {'J01': -120.0}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -210.0}, {'J01': 4}, {'J01': 12}, 
40.0, {'J01': -335.5}, {'J01': 4}, {'J01': 14}, 
45.0, {'J01': -462.5}, {'J01': 4}, {'J01': 18}, 
50.0, {'J01': -650.5}, {'J01': 4}, {'J01': 22}, 
55.0, {'J01': -880.5}, {'J01': 5}, {'J01': 25}, 
60.0, {'J01': -1109.5}, {'J01': 6}, {'J01': 27}, 
65.0, {'J01': -1000.5}, {'J01': 7}, {'J01': 25}, 
70.0, {'J01': -1067.0}, {'J01': 8}, {'J01': 24}, 
75.0, {'J01': -1316.0}, {'J01': 8}, {'J01': 27}, 
80.0, {'J01': -1582.0}, {'J01': 8}, {'J01': 29}, 
85.0, {'J01': -1856.0}, {'J01': 8}, {'J01': 31}, 
90.0, {'J01': -2173.0}, {'J01': 8}, {'J01': 33}, 
95.0, {'J01': -2428.0}, {'J01': 8}, {'J01': 31}, 
100.0, {'J01': -2717.5}, {'J01': 8}, {'J01': 33}, 
105.0, {'J01': -3000.0}, {'J01': 8}, {'J01': 31}, 
110.0, {'J01': -3269.5}, {'J01': 8}, {'J01': 32}, 
115.0, {'J01': -2606.0}, {'J01': 7}, {'J01': 28}, 
120.0, {'J01': -2065.5}, {'J01': 6}, {'J01': 25}, 
125.0, {'J01': -1484.0}, {'J01': 5}, {'J01': 18}, 
130.0, {'J01': -1275.0}, {'J01': 4}, {'J01': 17}, 
135.0, {'J01': -1470.5}, {'J01': 5}, {'J01': 26}, 
140.0, {'J01': -1710.0}, {'J01': 7}, {'J01': 33}, 
145.0, {'J01': -2063.0}, {'J01': 8}, {'J01': 40}, 
150.0, {'J01': -2244.5}, {'J01': 8}, {'J01': 41}, 
155.0, {'J01': -1782.0}, {'J01': 7}, {'J01': 31}, 
160.0, {'J01': -1517.0}, {'J01': 6}, {'J01': 26}, 
165.0, {'J01': -1695.0}, {'J01': 6}, {'J01': 33}, 
170.0, {'J01': -1856.5}, {'J01': 6}, {'J01': 35}, 
175.0, {'J01': -2148.0}, {'J01': 8}, {'J01': 42}, 
180.0, {'J01': -2575.5}, {'J01': 8}, {'J01': 44}, 
185.0, {'J01': -2933.0}, {'J01': 8}, {'J01': 42}, 
190.0, {'J01': -3076.0}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': -3085.5}, {'J01': 8}, {'J01': 39}, 
200.0, {'J01': -3428.0}, {'J01': 8}, {'J01': 40}, 
205.0, {'J01': -3632.5}, {'J01': 8}, {'J01': 38}, 
210.0, {'J01': -3822.0}, {'J01': 9}, {'J01': 38}, 
215.0, {'J01': -3995.5}, {'J01': 9}, {'J01': 37}, 
220.0, {'J01': -4367.0}, {'J01': 10}, {'J01': 39}, 
225.0, {'J01': -4714.5}, {'J01': 10}, {'J01': 37}, 
230.0, {'J01': -5064.0}, {'J01': 11}, {'J01': 39}, 
235.0, {'J01': -5465.5}, {'J01': 11}, {'J01': 43}, 
240.0, {'J01': -5864.0}, {'J01': 11}, {'J01': 42}, 
245.0, {'J01': -6243.5}, {'J01': 11}, {'J01': 43}, 
250.0, {'J01': -6660.0}, {'J01': 12}, {'J01': 43}, 
255.0, {'J01': -7077.0}, {'J01': 12}, {'J01': 44}, 
260.0, {'J01': -4728.0}, {'J01': 9}, {'J01': 37}, 
265.0, {'J01': -4586.0}, {'J01': 9}, {'J01': 36}, 
270.0, {'J01': -3346.5}, {'J01': 7}, {'J01': 28}, 
275.0, {'J01': -2535.5}, {'J01': 4}, {'J01': 22}, 
280.0, {'J01': -2722.5}, {'J01': 6}, {'J01': 28}, 
285.0, {'J01': -2918.5}, {'J01': 7}, {'J01': 35}, 
290.0, {'J01': -3163.0}, {'J01': 8}, {'J01': 37}, 
295.0, {'J01': -3538.0}, {'J01': 9}, {'J01': 39}, 
300.0, {'J01': -3376.0}, {'J01': 10}, {'J01': 35}, 
305.0, {'J01': -3738.0}, {'J01': 11}, {'J01': 40}, 
310.0, {'J01': -4105.0}, {'J01': 11}, {'J01': 42}, 
315.0, {'J01': -4513.5}, {'J01': 11}, {'J01': 45}, 
320.0, {'J01': -4819.5}, {'J01': 13}, {'J01': 50}, 
325.0, {'J01': -5270.0}, {'J01': 14}, {'J01': 50}, 
330.0, {'J01': -5774.5}, {'J01': 15}, {'J01': 52}, 
335.0, {'J01': -6123.5}, {'J01': 16}, {'J01': 48}, 
340.0, {'J01': -6529.0}, {'J01': 17}, {'J01': 48}, 
345.0, {'J01': -7011.0}, {'J01': 17}, {'J01': 49}, 
350.0, {'J01': -7507.0}, {'J01': 17}, {'J01': 51}, 
355.0, {'J01': -8020.5}, {'J01': 18}, {'J01': 53}, 
360.0, {'J01': -6430.0}, {'J01': 16}, {'J01': 45}, 
365.0, {'J01': -5079.0}, {'J01': 13}, {'J01': 40}, 
370.0, {'J01': -3865.0}, {'J01': 11}, {'J01': 33}, 
375.0, {'J01': -2172.5}, {'J01': 9}, {'J01': 21}, 
380.0, {'J01': -1685.5}, {'J01': 7}, {'J01': 18}, 
385.0, {'J01': -1882.5}, {'J01': 8}, {'J01': 27}, 
390.0, {'J01': -2117.0}, {'J01': 9}, {'J01': 33}, 
395.0, {'J01': -2314.5}, {'J01': 9}, {'J01': 36}, 
400.0, {'J01': -2496.5}, {'J01': 9}, {'J01': 34}, 
