5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -1.0}, {'J01': 1}, {'J01': 1}, 
20.0, {'J01': -6.0}, {'J01': 3}, {'J01': 6}, 
25.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -10.0}, {'J01': 4}, {'J01': 10}, 
45.0, {'J01': -11.0}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
60.0, {'J01': -15.0}, {'J01': 4}, {'J01': 15}, 
65.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
70.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
75.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
80.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
85.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
90.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
95.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
100.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
105.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
110.0, {'J01': -25.0}, {'J01': 4}, {'J01': 25}, 
115.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
120.0, {'J01': -23.0}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
130.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
135.0, {'J01': -25.0}, {'J01': 3}, {'J01': 25}, 
140.0, {'J01': -32.0}, {'J01': 5}, {'J01': 32}, 
145.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
150.0, {'J01': -45.0}, {'J01': 6}, {'J01': 45}, 
155.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
160.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
165.0, {'J01': -30.0}, {'J01': 5}, {'J01': 30}, 
170.0, {'J01': -29.0}, {'J01': 4}, {'J01': 29}, 
175.0, {'J01': -31.0}, {'J01': 4}, {'J01': 31}, 
180.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
185.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
190.0, {'J01': -43.0}, {'J01': 7}, {'J01': 43}, 
195.0, {'J01': -35.0}, {'J01': 6}, {'J01': 35}, 
200.0, {'J01': -33.0}, {'J01': 5}, {'J01': 33}, 
205.0, {'J01': -28.0}, {'J01': 4}, {'J01': 28}, 
210.0, {'J01': -23.0}, {'J01': 3}, {'J01': 23}, 
