5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -11.0}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
55.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
60.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
65.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
70.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
75.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
80.0, {'J01': -15.0}, {'J01': 4}, {'J01': 15}, 
85.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
90.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
95.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
100.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
105.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
110.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
115.0, {'J01': -22.0}, {'J01': 3}, {'J01': 22}, 
120.0, {'J01': -23.0}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -25.0}, {'J01': 6}, {'J01': 25}, 
130.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
135.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
140.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
145.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
150.0, {'J01': -27.0}, {'J01': 5}, {'J01': 27}, 
155.0, {'J01': -28.0}, {'J01': 4}, {'J01': 28}, 
160.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
165.0, {'J01': -24.0}, {'J01': 4}, {'J01': 24}, 
170.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
175.0, {'J01': -18.0}, {'J01': 3}, {'J01': 18}, 
180.0, {'J01': -30.0}, {'J01': 4}, {'J01': 30}, 
185.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
190.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
195.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
200.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
205.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
210.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
215.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
225.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
230.0, {'J01': -25.0}, {'J01': 6}, {'J01': 25}, 
235.0, {'J01': -20.0}, {'J01': 5}, {'J01': 20}, 
240.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
245.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
250.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
255.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
260.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
265.0, {'J01': -12.0}, {'J01': 4}, {'J01': 12}, 
270.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
275.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
280.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
285.0, {'J01': -12.0}, {'J01': 4}, {'J01': 12}, 
290.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
295.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
300.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
305.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
310.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
315.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
320.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
325.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
330.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
335.0, {'J01': -29.0}, {'J01': 5}, {'J01': 29}, 
340.0, {'J01': -31.0}, {'J01': 5}, {'J01': 31}, 
345.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
350.0, {'J01': -31.0}, {'J01': 5}, {'J01': 31}, 
355.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
360.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
365.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
370.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
375.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
380.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
385.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
390.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
395.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
400.0, {'J01': -28.0}, {'J01': 5}, {'J01': 28}, 
405.0, {'J01': -25.0}, {'J01': 6}, {'J01': 25}, 
410.0, {'J01': -27.0}, {'J01': 6}, {'J01': 27}, 
415.0, {'J01': -23.0}, {'J01': 5}, {'J01': 23}, 
420.0, {'J01': -23.0}, {'J01': 4}, {'J01': 23}, 
425.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
430.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
435.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
440.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
445.0, {'J01': -17.0}, {'J01': 5}, {'J01': 17}, 
450.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
455.0, {'J01': -18.0}, {'J01': 5}, {'J01': 18}, 
460.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
465.0, {'J01': -19.0}, {'J01': 6}, {'J01': 19}, 
470.0, {'J01': -23.0}, {'J01': 6}, {'J01': 23}, 
475.0, {'J01': -19.0}, {'J01': 6}, {'J01': 19}, 
480.0, {'J01': -23.0}, {'J01': 6}, {'J01': 23}, 
485.0, {'J01': -19.0}, {'J01': 6}, {'J01': 19}, 
490.0, {'J01': -22.0}, {'J01': 6}, {'J01': 22}, 
495.0, {'J01': -19.0}, {'J01': 6}, {'J01': 19}, 
500.0, {'J01': -22.0}, {'J01': 7}, {'J01': 22}, 
505.0, {'J01': -20.0}, {'J01': 7}, {'J01': 20}, 
510.0, {'J01': -22.0}, {'J01': 7}, {'J01': 22}, 
515.0, {'J01': -20.0}, {'J01': 7}, {'J01': 20}, 
520.0, {'J01': -24.0}, {'J01': 7}, {'J01': 24}, 
525.0, {'J01': -23.0}, {'J01': 7}, {'J01': 23}, 
530.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
535.0, {'J01': -25.0}, {'J01': 8}, {'J01': 25}, 
540.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
545.0, {'J01': -24.0}, {'J01': 8}, {'J01': 24}, 
550.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
555.0, {'J01': -24.0}, {'J01': 8}, {'J01': 24}, 
560.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
565.0, {'J01': -25.0}, {'J01': 8}, {'J01': 25}, 
570.0, {'J01': -25.0}, {'J01': 8}, {'J01': 25}, 
575.0, {'J01': -22.0}, {'J01': 8}, {'J01': 22}, 
580.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
585.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
590.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
595.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
600.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
605.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
610.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
615.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
620.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
625.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
630.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
635.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
640.0, {'J01': -22.0}, {'J01': 8}, {'J01': 22}, 
645.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
650.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
655.0, {'J01': -32.0}, {'J01': 8}, {'J01': 32}, 
660.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
665.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
670.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
675.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
680.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
685.0, {'J01': -32.0}, {'J01': 8}, {'J01': 32}, 
690.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
695.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
700.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
705.0, {'J01': -19.0}, {'J01': 8}, {'J01': 19}, 
710.0, {'J01': -18.0}, {'J01': 8}, {'J01': 18}, 
715.0, {'J01': -20.0}, {'J01': 8}, {'J01': 20}, 
720.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
725.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
730.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
735.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
740.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
745.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
750.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
755.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
760.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
765.0, {'J01': -32.0}, {'J01': 8}, {'J01': 32}, 
770.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
775.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
780.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
785.0, {'J01': -19.0}, {'J01': 8}, {'J01': 19}, 
790.0, {'J01': -18.0}, {'J01': 8}, {'J01': 18}, 
795.0, {'J01': -24.0}, {'J01': 8}, {'J01': 24}, 
800.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
805.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
810.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
815.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
820.0, {'J01': -25.0}, {'J01': 8}, {'J01': 25}, 
825.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
830.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
835.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
840.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
845.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
850.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
855.0, {'J01': -24.0}, {'J01': 8}, {'J01': 24}, 
860.0, {'J01': -19.0}, {'J01': 8}, {'J01': 19}, 
865.0, {'J01': -18.0}, {'J01': 8}, {'J01': 18}, 
870.0, {'J01': -23.0}, {'J01': 8}, {'J01': 23}, 
875.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
880.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
885.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
890.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
