5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': np.float32(-0.016651249)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.058279373)}, {'J01': 1}, {'J01': 5}, 
30.0, {'J01': np.float32(-0.015726179)}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': np.float32(-0.13562423)}, {'J01': 4}, {'J01': 12}, 
40.0, {'J01': np.float32(-0.15207234)}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': np.float32(-0.6980126)}, {'J01': 5}, {'J01': 16}, 
50.0, {'J01': np.float32(0.2596086)}, {'J01': 6}, {'J01': 17}, 
55.0, {'J01': np.float32(-0.6229703)}, {'J01': 7}, {'J01': 21}, 
60.0, {'J01': np.float32(0.45282525)}, {'J01': 6}, {'J01': 17}, 
65.0, {'J01': np.float32(-0.91025347)}, {'J01': 6}, {'J01': 20}, 
70.0, {'J01': np.float32(-1.8313019)}, {'J01': 7}, {'J01': 24}, 
75.0, {'J01': np.float32(-0.8073788)}, {'J01': 8}, {'J01': 27}, 
80.0, {'J01': np.float32(2.4080653)}, {'J01': 8}, {'J01': 23}, 
85.0, {'J01': np.float32(-1.4804773)}, {'J01': 8}, {'J01': 26}, 
90.0, {'J01': np.float32(0.22039963)}, {'J01': 8}, {'J01': 26}, 
95.0, {'J01': np.float32(-1.5524862)}, {'J01': 8}, {'J01': 30}, 
100.0, {'J01': np.float32(-1.9555384)}, {'J01': 8}, {'J01': 36}, 
105.0, {'J01': np.float32(-2.094056)}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': np.float32(-1.0161442)}, {'J01': 8}, {'J01': 31}, 
115.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 29}, 
120.0, {'J01': np.float32(0.45598632)}, {'J01': 7}, {'J01': 27}, 
125.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 39}, 
130.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 38}, 
135.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 41}, 
140.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 35}, 
145.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 26}, 
150.0, {'J01': np.float32(3.0)}, {'J01': 4}, {'J01': 25}, 
155.0, {'J01': np.float32(0.36415458)}, {'J01': 4}, {'J01': 25}, 
160.0, {'J01': np.float32(-0.68758583)}, {'J01': 6}, {'J01': 33}, 
165.0, {'J01': np.float32(-0.081596486)}, {'J01': 8}, {'J01': 40}, 
170.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 45}, 
175.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 45}, 
180.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 39}, 
185.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 30}, 
190.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 29}, 
195.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 30}, 
200.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 31}, 
205.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 37}, 
210.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 40}, 
215.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 38}, 
220.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 42}, 
225.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 44}, 
230.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 44}, 
235.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 38}, 
240.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 34}, 
245.0, {'J01': np.float32(-0.5923164)}, {'J01': 8}, {'J01': 35}, 
250.0, {'J01': np.float32(-0.9472022)}, {'J01': 8}, {'J01': 39}, 
255.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 40}, 
260.0, {'J01': np.float32(-2.3106852)}, {'J01': 7}, {'J01': 37}, 
265.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 31}, 
270.0, {'J01': np.float32(0.5150082)}, {'J01': 6}, {'J01': 34}, 
275.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 38}, 
280.0, {'J01': np.float32(-1.6012524)}, {'J01': 7}, {'J01': 31}, 
285.0, {'J01': np.float32(-2.7359998)}, {'J01': 5}, {'J01': 21}, 
290.0, {'J01': np.float32(-3.0)}, {'J01': 5}, {'J01': 19}, 
295.0, {'J01': np.float32(-3.0)}, {'J01': 5}, {'J01': 26}, 
300.0, {'J01': np.float32(-3.0)}, {'J01': 5}, {'J01': 19}, 
305.0, {'J01': np.float32(-3.0)}, {'J01': 5}, {'J01': 14}, 
310.0, {'J01': np.float32(3.0)}, {'J01': 5}, {'J01': 18}, 
315.0, {'J01': np.float32(-3.0)}, {'J01': 5}, {'J01': 17}, 
320.0, {'J01': np.float32(3.0)}, {'J01': 5}, {'J01': 24}, 
325.0, {'J01': np.float32(0.3953616)}, {'J01': 8}, {'J01': 33}, 
330.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
335.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 41}, 
340.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 37}, 
345.0, {'J01': np.float32(0.06780259)}, {'J01': 8}, {'J01': 37}, 
350.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 40}, 
355.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 33}, 
360.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 29}, 
365.0, {'J01': np.float32(-0.72785974)}, {'J01': 7}, {'J01': 33}, 
370.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 35}, 
375.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 37}, 
380.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 35}, 
385.0, {'J01': np.float32(-1.0236605)}, {'J01': 8}, {'J01': 36}, 
390.0, {'J01': np.float32(0.0268963)}, {'J01': 8}, {'J01': 36}, 
395.0, {'J01': np.float32(-2.1422276)}, {'J01': 8}, {'J01': 41}, 
400.0, {'J01': np.float32(0.7839009)}, {'J01': 8}, {'J01': 39}, 
405.0, {'J01': np.float32(-1.9387012)}, {'J01': 8}, {'J01': 36}, 
410.0, {'J01': np.float32(-1.9905449)}, {'J01': 10}, {'J01': 39}, 
415.0, {'J01': np.float32(2.328366)}, {'J01': 11}, {'J01': 40}, 
420.0, {'J01': np.float32(-2.1358316)}, {'J01': 11}, {'J01': 41}, 
425.0, {'J01': np.float32(-1.3162125)}, {'J01': 12}, {'J01': 42}, 
430.0, {'J01': np.float32(0.94624424)}, {'J01': 12}, {'J01': 46}, 
435.0, {'J01': np.float32(-1.3018311)}, {'J01': 12}, {'J01': 44}, 
440.0, {'J01': np.float32(0.0671185)}, {'J01': 12}, {'J01': 44}, 
445.0, {'J01': np.float32(0.25904006)}, {'J01': 13}, {'J01': 45}, 
450.0, {'J01': np.float32(-3.0)}, {'J01': 14}, {'J01': 48}, 
455.0, {'J01': np.float32(-3.0)}, {'J01': 14}, {'J01': 50}, 
460.0, {'J01': np.float32(0.111872986)}, {'J01': 13}, {'J01': 45}, 
465.0, {'J01': np.float32(-3.0)}, {'J01': 9}, {'J01': 31}, 
470.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 27}, 
475.0, {'J01': np.float32(-0.397346)}, {'J01': 7}, {'J01': 28}, 
480.0, {'J01': np.float32(0.39153007)}, {'J01': 9}, {'J01': 38}, 
485.0, {'J01': np.float32(-0.20919648)}, {'J01': 9}, {'J01': 41}, 
490.0, {'J01': np.float32(-2.4476092)}, {'J01': 10}, {'J01': 42}, 
495.0, {'J01': np.float32(-3.0)}, {'J01': 12}, {'J01': 40}, 
500.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 37}, 
505.0, {'J01': np.float32(0.02481323)}, {'J01': 16}, {'J01': 44}, 
510.0, {'J01': np.float32(-1.3973839)}, {'J01': 16}, {'J01': 49}, 
515.0, {'J01': np.float32(-3.0)}, {'J01': 16}, {'J01': 51}, 
520.0, {'J01': np.float32(2.817846)}, {'J01': 13}, {'J01': 43}, 
525.0, {'J01': np.float32(1.4590293)}, {'J01': 11}, {'J01': 29}, 
530.0, {'J01': np.float32(-0.23275504)}, {'J01': 8}, {'J01': 26}, 
535.0, {'J01': np.float32(-1.0104895)}, {'J01': 8}, {'J01': 23}, 
540.0, {'J01': np.float32(3.0)}, {'J01': 9}, {'J01': 27}, 
545.0, {'J01': np.float32(-0.08708326)}, {'J01': 10}, {'J01': 35}, 
550.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 40}, 
555.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 43}, 
560.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 45}, 
565.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 45}, 
570.0, {'J01': np.float32(0.035901573)}, {'J01': 7}, {'J01': 35}, 
575.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 27}, 
580.0, {'J01': np.float32(3.0)}, {'J01': 4}, {'J01': 24}, 
585.0, {'J01': np.float32(-2.161387)}, {'J01': 3}, {'J01': 28}, 
590.0, {'J01': np.float32(-1.7589397)}, {'J01': 6}, {'J01': 33}, 
595.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 38}, 
600.0, {'J01': np.float32(-1.3315325)}, {'J01': 8}, {'J01': 40}, 
605.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 41}, 
610.0, {'J01': np.float32(1.9689686)}, {'J01': 7}, {'J01': 34}, 
615.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 34}, 
620.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 31}, 
625.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 33}, 
630.0, {'J01': np.float32(-0.89647985)}, {'J01': 8}, {'J01': 39}, 
635.0, {'J01': np.float32(-1.6390828)}, {'J01': 9}, {'J01': 41}, 
640.0, {'J01': np.float32(1.3917317)}, {'J01': 9}, {'J01': 42}, 
645.0, {'J01': np.float32(-1.9425762)}, {'J01': 9}, {'J01': 43}, 
650.0, {'J01': np.float32(-3.0)}, {'J01': 9}, {'J01': 43}, 
655.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 34}, 
660.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 26}, 
665.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 21}, 
670.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 21}, 
675.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 22}, 
680.0, {'J01': np.float32(3.0)}, {'J01': 4}, {'J01': 27}, 
685.0, {'J01': np.float32(-0.039079)}, {'J01': 6}, {'J01': 33}, 
690.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 38}, 
695.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
700.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 39}, 
705.0, {'J01': np.float32(3.0)}, {'J01': 9}, {'J01': 42}, 
710.0, {'J01': np.float32(-2.5938144)}, {'J01': 9}, {'J01': 39}, 
715.0, {'J01': np.float32(0.027216837)}, {'J01': 10}, {'J01': 40}, 
720.0, {'J01': np.float32(-1.3848807)}, {'J01': 10}, {'J01': 42}, 
725.0, {'J01': np.float32(-1.2636966)}, {'J01': 10}, {'J01': 41}, 
730.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 33}, 
735.0, {'J01': np.float32(0.5776711)}, {'J01': 6}, {'J01': 30}, 
740.0, {'J01': np.float32(0.6424311)}, {'J01': 6}, {'J01': 31}, 
745.0, {'J01': np.float32(-0.78139013)}, {'J01': 7}, {'J01': 35}, 
