5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -8.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -41.5}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -88.5}, {'J01': 2}, {'J01': 7}, 
35.0, {'J01': -164.5}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -266.0}, {'J01': 4}, {'J01': 14}, 
45.0, {'J01': -413.5}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': -593.5}, {'J01': 6}, {'J01': 21}, 
55.0, {'J01': -817.0}, {'J01': 7}, {'J01': 26}, 
60.0, {'J01': -1090.5}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': -1404.5}, {'J01': 8}, {'J01': 34}, 
70.0, {'J01': -1754.0}, {'J01': 8}, {'J01': 37}, 
75.0, {'J01': -2127.5}, {'J01': 8}, {'J01': 38}, 
80.0, {'J01': -2515.5}, {'J01': 8}, {'J01': 40}, 
85.0, {'J01': -2920.5}, {'J01': 8}, {'J01': 41}, 
90.0, {'J01': -3330.5}, {'J01': 8}, {'J01': 41}, 
95.0, {'J01': -3743.0}, {'J01': 8}, {'J01': 43}, 
100.0, {'J01': -4181.5}, {'J01': 8}, {'J01': 45}, 
105.0, {'J01': -4633.5}, {'J01': 8}, {'J01': 47}, 
110.0, {'J01': -4048.5}, {'J01': 7}, {'J01': 39}, 
115.0, {'J01': -3767.0}, {'J01': 6}, {'J01': 34}, 
120.0, {'J01': -3302.5}, {'J01': 5}, {'J01': 28}, 
125.0, {'J01': -2433.0}, {'J01': 4}, {'J01': 20}, 
130.0, {'J01': -2065.0}, {'J01': 4}, {'J01': 17}, 
135.0, {'J01': -2238.0}, {'J01': 4}, {'J01': 20}, 
140.0, {'J01': -2443.5}, {'J01': 5}, {'J01': 22}, 
145.0, {'J01': -2663.5}, {'J01': 5}, {'J01': 22}, 
150.0, {'J01': -2888.0}, {'J01': 5}, {'J01': 23}, 
155.0, {'J01': -3118.0}, {'J01': 5}, {'J01': 23}, 
160.0, {'J01': -3348.0}, {'J01': 5}, {'J01': 23}, 
165.0, {'J01': -3583.0}, {'J01': 6}, {'J01': 24}, 
170.0, {'J01': -3823.0}, {'J01': 6}, {'J01': 24}, 
175.0, {'J01': -4063.0}, {'J01': 6}, {'J01': 24}, 
180.0, {'J01': -3132.5}, {'J01': 7}, {'J01': 22}, 
185.0, {'J01': -2806.0}, {'J01': 7}, {'J01': 21}, 
190.0, {'J01': -2991.0}, {'J01': 7}, {'J01': 22}, 
195.0, {'J01': -3215.5}, {'J01': 7}, {'J01': 23}, 
200.0, {'J01': -3445.5}, {'J01': 7}, {'J01': 23}, 
205.0, {'J01': -3680.5}, {'J01': 8}, {'J01': 24}, 
210.0, {'J01': -3920.5}, {'J01': 8}, {'J01': 24}, 
215.0, {'J01': -4161.5}, {'J01': 8}, {'J01': 25}, 
220.0, {'J01': -4414.0}, {'J01': 8}, {'J01': 27}, 
225.0, {'J01': -4665.5}, {'J01': 8}, {'J01': 27}, 
230.0, {'J01': -4901.5}, {'J01': 8}, {'J01': 25}, 
235.0, {'J01': -5151.5}, {'J01': 8}, {'J01': 25}, 
240.0, {'J01': -5401.5}, {'J01': 8}, {'J01': 25}, 
245.0, {'J01': -4927.0}, {'J01': 8}, {'J01': 23}, 
250.0, {'J01': -5029.5}, {'J01': 9}, {'J01': 25}, 
255.0, {'J01': -5237.0}, {'J01': 9}, {'J01': 23}, 
260.0, {'J01': -5470.0}, {'J01': 9}, {'J01': 24}, 
265.0, {'J01': -5710.0}, {'J01': 9}, {'J01': 24}, 
270.0, {'J01': -5951.5}, {'J01': 9}, {'J01': 26}, 
275.0, {'J01': -6213.0}, {'J01': 9}, {'J01': 27}, 
280.0, {'J01': -6494.0}, {'J01': 9}, {'J01': 30}, 
285.0, {'J01': -6797.0}, {'J01': 9}, {'J01': 31}, 
290.0, {'J01': -7116.0}, {'J01': 9}, {'J01': 34}, 
295.0, {'J01': -7430.0}, {'J01': 10}, {'J01': 37}, 
