5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -6.5}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -28.0}, {'J01': 1}, {'J01': 4}, 
25.0, {'J01': -61.5}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -123.5}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -207.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -297.0}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -394.5}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -512.0}, {'J01': 4}, {'J01': 14}, 
55.0, {'J01': -592.0}, {'J01': 4}, {'J01': 16}, 
60.0, {'J01': -706.0}, {'J01': 4}, {'J01': 14}, 
65.0, {'J01': -593.5}, {'J01': 3}, {'J01': 13}, 
70.0, {'J01': -719.5}, {'J01': 3}, {'J01': 21}, 
75.0, {'J01': -799.5}, {'J01': 5}, {'J01': 24}, 
80.0, {'J01': -910.5}, {'J01': 7}, {'J01': 27}, 
85.0, {'J01': -1198.5}, {'J01': 7}, {'J01': 33}, 
90.0, {'J01': -1263.0}, {'J01': 6}, {'J01': 29}, 
95.0, {'J01': -1185.0}, {'J01': 4}, {'J01': 22}, 
100.0, {'J01': -1155.0}, {'J01': 4}, {'J01': 20}, 
105.0, {'J01': -1364.5}, {'J01': 4}, {'J01': 26}, 
110.0, {'J01': -1653.5}, {'J01': 7}, {'J01': 37}, 
115.0, {'J01': -2016.0}, {'J01': 7}, {'J01': 38}, 
120.0, {'J01': -2114.5}, {'J01': 6}, {'J01': 35}, 
125.0, {'J01': -1912.5}, {'J01': 5}, {'J01': 26}, 
130.0, {'J01': -1875.0}, {'J01': 5}, {'J01': 20}, 
135.0, {'J01': -1983.5}, {'J01': 5}, {'J01': 19}, 
140.0, {'J01': -2182.5}, {'J01': 5}, {'J01': 21}, 
145.0, {'J01': -2396.5}, {'J01': 5}, {'J01': 22}, 
150.0, {'J01': -2622.5}, {'J01': 5}, {'J01': 24}, 
155.0, {'J01': -2867.5}, {'J01': 5}, {'J01': 25}, 
160.0, {'J01': -3120.0}, {'J01': 6}, {'J01': 27}, 
165.0, {'J01': -3393.5}, {'J01': 8}, {'J01': 29}, 
170.0, {'J01': -3685.0}, {'J01': 9}, {'J01': 30}, 
175.0, {'J01': -2426.5}, {'J01': 8}, {'J01': 26}, 
180.0, {'J01': -2624.5}, {'J01': 7}, {'J01': 29}, 
185.0, {'J01': -2630.0}, {'J01': 6}, {'J01': 25}, 
190.0, {'J01': -2754.5}, {'J01': 6}, {'J01': 22}, 
195.0, {'J01': -2974.5}, {'J01': 6}, {'J01': 22}, 
200.0, {'J01': -3197.0}, {'J01': 7}, {'J01': 23}, 
205.0, {'J01': -3436.0}, {'J01': 7}, {'J01': 26}, 
210.0, {'J01': -3702.0}, {'J01': 7}, {'J01': 29}, 
215.0, {'J01': -4008.0}, {'J01': 7}, {'J01': 36}, 
220.0, {'J01': -4308.0}, {'J01': 7}, {'J01': 38}, 
225.0, {'J01': -4565.0}, {'J01': 7}, {'J01': 33}, 
230.0, {'J01': -4777.0}, {'J01': 7}, {'J01': 29}, 
235.0, {'J01': -4970.0}, {'J01': 7}, {'J01': 26}, 
240.0, {'J01': -4506.0}, {'J01': 7}, {'J01': 26}, 
245.0, {'J01': -4517.5}, {'J01': 8}, {'J01': 27}, 
250.0, {'J01': -4812.0}, {'J01': 8}, {'J01': 36}, 
255.0, {'J01': -5073.0}, {'J01': 8}, {'J01': 38}, 
260.0, {'J01': -5349.0}, {'J01': 8}, {'J01': 34}, 
265.0, {'J01': -5624.5}, {'J01': 8}, {'J01': 32}, 
270.0, {'J01': -5946.5}, {'J01': 8}, {'J01': 34}, 
275.0, {'J01': -6307.5}, {'J01': 8}, {'J01': 41}, 
280.0, {'J01': -6731.5}, {'J01': 8}, {'J01': 45}, 
285.0, {'J01': -7046.5}, {'J01': 8}, {'J01': 43}, 
290.0, {'J01': -7257.5}, {'J01': 9}, {'J01': 41}, 
295.0, {'J01': -7507.0}, {'J01': 9}, {'J01': 39}, 
300.0, {'J01': -7770.5}, {'J01': 9}, {'J01': 37}, 
305.0, {'J01': -7442.5}, {'J01': 9}, {'J01': 34}, 
310.0, {'J01': -7446.0}, {'J01': 9}, {'J01': 35}, 
315.0, {'J01': -7565.5}, {'J01': 10}, {'J01': 32}, 
320.0, {'J01': -7847.0}, {'J01': 11}, {'J01': 32}, 
325.0, {'J01': -8167.0}, {'J01': 11}, {'J01': 32}, 
330.0, {'J01': -8493.0}, {'J01': 12}, {'J01': 35}, 
335.0, {'J01': -8853.5}, {'J01': 12}, {'J01': 39}, 
340.0, {'J01': -9260.0}, {'J01': 12}, {'J01': 46}, 
345.0, {'J01': -9731.0}, {'J01': 12}, {'J01': 49}, 
350.0, {'J01': -10112.5}, {'J01': 12}, {'J01': 46}, 
355.0, {'J01': -10389.5}, {'J01': 12}, {'J01': 41}, 
