5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -10.0}, {'J01': 4}, {'J01': 10}, 
50.0, {'J01': -12.0}, {'J01': 4}, {'J01': 12}, 
55.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
60.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
65.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
70.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
75.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
85.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
90.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
95.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
100.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
105.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
110.0, {'J01': -27.0}, {'J01': 7}, {'J01': 27}, 
115.0, {'J01': -23.0}, {'J01': 7}, {'J01': 23}, 
120.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
125.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
130.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
135.0, {'J01': -40.0}, {'J01': 8}, {'J01': 40}, 
140.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
145.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
150.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
155.0, {'J01': -21.0}, {'J01': 5}, {'J01': 21}, 
160.0, {'J01': -23.0}, {'J01': 4}, {'J01': 23}, 
165.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
170.0, {'J01': -28.0}, {'J01': 5}, {'J01': 28}, 
175.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
180.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
185.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
190.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': -42.0}, {'J01': 8}, {'J01': 42}, 
200.0, {'J01': -44.0}, {'J01': 8}, {'J01': 44}, 
205.0, {'J01': -38.0}, {'J01': 7}, {'J01': 38}, 
210.0, {'J01': -39.0}, {'J01': 7}, {'J01': 39}, 
215.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
220.0, {'J01': -27.0}, {'J01': 5}, {'J01': 27}, 
225.0, {'J01': -24.0}, {'J01': 5}, {'J01': 24}, 
230.0, {'J01': -23.0}, {'J01': 5}, {'J01': 23}, 
235.0, {'J01': -18.0}, {'J01': 5}, {'J01': 18}, 
240.0, {'J01': -16.0}, {'J01': 3}, {'J01': 16}, 
245.0, {'J01': -24.0}, {'J01': 4}, {'J01': 24}, 
250.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
255.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
260.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
265.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
270.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
275.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
280.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
285.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
290.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
295.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
300.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
305.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
310.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
315.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
320.0, {'J01': -38.0}, {'J01': 7}, {'J01': 38}, 
325.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
330.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
335.0, {'J01': -40.0}, {'J01': 8}, {'J01': 40}, 
340.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
345.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
350.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
355.0, {'J01': -25.0}, {'J01': 4}, {'J01': 25}, 
360.0, {'J01': -27.0}, {'J01': 5}, {'J01': 27}, 
365.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
370.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
375.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
380.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
385.0, {'J01': -26.0}, {'J01': 6}, {'J01': 26}, 
390.0, {'J01': -23.0}, {'J01': 5}, {'J01': 23}, 
395.0, {'J01': -24.0}, {'J01': 5}, {'J01': 24}, 
400.0, {'J01': -29.0}, {'J01': 5}, {'J01': 29}, 
405.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
410.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
415.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
420.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
425.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
430.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
435.0, {'J01': -26.0}, {'J01': 4}, {'J01': 26}, 
440.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
445.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
450.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
455.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
460.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
465.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
470.0, {'J01': -25.0}, {'J01': 6}, {'J01': 25}, 
475.0, {'J01': -21.0}, {'J01': 5}, {'J01': 21}, 
480.0, {'J01': -21.0}, {'J01': 5}, {'J01': 21}, 
485.0, {'J01': -20.0}, {'J01': 5}, {'J01': 20}, 
490.0, {'J01': -29.0}, {'J01': 5}, {'J01': 29}, 
495.0, {'J01': -26.0}, {'J01': 6}, {'J01': 26}, 
500.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
505.0, {'J01': -22.0}, {'J01': 6}, {'J01': 22}, 
510.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
515.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
520.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
525.0, {'J01': -27.0}, {'J01': 5}, {'J01': 27}, 
530.0, {'J01': -28.0}, {'J01': 5}, {'J01': 28}, 
535.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
540.0, {'J01': -23.0}, {'J01': 5}, {'J01': 23}, 
545.0, {'J01': -19.0}, {'J01': 5}, {'J01': 19}, 
550.0, {'J01': -21.0}, {'J01': 5}, {'J01': 21}, 
555.0, {'J01': -17.0}, {'J01': 5}, {'J01': 17}, 
560.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
565.0, {'J01': -25.0}, {'J01': 4}, {'J01': 25}, 
570.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
575.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
580.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
585.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
590.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
595.0, {'J01': -25.0}, {'J01': 4}, {'J01': 25}, 
600.0, {'J01': -24.0}, {'J01': 4}, {'J01': 24}, 
605.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
610.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
615.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
620.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
625.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
630.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
635.0, {'J01': -36.0}, {'J01': 7}, {'J01': 36}, 
640.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
645.0, {'J01': -29.0}, {'J01': 5}, {'J01': 29}, 
650.0, {'J01': -23.0}, {'J01': 5}, {'J01': 23}, 
655.0, {'J01': -24.0}, {'J01': 5}, {'J01': 24}, 
660.0, {'J01': -20.0}, {'J01': 5}, {'J01': 20}, 
665.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
670.0, {'J01': -27.0}, {'J01': 6}, {'J01': 27}, 
675.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
680.0, {'J01': -37.0}, {'J01': 7}, {'J01': 37}, 
685.0, {'J01': -35.0}, {'J01': 6}, {'J01': 35}, 
690.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
695.0, {'J01': -43.0}, {'J01': 7}, {'J01': 43}, 
700.0, {'J01': -49.0}, {'J01': 8}, {'J01': 49}, 
705.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
710.0, {'J01': -43.0}, {'J01': 7}, {'J01': 43}, 
715.0, {'J01': -45.0}, {'J01': 7}, {'J01': 45}, 
720.0, {'J01': -39.0}, {'J01': 7}, {'J01': 39}, 
725.0, {'J01': -38.0}, {'J01': 6}, {'J01': 38}, 
730.0, {'J01': -33.0}, {'J01': 6}, {'J01': 33}, 
735.0, {'J01': -34.0}, {'J01': 6}, {'J01': 34}, 
740.0, {'J01': -28.0}, {'J01': 5}, {'J01': 28}, 
745.0, {'J01': -29.0}, {'J01': 5}, {'J01': 29}, 
750.0, {'J01': -32.0}, {'J01': 5}, {'J01': 32}, 
755.0, {'J01': -46.0}, {'J01': 7}, {'J01': 46}, 
760.0, {'J01': -49.0}, {'J01': 8}, {'J01': 49}, 
765.0, {'J01': -49.0}, {'J01': 8}, {'J01': 49}, 
770.0, {'J01': -47.0}, {'J01': 8}, {'J01': 47}, 
775.0, {'J01': -47.0}, {'J01': 8}, {'J01': 47}, 
780.0, {'J01': -41.0}, {'J01': 7}, {'J01': 41}, 
785.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
790.0, {'J01': -42.0}, {'J01': 6}, {'J01': 42}, 
795.0, {'J01': -38.0}, {'J01': 6}, {'J01': 38}, 
800.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
805.0, {'J01': -34.0}, {'J01': 5}, {'J01': 34}, 
810.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
815.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
820.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
825.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
830.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
835.0, {'J01': -34.0}, {'J01': 6}, {'J01': 34}, 
840.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
845.0, {'J01': -38.0}, {'J01': 7}, {'J01': 38}, 
850.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
855.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
860.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
865.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
870.0, {'J01': -39.0}, {'J01': 7}, {'J01': 39}, 
875.0, {'J01': -39.0}, {'J01': 7}, {'J01': 39}, 
880.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
885.0, {'J01': -45.0}, {'J01': 8}, {'J01': 45}, 
890.0, {'J01': -44.0}, {'J01': 8}, {'J01': 44}, 
