5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -12.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -44.0}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -92.0}, {'J01': 2}, {'J01': 7}, 
35.0, {'J01': -171.0}, {'J01': 4}, {'J01': 11}, 
40.0, {'J01': -277.0}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': -411.0}, {'J01': 4}, {'J01': 17}, 
50.0, {'J01': -587.5}, {'J01': 6}, {'J01': 22}, 
55.0, {'J01': -819.0}, {'J01': 7}, {'J01': 27}, 
60.0, {'J01': -1100.0}, {'J01': 8}, {'J01': 31}, 
65.0, {'J01': -1426.0}, {'J01': 8}, {'J01': 36}, 
70.0, {'J01': -1787.0}, {'J01': 8}, {'J01': 37}, 
75.0, {'J01': -2161.0}, {'J01': 8}, {'J01': 38}, 
80.0, {'J01': -2545.5}, {'J01': 8}, {'J01': 39}, 
85.0, {'J01': -2945.5}, {'J01': 8}, {'J01': 41}, 
90.0, {'J01': -3355.5}, {'J01': 8}, {'J01': 41}, 
95.0, {'J01': -3766.0}, {'J01': 8}, {'J01': 42}, 
100.0, {'J01': -4195.5}, {'J01': 8}, {'J01': 45}, 
105.0, {'J01': -4647.0}, {'J01': 8}, {'J01': 47}, 
110.0, {'J01': -4011.5}, {'J01': 7}, {'J01': 38}, 
115.0, {'J01': -2732.5}, {'J01': 4}, {'J01': 24}, 
120.0, {'J01': -2419.0}, {'J01': 4}, {'J01': 22}, 
125.0, {'J01': -2104.5}, {'J01': 5}, {'J01': 19}, 
130.0, {'J01': -2298.0}, {'J01': 5}, {'J01': 20}, 
135.0, {'J01': -2501.0}, {'J01': 5}, {'J01': 21}, 
140.0, {'J01': -2714.0}, {'J01': 5}, {'J01': 23}, 
145.0, {'J01': -2951.5}, {'J01': 6}, {'J01': 26}, 
150.0, {'J01': -3215.0}, {'J01': 6}, {'J01': 27}, 
155.0, {'J01': -3490.0}, {'J01': 6}, {'J01': 28}, 
160.0, {'J01': -3770.0}, {'J01': 6}, {'J01': 28}, 
165.0, {'J01': -4059.0}, {'J01': 7}, {'J01': 31}, 
170.0, {'J01': -2880.5}, {'J01': 6}, {'J01': 27}, 
175.0, {'J01': -2855.0}, {'J01': 6}, {'J01': 26}, 
180.0, {'J01': -2954.0}, {'J01': 7}, {'J01': 25}, 
185.0, {'J01': -3125.5}, {'J01': 7}, {'J01': 23}, 
190.0, {'J01': -3355.5}, {'J01': 7}, {'J01': 23}, 
195.0, {'J01': -3585.5}, {'J01': 7}, {'J01': 23}, 
200.0, {'J01': -3815.5}, {'J01': 7}, {'J01': 23}, 
205.0, {'J01': -4050.5}, {'J01': 8}, {'J01': 24}, 
210.0, {'J01': -4294.5}, {'J01': 8}, {'J01': 26}, 
215.0, {'J01': -4530.5}, {'J01': 8}, {'J01': 24}, 
220.0, {'J01': -4773.0}, {'J01': 8}, {'J01': 25}, 
225.0, {'J01': -5023.0}, {'J01': 8}, {'J01': 25}, 
230.0, {'J01': -5273.0}, {'J01': 8}, {'J01': 25}, 
235.0, {'J01': -4622.0}, {'J01': 8}, {'J01': 21}, 
240.0, {'J01': -4701.0}, {'J01': 8}, {'J01': 22}, 
245.0, {'J01': -4914.0}, {'J01': 8}, {'J01': 23}, 
250.0, {'J01': -5153.0}, {'J01': 9}, {'J01': 25}, 
255.0, {'J01': -5403.0}, {'J01': 9}, {'J01': 25}, 
260.0, {'J01': -5653.0}, {'J01': 9}, {'J01': 25}, 
265.0, {'J01': -5911.5}, {'J01': 9}, {'J01': 28}, 
270.0, {'J01': -6199.0}, {'J01': 9}, {'J01': 30}, 
275.0, {'J01': -6510.0}, {'J01': 9}, {'J01': 33}, 
280.0, {'J01': -6853.0}, {'J01': 9}, {'J01': 37}, 
285.0, {'J01': -7183.0}, {'J01': 9}, {'J01': 38}, 
290.0, {'J01': -7461.0}, {'J01': 9}, {'J01': 35}, 
295.0, {'J01': -7579.0}, {'J01': 10}, {'J01': 30}, 
