5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -3.0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -24.0}, {'J01': 2}, {'J01': 5}, 
20.0, {'J01': -82.0}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -153.0}, {'J01': 4}, {'J01': 8}, 
30.0, {'J01': -233.0}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -322.5}, {'J01': 4}, {'J01': 10}, 
40.0, {'J01': -422.5}, {'J01': 4}, {'J01': 10}, 
45.0, {'J01': -529.5}, {'J01': 4}, {'J01': 12}, 
50.0, {'J01': -658.0}, {'J01': 4}, {'J01': 15}, 
55.0, {'J01': -748.5}, {'J01': 4}, {'J01': 18}, 
60.0, {'J01': -897.0}, {'J01': 4}, {'J01': 19}, 
65.0, {'J01': -1112.5}, {'J01': 4}, {'J01': 27}, 
70.0, {'J01': -1212.5}, {'J01': 4}, {'J01': 20}, 
75.0, {'J01': -1346.5}, {'J01': 4}, {'J01': 17}, 
80.0, {'J01': -1518.0}, {'J01': 4}, {'J01': 18}, 
85.0, {'J01': -1701.0}, {'J01': 4}, {'J01': 19}, 
90.0, {'J01': -1891.0}, {'J01': 4}, {'J01': 19}, 
95.0, {'J01': -2085.0}, {'J01': 4}, {'J01': 20}, 
100.0, {'J01': -2285.0}, {'J01': 4}, {'J01': 20}, 
105.0, {'J01': -2485.0}, {'J01': 4}, {'J01': 20}, 
110.0, {'J01': -2685.0}, {'J01': 4}, {'J01': 20}, 
115.0, {'J01': -2887.5}, {'J01': 4}, {'J01': 22}, 
120.0, {'J01': -2198.5}, {'J01': 4}, {'J01': 17}, 
125.0, {'J01': -2224.5}, {'J01': 4}, {'J01': 20}, 
130.0, {'J01': -2395.0}, {'J01': 4}, {'J01': 20}, 
135.0, {'J01': -2600.0}, {'J01': 4}, {'J01': 21}, 
140.0, {'J01': -2810.0}, {'J01': 4}, {'J01': 21}, 
145.0, {'J01': -3027.5}, {'J01': 6}, {'J01': 25}, 
150.0, {'J01': -3277.5}, {'J01': 6}, {'J01': 25}, 
155.0, {'J01': -3527.5}, {'J01': 6}, {'J01': 25}, 
160.0, {'J01': -3785.0}, {'J01': 7}, {'J01': 27}, 
165.0, {'J01': -4056.0}, {'J01': 7}, {'J01': 28}, 
170.0, {'J01': -4336.0}, {'J01': 7}, {'J01': 28}, 
175.0, {'J01': -4617.5}, {'J01': 7}, {'J01': 29}, 
180.0, {'J01': -4914.5}, {'J01': 8}, {'J01': 31}, 
185.0, {'J01': -4421.0}, {'J01': 8}, {'J01': 28}, 
190.0, {'J01': -4570.0}, {'J01': 8}, {'J01': 30}, 
195.0, {'J01': -4805.5}, {'J01': 8}, {'J01': 27}, 
200.0, {'J01': -5078.0}, {'J01': 9}, {'J01': 28}, 
205.0, {'J01': -5363.0}, {'J01': 9}, {'J01': 29}, 
210.0, {'J01': -5656.0}, {'J01': 9}, {'J01': 30}, 
215.0, {'J01': -5966.5}, {'J01': 9}, {'J01': 34}, 
220.0, {'J01': -5211.0}, {'J01': 7}, {'J01': 36}, 
225.0, {'J01': -5028.0}, {'J01': 7}, {'J01': 39}, 
230.0, {'J01': -5135.5}, {'J01': 7}, {'J01': 44}, 
235.0, {'J01': -3040.5}, {'J01': 7}, {'J01': 35}, 
240.0, {'J01': -2189.5}, {'J01': 7}, {'J01': 31}, 
245.0, {'J01': -2156.5}, {'J01': 7}, {'J01': 35}, 
250.0, {'J01': -1885.0}, {'J01': 7}, {'J01': 36}, 
255.0, {'J01': -1993.5}, {'J01': 7}, {'J01': 37}, 
260.0, {'J01': -2368.0}, {'J01': 7}, {'J01': 39}, 
265.0, {'J01': -2760.0}, {'J01': 7}, {'J01': 40}, 
270.0, {'J01': -3171.5}, {'J01': 7}, {'J01': 44}, 
275.0, {'J01': -3615.0}, {'J01': 7}, {'J01': 45}, 
280.0, {'J01': -4065.0}, {'J01': 7}, {'J01': 45}, 
285.0, {'J01': -4515.0}, {'J01': 7}, {'J01': 45}, 
290.0, {'J01': -4972.5}, {'J01': 7}, {'J01': 48}, 
295.0, {'J01': -5452.5}, {'J01': 7}, {'J01': 48}, 
300.0, {'J01': -5943.0}, {'J01': 9}, {'J01': 52}, 
305.0, {'J01': -6463.0}, {'J01': 9}, {'J01': 52}, 
310.0, {'J01': -6984.0}, {'J01': 9}, {'J01': 53}, 
315.0, {'J01': -6246.5}, {'J01': 8}, {'J01': 47}, 
320.0, {'J01': -6054.5}, {'J01': 6}, {'J01': 42}, 
325.0, {'J01': -6489.0}, {'J01': 6}, {'J01': 47}, 
330.0, {'J01': -5631.5}, {'J01': 6}, {'J01': 41}, 
335.0, {'J01': -3978.5}, {'J01': 5}, {'J01': 25}, 
340.0, {'J01': -3457.5}, {'J01': 5}, {'J01': 21}, 
345.0, {'J01': -3636.0}, {'J01': 5}, {'J01': 21}, 
350.0, {'J01': -3846.0}, {'J01': 5}, {'J01': 21}, 
355.0, {'J01': -4056.0}, {'J01': 5}, {'J01': 21}, 
360.0, {'J01': -4271.0}, {'J01': 6}, {'J01': 22}, 
365.0, {'J01': -4491.0}, {'J01': 6}, {'J01': 22}, 
370.0, {'J01': -3463.5}, {'J01': 7}, {'J01': 20}, 
375.0, {'J01': -2619.5}, {'J01': 7}, {'J01': 19}, 
380.0, {'J01': -2579.0}, {'J01': 7}, {'J01': 26}, 
385.0, {'J01': -2484.0}, {'J01': 7}, {'J01': 33}, 
390.0, {'J01': -2531.0}, {'J01': 7}, {'J01': 32}, 
395.0, {'J01': -2833.0}, {'J01': 7}, {'J01': 33}, 
400.0, {'J01': -2448.0}, {'J01': 7}, {'J01': 35}, 
405.0, {'J01': -2299.0}, {'J01': 7}, {'J01': 33}, 
410.0, {'J01': -2624.0}, {'J01': 7}, {'J01': 38}, 
415.0, {'J01': -3013.5}, {'J01': 7}, {'J01': 41}, 
420.0, {'J01': -3424.0}, {'J01': 7}, {'J01': 42}, 
425.0, {'J01': -3846.5}, {'J01': 7}, {'J01': 44}, 
430.0, {'J01': -4288.5}, {'J01': 7}, {'J01': 45}, 
435.0, {'J01': -4743.5}, {'J01': 7}, {'J01': 46}, 
440.0, {'J01': -5203.5}, {'J01': 7}, {'J01': 46}, 
445.0, {'J01': -5667.5}, {'J01': 7}, {'J01': 47}, 
450.0, {'J01': -6143.5}, {'J01': 9}, {'J01': 49}, 
455.0, {'J01': -6636.5}, {'J01': 9}, {'J01': 50}, 
460.0, {'J01': -7141.5}, {'J01': 11}, {'J01': 52}, 
465.0, {'J01': -6487.5}, {'J01': 10}, {'J01': 46}, 
470.0, {'J01': -5841.0}, {'J01': 8}, {'J01': 39}, 
475.0, {'J01': -6242.5}, {'J01': 8}, {'J01': 44}, 
480.0, {'J01': -6695.0}, {'J01': 8}, {'J01': 50}, 
485.0, {'J01': -7196.0}, {'J01': 9}, {'J01': 51}, 
490.0, {'J01': -7706.0}, {'J01': 9}, {'J01': 51}, 
495.0, {'J01': -8221.5}, {'J01': 11}, {'J01': 53}, 
500.0, {'J01': -8763.5}, {'J01': 13}, {'J01': 56}, 
505.0, {'J01': -9325.5}, {'J01': 14}, {'J01': 57}, 
510.0, {'J01': -9896.0}, {'J01': 14}, {'J01': 58}, 
515.0, {'J01': -10476.0}, {'J01': 14}, {'J01': 58}, 
520.0, {'J01': -11063.5}, {'J01': 15}, {'J01': 61}, 
525.0, {'J01': -11675.0}, {'J01': 15}, {'J01': 62}, 
530.0, {'J01': -10367.0}, {'J01': 13}, {'J01': 54}, 
535.0, {'J01': -9486.0}, {'J01': 11}, {'J01': 48}, 
540.0, {'J01': -9982.0}, {'J01': 11}, {'J01': 54}, 
545.0, {'J01': -10530.0}, {'J01': 12}, {'J01': 59}, 
550.0, {'J01': -11122.5}, {'J01': 13}, {'J01': 60}, 
555.0, {'J01': -11724.0}, {'J01': 13}, {'J01': 61}, 
560.0, {'J01': -12334.0}, {'J01': 13}, {'J01': 61}, 
565.0, {'J01': -12949.0}, {'J01': 14}, {'J01': 63}, 
570.0, {'J01': -13581.5}, {'J01': 14}, {'J01': 64}, 
575.0, {'J01': -14221.5}, {'J01': 14}, {'J01': 64}, 
580.0, {'J01': -14865.5}, {'J01': 14}, {'J01': 65}, 
585.0, {'J01': -15531.0}, {'J01': 15}, {'J01': 70}, 
590.0, {'J01': -16238.5}, {'J01': 17}, {'J01': 72}, 
595.0, {'J01': -14484.0}, {'J01': 15}, {'J01': 63}, 
600.0, {'J01': -13164.0}, {'J01': 13}, {'J01': 56}, 
605.0, {'J01': -13108.5}, {'J01': 11}, {'J01': 58}, 
610.0, {'J01': -13572.5}, {'J01': 12}, {'J01': 62}, 
615.0, {'J01': -14200.5}, {'J01': 14}, {'J01': 66}, 
620.0, {'J01': -14863.0}, {'J01': 14}, {'J01': 67}, 
625.0, {'J01': -15535.0}, {'J01': 14}, {'J01': 68}, 
630.0, {'J01': -16227.0}, {'J01': 15}, {'J01': 72}, 
635.0, {'J01': -16951.0}, {'J01': 16}, {'J01': 73}, 
640.0, {'J01': -17681.0}, {'J01': 16}, {'J01': 73}, 
645.0, {'J01': -18411.0}, {'J01': 16}, {'J01': 73}, 
650.0, {'J01': -19141.0}, {'J01': 16}, {'J01': 73}, 
655.0, {'J01': -19881.0}, {'J01': 18}, {'J01': 76}, 
660.0, {'J01': -17778.5}, {'J01': 17}, {'J01': 69}, 
665.0, {'J01': -16605.5}, {'J01': 15}, {'J01': 62}, 
670.0, {'J01': -14646.5}, {'J01': 13}, {'J01': 53}, 
675.0, {'J01': -12761.0}, {'J01': 10}, {'J01': 42}, 
680.0, {'J01': -12211.5}, {'J01': 10}, {'J01': 36}, 
685.0, {'J01': -12430.0}, {'J01': 10}, {'J01': 35}, 
