5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -6.0}, {'J01': 2}, {'J01': 6}, 
30.0, {'J01': -7.0}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -11.0}, {'J01': 3}, {'J01': 11}, 
40.0, {'J01': -10.0}, {'J01': 3}, {'J01': 10}, 
45.0, {'J01': -8.0}, {'J01': 3}, {'J01': 8}, 
50.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
55.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
60.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
65.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
70.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
75.0, {'J01': -32.0}, {'J01': 8}, {'J01': 32}, 
80.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
85.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
90.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
95.0, {'J01': -32.0}, {'J01': 8}, {'J01': 32}, 
100.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
105.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
115.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
120.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
125.0, {'J01': -32.0}, {'J01': 8}, {'J01': 32}, 
130.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
135.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
140.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
145.0, {'J01': -30.0}, {'J01': 7}, {'J01': 30}, 
150.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
155.0, {'J01': -39.0}, {'J01': 7}, {'J01': 39}, 
160.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
165.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
170.0, {'J01': -40.0}, {'J01': 9}, {'J01': 40}, 
175.0, {'J01': -45.0}, {'J01': 10}, {'J01': 45}, 
180.0, {'J01': -45.0}, {'J01': 11}, {'J01': 45}, 
185.0, {'J01': -45.0}, {'J01': 11}, {'J01': 45}, 
190.0, {'J01': -46.0}, {'J01': 12}, {'J01': 46}, 
195.0, {'J01': -50.0}, {'J01': 12}, {'J01': 50}, 
200.0, {'J01': -51.0}, {'J01': 13}, {'J01': 51}, 
205.0, {'J01': -47.0}, {'J01': 11}, {'J01': 47}, 
210.0, {'J01': -46.0}, {'J01': 11}, {'J01': 46}, 
215.0, {'J01': -48.0}, {'J01': 11}, {'J01': 48}, 
220.0, {'J01': -51.0}, {'J01': 13}, {'J01': 51}, 
225.0, {'J01': -51.0}, {'J01': 13}, {'J01': 51}, 
230.0, {'J01': -40.0}, {'J01': 11}, {'J01': 40}, 
235.0, {'J01': -35.0}, {'J01': 9}, {'J01': 35}, 
240.0, {'J01': -41.0}, {'J01': 9}, {'J01': 41}, 
245.0, {'J01': -45.0}, {'J01': 10}, {'J01': 45}, 
250.0, {'J01': -43.0}, {'J01': 10}, {'J01': 43}, 
255.0, {'J01': -45.0}, {'J01': 10}, {'J01': 45}, 
260.0, {'J01': -49.0}, {'J01': 11}, {'J01': 49}, 
265.0, {'J01': -54.0}, {'J01': 12}, {'J01': 54}, 
270.0, {'J01': -56.0}, {'J01': 13}, {'J01': 56}, 
275.0, {'J01': -55.0}, {'J01': 13}, {'J01': 55}, 
280.0, {'J01': -51.0}, {'J01': 13}, {'J01': 51}, 
285.0, {'J01': -52.0}, {'J01': 14}, {'J01': 52}, 
290.0, {'J01': -54.0}, {'J01': 15}, {'J01': 54}, 
295.0, {'J01': -50.0}, {'J01': 16}, {'J01': 50}, 
300.0, {'J01': -46.0}, {'J01': 16}, {'J01': 46}, 
305.0, {'J01': -35.0}, {'J01': 12}, {'J01': 35}, 
310.0, {'J01': -26.0}, {'J01': 9}, {'J01': 26}, 
315.0, {'J01': -22.0}, {'J01': 7}, {'J01': 22}, 
320.0, {'J01': -27.0}, {'J01': 5}, {'J01': 27}, 
325.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
330.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
335.0, {'J01': -37.0}, {'J01': 10}, {'J01': 37}, 
340.0, {'J01': -37.0}, {'J01': 10}, {'J01': 37}, 
345.0, {'J01': -39.0}, {'J01': 11}, {'J01': 39}, 
350.0, {'J01': -39.0}, {'J01': 11}, {'J01': 39}, 
355.0, {'J01': -37.0}, {'J01': 11}, {'J01': 37}, 
360.0, {'J01': -37.0}, {'J01': 11}, {'J01': 37}, 
365.0, {'J01': -41.0}, {'J01': 13}, {'J01': 41}, 
370.0, {'J01': -43.0}, {'J01': 13}, {'J01': 43}, 
375.0, {'J01': -44.0}, {'J01': 13}, {'J01': 44}, 
380.0, {'J01': -44.0}, {'J01': 13}, {'J01': 44}, 
385.0, {'J01': -41.0}, {'J01': 13}, {'J01': 41}, 
390.0, {'J01': -41.0}, {'J01': 14}, {'J01': 41}, 
395.0, {'J01': -42.0}, {'J01': 14}, {'J01': 42}, 
400.0, {'J01': -44.0}, {'J01': 15}, {'J01': 44}, 
405.0, {'J01': -45.0}, {'J01': 16}, {'J01': 45}, 
410.0, {'J01': -44.0}, {'J01': 16}, {'J01': 44}, 
415.0, {'J01': -44.0}, {'J01': 18}, {'J01': 44}, 
420.0, {'J01': -45.0}, {'J01': 19}, {'J01': 45}, 
425.0, {'J01': -47.0}, {'J01': 19}, {'J01': 47}, 
430.0, {'J01': -47.0}, {'J01': 19}, {'J01': 47}, 
435.0, {'J01': -47.0}, {'J01': 19}, {'J01': 47}, 
440.0, {'J01': -47.0}, {'J01': 19}, {'J01': 47}, 
445.0, {'J01': -47.0}, {'J01': 20}, {'J01': 47}, 
450.0, {'J01': -49.0}, {'J01': 22}, {'J01': 49}, 
455.0, {'J01': -51.0}, {'J01': 23}, {'J01': 51}, 
460.0, {'J01': -44.0}, {'J01': 20}, {'J01': 44}, 
465.0, {'J01': -32.0}, {'J01': 15}, {'J01': 32}, 
470.0, {'J01': -24.0}, {'J01': 11}, {'J01': 24}, 
475.0, {'J01': -15.0}, {'J01': 5}, {'J01': 15}, 
480.0, {'J01': -15.0}, {'J01': 5}, {'J01': 15}, 
485.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
490.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
495.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
500.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
505.0, {'J01': -41.0}, {'J01': 10}, {'J01': 41}, 
510.0, {'J01': -45.0}, {'J01': 11}, {'J01': 45}, 
515.0, {'J01': -45.0}, {'J01': 11}, {'J01': 45}, 
520.0, {'J01': -45.0}, {'J01': 11}, {'J01': 45}, 
525.0, {'J01': -48.0}, {'J01': 12}, {'J01': 48}, 
530.0, {'J01': -46.0}, {'J01': 12}, {'J01': 46}, 
535.0, {'J01': -48.0}, {'J01': 13}, {'J01': 48}, 
540.0, {'J01': -51.0}, {'J01': 14}, {'J01': 51}, 
545.0, {'J01': -52.0}, {'J01': 14}, {'J01': 52}, 
550.0, {'J01': -42.0}, {'J01': 12}, {'J01': 42}, 
555.0, {'J01': -37.0}, {'J01': 10}, {'J01': 37}, 
560.0, {'J01': -41.0}, {'J01': 9}, {'J01': 41}, 
565.0, {'J01': -40.0}, {'J01': 10}, {'J01': 40}, 
570.0, {'J01': -40.0}, {'J01': 10}, {'J01': 40}, 
575.0, {'J01': -45.0}, {'J01': 10}, {'J01': 45}, 
580.0, {'J01': -44.0}, {'J01': 11}, {'J01': 44}, 
585.0, {'J01': -46.0}, {'J01': 11}, {'J01': 46}, 
590.0, {'J01': -49.0}, {'J01': 12}, {'J01': 49}, 
595.0, {'J01': -52.0}, {'J01': 13}, {'J01': 52}, 
600.0, {'J01': -54.0}, {'J01': 14}, {'J01': 54}, 
605.0, {'J01': -55.0}, {'J01': 15}, {'J01': 55}, 
610.0, {'J01': -47.0}, {'J01': 14}, {'J01': 47}, 
615.0, {'J01': -43.0}, {'J01': 12}, {'J01': 43}, 
620.0, {'J01': -45.0}, {'J01': 12}, {'J01': 45}, 
625.0, {'J01': -50.0}, {'J01': 12}, {'J01': 50}, 
630.0, {'J01': -49.0}, {'J01': 13}, {'J01': 49}, 
635.0, {'J01': -52.0}, {'J01': 16}, {'J01': 52}, 
640.0, {'J01': -50.0}, {'J01': 16}, {'J01': 50}, 
645.0, {'J01': -54.0}, {'J01': 16}, {'J01': 54}, 
650.0, {'J01': -45.0}, {'J01': 13}, {'J01': 45}, 
655.0, {'J01': -35.0}, {'J01': 12}, {'J01': 35}, 
660.0, {'J01': -30.0}, {'J01': 10}, {'J01': 30}, 
665.0, {'J01': -35.0}, {'J01': 10}, {'J01': 35}, 
670.0, {'J01': -45.0}, {'J01': 13}, {'J01': 45}, 
675.0, {'J01': -45.0}, {'J01': 12}, {'J01': 45}, 
680.0, {'J01': -38.0}, {'J01': 10}, {'J01': 38}, 
685.0, {'J01': -42.0}, {'J01': 10}, {'J01': 42}, 
690.0, {'J01': -43.0}, {'J01': 12}, {'J01': 43}, 
695.0, {'J01': -46.0}, {'J01': 13}, {'J01': 46}, 
700.0, {'J01': -47.0}, {'J01': 14}, {'J01': 47}, 
705.0, {'J01': -40.0}, {'J01': 12}, {'J01': 40}, 
710.0, {'J01': -30.0}, {'J01': 11}, {'J01': 30}, 
715.0, {'J01': -30.0}, {'J01': 9}, {'J01': 30}, 
720.0, {'J01': -33.0}, {'J01': 9}, {'J01': 33}, 
725.0, {'J01': -40.0}, {'J01': 11}, {'J01': 40}, 
730.0, {'J01': -42.0}, {'J01': 11}, {'J01': 42}, 
735.0, {'J01': -34.0}, {'J01': 9}, {'J01': 34}, 
740.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
745.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
750.0, {'J01': -24.0}, {'J01': 4}, {'J01': 24}, 
755.0, {'J01': -26.0}, {'J01': 4}, {'J01': 26}, 
760.0, {'J01': -30.0}, {'J01': 7}, {'J01': 30}, 
765.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
770.0, {'J01': -26.0}, {'J01': 7}, {'J01': 26}, 
775.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
780.0, {'J01': -37.0}, {'J01': 7}, {'J01': 37}, 
785.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
790.0, {'J01': -30.0}, {'J01': 7}, {'J01': 30}, 
795.0, {'J01': -27.0}, {'J01': 7}, {'J01': 27}, 
800.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
805.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
810.0, {'J01': -27.0}, {'J01': 6}, {'J01': 27}, 
815.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
820.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
825.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
830.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
835.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
840.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
845.0, {'J01': -26.0}, {'J01': 6}, {'J01': 26}, 
850.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
855.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
860.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
865.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
870.0, {'J01': -40.0}, {'J01': 8}, {'J01': 40}, 
875.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
880.0, {'J01': -40.0}, {'J01': 8}, {'J01': 40}, 
885.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
890.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
