5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -4.5}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -43.0}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -113.0}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -183.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -185.5}, {'J01': 4}, {'J01': 7}, 
40.0, {'J01': -259.5}, {'J01': 4}, {'J01': 8}, 
45.0, {'J01': -352.0}, {'J01': 4}, {'J01': 13}, 
50.0, {'J01': -505.0}, {'J01': 4}, {'J01': 21}, 
55.0, {'J01': -689.5}, {'J01': 4}, {'J01': 23}, 
60.0, {'J01': -666.5}, {'J01': 6}, {'J01': 23}, 
65.0, {'J01': -770.0}, {'J01': 6}, {'J01': 24}, 
70.0, {'J01': -915.5}, {'J01': 7}, {'J01': 27}, 
75.0, {'J01': -1082.0}, {'J01': 7}, {'J01': 29}, 
80.0, {'J01': -1139.0}, {'J01': 7}, {'J01': 30}, 
85.0, {'J01': -1414.0}, {'J01': 8}, {'J01': 34}, 
90.0, {'J01': -1755.0}, {'J01': 8}, {'J01': 35}, 
95.0, {'J01': -2111.0}, {'J01': 8}, {'J01': 38}, 
100.0, {'J01': -2478.5}, {'J01': 8}, {'J01': 40}, 
105.0, {'J01': -2440.5}, {'J01': 8}, {'J01': 32}, 
110.0, {'J01': -2741.0}, {'J01': 8}, {'J01': 32}, 
115.0, {'J01': -2624.5}, {'J01': 8}, {'J01': 31}, 
120.0, {'J01': -2662.5}, {'J01': 8}, {'J01': 32}, 
125.0, {'J01': -3006.5}, {'J01': 8}, {'J01': 41}, 
130.0, {'J01': -2272.5}, {'J01': 7}, {'J01': 30}, 
135.0, {'J01': -1523.0}, {'J01': 4}, {'J01': 18}, 
140.0, {'J01': -1084.5}, {'J01': 4}, {'J01': 16}, 
145.0, {'J01': -893.5}, {'J01': 4}, {'J01': 16}, 
150.0, {'J01': -1063.0}, {'J01': 4}, {'J01': 25}, 
155.0, {'J01': -1336.0}, {'J01': 6}, {'J01': 34}, 
160.0, {'J01': -1685.0}, {'J01': 8}, {'J01': 38}, 
165.0, {'J01': -1877.5}, {'J01': 8}, {'J01': 33}, 
170.0, {'J01': -1739.0}, {'J01': 7}, {'J01': 31}, 
175.0, {'J01': -2066.5}, {'J01': 7}, {'J01': 38}, 
180.0, {'J01': -2105.0}, {'J01': 6}, {'J01': 30}, 
185.0, {'J01': -1877.0}, {'J01': 5}, {'J01': 19}, 
190.0, {'J01': -1796.0}, {'J01': 5}, {'J01': 15}, 
195.0, {'J01': -1803.0}, {'J01': 5}, {'J01': 17}, 
200.0, {'J01': -1991.5}, {'J01': 5}, {'J01': 26}, 
205.0, {'J01': -2136.0}, {'J01': 6}, {'J01': 21}, 
210.0, {'J01': -2268.5}, {'J01': 6}, {'J01': 18}, 
215.0, {'J01': -2466.0}, {'J01': 6}, {'J01': 26}, 
220.0, {'J01': -2587.0}, {'J01': 6}, {'J01': 26}, 
225.0, {'J01': -2732.5}, {'J01': 6}, {'J01': 21}, 
230.0, {'J01': -2237.5}, {'J01': 5}, {'J01': 23}, 
235.0, {'J01': -2447.5}, {'J01': 7}, {'J01': 30}, 
240.0, {'J01': -2767.5}, {'J01': 8}, {'J01': 36}, 
245.0, {'J01': -2807.5}, {'J01': 8}, {'J01': 36}, 
250.0, {'J01': -2049.5}, {'J01': 8}, {'J01': 34}, 
255.0, {'J01': -1885.5}, {'J01': 8}, {'J01': 34}, 
260.0, {'J01': -2236.0}, {'J01': 8}, {'J01': 38}, 
265.0, {'J01': -2092.5}, {'J01': 7}, {'J01': 34}, 
270.0, {'J01': -1945.0}, {'J01': 6}, {'J01': 27}, 
275.0, {'J01': -1792.5}, {'J01': 5}, {'J01': 25}, 
280.0, {'J01': -2040.5}, {'J01': 5}, {'J01': 29}, 
285.0, {'J01': -2240.5}, {'J01': 7}, {'J01': 32}, 
290.0, {'J01': -2552.0}, {'J01': 7}, {'J01': 32}, 
295.0, {'J01': -2884.5}, {'J01': 8}, {'J01': 37}, 
300.0, {'J01': -3246.5}, {'J01': 8}, {'J01': 38}, 
305.0, {'J01': -3449.0}, {'J01': 8}, {'J01': 35}, 
310.0, {'J01': -3737.0}, {'J01': 8}, {'J01': 35}, 
315.0, {'J01': -3266.5}, {'J01': 7}, {'J01': 25}, 
320.0, {'J01': -3324.5}, {'J01': 6}, {'J01': 28}, 
325.0, {'J01': -2396.5}, {'J01': 6}, {'J01': 26}, 
330.0, {'J01': -2347.0}, {'J01': 7}, {'J01': 31}, 
335.0, {'J01': -2669.5}, {'J01': 8}, {'J01': 36}, 
340.0, {'J01': -3018.0}, {'J01': 8}, {'J01': 38}, 
345.0, {'J01': -3248.0}, {'J01': 8}, {'J01': 36}, 
350.0, {'J01': -3378.0}, {'J01': 8}, {'J01': 36}, 
355.0, {'J01': -3748.0}, {'J01': 8}, {'J01': 40}, 
360.0, {'J01': -4113.5}, {'J01': 8}, {'J01': 41}, 
365.0, {'J01': -4499.0}, {'J01': 8}, {'J01': 42}, 
370.0, {'J01': -4924.5}, {'J01': 8}, {'J01': 44}, 
375.0, {'J01': -4654.0}, {'J01': 8}, {'J01': 37}, 
380.0, {'J01': -4800.5}, {'J01': 8}, {'J01': 40}, 
385.0, {'J01': -4937.0}, {'J01': 8}, {'J01': 38}, 
390.0, {'J01': -5222.0}, {'J01': 9}, {'J01': 39}, 
395.0, {'J01': -5604.0}, {'J01': 9}, {'J01': 44}, 
400.0, {'J01': -5938.0}, {'J01': 10}, {'J01': 42}, 
405.0, {'J01': -6310.5}, {'J01': 10}, {'J01': 41}, 
410.0, {'J01': -5930.0}, {'J01': 11}, {'J01': 41}, 
415.0, {'J01': -6267.5}, {'J01': 13}, {'J01': 41}, 
420.0, {'J01': -6664.5}, {'J01': 14}, {'J01': 43}, 
425.0, {'J01': -7103.5}, {'J01': 14}, {'J01': 46}, 
430.0, {'J01': -5878.0}, {'J01': 12}, {'J01': 42}, 
435.0, {'J01': -5781.5}, {'J01': 12}, {'J01': 39}, 
440.0, {'J01': -6063.0}, {'J01': 12}, {'J01': 44}, 
445.0, {'J01': -6307.5}, {'J01': 12}, {'J01': 41}, 
450.0, {'J01': -6595.0}, {'J01': 14}, {'J01': 44}, 
