5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -8.0}, {'J01': 4}, {'J01': 8}, 
30.0, {'J01': -8.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -10.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -12.0}, {'J01': 4}, {'J01': 12}, 
50.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
55.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
60.0, {'J01': -13.0}, {'J01': 4}, {'J01': 12}, 
65.0, {'J01': -18.0}, {'J01': 4}, {'J01': 17}, 
70.0, {'J01': -15.0}, {'J01': 4}, {'J01': 14}, 
75.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
80.0, {'J01': -15.0}, {'J01': 4}, {'J01': 15}, 
85.0, {'J01': -21.0}, {'J01': 4}, {'J01': 20}, 
90.0, {'J01': -18.0}, {'J01': 4}, {'J01': 16}, 
95.0, {'J01': -25.0}, {'J01': 4}, {'J01': 22}, 
100.0, {'J01': -19.0}, {'J01': 4}, {'J01': 18}, 
105.0, {'J01': -20.0}, {'J01': 3}, {'J01': 19}, 
110.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
115.0, {'J01': -31.0}, {'J01': 4}, {'J01': 30}, 
120.0, {'J01': -32.0}, {'J01': 5}, {'J01': 30}, 
125.0, {'J01': -36.0}, {'J01': 6}, {'J01': 34}, 
130.0, {'J01': -41.0}, {'J01': 7}, {'J01': 40}, 
135.0, {'J01': -42.0}, {'J01': 8}, {'J01': 41}, 
140.0, {'J01': -37.0}, {'J01': 7}, {'J01': 36}, 
145.0, {'J01': -29.0}, {'J01': 5}, {'J01': 28}, 
150.0, {'J01': -28.0}, {'J01': 5}, {'J01': 27}, 
155.0, {'J01': -34.0}, {'J01': 5}, {'J01': 32}, 
160.0, {'J01': -44.0}, {'J01': 7}, {'J01': 42}, 
165.0, {'J01': -51.0}, {'J01': 8}, {'J01': 49}, 
170.0, {'J01': -42.0}, {'J01': 7}, {'J01': 42}, 
175.0, {'J01': -47.0}, {'J01': 7}, {'J01': 46}, 
180.0, {'J01': -47.0}, {'J01': 7}, {'J01': 43}, 
185.0, {'J01': -49.0}, {'J01': 8}, {'J01': 45}, 
190.0, {'J01': -45.0}, {'J01': 8}, {'J01': 42}, 
195.0, {'J01': -47.0}, {'J01': 8}, {'J01': 45}, 
200.0, {'J01': -51.0}, {'J01': 8}, {'J01': 48}, 
205.0, {'J01': -54.0}, {'J01': 9}, {'J01': 51}, 
210.0, {'J01': -47.0}, {'J01': 9}, {'J01': 46}, 
215.0, {'J01': -48.0}, {'J01': 10}, {'J01': 48}, 
220.0, {'J01': -47.0}, {'J01': 11}, {'J01': 46}, 
225.0, {'J01': -32.0}, {'J01': 9}, {'J01': 31}, 
230.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
235.0, {'J01': -33.0}, {'J01': 6}, {'J01': 33}, 
240.0, {'J01': -41.0}, {'J01': 7}, {'J01': 40}, 
245.0, {'J01': -45.0}, {'J01': 8}, {'J01': 43}, 
250.0, {'J01': -47.0}, {'J01': 8}, {'J01': 46}, 
255.0, {'J01': -43.0}, {'J01': 8}, {'J01': 43}, 
260.0, {'J01': -43.0}, {'J01': 8}, {'J01': 42}, 
265.0, {'J01': -48.0}, {'J01': 8}, {'J01': 46}, 
270.0, {'J01': -46.0}, {'J01': 10}, {'J01': 44}, 
275.0, {'J01': -47.0}, {'J01': 10}, {'J01': 45}, 
280.0, {'J01': -48.0}, {'J01': 11}, {'J01': 46}, 
285.0, {'J01': -40.0}, {'J01': 11}, {'J01': 38}, 
290.0, {'J01': -29.0}, {'J01': 7}, {'J01': 28}, 
295.0, {'J01': -27.0}, {'J01': 4}, {'J01': 24}, 
300.0, {'J01': -29.0}, {'J01': 4}, {'J01': 27}, 
305.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
310.0, {'J01': -45.0}, {'J01': 8}, {'J01': 45}, 
315.0, {'J01': -46.0}, {'J01': 8}, {'J01': 45}, 
320.0, {'J01': -47.0}, {'J01': 8}, {'J01': 46}, 
325.0, {'J01': -37.0}, {'J01': 6}, {'J01': 37}, 
330.0, {'J01': -36.0}, {'J01': 6}, {'J01': 36}, 
335.0, {'J01': -36.0}, {'J01': 7}, {'J01': 36}, 
340.0, {'J01': -42.0}, {'J01': 9}, {'J01': 42}, 
345.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
350.0, {'J01': -42.0}, {'J01': 8}, {'J01': 40}, 
355.0, {'J01': -43.0}, {'J01': 8}, {'J01': 40}, 
360.0, {'J01': -41.0}, {'J01': 8}, {'J01': 38}, 
365.0, {'J01': -45.0}, {'J01': 10}, {'J01': 44}, 
370.0, {'J01': -48.0}, {'J01': 10}, {'J01': 46}, 
375.0, {'J01': -43.0}, {'J01': 10}, {'J01': 41}, 
380.0, {'J01': -34.0}, {'J01': 7}, {'J01': 33}, 
385.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
390.0, {'J01': -36.0}, {'J01': 7}, {'J01': 35}, 
395.0, {'J01': -42.0}, {'J01': 7}, {'J01': 40}, 
400.0, {'J01': -46.0}, {'J01': 8}, {'J01': 45}, 
405.0, {'J01': -47.0}, {'J01': 9}, {'J01': 47}, 
410.0, {'J01': -44.0}, {'J01': 9}, {'J01': 44}, 
415.0, {'J01': -46.0}, {'J01': 11}, {'J01': 46}, 
420.0, {'J01': -44.0}, {'J01': 11}, {'J01': 43}, 
425.0, {'J01': -38.0}, {'J01': 12}, {'J01': 37}, 
430.0, {'J01': -30.0}, {'J01': 8}, {'J01': 29}, 
435.0, {'J01': -27.0}, {'J01': 7}, {'J01': 27}, 
440.0, {'J01': -33.0}, {'J01': 7}, {'J01': 31}, 
445.0, {'J01': -40.0}, {'J01': 8}, {'J01': 38}, 
450.0, {'J01': -42.0}, {'J01': 8}, {'J01': 42}, 
455.0, {'J01': -44.0}, {'J01': 10}, {'J01': 44}, 
460.0, {'J01': -38.0}, {'J01': 7}, {'J01': 37}, 
465.0, {'J01': -36.0}, {'J01': 7}, {'J01': 35}, 
470.0, {'J01': -38.0}, {'J01': 8}, {'J01': 37}, 
475.0, {'J01': -37.0}, {'J01': 9}, {'J01': 35}, 
480.0, {'J01': -42.0}, {'J01': 9}, {'J01': 40}, 
485.0, {'J01': -43.0}, {'J01': 9}, {'J01': 42}, 
490.0, {'J01': -44.0}, {'J01': 9}, {'J01': 43}, 
495.0, {'J01': -48.0}, {'J01': 11}, {'J01': 47}, 
500.0, {'J01': -47.0}, {'J01': 13}, {'J01': 46}, 
505.0, {'J01': -48.0}, {'J01': 15}, {'J01': 48}, 
510.0, {'J01': -42.0}, {'J01': 11}, {'J01': 41}, 
515.0, {'J01': -36.0}, {'J01': 10}, {'J01': 35}, 
520.0, {'J01': -35.0}, {'J01': 8}, {'J01': 33}, 
525.0, {'J01': -36.0}, {'J01': 8}, {'J01': 34}, 
530.0, {'J01': -43.0}, {'J01': 9}, {'J01': 43}, 
535.0, {'J01': -40.0}, {'J01': 8}, {'J01': 40}, 
540.0, {'J01': -39.0}, {'J01': 7}, {'J01': 38}, 
545.0, {'J01': -37.0}, {'J01': 7}, {'J01': 35}, 
550.0, {'J01': -34.0}, {'J01': 7}, {'J01': 31}, 
555.0, {'J01': -29.0}, {'J01': 7}, {'J01': 27}, 
560.0, {'J01': -27.0}, {'J01': 7}, {'J01': 25}, 
565.0, {'J01': -24.0}, {'J01': 7}, {'J01': 23}, 
570.0, {'J01': -21.0}, {'J01': 7}, {'J01': 20}, 
575.0, {'J01': -27.0}, {'J01': 7}, {'J01': 25}, 
580.0, {'J01': -39.0}, {'J01': 8}, {'J01': 37}, 
585.0, {'J01': -42.0}, {'J01': 8}, {'J01': 40}, 
590.0, {'J01': -47.0}, {'J01': 8}, {'J01': 44}, 
595.0, {'J01': -41.0}, {'J01': 8}, {'J01': 38}, 
600.0, {'J01': -39.0}, {'J01': 8}, {'J01': 37}, 
605.0, {'J01': -33.0}, {'J01': 8}, {'J01': 33}, 
610.0, {'J01': -34.0}, {'J01': 8}, {'J01': 32}, 
615.0, {'J01': -29.0}, {'J01': 8}, {'J01': 26}, 
620.0, {'J01': -34.0}, {'J01': 8}, {'J01': 31}, 
625.0, {'J01': -36.0}, {'J01': 8}, {'J01': 32}, 
630.0, {'J01': -40.0}, {'J01': 8}, {'J01': 34}, 
635.0, {'J01': -36.0}, {'J01': 8}, {'J01': 33}, 
640.0, {'J01': -35.0}, {'J01': 8}, {'J01': 34}, 
645.0, {'J01': -29.0}, {'J01': 8}, {'J01': 28}, 
650.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
655.0, {'J01': -27.0}, {'J01': 8}, {'J01': 26}, 
660.0, {'J01': -25.0}, {'J01': 8}, {'J01': 24}, 
665.0, {'J01': -23.0}, {'J01': 8}, {'J01': 22}, 
670.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
675.0, {'J01': -23.0}, {'J01': 8}, {'J01': 23}, 
680.0, {'J01': -22.0}, {'J01': 8}, {'J01': 22}, 
685.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
690.0, {'J01': -25.0}, {'J01': 8}, {'J01': 24}, 
695.0, {'J01': -30.0}, {'J01': 8}, {'J01': 28}, 
700.0, {'J01': -34.0}, {'J01': 8}, {'J01': 32}, 
705.0, {'J01': -33.0}, {'J01': 8}, {'J01': 31}, 
710.0, {'J01': -28.0}, {'J01': 8}, {'J01': 26}, 
715.0, {'J01': -24.0}, {'J01': 7}, {'J01': 24}, 
720.0, {'J01': -26.0}, {'J01': 6}, {'J01': 25}, 
725.0, {'J01': -23.0}, {'J01': 5}, {'J01': 21}, 
730.0, {'J01': -24.0}, {'J01': 4}, {'J01': 23}, 
735.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
740.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
745.0, {'J01': -30.0}, {'J01': 5}, {'J01': 30}, 
750.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
755.0, {'J01': -40.0}, {'J01': 8}, {'J01': 39}, 
760.0, {'J01': -44.0}, {'J01': 8}, {'J01': 43}, 
765.0, {'J01': -41.0}, {'J01': 8}, {'J01': 40}, 
770.0, {'J01': -43.0}, {'J01': 8}, {'J01': 42}, 
775.0, {'J01': -41.0}, {'J01': 8}, {'J01': 40}, 
780.0, {'J01': -39.0}, {'J01': 8}, {'J01': 38}, 
785.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
790.0, {'J01': -35.0}, {'J01': 7}, {'J01': 34}, 
795.0, {'J01': -34.0}, {'J01': 7}, {'J01': 33}, 
800.0, {'J01': -30.0}, {'J01': 7}, {'J01': 30}, 
805.0, {'J01': -33.0}, {'J01': 7}, {'J01': 30}, 
810.0, {'J01': -33.0}, {'J01': 8}, {'J01': 30}, 
815.0, {'J01': -34.0}, {'J01': 7}, {'J01': 31}, 
820.0, {'J01': -29.0}, {'J01': 5}, {'J01': 28}, 
825.0, {'J01': -25.0}, {'J01': 4}, {'J01': 23}, 
830.0, {'J01': -22.0}, {'J01': 4}, {'J01': 21}, 
835.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
840.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
845.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
850.0, {'J01': -33.0}, {'J01': 6}, {'J01': 31}, 
855.0, {'J01': -36.0}, {'J01': 7}, {'J01': 33}, 
860.0, {'J01': -32.0}, {'J01': 5}, {'J01': 29}, 
865.0, {'J01': -24.0}, {'J01': 4}, {'J01': 21}, 
870.0, {'J01': -29.0}, {'J01': 4}, {'J01': 27}, 
875.0, {'J01': -30.0}, {'J01': 6}, {'J01': 29}, 
880.0, {'J01': -37.0}, {'J01': 8}, {'J01': 36}, 
885.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
890.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
