5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -18.86}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -14.93}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -7.0}, {'J01': 3}, {'J01': 7}, 
30.0, {'J01': -28.86}, {'J01': 4}, {'J01': 11}, 
35.0, {'J01': -14.0}, {'J01': 5}, {'J01': 14}, 
40.0, {'J01': -46.79}, {'J01': 5}, {'J01': 20}, 
45.0, {'J01': -41.69}, {'J01': 7}, {'J01': 24}, 
50.0, {'J01': -46.519999999999996}, {'J01': 8}, {'J01': 29}, 
55.0, {'J01': -27.66}, {'J01': 8}, {'J01': 28}, 
60.0, {'J01': -40.08}, {'J01': 8}, {'J01': 32}, 
65.0, {'J01': -28.49}, {'J01': 8}, {'J01': 29}, 
70.0, {'J01': -39.25}, {'J01': 8}, {'J01': 31}, 
75.0, {'J01': -55.28}, {'J01': 8}, {'J01': 29}, 
80.0, {'J01': -92.83}, {'J01': 8}, {'J01': 31}, 
85.0, {'J01': -58.11}, {'J01': 8}, {'J01': 32}, 
90.0, {'J01': -42.25}, {'J01': 8}, {'J01': 34}, 
95.0, {'J01': -124.11}, {'J01': 8}, {'J01': 36}, 
100.0, {'J01': -109.25}, {'J01': 8}, {'J01': 39}, 
105.0, {'J01': -72.36}, {'J01': 8}, {'J01': 38}, 
110.0, {'J01': -100.97999999999999}, {'J01': 8}, {'J01': 40}, 
115.0, {'J01': -67.75}, {'J01': 8}, {'J01': 43}, 
120.0, {'J01': -122.33000000000001}, {'J01': 8}, {'J01': 44}, 
125.0, {'J01': -94.37}, {'J01': 8}, {'J01': 43}, 
130.0, {'J01': -74.68}, {'J01': 8}, {'J01': 41}, 
135.0, {'J01': -83.44}, {'J01': 8}, {'J01': 41}, 
140.0, {'J01': -69.07}, {'J01': 8}, {'J01': 45}, 
145.0, {'J01': -80.49}, {'J01': 10}, {'J01': 48}, 
150.0, {'J01': -104.84}, {'J01': 11}, {'J01': 55}, 
155.0, {'J01': -74.38999999999999}, {'J01': 11}, {'J01': 51}, 
160.0, {'J01': -76.05}, {'J01': 13}, {'J01': 53}, 
165.0, {'J01': -121.53}, {'J01': 14}, {'J01': 54}, 
170.0, {'J01': -88.3}, {'J01': 16}, {'J01': 57}, 
175.0, {'J01': -124.02}, {'J01': 16}, {'J01': 57}, 
180.0, {'J01': -69.44}, {'J01': 16}, {'J01': 56}, 
185.0, {'J01': -98.17999999999999}, {'J01': 14}, {'J01': 48}, 
