episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,3117247.0,6107396.5,43884.5,48839.0,23229.0,-0.77123,2.00419,-3.0,3.0,0.6589,0.0047,nan,-2.06409,nan,1080,85.7
2,2914094.5,3950515.5,41934.0,44256.0,18279.0,-0.70626,1.97391,-3.0,3.0,0.572,0.0061,0.9644,1.149,0.771184,1080,2560.8
3,2612400.0,3290228.0,34924.5,41069.0,15533.0,-0.67091,1.92596,-3.0,3.0,0.5541,0.0059,0.9407,5.85087,0.904507,1080,79.3
4,2409890.5,1642429.5,32588.5,35896.0,10673.0,-0.67473,1.91583,-3.0,3.0,0.4021,0.008,0.9169,4.73577,0.829546,1080,90.4
5,2684305.5,6464858.0,34749.5,47103.0,21750.0,-0.63173,1.88088,-3.0,3.0,0.7039,0.0038,0.8932,3.70015,0.673274,1080,88.4
6,2535495.0,3259445.5,34353.5,40748.0,15787.0,-0.65479,1.89838,-3.0,3.0,0.5591,0.0059,0.8694,2.26491,0.66937,1080,86.2
7,2495747.0,3123519.0,23063.5,41625.0,16451.0,-0.58676,1.9367,-3.0,3.0,0.5536,0.0041,0.8457,2.28052,0.693522,1080,219.0
8,2429678.5,1961321.5,28160.5,38104.0,13242.0,-0.56974,1.85253,-3.0,3.0,0.4438,0.0064,0.8219,1.6235,0.604497,1080,108.9
9,2659417.0,9351278.5,27322.0,52371.0,27536.0,-0.6036,1.94406,-3.0,3.0,0.7768,0.0023,0.7982,1.60589,0.641409,1080,91.7
10,2351546.0,2020235.0,19471.0,36871.0,13041.0,-0.49448,1.86777,-3.0,3.0,0.4601,0.0044,0.7744,1.11819,0.61665,1080,248.0
11,2576152.0,6242634.5,21359.0,47917.0,22914.0,-0.46786,1.89011,-3.0,3.0,0.7062,0.0024,0.7507,1.23675,0.599893,1080,119.3
12,2548887.0,5634412.5,17472.0,45285.0,20060.0,-0.49818,1.87769,-3.0,3.0,0.6871,0.0021,0.7269,1.26338,0.572736,1080,94.6
13,2215421.0,1189096.5,16238.5,35085.0,10094.0,-0.43167,1.8093,-3.0,3.0,0.3476,0.0047,0.7032,0.47792,0.560001,1080,121.2
14,2691936.5,4326933.0,15491.5,44459.0,18637.0,-0.38651,1.91627,-3.0,3.0,0.6151,0.0022,0.6794,0.23379,0.549566,1080,126.4
15,2369014.5,3076049.0,14626.5,40297.0,15062.0,-0.39937,1.81349,-3.0,3.0,0.5634,0.0027,0.6557,-0.30686,0.516211,1080,221.3
16,2407240.0,6618859.5,17637.5,47880.0,22607.0,-0.43406,1.86601,-3.0,3.0,0.7319,0.002,0.6319,-1.06208,0.517116,1080,348.0
