episode,decision,signal_id,reward
1,50,J01,-0.58213
1,100,J01,-2.68364
1,150,J01,-3.0
1,200,J01,-0.15879
1,250,J01,-0.84745
1,300,J01,3.0
1,350,J01,-1.77077
1,400,J01,3.0
1,450,J01,-3.0
1,500,J01,-3.0
1,550,J01,3.0
1,600,J01,3.0
1,650,J01,-3.0
1,700,J01,-3.0
1,750,J01,-3.0
1,800,J01,0.01758
1,850,J01,0.84644
1,900,J01,0.05458
1,950,J01,-0.01665
1,1000,J01,-0.10176
1,1050,J01,-0.25624
2,50,J01,-3.0
2,100,J01,-3.0
2,150,J01,-1.33216
2,200,J01,-3.0
2,250,J01,-1.08087
2,300,J01,-3.0
2,350,J01,-3.0
2,400,J01,-3.0
2,450,J01,3.0
2,500,J01,-2.87503
2,550,J01,-3.0
2,600,J01,-1.84475
2,650,J01,0.3651
2,700,J01,-3.0
2,750,J01,3.0
2,800,J01,-0.11563
2,850,J01,0.42461
2,900,J01,0.54949
2,950,J01,0.40611
2,1000,J01,0.53099
2,1050,J01,-0.22849
3,50,J01,-1.76973
3,100,J01,-3.0
3,150,J01,0.05857
3,200,J01,1.95578
3,250,J01,0.17831
3,300,J01,-0.40269
3,350,J01,3.0
3,400,J01,3.0
3,450,J01,-0.21658
3,500,J01,-2.227
3,550,J01,-3.0
3,600,J01,0.19769
3,650,J01,-3.0
3,700,J01,-3.0
3,750,J01,-0.87744
3,800,J01,-0.33302
3,850,J01,-0.08233
3,900,J01,-0.20352
3,950,J01,-0.43293
3,1000,J01,0.50046
3,1050,J01,0.3062
4,50,J01,0.21198
4,100,J01,2.73622
4,150,J01,-0.74033
4,200,J01,-2.87287
4,250,J01,3.0
4,300,J01,-3.0
4,350,J01,-3.0
4,400,J01,-3.0
4,450,J01,-3.0
4,500,J01,-3.0
4,550,J01,-3.0
4,600,J01,-1.5248
4,650,J01,-1.2471
4,700,J01,-3.0
4,750,J01,-0.27962
4,800,J01,-0.10083
4,850,J01,0.56244
4,900,J01,0.79556
4,950,J01,-0.42831
4,1000,J01,-0.10823
4,1050,J01,-0.14801
5,50,J01,-3.0
5,100,J01,-1.53439
5,150,J01,-3.0
5,200,J01,3.0
5,250,J01,-0.80913
5,300,J01,-3.0
5,350,J01,3.0
5,400,J01,3.0
5,450,J01,-3.0
5,500,J01,-1.17453
5,550,J01,3.0
5,600,J01,-3.0
5,650,J01,-1.0779
5,700,J01,-3.0
5,750,J01,3.0
5,800,J01,-0.09898
5,850,J01,0.07401
5,900,J01,-0.38113
5,950,J01,0.27105
5,1000,J01,0.31082
5,1050,J01,0.13043
6,50,J01,-0.41974
6,100,J01,3.0
6,150,J01,-3.0
6,200,J01,-3.0
6,250,J01,-2.5475
6,300,J01,2.79123
6,350,J01,-3.0
6,400,J01,-2.8787
6,450,J01,-0.89248
6,500,J01,-0.69338
6,550,J01,-3.0
6,600,J01,-3.0
6,650,J01,-3.0
6,700,J01,-3.0
6,750,J01,3.0
6,800,J01,-0.45328
6,850,J01,0.0333
6,900,J01,0.04625
6,950,J01,-0.45883
6,1000,J01,-0.40241
6,1050,J01,-0.13321
7,50,J01,-3.0
7,100,J01,-3.0
7,150,J01,-2.43408
7,200,J01,3.0
7,250,J01,2.21016
7,300,J01,-2.30605
7,350,J01,3.0
7,400,J01,-3.0
7,450,J01,1.41486
7,500,J01,-2.83961
7,550,J01,-3.0
7,600,J01,-3.0
7,650,J01,-3.0
7,700,J01,-2.8759
7,750,J01,-0.05123
7,800,J01,-0.46901
7,850,J01,-0.06938
7,900,J01,-0.44588
7,950,J01,-0.45698
7,1000,J01,0.52729
7,1050,J01,1.64292
8,50,J01,-3.0
8,100,J01,-3.0
8,150,J01,-1.16571
8,200,J01,3.0
8,250,J01,0.41186
8,300,J01,0.47108
8,350,J01,3.0
8,400,J01,0.83511
8,450,J01,-2.92512
8,500,J01,2.15728
8,550,J01,-2.15355
8,600,J01,-3.0
8,650,J01,-0.85063
8,700,J01,1.08134
8,750,J01,1.83216
8,800,J01,-0.38113
8,850,J01,0.05735
8,900,J01,0.3432
8,950,J01,0.33488
8,1000,J01,-0.42183
8,1050,J01,0.00648
9,50,J01,-0.8166
9,100,J01,3.0
9,150,J01,3.0
9,200,J01,-2.1275
9,250,J01,-1.13947
9,300,J01,-2.70441
9,350,J01,3.0
9,400,J01,-3.0
9,450,J01,2.35622
9,500,J01,0.38445
9,550,J01,3.0
9,600,J01,-3.0
9,650,J01,-0.14304
9,700,J01,3.0
9,750,J01,-0.54839
9,800,J01,-0.15079
9,850,J01,-0.05735
9,900,J01,-0.13691
9,950,J01,-0.28677
9,1000,J01,-0.03423
9,1050,J01,0.07308
10,50,J01,3.0
10,100,J01,3.0
10,150,J01,-2.57209
10,200,J01,-1.97521
10,250,J01,-1.621
10,300,J01,3.0
10,350,J01,3.0
10,400,J01,3.0
10,450,J01,3.0
10,500,J01,-2.06489
10,550,J01,-3.0
10,600,J01,-2.86992
10,650,J01,2.57841
10,700,J01,-3.0
10,750,J01,2.23628
10,800,J01,-0.09436
10,850,J01,-0.01758
10,900,J01,-0.01573
10,950,J01,-0.18964
10,1000,J01,0.49306
10,1050,J01,-0.34413
11,50,J01,-3.0
11,100,J01,-3.0
11,150,J01,-0.94414
11,200,J01,3.0
11,250,J01,-3.0
11,300,J01,1.03168
11,350,J01,3.0
11,400,J01,-0.98194
11,450,J01,1.60248
11,500,J01,0.63006
11,550,J01,-0.20654
11,600,J01,-0.13467
11,650,J01,-3.0
11,700,J01,-3.0
11,750,J01,-0.64433
11,800,J01,0.11933
11,850,J01,0.22572
11,900,J01,0.06938
11,950,J01,-0.44126
11,1000,J01,0.02683
11,1050,J01,0.11378
12,50,J01,3.0
12,100,J01,-2.74085
12,150,J01,-1.7502
12,200,J01,3.0
12,250,J01,-2.45927
12,300,J01,-2.95648
12,350,J01,-1.963
12,400,J01,-3.0
12,450,J01,-0.56738
12,500,J01,-1.37803
12,550,J01,-3.0
12,600,J01,-3.0
12,650,J01,3.0
12,700,J01,-3.0
12,750,J01,-0.86188
12,800,J01,0.37465
12,850,J01,0.08141
12,900,J01,0.13228
12,950,J01,-0.04903
12,1000,J01,-0.13136
12,1050,J01,-0.23682
13,50,J01,-0.46362
13,100,J01,-3.0
13,150,J01,-0.624
13,200,J01,3.0
13,250,J01,-0.50251
13,300,J01,3.0
13,350,J01,-0.9587
13,400,J01,3.0
13,450,J01,1.78505
13,500,J01,0.35501
13,550,J01,3.0
13,600,J01,-2.17264
13,650,J01,-3.0
13,700,J01,-3.0
13,750,J01,0.01018
13,800,J01,0.27197
13,850,J01,0.10638
13,900,J01,-0.03978
13,950,J01,0.08973
13,1000,J01,0.07493
13,1050,J01,-0.13691
14,50,J01,0.32578
14,100,J01,-0.37445
14,150,J01,-0.20263
14,200,J01,1.72907
14,250,J01,-1.13207
