5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -15.98}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -4.0}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -6.0}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': -5.92}, {'J01': 2}, {'J01': 6}, 
40.0, {'J01': -21.98}, {'J01': 1}, {'J01': 6}, 
45.0, {'J01': -9.0}, {'J01': 3}, {'J01': 9}, 
50.0, {'J01': -26.98}, {'J01': 3}, {'J01': 11}, 
55.0, {'J01': -25.9}, {'J01': 2}, {'J01': 10}, 
60.0, {'J01': -10.92}, {'J01': 2}, {'J01': 11}, 
65.0, {'J01': -28.83}, {'J01': 4}, {'J01': 21}, 
70.0, {'J01': -18.76}, {'J01': 4}, {'J01': 19}, 
75.0, {'J01': -64.78}, {'J01': 3}, {'J01': 17}, 
80.0, {'J01': -40.89}, {'J01': 4}, {'J01': 17}, 
85.0, {'J01': -44.89}, {'J01': 4}, {'J01': 21}, 
90.0, {'J01': -69.86}, {'J01': 4}, {'J01': 22}, 
95.0, {'J01': -71.71000000000001}, {'J01': 6}, {'J01': 32}, 
100.0, {'J01': -87.61}, {'J01': 7}, {'J01': 32}, 
105.0, {'J01': -82.53999999999999}, {'J01': 7}, {'J01': 35}, 
110.0, {'J01': -67.56}, {'J01': 8}, {'J01': 36}, 
115.0, {'J01': -92.45}, {'J01': 8}, {'J01': 37}, 
120.0, {'J01': -121.18}, {'J01': 8}, {'J01': 42}, 
125.0, {'J01': -73.24000000000001}, {'J01': 8}, {'J01': 42}, 
130.0, {'J01': -90.14}, {'J01': 8}, {'J01': 43}, 
135.0, {'J01': -76.08000000000001}, {'J01': 8}, {'J01': 45}, 
140.0, {'J01': -59.94}, {'J01': 8}, {'J01': 45}, 
145.0, {'J01': -80.75}, {'J01': 8}, {'J01': 42}, 
150.0, {'J01': -105.94999999999999}, {'J01': 7}, {'J01': 35}, 
155.0, {'J01': -62.400000000000006}, {'J01': 5}, {'J01': 31}, 
160.0, {'J01': -79.38}, {'J01': 5}, {'J01': 32}, 
165.0, {'J01': -80.07000000000001}, {'J01': 7}, {'J01': 41}, 
170.0, {'J01': -55.03}, {'J01': 8}, {'J01': 48}, 
175.0, {'J01': -95.9}, {'J01': 8}, {'J01': 49}, 
180.0, {'J01': -70.85}, {'J01': 8}, {'J01': 48}, 
185.0, {'J01': -100.89}, {'J01': 9}, {'J01': 46}, 
190.0, {'J01': -97.89}, {'J01': 9}, {'J01': 43}, 
195.0, {'J01': -116.78999999999999}, {'J01': 8}, {'J01': 46}, 
200.0, {'J01': -101.81}, {'J01': 8}, {'J01': 47}, 
205.0, {'J01': -78.68}, {'J01': 9}, {'J01': 48}, 
210.0, {'J01': -80.6}, {'J01': 9}, {'J01': 50}, 
215.0, {'J01': -80.6}, {'J01': 9}, {'J01': 50}, 
220.0, {'J01': -57.550000000000004}, {'J01': 10}, {'J01': 51}, 
225.0, {'J01': -62.620000000000005}, {'J01': 10}, {'J01': 48}, 
230.0, {'J01': -61.7}, {'J01': 11}, {'J01': 47}, 
235.0, {'J01': -71.61}, {'J01': 11}, {'J01': 49}, 
240.0, {'J01': -48.56}, {'J01': 11}, {'J01': 50}, 
245.0, {'J01': -65.77}, {'J01': 9}, {'J01': 43}, 
250.0, {'J01': -48.71}, {'J01': 9}, {'J01': 42}, 
255.0, {'J01': -81.67}, {'J01': 9}, {'J01': 43}, 
260.0, {'J01': -80.83000000000001}, {'J01': 8}, {'J01': 42}, 
265.0, {'J01': -54.94}, {'J01': 8}, {'J01': 40}, 
270.0, {'J01': -56.78}, {'J01': 8}, {'J01': 42}, 
275.0, {'J01': -55.550000000000004}, {'J01': 10}, {'J01': 49}, 
280.0, {'J01': -91.51}, {'J01': 12}, {'J01': 53}, 
285.0, {'J01': -67.54}, {'J01': 12}, {'J01': 53}, 
290.0, {'J01': -83.52000000000001}, {'J01': 13}, {'J01': 53}, 
295.0, {'J01': -102.49000000000001}, {'J01': 14}, {'J01': 48}, 
300.0, {'J01': -106.25}, {'J01': 16}, {'J01': 52}, 
305.0, {'J01': -93.19}, {'J01': 16}, {'J01': 55}, 
310.0, {'J01': -121.16}, {'J01': 16}, {'J01': 59}, 
315.0, {'J01': -66.07}, {'J01': 17}, {'J01': 60}, 
320.0, {'J01': -88.12}, {'J01': 18}, {'J01': 58}, 
325.0, {'J01': -60.15}, {'J01': 19}, {'J01': 54}, 
330.0, {'J01': -61.07}, {'J01': 19}, {'J01': 55}, 
335.0, {'J01': -87.96000000000001}, {'J01': 20}, {'J01': 58}, 
340.0, {'J01': -79.05}, {'J01': 21}, {'J01': 57}, 
345.0, {'J01': -100.02}, {'J01': 21}, {'J01': 54}, 
350.0, {'J01': -68.9}, {'J01': 22}, {'J01': 55}, 
355.0, {'J01': -76.89}, {'J01': 22}, {'J01': 55}, 
360.0, {'J01': -86.88}, {'J01': 24}, {'J01': 57}, 
365.0, {'J01': -70.06}, {'J01': 24}, {'J01': 56}, 
370.0, {'J01': -118.0}, {'J01': 24}, {'J01': 56}, 
375.0, {'J01': -85.03999999999999}, {'J01': 24}, {'J01': 55}, 
380.0, {'J01': -111.00999999999999}, {'J01': 24}, {'J01': 57}, 
385.0, {'J01': -77.97}, {'J01': 25}, {'J01': 56}, 
390.0, {'J01': -79.89}, {'J01': 25}, {'J01': 58}, 
395.0, {'J01': -103.7}, {'J01': 26}, {'J01': 58}, 
400.0, {'J01': -72.89}, {'J01': 26}, {'J01': 51}, 
405.0, {'J01': -91.71000000000001}, {'J01': 27}, {'J01': 54}, 
410.0, {'J01': -70.66}, {'J01': 28}, {'J01': 57}, 
415.0, {'J01': -102.62}, {'J01': 29}, {'J01': 57}, 
420.0, {'J01': -106.61}, {'J01': 29}, {'J01': 53}, 
425.0, {'J01': -59.59}, {'J01': 30}, {'J01': 54}, 
430.0, {'J01': -72.42}, {'J01': 30}, {'J01': 59}, 
435.0, {'J01': -107.44999999999999}, {'J01': 30}, {'J01': 54}, 
440.0, {'J01': -91.47}, {'J01': 31}, {'J01': 54}, 
445.0, {'J01': -104.38}, {'J01': 32}, {'J01': 59}, 
450.0, {'J01': -109.3}, {'J01': 33}, {'J01': 64}, 
455.0, {'J01': -121.13}, {'J01': 34}, {'J01': 68}, 
460.0, {'J01': -93.08000000000001}, {'J01': 36}, {'J01': 64}, 
465.0, {'J01': -143.02}, {'J01': 36}, {'J01': 66}, 
470.0, {'J01': -102.07000000000001}, {'J01': 36}, {'J01': 65}, 
475.0, {'J01': -88.09}, {'J01': 36}, {'J01': 67}, 
480.0, {'J01': -170.83}, {'J01': 37}, {'J01': 70}, 
485.0, {'J01': -110.82}, {'J01': 38}, {'J01': 66}, 
490.0, {'J01': -106.75000000000001}, {'J01': 38}, {'J01': 70}, 
495.0, {'J01': -118.74000000000001}, {'J01': 38}, {'J01': 74}, 
500.0, {'J01': -97.77000000000001}, {'J01': 39}, {'J01': 77}, 
505.0, {'J01': -93.93}, {'J01': 38}, {'J01': 73}, 
510.0, {'J01': -91.93}, {'J01': 38}, {'J01': 71}, 
515.0, {'J01': -88.85}, {'J01': 38}, {'J01': 68}, 
520.0, {'J01': -82.09}, {'J01': 35}, {'J01': 61}, 
