5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0037002775)}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': np.float32(-0.007400555)}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': np.float32(-0.13284273)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.91565585)}, {'J01': 4}, {'J01': 6}, 
30.0, {'J01': np.float32(0.86996025)}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': np.float32(-0.10083256)}, {'J01': 2}, {'J01': 10}, 
40.0, {'J01': np.float32(-0.7328594)}, {'J01': 3}, {'J01': 10}, 
45.0, {'J01': np.float32(-2.03095)}, {'J01': 4}, {'J01': 9}, 
50.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 11}, 
55.0, {'J01': np.float32(3.0)}, {'J01': 3}, {'J01': 14}, 
60.0, {'J01': np.float32(-0.23937863)}, {'J01': 3}, {'J01': 20}, 
65.0, {'J01': np.float32(-2.545463)}, {'J01': 6}, {'J01': 33}, 
70.0, {'J01': np.float32(1.3506931)}, {'J01': 6}, {'J01': 30}, 
75.0, {'J01': np.float32(-0.019372711)}, {'J01': 8}, {'J01': 37}, 
80.0, {'J01': np.float32(-1.1083103)}, {'J01': 8}, {'J01': 41}, 
85.0, {'J01': np.float32(-1.854062)}, {'J01': 8}, {'J01': 40}, 
90.0, {'J01': np.float32(1.0654696)}, {'J01': 8}, {'J01': 36}, 
95.0, {'J01': np.float32(-1.7155036)}, {'J01': 8}, {'J01': 34}, 
100.0, {'J01': np.float32(0.3594568)}, {'J01': 8}, {'J01': 36}, 
105.0, {'J01': np.float32(0.8154119)}, {'J01': 8}, {'J01': 38}, 
110.0, {'J01': np.float32(-1.7561262)}, {'J01': 8}, {'J01': 42}, 
115.0, {'J01': np.float32(0.08539491)}, {'J01': 8}, {'J01': 42}, 
120.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 41}, 
125.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 40}, 
130.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 43}, 
135.0, {'J01': np.float32(-2.779457)}, {'J01': 8}, {'J01': 48}, 
140.0, {'J01': np.float32(2.1523347)}, {'J01': 7}, {'J01': 46}, 
145.0, {'J01': np.float32(0.060091026)}, {'J01': 7}, {'J01': 42}, 
150.0, {'J01': np.float32(-2.9959424)}, {'J01': 7}, {'J01': 42}, 
155.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 40}, 
160.0, {'J01': np.float32(-1.1536368)}, {'J01': 8}, {'J01': 40}, 
165.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 45}, 
170.0, {'J01': np.float32(-0.8588802)}, {'J01': 8}, {'J01': 45}, 
175.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 44}, 
180.0, {'J01': np.float32(-1.8781263)}, {'J01': 8}, {'J01': 45}, 
185.0, {'J01': np.float32(-2.7054884)}, {'J01': 10}, {'J01': 44}, 
190.0, {'J01': np.float32(3.0)}, {'J01': 10}, {'J01': 40}, 
195.0, {'J01': np.float32(-1.2366418)}, {'J01': 9}, {'J01': 41}, 
200.0, {'J01': np.float32(0.22922406)}, {'J01': 9}, {'J01': 44}, 
205.0, {'J01': np.float32(-2.8972278)}, {'J01': 10}, {'J01': 47}, 
210.0, {'J01': np.float32(-0.67306215)}, {'J01': 7}, {'J01': 36}, 
215.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 29}, 
220.0, {'J01': np.float32(0.01833395)}, {'J01': 6}, {'J01': 30}, 
225.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 38}, 
230.0, {'J01': np.float32(2.5674229)}, {'J01': 8}, {'J01': 36}, 
235.0, {'J01': np.float32(-0.6009918)}, {'J01': 8}, {'J01': 38}, 
240.0, {'J01': np.float32(-0.5233579)}, {'J01': 8}, {'J01': 38}, 
245.0, {'J01': np.float32(0.826994)}, {'J01': 6}, {'J01': 29}, 
250.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 27}, 
255.0, {'J01': np.float32(-1.0095701)}, {'J01': 6}, {'J01': 31}, 
260.0, {'J01': np.float32(-2.5124836)}, {'J01': 7}, {'J01': 35}, 
265.0, {'J01': np.float32(1.1992928)}, {'J01': 8}, {'J01': 36}, 
270.0, {'J01': np.float32(2.5554225)}, {'J01': 7}, {'J01': 31}, 
275.0, {'J01': np.float32(-0.91621786)}, {'J01': 6}, {'J01': 27}, 
