episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2834423.5,1241789.5,36404.0,36151.0,10514.0,-0.69096,1.91487,-3.0,3.0,0.3019,0.0089,nan,-0.18121,nan,1080,49.2
2,2729730.5,1372229.0,34679.0,37853.0,11781.0,-0.70502,1.92762,-3.0,3.0,0.3317,0.0084,0.9715,0.95128,0.476852,1080,48.1
3,2652265.5,2236048.5,33849.0,39134.0,13434.0,-0.67505,1.92956,-3.0,3.0,0.4543,0.0069,0.9525,2.20234,0.52217,1080,46.6
4,2825164.5,2222511.5,30327.5,39695.0,13783.0,-0.62875,1.93521,-3.0,3.0,0.4377,0.006,0.9335,1.34923,0.520583,1080,43.5
5,2818619.5,7843986.0,24598.5,50795.0,24805.0,-0.59093,1.87775,-3.0,3.0,0.734,0.0023,0.9145,1.52339,0.534453,1080,50.9
6,2828773.5,5060525.5,30167.5,44280.0,18307.0,-0.69114,1.92771,-3.0,3.0,0.639,0.0038,0.8955,0.68961,0.535365,1080,51.0
7,2504025.5,1456605.0,26345.5,36374.0,10988.0,-0.61467,1.8683,-3.0,3.0,0.3653,0.0066,0.8765,0.69604,0.554222,1080,49.7
8,2711321.0,6087145.5,28479.0,46941.0,21688.0,-0.6291,1.93037,-3.0,3.0,0.6896,0.0032,0.8575,0.31574,0.546248,1080,52.8
9,2648911.0,5196748.5,29005.0,46490.0,20697.0,-0.61828,1.92144,-3.0,3.0,0.6599,0.0037,0.8385,-0.09804,0.512585,1080,52.8
10,2739418.5,5417940.0,22296.0,47506.0,21642.0,-0.53097,1.94998,-3.0,3.0,0.6624,0.0027,0.8195,0.23326,0.522111,1080,53.0
11,2645160.0,8500927.0,23622.0,51591.0,25551.0,-0.52581,1.94231,-3.0,3.0,0.7611,0.0021,0.8005,-1.07903,0.525003,1080,54.3
12,2685733.5,8650510.5,24325.0,51229.0,25586.0,-0.53646,1.93007,-3.0,3.0,0.7615,0.0021,0.7815,-1.32102,0.540121,1080,54.2
13,2841360.5,5343262.5,17289.5,46995.0,21008.0,-0.48361,1.87809,-3.0,3.0,0.6515,0.0021,0.7625,-1.03779,0.532299,1080,54.3
14,2445170.5,6425614.0,16695.5,48746.0,23091.0,-0.4383,1.8723,-3.0,3.0,0.723,0.0019,0.7435,-1.29975,0.484143,1080,52.4
15,2487716.5,5377656.0,24289.0,47051.0,21208.0,-0.50537,1.91209,-3.0,3.0,0.6816,0.0031,0.7245,-1.15222,0.492888,1080,52.3
16,2448166.5,2484636.5,13348.0,39886.0,14340.0,-0.38494,1.77211,-3.0,3.0,0.5023,0.0027,0.7055,-0.95319,0.473467,1080,50.4
