5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -15.98}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -9.99}, {'J01': 2}, {'J01': 2}, 
25.0, {'J01': -12.99}, {'J01': 3}, {'J01': 5}, 
30.0, {'J01': -7.0}, {'J01': 2}, {'J01': 7}, 
35.0, {'J01': -15.99}, {'J01': 2}, {'J01': 8}, 
40.0, {'J01': -30.98}, {'J01': 4}, {'J01': 15}, 
45.0, {'J01': -18.0}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': -34.910000000000004}, {'J01': 8}, {'J01': 27}, 
55.0, {'J01': -28.84}, {'J01': 8}, {'J01': 29}, 
60.0, {'J01': -28.84}, {'J01': 8}, {'J01': 29}, 
65.0, {'J01': -31.910000000000004}, {'J01': 8}, {'J01': 24}, 
70.0, {'J01': -45.82}, {'J01': 8}, {'J01': 30}, 
75.0, {'J01': -31.76}, {'J01': 8}, {'J01': 32}, 
80.0, {'J01': -63.64}, {'J01': 8}, {'J01': 32}, 
85.0, {'J01': -50.66}, {'J01': 8}, {'J01': 35}, 
90.0, {'J01': -50.89}, {'J01': 6}, {'J01': 27}, 
95.0, {'J01': -74.78}, {'J01': 6}, {'J01': 27}, 
100.0, {'J01': -101.67}, {'J01': 6}, {'J01': 30}, 
105.0, {'J01': -109.58000000000001}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -94.68}, {'J01': 8}, {'J01': 31}, 
115.0, {'J01': -94.6}, {'J01': 8}, {'J01': 31}, 
120.0, {'J01': -78.62}, {'J01': 8}, {'J01': 31}, 
125.0, {'J01': -67.4}, {'J01': 8}, {'J01': 36}, 
130.0, {'J01': -79.39}, {'J01': 8}, {'J01': 40}, 
135.0, {'J01': -110.35}, {'J01': 8}, {'J01': 39}, 
140.0, {'J01': -124.33}, {'J01': 8}, {'J01': 37}, 
145.0, {'J01': -68.32}, {'J01': 8}, {'J01': 37}, 
150.0, {'J01': -118.94}, {'J01': 8}, {'J01': 40}, 
155.0, {'J01': -52.10000000000001}, {'J01': 8}, {'J01': 37}, 
160.0, {'J01': -115.94}, {'J01': 8}, {'J01': 37}, 
165.0, {'J01': -116.86000000000001}, {'J01': 8}, {'J01': 38}, 
170.0, {'J01': -52.7}, {'J01': 8}, {'J01': 38}, 
175.0, {'J01': -105.56}, {'J01': 8}, {'J01': 43}, 
180.0, {'J01': -84.51}, {'J01': 9}, {'J01': 46}, 
185.0, {'J01': -74.52000000000001}, {'J01': 9}, {'J01': 44}, 
190.0, {'J01': -116.47}, {'J01': 9}, {'J01': 46}, 
195.0, {'J01': -84.82}, {'J01': 8}, {'J01': 38}, 
200.0, {'J01': -38.190000000000005}, {'J01': 6}, {'J01': 31}, 
205.0, {'J01': -60.01}, {'J01': 6}, {'J01': 37}, 
210.0, {'J01': -75.99000000000001}, {'J01': 7}, {'J01': 37}, 
215.0, {'J01': -90.89}, {'J01': 8}, {'J01': 36}, 
220.0, {'J01': -51.94}, {'J01': 8}, {'J01': 37}, 
225.0, {'J01': -60.769999999999996}, {'J01': 9}, {'J01': 38}, 
230.0, {'J01': -54.78}, {'J01': 9}, {'J01': 40}, 
235.0, {'J01': -74.68}, {'J01': 9}, {'J01': 44}, 
240.0, {'J01': -64.92}, {'J01': 9}, {'J01': 34}, 
245.0, {'J01': -31.880000000000003}, {'J01': 10}, {'J01': 33}, 
250.0, {'J01': -60.85}, {'J01': 10}, {'J01': 38}, 
255.0, {'J01': -77.59}, {'J01': 11}, {'J01': 39}, 
260.0, {'J01': -93.65}, {'J01': 11}, {'J01': 39}, 
265.0, {'J01': -61.69}, {'J01': 12}, {'J01': 39}, 
270.0, {'J01': -90.34}, {'J01': 14}, {'J01': 44}, 
275.0, {'J01': -93.57}, {'J01': 12}, {'J01': 39}, 
280.0, {'J01': -66.07000000000001}, {'J01': 8}, {'J01': 27}, 
285.0, {'J01': -47.33}, {'J01': 6}, {'J01': 24}, 
290.0, {'J01': -83.28999999999999}, {'J01': 6}, {'J01': 28}, 
295.0, {'J01': -69.08000000000001}, {'J01': 9}, {'J01': 38}, 
300.0, {'J01': -82.83000000000001}, {'J01': 10}, {'J01': 44}, 
305.0, {'J01': -106.64}, {'J01': 10}, {'J01': 44}, 
310.0, {'J01': -97.81}, {'J01': 10}, {'J01': 43}, 
315.0, {'J01': -40.27}, {'J01': 7}, {'J01': 33}, 
320.0, {'J01': -50.260000000000005}, {'J01': 7}, {'J01': 35}, 
325.0, {'J01': -68.92}, {'J01': 8}, {'J01': 38}, 
330.0, {'J01': -89.82}, {'J01': 9}, {'J01': 43}, 
335.0, {'J01': -39.04}, {'J01': 10}, {'J01': 40}, 
340.0, {'J01': -86.97999999999999}, {'J01': 10}, {'J01': 40}, 
345.0, {'J01': -91.05000000000001}, {'J01': 10}, {'J01': 36}, 
350.0, {'J01': -59.85}, {'J01': 12}, {'J01': 37}, 
