5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.96246713)}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': np.float32(0.9430407)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.009250694)}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': np.float32(-1.7027271)}, {'J01': 4}, {'J01': 4}, 
35.0, {'J01': np.float32(-2.2046313)}, {'J01': 4}, {'J01': 6}, 
40.0, {'J01': np.float32(-2.21316)}, {'J01': 4}, {'J01': 6}, 
45.0, {'J01': np.float32(-2.673154)}, {'J01': 4}, {'J01': 9}, 
50.0, {'J01': np.float32(3.0)}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': np.float32(-1.2369635)}, {'J01': 4}, {'J01': 9}, 
60.0, {'J01': np.float32(3.0)}, {'J01': 3}, {'J01': 8}, 
65.0, {'J01': np.float32(-0.16685106)}, {'J01': 3}, {'J01': 12}, 
70.0, {'J01': np.float32(-0.15204996)}, {'J01': 4}, {'J01': 14}, 
75.0, {'J01': np.float32(-0.76487726)}, {'J01': 5}, {'J01': 18}, 
80.0, {'J01': np.float32(-1.4336827)}, {'J01': 5}, {'J01': 26}, 
85.0, {'J01': np.float32(1.6190821)}, {'J01': 6}, {'J01': 26}, 
90.0, {'J01': np.float32(-0.8890962)}, {'J01': 7}, {'J01': 27}, 
95.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 31}, 
100.0, {'J01': np.float32(-0.80780315)}, {'J01': 8}, {'J01': 32}, 
105.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 29}, 
110.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 31}, 
115.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 34}, 
120.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
125.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 34}, 
130.0, {'J01': np.float32(-3.0)}, {'J01': 5}, {'J01': 22}, 
135.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 18}, 
140.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 25}, 
145.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 33}, 
150.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
155.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
160.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 34}, 
165.0, {'J01': np.float32(-1.5767807)}, {'J01': 8}, {'J01': 34}, 
170.0, {'J01': np.float32(-1.6044866)}, {'J01': 8}, {'J01': 34}, 
175.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 36}, 
180.0, {'J01': np.float32(-1.859384)}, {'J01': 8}, {'J01': 35}, 
185.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 38}, 
190.0, {'J01': np.float32(1.4615505)}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 35}, 
200.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 28}, 
205.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 34}, 
210.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 36}, 
215.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 40}, 
220.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 31}, 
