5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.023126734)}, {'J01': 1}, {'J01': 4}, 
15.0, {'J01': np.float32(-0.83646715)}, {'J01': 3}, {'J01': 8}, 
20.0, {'J01': np.float32(0.61075026)}, {'J01': 3}, {'J01': 13}, 
25.0, {'J01': np.float32(-0.0660297)}, {'J01': 3}, {'J01': 13}, 
30.0, {'J01': np.float32(-0.13902007)}, {'J01': 4}, {'J01': 13}, 
35.0, {'J01': np.float32(-0.57013375)}, {'J01': 4}, {'J01': 16}, 
40.0, {'J01': np.float32(-2.3458064)}, {'J01': 5}, {'J01': 23}, 
45.0, {'J01': np.float32(1.6980482)}, {'J01': 8}, {'J01': 27}, 
50.0, {'J01': np.float32(-1.3756188)}, {'J01': 11}, {'J01': 35}, 
55.0, {'J01': np.float32(-3.0)}, {'J01': 11}, {'J01': 37}, 
60.0, {'J01': np.float32(-3.0)}, {'J01': 12}, {'J01': 44}, 
65.0, {'J01': np.float32(3.0)}, {'J01': 12}, {'J01': 50}, 
70.0, {'J01': np.float32(-0.3258113)}, {'J01': 12}, {'J01': 58}, 
75.0, {'J01': np.float32(-3.0)}, {'J01': 16}, {'J01': 66}, 
80.0, {'J01': np.float32(2.4159904)}, {'J01': 20}, {'J01': 75}, 
85.0, {'J01': np.float32(-2.6189206)}, {'J01': 22}, {'J01': 84}, 
90.0, {'J01': np.float32(-3.0)}, {'J01': 24}, {'J01': 87}, 
95.0, {'J01': np.float32(-0.52653855)}, {'J01': 27}, {'J01': 94}, 
100.0, {'J01': np.float32(-3.0)}, {'J01': 26}, {'J01': 94}, 
105.0, {'J01': np.float32(3.0)}, {'J01': 25}, {'J01': 93}, 
110.0, {'J01': np.float32(-3.0)}, {'J01': 25}, {'J01': 95}, 
115.0, {'J01': np.float32(-2.8899345)}, {'J01': 28}, {'J01': 100}, 
120.0, {'J01': np.float32(3.0)}, {'J01': 28}, {'J01': 99}, 
125.0, {'J01': np.float32(-2.630799)}, {'J01': 30}, {'J01': 107}, 
130.0, {'J01': np.float32(-3.0)}, {'J01': 34}, {'J01': 114}, 
135.0, {'J01': np.float32(3.0)}, {'J01': 36}, {'J01': 114}, 
140.0, {'J01': np.float32(-3.0)}, {'J01': 37}, {'J01': 114}, 
145.0, {'J01': np.float32(-3.0)}, {'J01': 37}, {'J01': 113}, 
150.0, {'J01': np.float32(3.0)}, {'J01': 37}, {'J01': 119}, 
155.0, {'J01': np.float32(-3.0)}, {'J01': 37}, {'J01': 122}, 
160.0, {'J01': np.float32(-3.0)}, {'J01': 38}, {'J01': 121}, 
165.0, {'J01': np.float32(-3.0)}, {'J01': 38}, {'J01': 121}, 
170.0, {'J01': np.float32(3.0)}, {'J01': 38}, {'J01': 122}, 
175.0, {'J01': np.float32(3.0)}, {'J01': 38}, {'J01': 122}, 
180.0, {'J01': np.float32(-3.0)}, {'J01': 38}, {'J01': 119}, 
185.0, {'J01': np.float32(-3.0)}, {'J01': 37}, {'J01': 122}, 
190.0, {'J01': np.float32(-3.0)}, {'J01': 37}, {'J01': 125}, 
195.0, {'J01': np.float32(3.0)}, {'J01': 38}, {'J01': 118}, 
200.0, {'J01': np.float32(-3.0)}, {'J01': 38}, {'J01': 116}, 
205.0, {'J01': np.float32(-3.0)}, {'J01': 38}, {'J01': 115}, 
210.0, {'J01': np.float32(-3.0)}, {'J01': 38}, {'J01': 110}, 
215.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 110}, 
220.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 113}, 
225.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 117}, 
230.0, {'J01': np.float32(2.643661)}, {'J01': 40}, {'J01': 120}, 
235.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 119}, 
240.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 116}, 
245.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 116}, 
250.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 120}, 
255.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 124}, 
260.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 128}, 
265.0, {'J01': np.float32(-1.2607682)}, {'J01': 40}, {'J01': 128}, 
270.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 128}, 
275.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 129}, 
280.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 126}, 
285.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 122}, 
290.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 121}, 
295.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 123}, 
300.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 123}, 
305.0, {'J01': np.float32(-0.36975718)}, {'J01': 40}, {'J01': 119}, 
310.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 120}, 
315.0, {'J01': np.float32(-3.0)}, {'J01': 40}, {'J01': 120}, 
320.0, {'J01': np.float32(3.0)}, {'J01': 40}, {'J01': 121}, 
