episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,16468045.5,157381498.0,78018.0,139989.0,106117.0,-0.94329,2.29637,-3.0,3.0,0.9049,0.0004,nan,-3.68619,nan,1080,336.7
2,23802161.5,153874821.5,104677.5,129845.0,95778.0,-1.04971,2.29451,-3.0,3.0,0.8655,0.0006,0.9644,-8.61267,0.888182,1080,337.5
3,16121198.0,154966462.0,88789.0,139389.0,107566.0,-0.97074,2.30323,-3.0,3.0,0.9053,0.0005,0.9407,-10.23679,1.040852,1080,372.0
4,22158739.5,179260611.5,89015.0,127722.0,93651.0,-1.02156,2.26803,-3.0,3.0,0.8896,0.0004,0.9169,-10.3355,1.096201,1080,333.1
5,24193023.0,201333929.5,80243.0,133601.0,100157.0,-1.00961,2.26682,-3.0,3.0,0.8924,0.0004,0.8932,-10.19053,1.037952,1080,343.7
6,25807139.0,191624720.0,79418.5,130186.0,95991.0,-0.9394,2.27075,-3.0,3.0,0.881,0.0004,0.8694,-10.02226,1.067545,1080,352.6
7,18934828.0,172944186.0,72702.5,134821.0,100824.0,-0.97399,2.26071,-3.0,3.0,0.901,0.0004,0.8457,-9.42061,1.044184,1080,647.4
8,20795170.0,131088356.0,65075.5,128644.0,95985.0,-0.82741,2.27986,-3.0,3.0,0.8627,0.0004,0.8219,-8.66178,1.027301,1080,398.9
9,17731970.0,145495227.5,63881.0,123422.0,91101.0,-0.81893,2.28009,-3.0,3.0,0.891,0.0004,0.7982,-8.1895,1.004757,1080,404.6
10,15438493.5,155977412.5,64694.5,122949.0,89785.0,-0.83218,2.28445,-3.0,3.0,0.9096,0.0004,0.7744,-7.36263,0.988467,1080,393.4
11,25349447.0,181057330.5,53481.5,130414.0,96557.0,-0.69951,2.29742,-3.0,3.0,0.877,0.0003,0.7507,-6.88237,1.007023,1080,402.9
12,17618766.5,153272617.5,49021.0,118353.0,85449.0,-0.65483,2.32593,-3.0,3.0,0.8966,0.0003,0.7269,-7.17337,1.020415,1080,403.1
13,40039635.0,170081491.0,67248.0,120734.0,88652.0,-0.81439,2.28596,-3.0,3.0,0.8092,0.0003,0.7032,-6.56299,1.012492,1080,414.7
14,25523103.0,146524721.5,59842.0,115926.0,82246.0,-0.78081,2.32975,-3.0,3.0,0.8514,0.0003,0.6794,-6.85568,1.016977,1080,404.7
15,22069333.5,172632770.5,49657.5,122735.0,89409.0,-0.65668,2.32583,-3.0,3.0,0.8864,0.0003,0.6557,-6.87942,0.997065,1080,408.7
16,24459922.5,166821661.0,48992.5,120859.0,90183.0,-0.805,2.32462,-3.0,3.0,0.8719,0.0003,0.6319,-6.79882,1.005275,1080,418.5
17,17272754.0,150166968.0,38791.0,117762.0,84956.0,-0.61726,2.33242,-3.0,3.0,0.8966,0.0002,0.6082,-6.96583,1.013289,1080,421.1
18,23093356.0,147474739.0,71957.5,115328.0,83313.0,-0.64488,2.30988,-3.0,3.0,0.8642,0.0004,0.5844,-6.83021,1.010266,1080,396.7
19,19400632.0,170810046.5,39751.5,122397.0,88093.0,-0.55888,2.37352,-3.0,3.0,0.8978,0.0002,0.5607,-6.35477,1.009303,1080,360.6
20,26666300.5,189494445.0,40613.0,123874.0,89303.0,-0.6733,2.35824,-3.0,3.0,0.8765,0.0002,0.5369,-7.04815,1.114229,1080,361.1
21,33133018.0,191890832.5,44117.5,120132.0,87413.0,-0.71391,2.33087,-3.0,3.0,0.8526,0.0002,0.5132,-6.90993,1.067369,1080,367.8
22,17248184.5,112225509.5,36963.0,111958.0,78950.0,-0.60066,2.3174,-3.0,3.0,0.8665,0.0003,0.4894,-7.06188,1.054417,1080,358.8
23,18581060.0,176464041.5,31821.5,118743.0,84288.0,-0.63473,2.30416,-3.0,3.0,0.9046,0.0002,0.4657,-6.78512,1.043209,1080,354.3
24,25056858.0,191525638.5,33262.5,118767.0,85017.0,-0.63904,2.33257,-3.0,3.0,0.8842,0.0002,0.4419,-7.11096,1.06036,1080,377.1
25,16447469.0,148391964.5,27700.5,109443.0,76759.0,-0.45491,2.33911,-3.0,3.0,0.9001,0.0002,0.4182,-7.04558,1.090466,1080,358.1
26,16217372.0,124406157.5,30148.5,110033.0,76727.0,-0.45799,2.32263,-3.0,3.0,0.8845,0.0002,0.3944,-6.73818,1.067965,1080,365.4
27,21245259.0,174088113.5,27444.5,119216.0,83749.0,-0.49759,2.38159,-3.0,3.0,0.8911,0.0001,0.3707,-6.00309,1.084345,1080,359.6
28,13651306.0,128111015.5,29270.0,109706.0,74465.0,-0.41862,2.37238,-3.0,3.0,0.9035,0.0002,0.3469,-5.72964,1.110614,1080,363.0
29,19396898.5,169976324.0,27171.0,120186.0,85178.0,-0.37863,2.35161,-3.0,3.0,0.8974,0.0001,0.3232,-6.04389,1.097481,1080,354.9
30,17826149.5,138069231.5,28110.0,112357.0,77509.0,-0.35661,2.33672,-3.0,3.0,0.8855,0.0002,0.2994,-5.52654,1.080758,1080,388.4
31,28018544.5,151896638.0,27396.5,116482.0,82504.0,-0.34622,2.34791,-3.0,3.0,0.8441,0.0002,0.2757,-5.58461,1.044058,1080,387.6
32,17721105.0,158074791.0,23730.5,116431.0,81820.0,-0.3531,2.33531,-3.0,3.0,0.8991,0.0001,0.2519,-5.96491,1.052864,1080,381.5
33,15649605.0,149475711.0,27141.5,119049.0,84109.0,-0.3343,2.36436,-3.0,3.0,0.9051,0.0002,0.2282,-5.95534,1.067686,1080,385.7
34,22229281.5,151298201.5,21709.0,116577.0,83178.0,-0.26936,2.38685,-3.0,3.0,0.8718,0.0001,0.2044,-5.92689,1.089277,1080,367.8
35,22753409.0,175792960.5,26266.5,117443.0,83067.0,-0.36324,2.39029,-3.0,3.0,0.8853,0.0001,0.1807,-5.05133,1.046767,1080,379.5
36,20198564.5,194007431.5,23762.0,120405.0,83946.0,-0.2972,2.3648,-3.0,3.0,0.9056,0.0001,0.1569,-4.55511,1.080514,1080,400.7
37,14441111.0,172406957.0,30328.0,121561.0,85557.0,-0.31586,2.39479,-3.0,3.0,0.9226,0.0002,0.1332,-4.61715,1.049963,1080,385.8
38,16123199.0,153028821.5,22158.5,122867.0,85492.0,-0.18576,2.34838,-3.0,3.0,0.9046,0.0001,0.1094,-4.25445,1.021379,1080,391.7
39,15526630.0,139111376.5,21769.5,108710.0,75144.0,-0.13739,2.38328,-3.0,3.0,0.8995,0.0001,0.0857,-4.27063,1.085528,1080,404.1
40,22084869.0,181311067.0,24111.0,118926.0,82156.0,-0.17022,2.35658,-3.0,3.0,0.8913,0.0001,0.0619,-4.43727,1.046515,1080,409.0
41,24783560.0,156255351.0,22133.5,118077.0,79933.0,-0.08656,2.37269,-3.0,3.0,0.863,0.0001,0.05,-4.57785,1.038284,1080,394.8
42,37469106.0,164530017.0,21777.5,116336.0,82536.0,0.01193,2.37173,-3.0,3.0,0.8144,0.0001,0.05,-4.60713,1.049457,1080,523.7
43,21048313.0,177057055.5,19952.0,114214.0,80731.0,-0.04533,2.34638,-3.0,3.0,0.8937,0.0001,0.05,-3.77613,1.055545,1080,452.6
44,34962135.0,161408702.0,21807.0,122523.0,86144.0,-0.12069,2.39608,-3.0,3.0,0.8219,0.0001,0.05,-2.71171,0.965104,1080,386.9
45,32176482.0,137509650.5,21447.5,109713.0,72137.0,-0.06842,2.38425,-3.0,3.0,0.8103,0.0001,0.05,-2.8763,0.967823,1080,364.8
46,17928135.5,172287098.0,19781.5,114730.0,82302.0,-0.13891,2.35143,-3.0,3.0,0.9057,0.0001,0.05,-3.32704,1.074218,1080,388.5
47,26204098.0,132926054.5,18836.5,107981.0,72108.0,0.03568,2.35988,-3.0,3.0,0.8352,0.0001,0.05,-3.03644,1.037494,1080,363.1
48,22537573.0,169489004.5,22234.0,119033.0,81107.0,-0.14511,2.32428,-3.0,3.0,0.8825,0.0001,0.05,-3.24117,1.082519,1080,370.8
49,26129109.0,169428651.0,20715.5,112808.0,81218.0,-0.03915,2.36951,-3.0,3.0,0.8663,0.0001,0.05,-2.77779,1.053925,1080,369.0
50,22281817.5,165147938.5,22077.0,113897.0,78364.0,-0.13324,2.35565,-3.0,3.0,0.881,0.0001,0.05,-3.05466,1.05305,1080,365.8
51,23032088.0,158892987.0,25069.5,116384.0,79470.0,-0.19397,2.35935,-3.0,3.0,0.8733,0.0001,0.05,-3.04077,1.046058,1080,377.4
52,22781326.0,146970071.0,21885.0,115030.0,79228.0,-0.10037,2.35975,-3.0,3.0,0.8657,0.0001,0.05,-2.83039,1.011701,1080,384.7
53,22730146.5,172584264.0,21568.5,119151.0,81930.0,-0.00267,2.34109,-3.0,3.0,0.8835,0.0001,0.05,-2.08043,0.99999,1080,371.0
54,20928565.5,173012833.0,23579.5,119899.0,82425.0,-0.06305,2.39579,-3.0,3.0,0.892,0.0001,0.05,-2.37462,1.050416,1080,364.5
55,14217953.0,133111031.5,23601.5,108948.0,74788.0,-0.10646,2.36072,-3.0,3.0,0.9034,0.0002,0.05,-2.00586,0.994889,1080,368.2
56,31776874.5,174783442.5,21385.5,112968.0,81406.0,-0.0957,2.34522,-3.0,3.0,0.8461,0.0001,0.05,-2.22863,1.033434,1080,399.7
57,22061021.0,172008080.5,23858.5,113444.0,77820.0,-0.07509,2.38912,-3.0,3.0,0.8862,0.0001,0.05,-2.34197,1.033073,1080,383.0
58,19186224.5,171100902.5,22839.0,115374.0,78821.0,-0.07453,2.36522,-3.0,3.0,0.8991,0.0001,0.05,-2.34154,1.019976,1080,369.6
59,30219080.5,153507518.0,21906.5,112473.0,78123.0,-0.02124,2.38608,-3.0,3.0,0.8354,0.0001,0.05,-1.29399,1.003277,1080,373.6
60,18304573.0,154843367.0,22074.5,115834.0,80863.0,-0.03291,2.38087,-3.0,3.0,0.8942,0.0001,0.05,-1.57451,1.048433,1080,370.7
61,21251299.5,173354229.0,22332.5,117843.0,81596.0,-0.12004,2.32018,-3.0,3.0,0.8907,0.0001,0.05,-1.77038,1.072857,1080,374.7
62,26182676.5,197902051.5,24226.5,119832.0,84286.0,-0.08063,2.37621,-3.0,3.0,0.8831,0.0001,0.05,-1.8193,1.049327,1080,390.4
63,25736225.5,173170184.5,23384.5,120444.0,86146.0,-0.07678,2.36461,-3.0,3.0,0.8705,0.0001,0.05,-2.03758,1.077234,1080,378.8
64,34052321.5,180393731.0,26569.0,116086.0,80964.0,-0.16062,2.38082,-3.0,3.0,0.8411,0.0001,0.05,-2.00101,0.985008,1080,370.7
65,19432217.0,166434497.0,26399.5,117259.0,80936.0,-0.09458,2.37939,-3.0,3.0,0.8953,0.0001,0.05,-2.13683,1.030843,1080,378.3
66,19152291.0,134925498.0,23609.0,111584.0,74760.0,0.03849,2.36342,-3.0,3.0,0.8756,0.0002,0.05,-1.93264,1.043012,1080,384.4
67,25827557.0,189761462.0,29655.5,118200.0,82233.0,-0.16607,2.40722,-3.0,3.0,0.8801,0.0001,0.05,-1.77091,1.043544,1080,373.7
68,24484413.0,160868157.0,26441.0,115033.0,78860.0,-0.0923,2.37287,-3.0,3.0,0.8678,0.0001,0.05,-1.57265,1.008631,1080,383.4
69,26601084.0,182834025.0,24882.0,117794.0,82564.0,-0.05533,2.39234,-3.0,3.0,0.8729,0.0001,0.05,-1.43049,0.966218,1080,368.4
70,23955273.5,186044791.0,29140.0,114055.0,80157.0,-0.08095,2.40984,-3.0,3.0,0.8858,0.0001,0.05,-0.89692,0.914355,1080,376.5
71,23504857.5,184964100.0,35186.5,116593.0,81656.0,-0.10409,2.39709,-3.0,3.0,0.8871,0.0002,0.05,-1.15559,1.001551,1080,379.6
