episode,decision,signal_id,reward
1,50,J01,3.0
1,100,J01,-3.0
1,150,J01,3.0
1,200,J01,-3.0
1,250,J01,-3.0
1,300,J01,3.0
1,350,J01,-3.0
1,400,J01,-0.55331
1,450,J01,-3.0
1,500,J01,0.19251
1,550,J01,-3.0
1,600,J01,-3.0
1,650,J01,-3.0
1,700,J01,-3.0
1,750,J01,-3.0
1,800,J01,-0.73948
1,850,J01,-1.9159
1,900,J01,-1.37263
1,950,J01,-1.07744
1,1000,J01,-1.37827
1,1050,J01,-0.32884
2,50,J01,-3.0
2,100,J01,-3.0
2,150,J01,-3.0
2,200,J01,3.0
2,250,J01,-3.0
2,300,J01,-3.0
2,350,J01,-3.0
2,400,J01,-3.0
2,450,J01,-3.0
2,500,J01,3.0
2,550,J01,-3.0
2,600,J01,-3.0
2,650,J01,-3.0
2,700,J01,-3.0
2,750,J01,0.21885
2,800,J01,0.10019
2,850,J01,-1.48978
2,900,J01,3.0
2,950,J01,-1.56563
2,1000,J01,-1.39012
2,1050,J01,-0.94726
3,50,J01,-3.0
3,100,J01,-1.99894
3,150,J01,1.82806
3,200,J01,-3.0
3,250,J01,-3.0
3,300,J01,-3.0
3,350,J01,3.0
3,400,J01,-3.0
3,450,J01,-3.0
3,500,J01,-3.0
3,550,J01,-3.0
3,600,J01,-1.4622
3,650,J01,-3.0
3,700,J01,-3.0
3,750,J01,0.70077
3,800,J01,-1.91671
3,850,J01,-1.93289
3,900,J01,1.39825
3,950,J01,3.0
3,1000,J01,-0.64174
3,1050,J01,1.03171
4,50,J01,-3.0
4,100,J01,1.71222
4,150,J01,-0.25604
4,200,J01,-3.0
4,250,J01,1.65029
4,300,J01,-3.0
4,350,J01,-3.0
4,400,J01,-3.0
4,450,J01,-3.0
4,500,J01,3.0
4,550,J01,-3.0
4,600,J01,3.0
4,650,J01,-3.0
4,700,J01,-3.0
4,750,J01,3.0
4,800,J01,-1.52006
4,850,J01,-1.45253
4,900,J01,-1.47775
4,950,J01,-1.47935
4,1000,J01,2.60616
4,1050,J01,-1.70095
5,50,J01,-0.13203
5,100,J01,-3.0
5,150,J01,3.0
5,200,J01,-0.34908
5,250,J01,-3.0
5,300,J01,-3.0
5,350,J01,3.0
5,400,J01,3.0
5,450,J01,-3.0
5,500,J01,-3.0
5,550,J01,-3.0
5,600,J01,-3.0
5,650,J01,-3.0
5,700,J01,-2.64515
5,750,J01,-1.59579
5,800,J01,-1.68953
5,850,J01,-1.2378
5,900,J01,-0.37009
5,950,J01,2.03591
5,1000,J01,-1.51694
5,1050,J01,-0.86745
6,50,J01,-3.0
6,100,J01,3.0
6,150,J01,3.0
6,200,J01,-3.0
6,250,J01,-3.0
6,300,J01,-3.0
6,350,J01,0.5027
6,400,J01,-2.92753
6,450,J01,3.0
6,500,J01,-2.0506
6,550,J01,-3.0
6,600,J01,-3.0
6,650,J01,-0.0502
6,700,J01,-3.0
6,750,J01,2.0428
6,800,J01,-0.79254
6,850,J01,-0.83079
6,900,J01,1.25974
6,950,J01,0.44775
6,1000,J01,-1.07746
6,1050,J01,-1.08441
7,50,J01,-3.0
7,100,J01,-3.0
7,150,J01,-3.0
7,200,J01,3.0
7,250,J01,-3.0
7,300,J01,-3.0
7,350,J01,-3.0
7,400,J01,3.0
7,450,J01,-2.94216
7,500,J01,3.0
7,550,J01,-3.0
7,600,J01,-3.0
7,650,J01,3.0
7,700,J01,-3.0
7,750,J01,-1.41197
7,800,J01,-1.48663
7,850,J01,-1.59011
7,900,J01,3.0
7,950,J01,-1.55185
7,1000,J01,-1.33353
7,1050,J01,-1.23514
8,50,J01,-3.0
8,100,J01,-3.0
8,150,J01,-3.0
8,200,J01,-3.0
8,250,J01,-3.0
8,300,J01,-3.0
8,350,J01,-1.23597
8,400,J01,3.0
8,450,J01,-3.0
8,500,J01,-0.50609
8,550,J01,3.0
8,600,J01,3.0
8,650,J01,0.04316
8,700,J01,3.0
8,750,J01,0.08682
8,800,J01,-1.5438
8,850,J01,-1.56428
8,900,J01,-1.04279
8,950,J01,-1.11864
8,1000,J01,-1.07979
8,1050,J01,3.0
9,50,J01,-3.0
9,100,J01,3.0
