5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -5.091}, {'J01': 2}, {'J01': 2}, 
25.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
30.0, {'J01': -13.449}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': -10.267}, {'J01': 3}, {'J01': 9}, 
40.0, {'J01': -24.54}, {'J01': 3}, {'J01': 14}, 
45.0, {'J01': -30.989}, {'J01': 3}, {'J01': 13}, 
50.0, {'J01': -27.989}, {'J01': 4}, {'J01': 10}, 
55.0, {'J01': -15.267}, {'J01': 3}, {'J01': 14}, 
60.0, {'J01': -31.716}, {'J01': 3}, {'J01': 23}, 
65.0, {'J01': -41.074}, {'J01': 5}, {'J01': 28}, 
70.0, {'J01': -37.983000000000004}, {'J01': 5}, {'J01': 28}, 
75.0, {'J01': -58.614}, {'J01': 8}, {'J01': 35}, 
80.0, {'J01': -73.33000000000001}, {'J01': 8}, {'J01': 41}, 
85.0, {'J01': -55.614}, {'J01': 6}, {'J01': 32}, 
90.0, {'J01': -50.705}, {'J01': 4}, {'J01': 24}, 
95.0, {'J01': -54.154}, {'J01': 4}, {'J01': 20}, 
100.0, {'J01': -69.7}, {'J01': 4}, {'J01': 17}, 
105.0, {'J01': -36.165000000000006}, {'J01': 4}, {'J01': 20}, 
110.0, {'J01': -46.995000000000005}, {'J01': 3}, {'J01': 21}, 
115.0, {'J01': -41.722}, {'J01': 6}, {'J01': 25}, 
120.0, {'J01': -46.074}, {'J01': 8}, {'J01': 33}, 
125.0, {'J01': -82.60300000000001}, {'J01': 8}, {'J01': 41}, 
130.0, {'J01': -96.96700000000001}, {'J01': 8}, {'J01': 43}, 
135.0, {'J01': -96.882}, {'J01': 7}, {'J01': 38}, 
140.0, {'J01': -89.97300000000001}, {'J01': 4}, {'J01': 28}, 
145.0, {'J01': -44.432}, {'J01': 4}, {'J01': 27}, 
150.0, {'J01': -66.779}, {'J01': 4}, {'J01': 27}, 
