episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,3391473.5,4487322.0,37233.0,44183.0,18256.0,-0.69874,1.9696,-3.0,3.0,0.5669,0.0047,nan,-0.33525,nan,1080,41.1
2,2551746.0,1960961.0,30341.5,37646.0,11564.0,-0.65426,1.91749,-3.0,3.0,0.4316,0.0067,0.9644,1.57183,0.582033,1080,40.5
3,2837224.5,5129869.5,46722.0,47798.0,21732.0,-0.7955,1.96743,-3.0,3.0,0.6401,0.0058,0.9407,3.41377,0.753209,1080,41.8
4,2638211.0,1808390.5,36164.0,38192.0,12470.0,-0.67284,1.90121,-3.0,3.0,0.4034,0.0081,0.9169,2.92101,0.673167,1080,39.8
5,2513002.0,2508338.5,23400.5,40149.0,14529.0,-0.57198,1.89388,-3.0,3.0,0.4972,0.0046,0.8932,1.93765,0.626318,1080,39.8
6,3102916.0,5851924.5,27063.0,46282.0,20753.0,-0.56329,1.9427,-3.0,3.0,0.6515,0.003,0.8694,0.7037,0.659514,1080,41.9
7,2504790.5,5225587.0,21611.0,45601.0,19631.0,-0.54424,1.90258,-3.0,3.0,0.6741,0.0028,0.8457,0.73206,0.612578,1080,43.0
8,2889350.0,9077087.5,23047.5,51567.0,25889.0,-0.54053,1.92297,-3.0,3.0,0.7571,0.0019,0.8219,1.12463,0.588219,1080,42.8
9,2545870.0,2664242.5,24500.0,39420.0,13533.0,-0.57475,1.87839,-3.0,3.0,0.509,0.0047,0.7982,0.94339,0.575673,1080,38.4
10,2505047.5,7120761.0,19602.0,49436.0,23589.0,-0.46339,1.89955,-3.0,3.0,0.7383,0.002,0.7744,0.28525,0.596945,1080,41.4
11,2443208.0,4963055.5,21007.5,43976.0,18513.0,-0.49849,1.89861,-3.0,3.0,0.6682,0.0028,0.7507,0.12315,0.587476,1080,39.6
12,2536631.0,6392263.5,19607.5,46691.0,21189.0,-0.538,1.884,-3.0,3.0,0.7143,0.0022,0.7269,0.213,0.563702,1080,40.4
13,2238420.0,2951758.5,16295.5,40653.0,15344.0,-0.39846,1.79907,-3.0,3.0,0.5669,0.0031,0.7032,0.01986,0.562348,1080,39.3
14,2455372.0,6969322.0,18046.5,48684.0,23128.0,-0.47125,1.91132,-3.0,3.0,0.7381,0.0019,0.6794,0.32102,0.541708,1080,40.5
15,2487804.0,5288664.0,16008.5,45560.0,20080.0,-0.40849,1.85923,-3.0,3.0,0.6787,0.0021,0.6557,0.38384,0.528596,1080,39.4
16,2236534.5,6794141.5,22765.0,48649.0,23380.0,-0.49991,1.91019,-3.0,3.0,0.7504,0.0025,0.6319,-0.13681,0.546626,1080,40.6
17,2293643.5,1794442.5,14885.5,37542.0,11797.0,-0.40042,1.80439,-3.0,3.0,0.4374,0.0036,0.6082,-0.46865,0.543531,1080,38.6
18,2357590.0,4980713.5,13445.5,45499.0,20132.0,-0.35949,1.87992,-3.0,3.0,0.6775,0.0018,0.5844,-0.33842,0.563235,1080,40.0
19,2572534.0,2655746.5,12932.5,40137.0,14376.0,-0.32757,1.79601,-3.0,3.0,0.5067,0.0025,0.5607,-0.14118,0.500774,1080,39.5
20,2448654.5,10673368.0,10779.5,52462.0,26881.0,-0.30161,1.85304,-3.0,3.0,0.8127,0.0008,0.5369,0.2422,0.496883,1080,42.6
21,2576749.0,4070477.5,12082.0,43475.0,17176.0,-0.38275,1.81004,-3.0,3.0,0.6112,0.0018,0.5132,-0.13787,0.523992,1080,40.8
22,2281555.0,4970011.5,9678.5,45881.0,20472.0,-0.28901,1.78366,-3.0,3.0,0.6845,0.0013,0.4894,-0.56741,0.496617,1080,40.3
23,2153015.5,7894047.5,11363.0,50282.0,24721.0,-0.30687,1.85043,-3.0,3.0,0.7848,0.0011,0.4657,-0.92256,0.519705,1080,40.5
24,2436398.0,5080033.0,9471.0,46736.0,20131.0,-0.23208,1.80074,-3.0,3.0,0.675,0.0013,0.4419,-0.72093,0.514337,1080,40.5
25,2498122.5,5102081.5,9329.0,46031.0,19931.0,-0.26083,1.77362,-3.0,3.0,0.6705,0.0012,0.4182,-0.77837,0.542295,1080,38.6
