5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -9.5}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -67.0}, {'J01': 3}, {'J01': 9}, 
25.0, {'J01': -105.0}, {'J01': 3}, {'J01': 8}, 
30.0, {'J01': -145.5}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -142.5}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -199.5}, {'J01': 4}, {'J01': 11}, 
45.0, {'J01': -182.5}, {'J01': 3}, {'J01': 15}, 
50.0, {'J01': -258.0}, {'J01': 5}, {'J01': 20}, 
55.0, {'J01': -409.5}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -674.0}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': -645.0}, {'J01': 7}, {'J01': 26}, 
70.0, {'J01': -443.0}, {'J01': 4}, {'J01': 20}, 
75.0, {'J01': -464.0}, {'J01': 4}, {'J01': 17}, 
80.0, {'J01': -646.5}, {'J01': 4}, {'J01': 23}, 
85.0, {'J01': -766.0}, {'J01': 6}, {'J01': 26}, 
90.0, {'J01': -820.5}, {'J01': 8}, {'J01': 25}, 
95.0, {'J01': -972.0}, {'J01': 8}, {'J01': 28}, 
100.0, {'J01': -1262.0}, {'J01': 8}, {'J01': 32}, 
105.0, {'J01': -1240.5}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -738.0}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -733.5}, {'J01': 4}, {'J01': 19}, 
120.0, {'J01': -884.5}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -1060.5}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -1225.5}, {'J01': 8}, {'J01': 30}, 
135.0, {'J01': -1468.0}, {'J01': 8}, {'J01': 32}, 
140.0, {'J01': -1801.0}, {'J01': 8}, {'J01': 38}, 
145.0, {'J01': -1773.5}, {'J01': 7}, {'J01': 38}, 
150.0, {'J01': -1014.0}, {'J01': 4}, {'J01': 23}, 
155.0, {'J01': -1040.0}, {'J01': 4}, {'J01': 20}, 
160.0, {'J01': -1247.5}, {'J01': 4}, {'J01': 25}, 
165.0, {'J01': -1183.5}, {'J01': 6}, {'J01': 32}, 
170.0, {'J01': -1093.0}, {'J01': 8}, {'J01': 34}, 
175.0, {'J01': -1221.5}, {'J01': 8}, {'J01': 35}, 
180.0, {'J01': -1578.5}, {'J01': 8}, {'J01': 38}, 
185.0, {'J01': -1525.5}, {'J01': 7}, {'J01': 36}, 
190.0, {'J01': -903.5}, {'J01': 5}, {'J01': 22}, 
195.0, {'J01': -903.0}, {'J01': 4}, {'J01': 21}, 
200.0, {'J01': -1037.5}, {'J01': 4}, {'J01': 24}, 
205.0, {'J01': -942.5}, {'J01': 6}, {'J01': 23}, 
210.0, {'J01': -950.5}, {'J01': 8}, {'J01': 24}, 
215.0, {'J01': -1195.0}, {'J01': 8}, {'J01': 27}, 
220.0, {'J01': -1475.5}, {'J01': 8}, {'J01': 31}, 
225.0, {'J01': -1303.5}, {'J01': 7}, {'J01': 25}, 
230.0, {'J01': -549.0}, {'J01': 4}, {'J01': 15}, 
235.0, {'J01': -542.5}, {'J01': 4}, {'J01': 15}, 
240.0, {'J01': -702.5}, {'J01': 4}, {'J01': 20}, 
245.0, {'J01': -794.5}, {'J01': 5}, {'J01': 23}, 
250.0, {'J01': -811.0}, {'J01': 8}, {'J01': 27}, 
255.0, {'J01': -1084.5}, {'J01': 8}, {'J01': 30}, 
260.0, {'J01': -1395.5}, {'J01': 8}, {'J01': 33}, 
265.0, {'J01': -1190.0}, {'J01': 7}, {'J01': 27}, 
270.0, {'J01': -575.0}, {'J01': 4}, {'J01': 18}, 
275.0, {'J01': -522.5}, {'J01': 4}, {'J01': 15}, 
280.0, {'J01': -683.0}, {'J01': 4}, {'J01': 21}, 
285.0, {'J01': -761.5}, {'J01': 6}, {'J01': 24}, 
290.0, {'J01': -784.0}, {'J01': 8}, {'J01': 26}, 
295.0, {'J01': -991.0}, {'J01': 8}, {'J01': 28}, 
300.0, {'J01': -1281.0}, {'J01': 8}, {'J01': 32}, 
305.0, {'J01': -1262.0}, {'J01': 7}, {'J01': 32}, 
310.0, {'J01': -755.5}, {'J01': 5}, {'J01': 20}, 
315.0, {'J01': -780.0}, {'J01': 4}, {'J01': 21}, 
320.0, {'J01': -889.0}, {'J01': 4}, {'J01': 24}, 
325.0, {'J01': -988.5}, {'J01': 6}, {'J01': 27}, 
330.0, {'J01': -1038.5}, {'J01': 8}, {'J01': 28}, 
335.0, {'J01': -1268.5}, {'J01': 8}, {'J01': 31}, 
340.0, {'J01': -1592.0}, {'J01': 8}, {'J01': 36}, 
345.0, {'J01': -1269.5}, {'J01': 7}, {'J01': 28}, 
350.0, {'J01': -593.0}, {'J01': 4}, {'J01': 16}, 
355.0, {'J01': -650.0}, {'J01': 4}, {'J01': 17}, 
360.0, {'J01': -796.5}, {'J01': 4}, {'J01': 23}, 
365.0, {'J01': -917.5}, {'J01': 7}, {'J01': 28}, 
370.0, {'J01': -1025.0}, {'J01': 8}, {'J01': 30}, 
375.0, {'J01': -1167.5}, {'J01': 8}, {'J01': 28}, 
380.0, {'J01': -1457.5}, {'J01': 8}, {'J01': 31}, 
385.0, {'J01': -1026.0}, {'J01': 6}, {'J01': 23}, 
390.0, {'J01': -545.5}, {'J01': 4}, {'J01': 16}, 
395.0, {'J01': -570.0}, {'J01': 4}, {'J01': 17}, 
400.0, {'J01': -747.5}, {'J01': 4}, {'J01': 21}, 
405.0, {'J01': -913.5}, {'J01': 6}, {'J01': 28}, 
410.0, {'J01': -881.5}, {'J01': 8}, {'J01': 29}, 
415.0, {'J01': -1088.0}, {'J01': 8}, {'J01': 29}, 
420.0, {'J01': -1391.5}, {'J01': 8}, {'J01': 35}, 
425.0, {'J01': -1131.5}, {'J01': 7}, {'J01': 28}, 
430.0, {'J01': -609.5}, {'J01': 4}, {'J01': 17}, 
435.0, {'J01': -570.0}, {'J01': 4}, {'J01': 15}, 
440.0, {'J01': -730.5}, {'J01': 4}, {'J01': 21}, 
445.0, {'J01': -772.5}, {'J01': 6}, {'J01': 24}, 
450.0, {'J01': -846.5}, {'J01': 8}, {'J01': 27}, 
455.0, {'J01': -1034.5}, {'J01': 8}, {'J01': 28}, 
460.0, {'J01': -1321.5}, {'J01': 8}, {'J01': 31}, 
465.0, {'J01': -1186.5}, {'J01': 7}, {'J01': 26}, 
470.0, {'J01': -705.5}, {'J01': 5}, {'J01': 19}, 
475.0, {'J01': -709.0}, {'J01': 4}, {'J01': 17}, 
480.0, {'J01': -837.5}, {'J01': 4}, {'J01': 21}, 
485.0, {'J01': -934.0}, {'J01': 6}, {'J01': 24}, 
490.0, {'J01': -1066.5}, {'J01': 8}, {'J01': 27}, 
495.0, {'J01': -1351.0}, {'J01': 8}, {'J01': 32}, 
500.0, {'J01': -1681.0}, {'J01': 8}, {'J01': 37}, 
505.0, {'J01': -1574.5}, {'J01': 7}, {'J01': 32}, 
510.0, {'J01': -836.5}, {'J01': 4}, {'J01': 26}, 
515.0, {'J01': -887.5}, {'J01': 4}, {'J01': 23}, 
520.0, {'J01': -1033.0}, {'J01': 4}, {'J01': 28}, 
525.0, {'J01': -1201.0}, {'J01': 7}, {'J01': 34}, 
530.0, {'J01': -1418.5}, {'J01': 8}, {'J01': 37}, 
535.0, {'J01': -1552.5}, {'J01': 8}, {'J01': 35}, 
540.0, {'J01': -1917.0}, {'J01': 8}, {'J01': 40}, 
545.0, {'J01': -2145.5}, {'J01': 8}, {'J01': 38}, 
550.0, {'J01': -2346.5}, {'J01': 8}, {'J01': 34}, 
555.0, {'J01': -2621.5}, {'J01': 8}, {'J01': 33}, 
560.0, {'J01': -2958.0}, {'J01': 8}, {'J01': 36}, 
565.0, {'J01': -2696.5}, {'J01': 8}, {'J01': 31}, 
570.0, {'J01': -2737.0}, {'J01': 8}, {'J01': 28}, 
575.0, {'J01': -3023.5}, {'J01': 8}, {'J01': 32}, 
580.0, {'J01': -3361.0}, {'J01': 8}, {'J01': 38}, 
585.0, {'J01': -2142.0}, {'J01': 6}, {'J01': 27}, 
590.0, {'J01': -1325.5}, {'J01': 4}, {'J01': 17}, 
595.0, {'J01': -1088.0}, {'J01': 4}, {'J01': 16}, 
600.0, {'J01': -1259.0}, {'J01': 4}, {'J01': 21}, 
605.0, {'J01': -1363.0}, {'J01': 6}, {'J01': 26}, 
610.0, {'J01': -1582.0}, {'J01': 8}, {'J01': 32}, 
615.0, {'J01': -1833.0}, {'J01': 8}, {'J01': 34}, 
620.0, {'J01': -2180.5}, {'J01': 8}, {'J01': 37}, 
625.0, {'J01': -1504.0}, {'J01': 6}, {'J01': 32}, 
630.0, {'J01': -836.5}, {'J01': 4}, {'J01': 21}, 
635.0, {'J01': -807.5}, {'J01': 4}, {'J01': 19}, 
640.0, {'J01': -1012.5}, {'J01': 5}, {'J01': 26}, 
645.0, {'J01': -1100.0}, {'J01': 6}, {'J01': 32}, 
650.0, {'J01': -1166.5}, {'J01': 8}, {'J01': 33}, 
655.0, {'J01': -1310.0}, {'J01': 8}, {'J01': 32}, 
660.0, {'J01': -1644.0}, {'J01': 8}, {'J01': 39}, 
665.0, {'J01': -1630.0}, {'J01': 8}, {'J01': 35}, 
670.0, {'J01': -789.5}, {'J01': 4}, {'J01': 20}, 
675.0, {'J01': -738.0}, {'J01': 4}, {'J01': 19}, 
680.0, {'J01': -935.5}, {'J01': 4}, {'J01': 23}, 
685.0, {'J01': -1006.5}, {'J01': 7}, {'J01': 29}, 
690.0, {'J01': -978.5}, {'J01': 8}, {'J01': 28}, 
695.0, {'J01': -1263.5}, {'J01': 8}, {'J01': 31}, 
700.0, {'J01': -1582.0}, {'J01': 8}, {'J01': 34}, 
705.0, {'J01': -1277.0}, {'J01': 7}, {'J01': 28}, 
710.0, {'J01': -589.5}, {'J01': 4}, {'J01': 18}, 
715.0, {'J01': -636.5}, {'J01': 4}, {'J01': 18}, 
720.0, {'J01': -828.5}, {'J01': 4}, {'J01': 23}, 
725.0, {'J01': -1010.0}, {'J01': 7}, {'J01': 28}, 
730.0, {'J01': -1109.5}, {'J01': 8}, {'J01': 30}, 
735.0, {'J01': -1350.0}, {'J01': 8}, {'J01': 30}, 
740.0, {'J01': -1660.5}, {'J01': 8}, {'J01': 34}, 
745.0, {'J01': -1498.5}, {'J01': 7}, {'J01': 29}, 
750.0, {'J01': -972.5}, {'J01': 5}, {'J01': 20}, 
755.0, {'J01': -930.0}, {'J01': 4}, {'J01': 20}, 
760.0, {'J01': -1091.5}, {'J01': 4}, {'J01': 26}, 
765.0, {'J01': -1298.5}, {'J01': 6}, {'J01': 29}, 
770.0, {'J01': -1278.5}, {'J01': 8}, {'J01': 31}, 
775.0, {'J01': -1319.5}, {'J01': 8}, {'J01': 31}, 
