5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -6.091}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -4.0}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -11.182}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': -17.448999999999998}, {'J01': 3}, {'J01': 10}, 
40.0, {'J01': -16.182000000000002}, {'J01': 3}, {'J01': 10}, 
45.0, {'J01': -27.364}, {'J01': 4}, {'J01': 15}, 
50.0, {'J01': -23.358}, {'J01': 6}, {'J01': 19}, 
55.0, {'J01': -34.074}, {'J01': 6}, {'J01': 21}, 
60.0, {'J01': -27.801000000000002}, {'J01': 7}, {'J01': 24}, 
65.0, {'J01': -33.892}, {'J01': 8}, {'J01': 27}, 
70.0, {'J01': -42.517}, {'J01': 8}, {'J01': 30}, 
75.0, {'J01': -42.165000000000006}, {'J01': 8}, {'J01': 26}, 
80.0, {'J01': -45.608000000000004}, {'J01': 8}, {'J01': 30}, 
85.0, {'J01': -40.517}, {'J01': 8}, {'J01': 28}, 
90.0, {'J01': -63.154}, {'J01': 8}, {'J01': 29}, 
95.0, {'J01': -47.141999999999996}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -77.404}, {'J01': 8}, {'J01': 32}, 
105.0, {'J01': -60.949}, {'J01': 8}, {'J01': 31}, 
110.0, {'J01': -70.398}, {'J01': 8}, {'J01': 33}, 
115.0, {'J01': -61.125}, {'J01': 8}, {'J01': 33}, 
120.0, {'J01': -98.83600000000001}, {'J01': 8}, {'J01': 36}, 
125.0, {'J01': -86.91499999999999}, {'J01': 8}, {'J01': 37}, 
130.0, {'J01': -68.545}, {'J01': 8}, {'J01': 39}, 
135.0, {'J01': -77.642}, {'J01': 8}, {'J01': 37}, 
140.0, {'J01': -77.818}, {'J01': 9}, {'J01': 39}, 
145.0, {'J01': -86.886}, {'J01': 11}, {'J01': 43}, 
150.0, {'J01': -94.511}, {'J01': 11}, {'J01': 45}, 
155.0, {'J01': -89.59599999999999}, {'J01': 12}, {'J01': 45}, 
160.0, {'J01': -99.045}, {'J01': 12}, {'J01': 47}, 
165.0, {'J01': -95.13}, {'J01': 13}, {'J01': 48}, 
170.0, {'J01': -116.295}, {'J01': 15}, {'J01': 53}, 
175.0, {'J01': -102.136}, {'J01': 15}, {'J01': 47}, 
180.0, {'J01': -75.675}, {'J01': 16}, {'J01': 44}, 
185.0, {'J01': -104.67000000000002}, {'J01': 17}, {'J01': 47}, 
190.0, {'J01': -94.30600000000001}, {'J01': 17}, {'J01': 49}, 
195.0, {'J01': -90.948}, {'J01': 17}, {'J01': 50}, 
200.0, {'J01': -87.681}, {'J01': 18}, {'J01': 48}, 
205.0, {'J01': -84.062}, {'J01': 16}, {'J01': 42}, 
210.0, {'J01': -70.375}, {'J01': 12}, {'J01': 31}, 
215.0, {'J01': -54.477000000000004}, {'J01': 10}, {'J01': 30}, 
220.0, {'J01': -46.766999999999996}, {'J01': 8}, {'J01': 23}, 
225.0, {'J01': -50.681999999999995}, {'J01': 7}, {'J01': 22}, 
230.0, {'J01': -39.057}, {'J01': 5}, {'J01': 16}, 
235.0, {'J01': -43.324}, {'J01': 6}, {'J01': 19}, 
240.0, {'J01': -43.494}, {'J01': 7}, {'J01': 29}, 
245.0, {'J01': -47.403}, {'J01': 7}, {'J01': 36}, 
250.0, {'J01': -56.40899999999999}, {'J01': 8}, {'J01': 37}, 
255.0, {'J01': -58.858000000000004}, {'J01': 8}, {'J01': 32}, 
260.0, {'J01': -42.790000000000006}, {'J01': 4}, {'J01': 21}, 
265.0, {'J01': -44.233000000000004}, {'J01': 4}, {'J01': 23}, 
270.0, {'J01': -52.590999999999994}, {'J01': 5}, {'J01': 27}, 
275.0, {'J01': -67.21600000000001}, {'J01': 7}, {'J01': 36}, 
280.0, {'J01': -66.949}, {'J01': 8}, {'J01': 37}, 
285.0, {'J01': -75.66499999999999}, {'J01': 8}, {'J01': 37}, 
290.0, {'J01': -81.023}, {'J01': 9}, {'J01': 38}, 
295.0, {'J01': -88.0}, {'J01': 12}, {'J01': 43}, 
300.0, {'J01': -85.648}, {'J01': 10}, {'J01': 37}, 
305.0, {'J01': -91.745}, {'J01': 9}, {'J01': 32}, 
310.0, {'J01': -85.745}, {'J01': 9}, {'J01': 26}, 
315.0, {'J01': -41.676}, {'J01': 7}, {'J01': 21}, 
320.0, {'J01': -48.766999999999996}, {'J01': 7}, {'J01': 25}, 
325.0, {'J01': -81.023}, {'J01': 9}, {'J01': 38}, 
330.0, {'J01': -92.387}, {'J01': 10}, {'J01': 37}, 
335.0, {'J01': -88.768}, {'J01': 6}, {'J01': 31}, 
340.0, {'J01': -85.416}, {'J01': 4}, {'J01': 24}, 
345.0, {'J01': -39.699}, {'J01': 4}, {'J01': 21}, 
350.0, {'J01': -37.051}, {'J01': 5}, {'J01': 22}, 
355.0, {'J01': -56.239000000000004}, {'J01': 7}, {'J01': 27}, 
360.0, {'J01': -65.59700000000001}, {'J01': 8}, {'J01': 32}, 
365.0, {'J01': -70.688}, {'J01': 8}, {'J01': 34}, 
370.0, {'J01': -79.137}, {'J01': 8}, {'J01': 35}, 
375.0, {'J01': -67.069}, {'J01': 7}, {'J01': 28}, 
380.0, {'J01': -69.632}, {'J01': 5}, {'J01': 22}, 
385.0, {'J01': -74.905}, {'J01': 4}, {'J01': 18}, 
390.0, {'J01': -70.905}, {'J01': 4}, {'J01': 14}, 
395.0, {'J01': -17.091}, {'J01': 3}, {'J01': 14}, 
400.0, {'J01': -31.631}, {'J01': 4}, {'J01': 18}, 
405.0, {'J01': -39.722}, {'J01': 7}, {'J01': 23}, 
410.0, {'J01': -49.989000000000004}, {'J01': 8}, {'J01': 32}, 
415.0, {'J01': -60.881}, {'J01': 8}, {'J01': 36}, 
420.0, {'J01': -68.154}, {'J01': 8}, {'J01': 34}, 
425.0, {'J01': -60.972}, {'J01': 7}, {'J01': 33}, 
430.0, {'J01': -66.245}, {'J01': 5}, {'J01': 29}, 
435.0, {'J01': -50.086}, {'J01': 5}, {'J01': 21}, 
440.0, {'J01': -27.448999999999998}, {'J01': 5}, {'J01': 20}, 
445.0, {'J01': -45.08}, {'J01': 4}, {'J01': 24}, 
450.0, {'J01': -47.813}, {'J01': 6}, {'J01': 28}, 
455.0, {'J01': -50.165000000000006}, {'J01': 8}, {'J01': 34}, 
460.0, {'J01': -54.432}, {'J01': 8}, {'J01': 37}, 
465.0, {'J01': -68.79599999999999}, {'J01': 8}, {'J01': 39}, 
470.0, {'J01': -55.08}, {'J01': 7}, {'J01': 34}, 
475.0, {'J01': -63.529}, {'J01': 7}, {'J01': 35}, 
480.0, {'J01': -51.340999999999994}, {'J01': 7}, {'J01': 37}, 
485.0, {'J01': -72.79599999999999}, {'J01': 8}, {'J01': 43}, 
490.0, {'J01': -85.779}, {'J01': 8}, {'J01': 46}, 
495.0, {'J01': -66.40899999999999}, {'J01': 8}, {'J01': 47}, 
500.0, {'J01': -57.784000000000006}, {'J01': 8}, {'J01': 44}, 
505.0, {'J01': -57.784000000000006}, {'J01': 8}, {'J01': 44}, 
510.0, {'J01': -60.875}, {'J01': 8}, {'J01': 44}, 
515.0, {'J01': -74.858}, {'J01': 9}, {'J01': 48}, 
520.0, {'J01': -81.483}, {'J01': 9}, {'J01': 49}, 
525.0, {'J01': -74.864}, {'J01': 6}, {'J01': 40}, 
530.0, {'J01': -72.955}, {'J01': 5}, {'J01': 35}, 
535.0, {'J01': -74.58000000000001}, {'J01': 7}, {'J01': 31}, 
540.0, {'J01': -75.671}, {'J01': 7}, {'J01': 29}, 
545.0, {'J01': -96.48400000000001}, {'J01': 8}, {'J01': 30}, 
550.0, {'J01': -84.12}, {'J01': 8}, {'J01': 30}, 
555.0, {'J01': -43.051}, {'J01': 6}, {'J01': 28}, 
560.0, {'J01': -47.790000000000006}, {'J01': 5}, {'J01': 26}, 
565.0, {'J01': -62.063}, {'J01': 5}, {'J01': 31}, 
570.0, {'J01': -83.876}, {'J01': 6}, {'J01': 33}, 
575.0, {'J01': -66.33000000000001}, {'J01': 6}, {'J01': 34}, 
580.0, {'J01': -83.404}, {'J01': 7}, {'J01': 38}, 
585.0, {'J01': -62.119}, {'J01': 7}, {'J01': 42}, 
590.0, {'J01': -62.852000000000004}, {'J01': 7}, {'J01': 44}, 
595.0, {'J01': -73.568}, {'J01': 9}, {'J01': 46}, 
600.0, {'J01': -89.375}, {'J01': 10}, {'J01': 50}, 
605.0, {'J01': -79.27799999999999}, {'J01': 10}, {'J01': 51}, 
610.0, {'J01': -95.08500000000001}, {'J01': 11}, {'J01': 55}, 
615.0, {'J01': -100.267}, {'J01': 12}, {'J01': 54}, 
620.0, {'J01': -101.71000000000001}, {'J01': 12}, {'J01': 56}, 
625.0, {'J01': -112.07400000000001}, {'J01': 12}, {'J01': 54}, 
630.0, {'J01': -118.875}, {'J01': 14}, {'J01': 57}, 
635.0, {'J01': -128.32399999999998}, {'J01': 15}, {'J01': 59}, 
640.0, {'J01': -124.409}, {'J01': 16}, {'J01': 60}, 
645.0, {'J01': -119.31800000000001}, {'J01': 16}, {'J01': 58}, 
650.0, {'J01': -101.68699999999998}, {'J01': 16}, {'J01': 54}, 
655.0, {'J01': -114.699}, {'J01': 17}, {'J01': 51}, 
660.0, {'J01': -110.34100000000001}, {'J01': 18}, {'J01': 51}, 
665.0, {'J01': -115.699}, {'J01': 19}, {'J01': 52}, 
670.0, {'J01': -105.25}, {'J01': 18}, {'J01': 49}, 
675.0, {'J01': -118.97200000000001}, {'J01': 18}, {'J01': 46}, 
680.0, {'J01': -83.176}, {'J01': 16}, {'J01': 40}, 
685.0, {'J01': -70.636}, {'J01': 14}, {'J01': 38}, 
690.0, {'J01': -71.27799999999999}, {'J01': 14}, {'J01': 43}, 
695.0, {'J01': -85.994}, {'J01': 15}, {'J01': 49}, 
700.0, {'J01': -103.71600000000001}, {'J01': 17}, {'J01': 50}, 
705.0, {'J01': -81.164}, {'J01': 19}, {'J01': 54}, 
710.0, {'J01': -87.25500000000001}, {'J01': 19}, {'J01': 57}, 
715.0, {'J01': -114.159}, {'J01': 20}, {'J01': 61}, 
720.0, {'J01': -103.886}, {'J01': 20}, {'J01': 60}, 
725.0, {'J01': -109.06800000000001}, {'J01': 20}, {'J01': 59}, 
730.0, {'J01': -102.80100000000002}, {'J01': 18}, {'J01': 54}, 
735.0, {'J01': -95.267}, {'J01': 16}, {'J01': 49}, 
740.0, {'J01': -90.824}, {'J01': 14}, {'J01': 44}, 
745.0, {'J01': -100.273}, {'J01': 14}, {'J01': 46}, 
750.0, {'J01': -105.273}, {'J01': 14}, {'J01': 51}, 
755.0, {'J01': -116.07400000000001}, {'J01': 16}, {'J01': 58}, 
760.0, {'J01': -126.43800000000002}, {'J01': 16}, {'J01': 56}, 
765.0, {'J01': -128.705}, {'J01': 17}, {'J01': 57}, 
770.0, {'J01': -123.43800000000002}, {'J01': 15}, {'J01': 53}, 
775.0, {'J01': -115.17099999999999}, {'J01': 13}, {'J01': 46}, 
780.0, {'J01': -111.819}, {'J01': 11}, {'J01': 39}, 
785.0, {'J01': -43.67}, {'J01': 9}, {'J01': 31}, 
790.0, {'J01': -63.125}, {'J01': 8}, {'J01': 35}, 
795.0, {'J01': -76.756}, {'J01': 9}, {'J01': 35}, 
800.0, {'J01': -70.574}, {'J01': 9}, {'J01': 35}, 
805.0, {'J01': -81.29}, {'J01': 10}, {'J01': 37}, 
810.0, {'J01': -90.47200000000001}, {'J01': 10}, {'J01': 40}, 
815.0, {'J01': -102.92099999999999}, {'J01': 10}, {'J01': 45}, 
820.0, {'J01': -112.194}, {'J01': 10}, {'J01': 45}, 
825.0, {'J01': -113.018}, {'J01': 9}, {'J01': 44}, 
830.0, {'J01': -113.84200000000001}, {'J01': 8}, {'J01': 43}, 
835.0, {'J01': -116.10900000000001}, {'J01': 8}, {'J01': 44}, 
840.0, {'J01': -124.91}, {'J01': 11}, {'J01': 49}, 
845.0, {'J01': -124.91}, {'J01': 10}, {'J01': 49}, 
850.0, {'J01': -127.177}, {'J01': 10}, {'J01': 50}, 
855.0, {'J01': -119.643}, {'J01': 8}, {'J01': 45}, 
860.0, {'J01': -110.10900000000001}, {'J01': 6}, {'J01': 38}, 
865.0, {'J01': -99.48400000000001}, {'J01': 4}, {'J01': 33}, 
870.0, {'J01': -99.575}, {'J01': 4}, {'J01': 30}, 
875.0, {'J01': -116.91}, {'J01': 7}, {'J01': 41}, 
880.0, {'J01': -85.261}, {'J01': 8}, {'J01': 47}, 
885.0, {'J01': -90.443}, {'J01': 8}, {'J01': 46}, 
890.0, {'J01': -109.25}, {'J01': 8}, {'J01': 53}, 
895.0, {'J01': -112.25}, {'J01': 8}, {'J01': 56}, 
900.0, {'J01': -110.25}, {'J01': 9}, {'J01': 54}, 
905.0, {'J01': -107.898}, {'J01': 7}, {'J01': 48}, 
910.0, {'J01': -116.432}, {'J01': 8}, {'J01': 54}, 
915.0, {'J01': -101.631}, {'J01': 6}, {'J01': 43}, 
920.0, {'J01': -101.813}, {'J01': 6}, {'J01': 37}, 
925.0, {'J01': -48.471000000000004}, {'J01': 6}, {'J01': 32}, 
930.0, {'J01': -88.09100000000001}, {'J01': 7}, {'J01': 40}, 
935.0, {'J01': -105.36399999999999}, {'J01': 7}, {'J01': 48}, 
940.0, {'J01': -59.852000000000004}, {'J01': 8}, {'J01': 41}, 
945.0, {'J01': -67.21}, {'J01': 8}, {'J01': 44}, 
950.0, {'J01': -64.767}, {'J01': 8}, {'J01': 41}, 
955.0, {'J01': -56.5}, {'J01': 7}, {'J01': 34}, 
960.0, {'J01': -55.148}, {'J01': 5}, {'J01': 29}, 
965.0, {'J01': -54.681999999999995}, {'J01': 6}, {'J01': 26}, 
970.0, {'J01': -66.58000000000001}, {'J01': 7}, {'J01': 23}, 
975.0, {'J01': -53.506}, {'J01': 5}, {'J01': 23}, 
980.0, {'J01': -61.688}, {'J01': 5}, {'J01': 25}, 
985.0, {'J01': -70.574}, {'J01': 7}, {'J01': 35}, 
990.0, {'J01': -72.398}, {'J01': 7}, {'J01': 35}, 
995.0, {'J01': -66.864}, {'J01': 6}, {'J01': 32}, 
1000.0, {'J01': -61.864}, {'J01': 4}, {'J01': 27}, 
1005.0, {'J01': -66.313}, {'J01': 4}, {'J01': 24}, 
1010.0, {'J01': -66.58000000000001}, {'J01': 4}, {'J01': 23}, 
1015.0, {'J01': -60.779}, {'J01': 4}, {'J01': 21}, 
1020.0, {'J01': -61.955}, {'J01': 5}, {'J01': 24}, 
1025.0, {'J01': -32.068}, {'J01': 6}, {'J01': 27}, 
1030.0, {'J01': -41.517}, {'J01': 7}, {'J01': 29}, 
1035.0, {'J01': -41.25}, {'J01': 8}, {'J01': 30}, 
1040.0, {'J01': -38.25}, {'J01': 6}, {'J01': 27}, 
1045.0, {'J01': -44.522999999999996}, {'J01': 4}, {'J01': 24}, 
1050.0, {'J01': -34.074}, {'J01': 4}, {'J01': 21}, 
1055.0, {'J01': -38.608000000000004}, {'J01': 4}, {'J01': 23}, 
1060.0, {'J01': -51.239000000000004}, {'J01': 4}, {'J01': 22}, 
1065.0, {'J01': -44.141999999999996}, {'J01': 4}, {'J01': 26}, 
1070.0, {'J01': -73.55099999999999}, {'J01': 6}, {'J01': 36}, 
1075.0, {'J01': -76.375}, {'J01': 7}, {'J01': 37}, 
1080.0, {'J01': -78.557}, {'J01': 7}, {'J01': 33}, 
1085.0, {'J01': -59.83500000000001}, {'J01': 7}, {'J01': 31}, 
1090.0, {'J01': -58.744}, {'J01': 7}, {'J01': 33}, 
1095.0, {'J01': -67.187}, {'J01': 7}, {'J01': 42}, 
1100.0, {'J01': -75.46}, {'J01': 8}, {'J01': 41}, 
1105.0, {'J01': -70.193}, {'J01': 7}, {'J01': 37}, 
1110.0, {'J01': -73.375}, {'J01': 7}, {'J01': 34}, 
1115.0, {'J01': -69.375}, {'J01': 7}, {'J01': 30}, 
1120.0, {'J01': -43.471000000000004}, {'J01': 7}, {'J01': 27}, 
1125.0, {'J01': -60.926}, {'J01': 7}, {'J01': 29}, 
1130.0, {'J01': -69.017}, {'J01': 7}, {'J01': 34}, 
1135.0, {'J01': -61.010999999999996}, {'J01': 8}, {'J01': 34}, 
1140.0, {'J01': -77.46600000000001}, {'J01': 8}, {'J01': 35}, 
1145.0, {'J01': -83.648}, {'J01': 7}, {'J01': 35}, 
1150.0, {'J01': -80.648}, {'J01': 7}, {'J01': 32}, 
1155.0, {'J01': -63.102000000000004}, {'J01': 7}, {'J01': 33}, 
1160.0, {'J01': -56.301}, {'J01': 6}, {'J01': 30}, 
1165.0, {'J01': -37.335}, {'J01': 7}, {'J01': 31}, 
1170.0, {'J01': -42.426}, {'J01': 8}, {'J01': 33}, 
1175.0, {'J01': -41.159}, {'J01': 8}, {'J01': 33}, 
1180.0, {'J01': -45.426}, {'J01': 8}, {'J01': 36}, 
1185.0, {'J01': -52.784000000000006}, {'J01': 8}, {'J01': 39}, 
1190.0, {'J01': -49.25}, {'J01': 8}, {'J01': 38}, 
1195.0, {'J01': -60.790000000000006}, {'J01': 8}, {'J01': 39}, 
1200.0, {'J01': -60.96600000000001}, {'J01': 8}, {'J01': 41}, 
1205.0, {'J01': -82.137}, {'J01': 8}, {'J01': 38}, 
1210.0, {'J01': -59.676}, {'J01': 8}, {'J01': 39}, 
1215.0, {'J01': -68.858}, {'J01': 8}, {'J01': 42}, 
1220.0, {'J01': -58.141999999999996}, {'J01': 8}, {'J01': 40}, 
1225.0, {'J01': -63.324}, {'J01': 8}, {'J01': 39}, 
1230.0, {'J01': -57.141999999999996}, {'J01': 8}, {'J01': 39}, 
