5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -6.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -15.0}, {'J01': 2}, {'J01': 2}, 
25.0, {'J01': -40.0}, {'J01': 3}, {'J01': 4}, 
30.0, {'J01': -47.0}, {'J01': 2}, {'J01': 3}, 
35.0, {'J01': -37.0}, {'J01': 1}, {'J01': 5}, 
40.0, {'J01': -101.5}, {'J01': 3}, {'J01': 12}, 
45.0, {'J01': -195.5}, {'J01': 3}, {'J01': 17}, 
50.0, {'J01': -340.5}, {'J01': 6}, {'J01': 23}, 
55.0, {'J01': -500.5}, {'J01': 8}, {'J01': 28}, 
60.0, {'J01': -773.5}, {'J01': 8}, {'J01': 28}, 
65.0, {'J01': -1053.5}, {'J01': 8}, {'J01': 28}, 
70.0, {'J01': -1266.5}, {'J01': 8}, {'J01': 27}, 
75.0, {'J01': -1538.5}, {'J01': 8}, {'J01': 28}, 
80.0, {'J01': -1744.0}, {'J01': 8}, {'J01': 29}, 
85.0, {'J01': -2035.0}, {'J01': 8}, {'J01': 30}, 
90.0, {'J01': -2291.0}, {'J01': 8}, {'J01': 28}, 
95.0, {'J01': -2555.0}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -2847.0}, {'J01': 8}, {'J01': 31}, 
105.0, {'J01': -2796.5}, {'J01': 8}, {'J01': 30}, 
110.0, {'J01': -3082.0}, {'J01': 8}, {'J01': 32}, 
115.0, {'J01': -3415.0}, {'J01': 8}, {'J01': 36}, 
120.0, {'J01': -3780.5}, {'J01': 8}, {'J01': 38}, 
125.0, {'J01': -4109.0}, {'J01': 8}, {'J01': 38}, 
130.0, {'J01': -4489.0}, {'J01': 8}, {'J01': 38}, 
135.0, {'J01': -4872.5}, {'J01': 9}, {'J01': 39}, 
140.0, {'J01': -4416.0}, {'J01': 8}, {'J01': 35}, 
145.0, {'J01': -2844.0}, {'J01': 7}, {'J01': 25}, 
150.0, {'J01': -2802.0}, {'J01': 6}, {'J01': 26}, 
155.0, {'J01': -3081.5}, {'J01': 9}, {'J01': 35}, 
160.0, {'J01': -2499.0}, {'J01': 8}, {'J01': 33}, 
165.0, {'J01': -1303.5}, {'J01': 8}, {'J01': 23}, 
170.0, {'J01': -899.0}, {'J01': 6}, {'J01': 22}, 
175.0, {'J01': -812.0}, {'J01': 4}, {'J01': 26}, 
180.0, {'J01': -720.0}, {'J01': 6}, {'J01': 27}, 
185.0, {'J01': -1010.5}, {'J01': 8}, {'J01': 33}, 
190.0, {'J01': -1343.0}, {'J01': 8}, {'J01': 34}, 
195.0, {'J01': -1690.5}, {'J01': 9}, {'J01': 37}, 
200.0, {'J01': -2068.5}, {'J01': 9}, {'J01': 41}, 
205.0, {'J01': -2445.0}, {'J01': 9}, {'J01': 40}, 
210.0, {'J01': -2774.0}, {'J01': 9}, {'J01': 40}, 
215.0, {'J01': -2701.0}, {'J01': 10}, {'J01': 36}, 
220.0, {'J01': -2077.0}, {'J01': 10}, {'J01': 28}, 
225.0, {'J01': -2017.0}, {'J01': 9}, {'J01': 28}, 
230.0, {'J01': -1662.5}, {'J01': 7}, {'J01': 21}, 
235.0, {'J01': -1500.5}, {'J01': 5}, {'J01': 20}, 
240.0, {'J01': -1721.0}, {'J01': 6}, {'J01': 28}, 
245.0, {'J01': -1431.0}, {'J01': 4}, {'J01': 25}, 
250.0, {'J01': -583.0}, {'J01': 4}, {'J01': 14}, 
255.0, {'J01': -663.0}, {'J01': 4}, {'J01': 16}, 
260.0, {'J01': -789.0}, {'J01': 4}, {'J01': 20}, 
265.0, {'J01': -940.0}, {'J01': 4}, {'J01': 19}, 
270.0, {'J01': -978.0}, {'J01': 6}, {'J01': 25}, 
275.0, {'J01': -542.5}, {'J01': 8}, {'J01': 27}, 
280.0, {'J01': -744.5}, {'J01': 8}, {'J01': 28}, 
285.0, {'J01': -805.5}, {'J01': 7}, {'J01': 26}, 
290.0, {'J01': -876.0}, {'J01': 7}, {'J01': 26}, 
295.0, {'J01': -1054.0}, {'J01': 7}, {'J01': 28}, 
300.0, {'J01': -1223.5}, {'J01': 8}, {'J01': 27}, 
305.0, {'J01': -1509.0}, {'J01': 8}, {'J01': 34}, 
310.0, {'J01': -1828.0}, {'J01': 8}, {'J01': 33}, 
315.0, {'J01': -2159.0}, {'J01': 8}, {'J01': 34}, 
320.0, {'J01': -2502.0}, {'J01': 8}, {'J01': 35}, 
325.0, {'J01': -2852.5}, {'J01': 8}, {'J01': 36}, 
330.0, {'J01': -3219.0}, {'J01': 9}, {'J01': 39}, 
335.0, {'J01': -3624.0}, {'J01': 10}, {'J01': 44}, 
340.0, {'J01': -2253.5}, {'J01': 7}, {'J01': 30}, 
345.0, {'J01': -2553.5}, {'J01': 7}, {'J01': 30}, 
350.0, {'J01': -2863.5}, {'J01': 7}, {'J01': 36}, 
355.0, {'J01': -3228.0}, {'J01': 7}, {'J01': 39}, 
360.0, {'J01': -3627.0}, {'J01': 8}, {'J01': 41}, 
365.0, {'J01': -3896.5}, {'J01': 9}, {'J01': 43}, 
370.0, {'J01': -4048.0}, {'J01': 9}, {'J01': 39}, 
375.0, {'J01': -4348.5}, {'J01': 9}, {'J01': 39}, 
380.0, {'J01': -3940.0}, {'J01': 9}, {'J01': 36}, 
385.0, {'J01': -3952.5}, {'J01': 10}, {'J01': 33}, 
390.0, {'J01': -4262.5}, {'J01': 10}, {'J01': 34}, 
395.0, {'J01': -4622.0}, {'J01': 10}, {'J01': 41}, 
400.0, {'J01': -5022.5}, {'J01': 11}, {'J01': 43}, 
405.0, {'J01': -5264.0}, {'J01': 13}, {'J01': 44}, 
410.0, {'J01': -5633.0}, {'J01': 15}, {'J01': 44}, 
415.0, {'J01': -6081.0}, {'J01': 15}, {'J01': 47}, 
420.0, {'J01': -6555.5}, {'J01': 15}, {'J01': 49}, 
425.0, {'J01': -6990.5}, {'J01': 15}, {'J01': 48}, 
430.0, {'J01': -7367.5}, {'J01': 15}, {'J01': 48}, 
435.0, {'J01': -7776.5}, {'J01': 15}, {'J01': 46}, 
