episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,MPLight_MM,2793723.0,6224541.5,36814.5,46993.0,21814.0,4649.0,-83.57641,47.19664,-179.852,-0.0,0.6874,0.0041,0.297,0.0633,0.0,0.0,0.0,1080,122.4
2,MPLight_MM,2981107.5,3989136.0,36121.0,44461.0,18409.0,4369.0,-76.58199,44.97249,-207.027,-0.0,0.5694,0.0052,0.2738,0.065,0.0,0.0,0.0,1080,111.3
3,MPLight_MM,3266007.5,10571711.0,32951.5,53856.0,28213.0,4103.0,-96.09858,52.06326,-201.493,-0.0,0.7622,0.0024,0.3274,0.0476,0.0,0.0,0.0,1080,123.2
4,MPLight_MM,2544825.0,7854250.0,36174.0,50641.0,25505.0,4574.0,-91.12687,51.93337,-187.653,-0.0,0.7527,0.0035,0.316,0.0567,0.0,0.0,0.0,1080,126.6
5,MPLight_MM,2689027.0,3734640.0,55430.5,41492.0,16742.0,4849.0,-73.27109,43.95127,-174.908,-0.0,0.5764,0.0086,0.2654,0.0769,0.0,0.0,0.0,1080,130.8
6,MPLight_MM,2299715.5,500999.0,35978.5,32211.0,7012.0,4386.0,-51.98924,28.33378,-132.245,-0.0,0.1766,0.0127,0.1608,0.1006,0.0,0.0,0.0,1080,114.3
7,MPLight_MM,2640519.0,1761702.5,40253.0,37255.0,11757.0,4684.0,-62.89591,36.21734,-173.641,-0.0,0.3966,0.0091,0.219,0.0872,0.0,0.0,0.0,1080,141.9
8,MPLight_MM,2263161.5,768868.5,49605.0,33590.0,8196.0,4566.0,-55.1445,30.8296,-139.607,-0.0,0.2495,0.0161,0.1768,0.0985,0.0,0.0,0.0,1080,114.8
9,MPLight_MM,2108238.0,725980.0,25969.0,32670.0,7911.0,3863.0,-52.03501,29.4426,-132.301,-0.0,0.2538,0.0091,0.178,0.0869,0.0,0.0,0.0,1080,144.0
10,MPLight_MM,2034276.5,744813.5,37328.0,31994.0,7838.0,4512.0,-53.12653,30.71464,-125.415,-0.0,0.2645,0.0133,0.1768,0.1017,0.0,0.0,0.0,1080,105.5
11,MPLight_MM,1891133.5,487220.0,35494.0,30989.0,6692.0,4509.0,-50.72562,28.1045,-121.239,-0.0,0.2018,0.0147,0.1586,0.1069,0.0,0.0,0.0,1080,143.4
12,MPLight_MM,2030310.0,313127.0,34710.5,29925.0,5476.0,4198.0,-47.56117,25.74107,-113.813,-0.0,0.1317,0.0146,0.1383,0.106,0.0,0.0,0.0,1080,100.0
13,MPLight_MM,1776868.5,345249.0,36300.0,29401.0,4836.0,4530.0,-47.14085,26.7065,-130.187,-0.0,0.16,0.0168,0.1247,0.1169,0.0,0.0,0.0,1080,105.4
14,MPLight_MM,1952852.0,374776.0,34417.5,30417.0,5661.0,4432.0,-48.81189,26.73593,-131.216,-0.0,0.1587,0.0146,0.1397,0.1094,0.0,0.0,0.0,1080,74.7
15,MPLight_MM,2130037.5,710283.5,48779.5,31628.0,7147.0,5042.0,-53.1533,31.86459,-154.716,-0.0,0.2458,0.0169,0.1631,0.1151,0.0,0.0,0.0,1080,113.0
16,MPLight_MM,1904800.5,239306.0,35590.5,28739.0,4708.0,4510.0,-46.31762,25.44502,-117.109,-0.0,0.1098,0.0163,0.124,0.1188,0.0,0.0,0.0,1080,102.2
17,MPLight_MM,1903589.5,255302.5,32423.0,29511.0,5083.0,4295.0,-46.89137,25.17859,-115.376,-0.0,0.1165,0.0148,0.1307,0.1104,0.0,0.0,0.0,1080,114.2
18,MPLight_MM,1858192.0,363158.0,32520.0,29133.0,5631.0,4327.0,-47.27298,26.84065,-119.852,-0.0,0.1611,0.0144,0.144,0.1107,0.0,0.0,0.0,1080,97.1
19,MPLight_MM,1908006.5,277969.0,32795.0,29369.0,5128.0,4268.0,-46.75544,25.08976,-131.154,-0.0,0.1253,0.0148,0.1323,0.1101,0.0,0.0,0.0,1080,96.5
20,MPLight_MM,2210959.5,482592.0,34155.0,30923.0,6410.0,4594.0,-50.33368,28.31791,-138.046,-0.0,0.1769,0.0125,0.1529,0.1096,0.0,0.0,0.0,1080,114.5
21,MPLight_MM,1688433.5,248386.0,30909.5,28010.0,4773.0,4278.0,-45.13502,25.74814,-132.245,-0.0,0.1262,0.0157,0.1288,0.1154,0.0,0.0,0.0,1080,97.0
22,MPLight_MM,1916555.0,484237.0,50632.5,29065.0,5957.0,4681.0,-48.52263,28.28683,-132.841,-0.0,0.1975,0.0207,0.15,0.1179,0.0,0.0,0.0,1080,116.4
23,MPLight_MM,1926930.0,345611.0,43054.0,29051.0,5561.0,4797.0,-48.35992,26.98136,-113.194,-0.0,0.1493,0.0186,0.1411,0.1217,0.0,0.0,0.0,1080,126.5
24,MPLight_MM,1778081.5,380476.0,41864.5,28201.0,5656.0,4654.0,-47.17203,29.34322,-139.512,-0.0,0.1729,0.019,0.1469,0.1208,0.0,0.0,0.0,1080,125.7
25,MPLight_MM,1815670.0,293541.5,75441.5,27192.0,4952.0,5185.0,-46.81427,28.22878,-132.659,-0.0,0.1344,0.0345,0.1327,0.1389,0.0,0.0,0.0,1080,102.9
26,MPLight_MM,1904872.5,344377.0,37157.5,28099.0,5490.0,4551.0,-46.71684,28.1425,-139.574,-0.0,0.1506,0.0163,0.1439,0.1193,0.0,0.0,0.0,1080,109.5
27,MPLight_MM,1748529.5,452324.0,53932.0,28740.0,5970.0,4838.0,-48.78933,29.45299,-131.512,-0.0,0.2006,0.0239,0.151,0.1223,0.0,0.0,0.0,1080,124.2
28,MPLight_MM,1788049.0,344501.5,36381.0,27315.0,5452.0,4277.0,-45.31955,27.97723,-118.086,-0.0,0.1588,0.0168,0.1472,0.1155,0.0,0.0,0.0,1080,106.5
29,MPLight_MM,1899679.0,1293679.5,89021.5,31177.0,8914.0,5103.0,-54.33356,39.06318,-189.323,-0.0,0.3941,0.0271,0.1972,0.1129,0.0,0.0,0.0,1080,102.1
30,MPLight_MM,1506960.5,309018.0,53218.0,26532.0,5138.0,4823.0,-45.49979,26.98844,-126.711,-0.0,0.1653,0.0285,0.1408,0.1322,0.0,0.0,0.0,1080,103.9
31,MPLight_MM,1682929.5,322073.5,39007.0,27124.0,5287.0,4535.0,-45.60168,27.70182,-124.262,-0.0,0.1576,0.0191,0.1431,0.1227,0.0,0.0,0.0,1080,100.6
32,MPLight_MM,2123418.0,816366.5,18627.5,31778.0,8087.0,3532.0,-50.45392,30.25118,-137.779,-0.0,0.2759,0.0063,0.1863,0.0814,0.0,0.0,0.0,1080,91.6
33,MPLight_MM,1809530.5,401564.5,27115.5,28042.0,5669.0,3869.0,-45.14253,28.022,-125.711,-0.0,0.1794,0.0121,0.1509,0.103,0.0,0.0,0.0,1080,113.8
34,MPLight_MM,1903989.0,493285.5,45442.0,29272.0,6421.0,4327.0,-48.19968,29.58195,-143.046,-0.0,0.2019,0.0186,0.1604,0.1081,0.0,0.0,0.0,1080,118.3
35,MPLight_MM,1818253.0,471905.0,47922.5,28232.0,6094.0,4673.0,-47.84623,28.99538,-131.711,-0.0,0.2018,0.0205,0.1563,0.1198,0.0,0.0,0.0,1080,109.8
36,MPLight_MM,1602150.0,614847.5,83137.0,26015.0,6032.0,5585.0,-48.27651,30.2893,-117.148,-0.0,0.2673,0.0361,0.1603,0.1484,0.0,0.0,0.0,1080,116.1
37,MPLight_MM,1662666.5,666768.0,83647.5,26350.0,6148.0,5421.0,-47.93858,30.95251,-129.597,-0.0,0.2763,0.0347,0.1621,0.143,0.0,0.0,0.0,1080,109.2
38,MPLight_MM,1607747.5,1568063.0,105235.5,29626.0,9641.0,6316.0,-57.65414,36.497,-139.489,-0.0,0.4779,0.0321,0.2115,0.1386,0.0,0.0,0.0,1080,129.8
39,MPLight_MM,1676843.5,370088.0,48558.0,26201.0,5159.0,4588.0,-44.7543,28.00616,-133.512,-0.0,0.1766,0.0232,0.1435,0.1276,0.0,0.0,0.0,1080,113.3
40,MPLight_MM,1656170.5,654980.5,67328.0,27124.0,6462.0,5345.0,-49.10089,30.78645,-135.512,-0.0,0.2754,0.0283,0.166,0.1373,0.0,0.0,0.0,1080,129.7
41,MPLight_MM,1840054.5,803856.5,68486.0,28700.0,7428.0,5278.0,-51.54173,33.32853,-135.955,-0.0,0.2964,0.0252,0.1794,0.1275,0.0,0.0,0.0,1080,111.8
42,MPLight_MM,1663080.0,773289.5,56308.0,26966.0,6694.0,4704.0,-47.51813,30.841,-135.131,-0.0,0.3102,0.0226,0.1745,0.1226,0.0,0.0,0.0,1080,98.1
43,MPLight_MM,1599826.5,333453.0,79273.5,24603.0,4817.0,5574.0,-45.50652,29.86715,-125.591,-0.0,0.1657,0.0394,0.1377,0.1593,0.0,0.0,0.0,1080,103.8
44,MPLight_MM,1724716.5,668873.0,63532.5,27370.0,6421.0,5247.0,-48.97147,31.71217,-142.551,-0.0,0.2722,0.0259,0.1645,0.1344,0.0,0.0,0.0,1080,128.5
45,MPLight_MM,1792479.0,337586.5,39924.5,26552.0,5335.0,4436.0,-44.80495,28.87505,-115.728,-0.0,0.1556,0.0184,0.1469,0.1221,0.0,0.0,0.0,1080,93.9
46,MPLight_MM,2201643.5,553169.0,83993.0,29547.0,6632.0,4850.0,-50.17579,29.41988,-122.438,-0.0,0.1949,0.0296,0.1616,0.1182,0.0,0.0,0.0,1080,139.4
