episode,agent,decision,signal_id,reward
1,MPLight_MM,50,J01,-51.08
1,MPLight_MM,100,J01,-106.465
1,MPLight_MM,150,J01,-101.931
1,MPLight_MM,200,J01,-141.203
1,MPLight_MM,250,J01,-56.875
1,MPLight_MM,300,J01,-56.858
1,MPLight_MM,350,J01,-125.096
1,MPLight_MM,400,J01,-102.312
1,MPLight_MM,450,J01,-105.96
1,MPLight_MM,500,J01,-123.806
1,MPLight_MM,550,J01,-156.648
1,MPLight_MM,600,J01,-116.187
1,MPLight_MM,650,J01,-137.226
1,MPLight_MM,700,J01,-158.186
1,MPLight_MM,750,J01,-131.93
1,MPLight_MM,800,J01,-52.937
1,MPLight_MM,850,J01,-25.0
1,MPLight_MM,900,J01,-21.0
1,MPLight_MM,950,J01,-6.0
1,MPLight_MM,1000,J01,-15.0
1,MPLight_MM,1050,J01,-7.0
2,MPLight_MM,50,J01,-89.795
2,MPLight_MM,100,J01,-136.164
2,MPLight_MM,150,J01,-120.442
2,MPLight_MM,200,J01,-59.034
2,MPLight_MM,250,J01,-91.238
2,MPLight_MM,300,J01,-63.301
2,MPLight_MM,350,J01,-71.721
2,MPLight_MM,400,J01,-100.035
2,MPLight_MM,450,J01,-94.892
2,MPLight_MM,500,J01,-117.175
2,MPLight_MM,550,J01,-149.919
2,MPLight_MM,600,J01,-149.743
2,MPLight_MM,650,J01,-140.669
2,MPLight_MM,700,J01,-113.357
2,MPLight_MM,750,J01,-66.011
2,MPLight_MM,800,J01,-23.0
2,MPLight_MM,850,J01,-20.0
2,MPLight_MM,900,J01,-25.0
2,MPLight_MM,950,J01,-26.0
2,MPLight_MM,1000,J01,-24.0
2,MPLight_MM,1050,J01,-29.0
3,MPLight_MM,50,J01,-45.881
3,MPLight_MM,100,J01,-84.261
3,MPLight_MM,150,J01,-95.863
3,MPLight_MM,200,J01,-141.493
3,MPLight_MM,250,J01,-122.481
3,MPLight_MM,300,J01,-152.743
3,MPLight_MM,350,J01,-155.362
3,MPLight_MM,400,J01,-142.323
3,MPLight_MM,450,J01,-152.919
3,MPLight_MM,500,J01,-140.288
3,MPLight_MM,550,J01,-114.709
3,MPLight_MM,600,J01,-152.124
3,MPLight_MM,650,J01,-90.374
3,MPLight_MM,700,J01,-137.431
3,MPLight_MM,750,J01,-121.419
3,MPLight_MM,800,J01,-59.539
3,MPLight_MM,850,J01,-27.0
3,MPLight_MM,900,J01,-20.0
3,MPLight_MM,950,J01,-22.0
3,MPLight_MM,1000,J01,-23.0
3,MPLight_MM,1050,J01,-11.0
4,MPLight_MM,50,J01,-95.153
4,MPLight_MM,100,J01,-116.949
4,MPLight_MM,150,J01,-95.482
4,MPLight_MM,200,J01,-128.226
4,MPLight_MM,250,J01,-124.481
4,MPLight_MM,300,J01,-147.851
4,MPLight_MM,350,J01,-150.681
4,MPLight_MM,400,J01,-151.567
