episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,IDQN_MM2,2944312.5,9033695.0,28728.5,53203.0,27164.0,4138.0,-0.68094,1.94484,-3.0,3.0,0.7524,0.0024,0.3214,0.049,0.9872,-1.0741,nan,1080,39.4
2,IDQN_MM2,2461019.5,2173728.0,31713.5,39739.0,14028.0,4207.0,-0.71344,1.92562,-3.0,3.0,0.4658,0.0068,0.242,0.0726,0.9644,-0.36527,0.571073,1080,36.5
3,IDQN_MM2,2463666.0,5174923.0,34981.0,46446.0,20796.0,4252.0,-0.63822,1.95378,-3.0,3.0,0.6744,0.0046,0.2909,0.0595,0.9407,1.84796,0.598543,1080,37.3
4,IDQN_MM2,3227288.5,12148379.0,36158.5,55478.0,29839.0,4270.0,-0.68267,1.97349,-3.0,3.0,0.7883,0.0023,0.3331,0.0477,0.9169,1.48795,0.577226,1080,39.8
5,IDQN_MM2,2581331.5,2930966.0,33623.0,41571.0,16500.0,4293.0,-0.67664,1.94063,-3.0,3.0,0.5285,0.0061,0.2646,0.0688,0.8932,1.77445,0.562694,1080,35.5
6,IDQN_MM2,2302941.0,2808611.0,19948.0,40740.0,15545.0,3733.0,-0.50454,1.84311,-3.0,3.0,0.5473,0.0039,0.259,0.0622,0.8694,1.88889,0.543732,1080,35.7
7,IDQN_MM2,2532719.0,5302808.0,23508.5,46511.0,21171.0,3968.0,-0.56749,1.93971,-3.0,3.0,0.6747,0.003,0.2955,0.0554,0.8457,1.28165,0.530248,1080,37.7
8,IDQN_MM2,2516828.5,2855637.5,27836.5,40806.0,15240.0,3967.0,-0.60799,1.91688,-3.0,3.0,0.5288,0.0052,0.2539,0.0661,0.8219,0.64563,0.506743,1080,36.1
9,IDQN_MM2,2466449.0,3017501.0,17614.5,41474.0,15782.0,3708.0,-0.48899,1.87697,-3.0,3.0,0.5485,0.0032,0.2589,0.0608,0.7982,1.36063,0.521493,1080,37.5
10,IDQN_MM2,2546238.0,2433603.5,24345.5,40225.0,14579.0,3963.0,-0.50306,1.85788,-3.0,3.0,0.4863,0.0049,0.2481,0.0674,0.7744,1.15522,0.513171,1080,36.1
11,IDQN_MM2,2261085.0,2582531.5,17610.5,39832.0,14237.0,3847.0,-0.43576,1.86549,-3.0,3.0,0.5313,0.0036,0.2458,0.0664,0.7507,-0.24596,0.507493,1080,35.7
12,IDQN_MM2,2462609.0,3127371.0,19942.0,41997.0,16070.0,3798.0,-0.50833,1.89051,-3.0,3.0,0.5575,0.0036,0.2598,0.0614,0.7269,-0.0518,0.496364,1080,37.0
13,IDQN_MM2,2361421.5,3601509.0,19728.0,42266.0,16660.0,3875.0,-0.47994,1.83161,-3.0,3.0,0.602,0.0033,0.2653,0.0617,0.7032,0.06426,0.47523,1080,35.3
14,IDQN_MM2,2559118.5,6845816.0,17823.5,49645.0,23672.0,3773.0,-0.44666,1.91015,-3.0,3.0,0.7265,0.0019,0.3071,0.0489,0.6794,0.20037,0.50156,1080,37.8
15,IDQN_MM2,2525141.0,2972278.5,14505.5,41159.0,15668.0,3479.0,-0.39592,1.82944,-3.0,3.0,0.5392,0.0026,0.2598,0.0577,0.6557,0.27226,0.472636,1080,37.1
16,IDQN_MM2,2360313.0,2308225.5,14445.5,38380.0,12844.0,3430.0,-0.38444,1.79932,-3.0,3.0,0.4929,0.0031,0.235,0.0628,0.6319,0.20155,0.503725,1080,37.0
17,IDQN_MM2,2396102.0,3119913.5,13413.0,40743.0,14986.0,3347.0,-0.3588,1.81518,-3.0,3.0,0.5642,0.0024,0.2537,0.0567,0.6082,-0.02294,0.487711,1080,36.7
18,IDQN_MM2,2417551.5,1818457.5,11504.0,37851.0,11720.0,3279.0,-0.32757,1.75476,-3.0,3.0,0.4281,0.0027,0.2218,0.062,0.5844,-0.28276,0.489065,1080,36.6
19,IDQN_MM2,2232595.0,7181054.0,14698.0,49823.0,23764.0,3659.0,-0.39888,1.91132,-3.0,3.0,0.7616,0.0016,0.3076,0.0474,0.5607,-0.19122,0.457271,1080,37.9
20,IDQN_MM2,2355655.0,3064409.0,11143.0,40613.0,15114.0,3337.0,-0.3068,1.81714,-3.0,3.0,0.5642,0.0021,0.2559,0.0565,0.5369,-0.4048,0.489895,1080,36.4
21,IDQN_MM2,2515506.5,1568286.5,12820.5,37353.0,11163.0,3422.0,-0.36438,1.82472,-3.0,3.0,0.3828,0.0031,0.2149,0.0659,0.5132,-0.0414,0.485856,1080,36.2
22,IDQN_MM2,2295984.5,5206382.0,11378.0,46223.0,20278.0,3376.0,-0.35759,1.80691,-3.0,3.0,0.6929,0.0015,0.2902,0.0483,0.4894,-0.31333,0.474208,1080,37.1
23,IDQN_MM2,2473952.5,4207292.5,9978.0,43713.0,17957.0,3288.0,-0.26991,1.78851,-3.0,3.0,0.6288,0.0015,0.2764,0.0506,0.4657,-0.5826,0.466958,1080,37.0
24,IDQN_MM2,2364510.5,2630044.0,10460.0,38516.0,12939.0,3250.0,-0.27143,1.76439,-3.0,3.0,0.5255,0.0021,0.2365,0.0594,0.4419,-0.75496,0.477903,1080,36.7
25,IDQN_MM2,2497418.0,6783501.5,11153.0,49198.0,23422.0,3514.0,-0.34573,1.88187,-3.0,3.0,0.73,0.0012,0.3076,0.0462,0.4182,-0.58889,0.464226,1080,38.6
26,IDQN_MM2,2489732.0,6403949.5,9666.0,48628.0,21738.0,3312.0,-0.26688,1.80179,-3.0,3.0,0.7193,0.0011,0.295,0.045,0.3944,-1.07385,0.48219,1080,37.7
27,IDQN_MM2,2297068.0,1706900.5,8980.5,37351.0,11271.0,3112.0,-0.23325,1.70098,-3.0,3.0,0.4253,0.0022,0.2179,0.0602,0.3707,-1.36329,0.488345,1080,35.5
28,IDQN_MM2,2358881.5,4784426.0,9492.5,45952.0,19965.0,3325.0,-0.24473,1.80936,-3.0,3.0,0.6689,0.0013,0.2883,0.048,0.3469,-0.74108,0.47059,1080,36.5
29,IDQN_MM2,2887684.5,8155656.0,10183.0,51324.0,24137.0,3367.0,-0.31545,1.88834,-3.0,3.0,0.7378,0.0009,0.3062,0.0427,0.3232,-0.79085,0.467536,1080,38.6
30,IDQN_MM2,2623914.5,1089824.5,7544.5,35022.0,9165.0,2999.0,-0.1993,1.69021,-3.0,3.0,0.2929,0.002,0.1942,0.0636,0.2994,-0.88178,0.449839,1080,35.1
31,IDQN_MM2,2848475.5,2789616.0,9360.0,41008.0,14428.0,3352.0,-0.25924,1.79483,-3.0,3.0,0.494,0.0017,0.2454,0.057,0.2757,-1.67353,0.478286,1080,36.6
32,IDQN_MM2,2585844.5,5425441.0,8605.0,47096.0,20602.0,3275.0,-0.24578,1.82658,-3.0,3.0,0.6765,0.0011,0.2903,0.0461,0.2519,-1.48494,0.457112,1080,38.6
33,IDQN_MM2,2699899.5,2356722.5,10426.0,39722.0,13065.0,3307.0,-0.22862,1.76325,-3.0,3.0,0.4651,0.0021,0.2329,0.059,0.2282,-1.42211,0.47217,1080,36.5
34,IDQN_MM2,3041548.0,3688708.0,7143.0,42841.0,15795.0,3173.0,-0.15661,1.71225,-3.0,3.0,0.5475,0.0011,0.2555,0.0513,0.2044,-1.4705,0.458018,1080,38.1
35,IDQN_MM2,4433703.0,2389747.0,7717.0,41158.0,13308.0,3200.0,-0.15538,1.78388,-3.0,3.0,0.3498,0.0011,0.2308,0.0555,0.1807,-1.89702,0.453458,1080,36.4
36,IDQN_MM2,2936964.5,1737899.0,6074.5,38068.0,11444.0,2879.0,-0.13318,1.66711,-3.0,3.0,0.3713,0.0013,0.2184,0.055,0.1569,-1.74456,0.478874,1080,36.1
37,IDQN_MM2,4997816.5,401396.0,6850.0,33839.0,5621.0,3050.0,-0.18641,1.70116,-3.0,3.0,0.0742,0.0013,0.1322,0.0717,0.1332,-1.7712,0.438528,1080,36.0
38,IDQN_MM2,3126196.5,1708561.0,6240.0,38011.0,10817.0,2992.0,-0.13928,1.65029,-3.0,3.0,0.3529,0.0013,0.2087,0.0577,0.1094,-2.54287,0.455066,1080,35.0
