episode,agent,decision,signal_id,reward
1,IDQN_MM2,50,J01,2.70391
1,IDQN_MM2,100,J01,-3.0
1,IDQN_MM2,150,J01,3.0
1,IDQN_MM2,200,J01,-2.17378
1,IDQN_MM2,250,J01,-3.0
1,IDQN_MM2,300,J01,0.49066
1,IDQN_MM2,350,J01,-0.94847
1,IDQN_MM2,400,J01,3.0
1,IDQN_MM2,450,J01,3.0
1,IDQN_MM2,500,J01,3.0
1,IDQN_MM2,550,J01,0.78511
1,IDQN_MM2,600,J01,3.0
1,IDQN_MM2,650,J01,-1.7382
1,IDQN_MM2,700,J01,-3.0
1,IDQN_MM2,750,J01,1.97261
1,IDQN_MM2,800,J01,0.1572
1,IDQN_MM2,850,J01,0.46623
1,IDQN_MM2,900,J01,1.07031
1,IDQN_MM2,950,J01,0.26642
1,IDQN_MM2,1000,J01,0.54024
1,IDQN_MM2,1050,J01,0.3506
2,IDQN_MM2,50,J01,-3.0
2,IDQN_MM2,100,J01,-3.0
2,IDQN_MM2,150,J01,-3.0
2,IDQN_MM2,200,J01,-1.70645
2,IDQN_MM2,250,J01,-0.8127
2,IDQN_MM2,300,J01,-3.0
2,IDQN_MM2,350,J01,3.0
2,IDQN_MM2,400,J01,-3.0
2,IDQN_MM2,450,J01,-1.70764
2,IDQN_MM2,500,J01,0.14763
2,IDQN_MM2,550,J01,-3.0
2,IDQN_MM2,600,J01,-3.0
2,IDQN_MM2,650,J01,-2.65862
2,IDQN_MM2,700,J01,-3.0
2,IDQN_MM2,750,J01,3.0
2,IDQN_MM2,800,J01,-0.52057
2,IDQN_MM2,850,J01,-0.22664
2,IDQN_MM2,900,J01,-0.15819
2,IDQN_MM2,950,J01,-0.10268
2,IDQN_MM2,1000,J01,-0.40426
2,IDQN_MM2,1050,J01,-0.15356
3,IDQN_MM2,50,J01,-1.77423
3,IDQN_MM2,100,J01,-1.9918
3,IDQN_MM2,150,J01,0.3043
3,IDQN_MM2,200,J01,-1.52403
3,IDQN_MM2,250,J01,-0.54107
3,IDQN_MM2,300,J01,-3.0
3,IDQN_MM2,350,J01,-3.0
3,IDQN_MM2,400,J01,3.0
3,IDQN_MM2,450,J01,1.64272
3,IDQN_MM2,500,J01,3.0
3,IDQN_MM2,550,J01,-3.0
3,IDQN_MM2,600,J01,1.13211
3,IDQN_MM2,650,J01,-2.57581
3,IDQN_MM2,700,J01,-1.99448
3,IDQN_MM2,750,J01,1.395
3,IDQN_MM2,800,J01,0.0296
3,IDQN_MM2,850,J01,-0.31267
3,IDQN_MM2,900,J01,-0.47271
3,IDQN_MM2,950,J01,-0.04718
3,IDQN_MM2,1000,J01,0.04625
3,IDQN_MM2,1050,J01,-0.05828
