5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -9.5}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -59.5}, {'J01': 2}, {'J01': 8}, 
25.0, {'J01': -94.0}, {'J01': 3}, {'J01': 7}, 
30.0, {'J01': -145.5}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -147.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -213.5}, {'J01': 4}, {'J01': 11}, 
45.0, {'J01': -248.0}, {'J01': 3}, {'J01': 14}, 
50.0, {'J01': -263.0}, {'J01': 5}, {'J01': 21}, 
55.0, {'J01': -423.0}, {'J01': 7}, {'J01': 24}, 
60.0, {'J01': -664.0}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': -706.5}, {'J01': 7}, {'J01': 30}, 
70.0, {'J01': -503.0}, {'J01': 5}, {'J01': 21}, 
75.0, {'J01': -465.0}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -656.5}, {'J01': 4}, {'J01': 25}, 
85.0, {'J01': -732.5}, {'J01': 6}, {'J01': 24}, 
90.0, {'J01': -781.5}, {'J01': 8}, {'J01': 24}, 
95.0, {'J01': -978.0}, {'J01': 8}, {'J01': 27}, 
100.0, {'J01': -1259.0}, {'J01': 8}, {'J01': 32}, 
105.0, {'J01': -1154.5}, {'J01': 7}, {'J01': 28}, 
110.0, {'J01': -737.0}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -737.5}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -894.5}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -1065.0}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -1228.0}, {'J01': 8}, {'J01': 29}, 
135.0, {'J01': -1459.0}, {'J01': 8}, {'J01': 31}, 
140.0, {'J01': -1784.5}, {'J01': 8}, {'J01': 38}, 
145.0, {'J01': -1756.5}, {'J01': 7}, {'J01': 35}, 
150.0, {'J01': -1127.0}, {'J01': 5}, {'J01': 23}, 
155.0, {'J01': -1109.0}, {'J01': 4}, {'J01': 22}, 
160.0, {'J01': -1342.5}, {'J01': 4}, {'J01': 28}, 
165.0, {'J01': -1050.0}, {'J01': 6}, {'J01': 30}, 
170.0, {'J01': -1136.5}, {'J01': 8}, {'J01': 32}, 
175.0, {'J01': -1382.5}, {'J01': 8}, {'J01': 34}, 
180.0, {'J01': -1736.0}, {'J01': 8}, {'J01': 39}, 
185.0, {'J01': -2132.5}, {'J01': 8}, {'J01': 41}, 
190.0, {'J01': -2542.5}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': -2902.0}, {'J01': 8}, {'J01': 42}, 
200.0, {'J01': -3269.5}, {'J01': 8}, {'J01': 43}, 
205.0, {'J01': -3290.0}, {'J01': 8}, {'J01': 38}, 
210.0, {'J01': -3429.0}, {'J01': 8}, {'J01': 34}, 
