episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FIXEDTIME,1159031.0,116295.0,27199.0,26413.0,3213.0,4176.0,-1180.85741,646.36386,-4413.0,0.0,0.0893,0.0209,0.0951,0.1235,0.0,0.0,0.0,1080,24.9
2,FIXEDTIME,1251689.5,102212.5,26166.0,26590.0,3147.0,4186.0,-1253.61296,707.3672,-4701.0,0.0,0.0741,0.019,0.0928,0.1234,0.0,0.0,0.0,1080,25.3
3,FIXEDTIME,1334560.0,160317.0,24362.0,27373.0,3677.0,3996.0,-1384.14537,916.39739,-6691.5,0.0,0.1055,0.016,0.1049,0.114,0.0,0.0,0.0,1080,25.8
4,FIXEDTIME,1163267.0,89891.5,29651.5,26249.0,3023.0,4268.0,-1160.33194,573.08173,-3871.5,0.0,0.0701,0.0231,0.0901,0.1273,0.0,0.0,0.0,1080,25.2
5,FIXEDTIME,1365339.0,235685.5,28398.5,27773.0,4113.0,4212.0,-1482.43009,1208.91358,-9180.5,0.0,0.1446,0.0174,0.1139,0.1167,0.0,0.0,0.0,1080,25.9
6,FIXEDTIME,1355060.5,187801.5,26900.0,27698.0,3784.0,4204.0,-1428.57593,959.32375,-7832.5,0.0,0.1196,0.0171,0.106,0.1178,0.0,0.0,0.0,1080,27.2
7,FIXEDTIME,1417315.0,167189.0,25901.0,27631.0,3833.0,4025.0,-1467.13333,1001.07242,-7440.5,0.0,0.1038,0.0161,0.108,0.1134,0.0,0.0,0.0,1080,27.0
8,FIXEDTIME,1308188.5,138890.0,26337.0,27121.0,3585.0,4191.0,-1339.8875,835.61954,-5481.0,0.0,0.0943,0.0179,0.1027,0.1201,0.0,0.0,0.0,1080,25.8
9,FIXEDTIME,1284120.5,145365.5,26703.0,27092.0,3449.0,4203.0,-1323.59815,826.05345,-6388.0,0.0,0.0998,0.0183,0.0993,0.121,0.0,0.0,0.0,1080,26.2
10,FIXEDTIME,1291965.0,88101.0,25880.0,26467.0,2878.0,4157.0,-1277.83889,732.81092,-5062.0,0.0,0.0627,0.0184,0.0859,0.1241,0.0,0.0,0.0,1080,25.6
11,FIXEDTIME,1231257.5,94706.5,29479.0,26337.0,2934.0,4235.0,-1227.74444,680.30191,-4931.0,0.0,0.0699,0.0217,0.0876,0.1264,0.0,0.0,0.0,1080,26.7
12,FIXEDTIME,1231924.5,101653.0,29268.0,26511.0,3090.0,4220.0,-1234.79398,698.04659,-5016.0,0.0,0.0746,0.0215,0.0914,0.1248,0.0,0.0,0.0,1080,25.7
13,FIXEDTIME,1260482.0,120699.5,27222.5,26802.0,3352.0,4226.0,-1278.87176,801.1349,-6188.5,0.0,0.0857,0.0193,0.0975,0.1229,0.0,0.0,0.0,1080,26.3
14,FIXEDTIME,1199788.5,105887.0,26495.0,26540.0,3095.0,4159.0,-1208.9588,620.58462,-4291.0,0.0,0.0795,0.0199,0.0916,0.1231,0.0,0.0,0.0,1080,26.4
15,FIXEDTIME,1227507.0,108509.5,24655.0,26918.0,3223.0,4113.0,-1237.05231,703.38108,-4892.5,0.0,0.0797,0.0181,0.0941,0.1201,0.0,0.0,0.0,1080,26.2
16,FIXEDTIME,1212817.0,145908.5,26677.0,27179.0,3515.0,4158.0,-1258.07917,756.85999,-6744.5,0.0,0.1053,0.0193,0.1009,0.1193,0.0,0.0,0.0,1080,25.8
17,FIXEDTIME,1272237.0,100703.5,27412.0,26595.0,2996.0,4138.0,-1271.2412,788.32594,-6572.0,0.0,0.0719,0.0196,0.0888,0.1227,0.0,0.0,0.0,1080,26.0
18,FIXEDTIME,1234095.5,92169.0,29531.5,26321.0,2954.0,4164.0,-1228.02269,665.19185,-4859.5,0.0,0.068,0.0218,0.0883,0.1245,0.0,0.0,0.0,1080,25.3
19,FIXEDTIME,1383026.0,218348.0,27596.5,27968.0,4022.0,4176.0,-1482.7537,1093.54661,-8212.5,0.0,0.134,0.0169,0.1112,0.1155,0.0,0.0,0.0,1080,26.6
20,FIXEDTIME,1127488.5,102954305.0,27660.5,55676.0,32905.0,4155.0,-96372.03102,97486.69352,-299910.0,0.0,0.9889,0.0003,0.3548,0.0448,0.0,0.0,0.0,1080,37.2
21,FIXEDTIME,1218481.5,144597.0,24787.0,27172.0,3641.0,4041.0,-1262.10972,766.99187,-6050.5,0.0,0.1042,0.0179,0.1045,0.1159,0.0,0.0,0.0,1080,26.8
22,FIXEDTIME,1159009.0,145297.0,26218.0,26926.0,3506.0,4197.0,-1207.69074,681.36093,-4796.5,0.0,0.1092,0.0197,0.1012,0.1212,0.0,0.0,0.0,1080,26.6
23,FIXEDTIME,1287471.5,123860.5,26987.5,26914.0,3289.0,4095.0,-1306.78889,786.51978,-5771.0,0.0,0.0861,0.0188,0.0959,0.1194,0.0,0.0,0.0,1080,27.6
24,FIXEDTIME,1261993.0,183455.5,25889.5,27738.0,4116.0,4028.0,-1338.37824,762.65325,-4932.0,0.0,0.1247,0.0176,0.1147,0.1123,0.0,0.0,0.0,1080,27.0
25,FIXEDTIME,1207040.5,97331.5,25667.5,26292.0,2999.0,4166.0,-1207.75185,653.84504,-4523.0,0.0,0.0732,0.0193,0.0896,0.1245,0.0,0.0,0.0,1080,25.4
26,FIXEDTIME,1249626.5,129182.5,26314.0,26721.0,3383.0,4158.0,-1276.675,801.14299,-6332.0,0.0,0.0919,0.0187,0.0987,0.1214,0.0,0.0,0.0,1080,25.5
27,FIXEDTIME,1404924.0,219358.5,27327.0,28066.0,4189.0,4284.0,-1503.96528,1199.6986,-10058.5,0.0,0.1328,0.0165,0.1146,0.1172,0.0,0.0,0.0,1080,26.4
28,FIXEDTIME,1256103.0,146665.5,25242.5,27098.0,3564.0,4132.0,-1298.85972,729.21639,-4372.0,0.0,0.1027,0.0177,0.1024,0.1188,0.0,0.0,0.0,1080,25.9
29,FIXEDTIME,1319163.0,135680.0,25896.0,27376.0,3579.0,4127.0,-1347.07685,849.72759,-5900.5,0.0,0.0916,0.0175,0.102,0.1176,0.0,0.0,0.0,1080,27.0
30,FIXEDTIME,1188308.5,102929.5,25890.5,26336.0,3151.0,4146.0,-1195.59074,686.64074,-4842.0,0.0,0.0781,0.0197,0.0937,0.1233,0.0,0.0,0.0,1080,25.1
31,FIXEDTIME,1221188.5,136633.5,28134.0,26880.0,3332.0,4226.0,-1257.24259,749.9784,-5309.5,0.0,0.0986,0.0203,0.0968,0.1227,0.0,0.0,0.0,1080,25.9
32,FIXEDTIME,1257233.5,134444.0,27655.0,27001.0,3542.0,4278.0,-1288.59028,750.07223,-4720.5,0.0,0.0947,0.0195,0.1017,0.1229,0.0,0.0,0.0,1080,25.3
33,FIXEDTIME,1268259.0,200466.0,28415.5,27566.0,3881.0,4202.0,-1359.93056,920.95441,-6697.0,0.0,0.1339,0.019,0.1089,0.1179,0.0,0.0,0.0,1080,26.1
34,FIXEDTIME,1206668.0,100923.0,26778.0,26744.0,3171.0,4171.0,-1210.73241,619.91248,-4225.5,0.0,0.0756,0.0201,0.093,0.1224,0.0,0.0,0.0,1080,26.1
35,FIXEDTIME,1227896.5,101378.0,24810.5,26470.0,3107.0,4072.0,-1230.80972,679.46562,-5043.0,0.0,0.0749,0.0183,0.0923,0.121,0.0,0.0,0.0,1080,25.2
36,FIXEDTIME,1219035.0,162325.5,27937.5,27122.0,3609.0,4106.0,-1279.0375,850.27106,-7147.0,0.0,0.1152,0.0198,0.1036,0.1179,0.0,0.0,0.0,1080,25.6
37,FIXEDTIME,1233005.0,177014.0,25305.5,27458.0,3771.0,4105.0,-1305.57315,840.42835,-6905.5,0.0,0.1233,0.0176,0.1067,0.1162,0.0,0.0,0.0,1080,26.5
38,FIXEDTIME,1252146.0,144069.0,27447.0,26871.0,3473.0,4235.0,-1292.79167,763.98555,-4978.5,0.0,0.1012,0.0193,0.1004,0.1225,0.0,0.0,0.0,1080,25.6
39,FIXEDTIME,1095347.0,90938.5,27446.0,26115.0,2895.0,4230.0,-1098.4125,502.80783,-4545.5,0.0,0.0749,0.0226,0.0871,0.1273,0.0,0.0,0.0,1080,24.9
40,FIXEDTIME,1237246.0,197818.0,25565.5,27457.0,4014.0,4164.0,-1328.76296,833.48062,-7335.0,0.0,0.1354,0.0175,0.1126,0.1169,0.0,0.0,0.0,1080,25.8
41,FIXEDTIME,1175143.5,108953.5,27121.5,26631.0,3257.0,4204.0,-1188.9787,662.15649,-5108.5,0.0,0.0831,0.0207,0.0955,0.1233,0.0,0.0,0.0,1080,25.5
42,FIXEDTIME,1338437.5,239824.0,25722.0,27899.0,4119.0,4080.0,-1461.35324,1122.19151,-7789.5,0.0,0.1495,0.016,0.1141,0.113,0.0,0.0,0.0,1080,26.6
43,FIXEDTIME,1354569.0,154487.0,26271.5,27186.0,3546.0,4152.0,-1397.27407,1065.85985,-9439.5,0.0,0.1006,0.0171,0.1017,0.119,0.0,0.0,0.0,1080,25.8
44,FIXEDTIME,1194449.0,113618.5,24809.0,26781.0,3214.0,4075.0,-1211.17361,637.55582,-4365.0,0.0,0.0852,0.0186,0.0943,0.1196,0.0,0.0,0.0,1080,25.8
45,FIXEDTIME,1235106.5,90274.0,30087.5,26413.0,2999.0,4210.0,-1227.20417,680.12987,-4358.0,0.0,0.0666,0.0222,0.0892,0.1252,0.0,0.0,0.0,1080,25.5
46,FIXEDTIME,1308501.5,118831.5,26527.0,26808.0,3202.0,4168.0,-1321.60463,812.96818,-5653.5,0.0,0.0817,0.0182,0.0937,0.1219,0.0,0.0,0.0,1080,25.8
47,FIXEDTIME,1231998.5,112832.5,27367.5,26868.0,3290.0,4085.0,-1245.21389,630.44689,-3688.5,0.0,0.0822,0.0199,0.0961,0.1193,0.0,0.0,0.0,1080,26.1
48,FIXEDTIME,1222228.5,93760.0,26861.5,26384.0,2884.0,4209.0,-1218.50787,760.23425,-5572.5,0.0,0.0698,0.02,0.0861,0.1257,0.0,0.0,0.0,1080,25.5
49,FIXEDTIME,1338529.5,119122.5,26175.0,27137.0,3286.0,4106.0,-1349.67778,868.77187,-6085.5,0.0,0.0803,0.0176,0.0952,0.1189,0.0,0.0,0.0,1080,26.2
