episode,agent,decision,signal_id,reward
1,FIXEDTIME,50,J01,-898.5
1,FIXEDTIME,100,J01,-1697.0
1,FIXEDTIME,150,J01,-677.0
1,FIXEDTIME,200,J01,-1348.5
1,FIXEDTIME,250,J01,-1825.5
1,FIXEDTIME,300,J01,-3010.0
1,FIXEDTIME,350,J01,-691.5
1,FIXEDTIME,400,J01,-739.5
1,FIXEDTIME,450,J01,-981.0
1,FIXEDTIME,500,J01,-1649.5
1,FIXEDTIME,550,J01,-1280.0
1,FIXEDTIME,600,J01,-1968.0
1,FIXEDTIME,650,J01,-1968.0
1,FIXEDTIME,700,J01,-3030.5
1,FIXEDTIME,750,J01,-534.5
1,FIXEDTIME,800,J01,-692.5
1,FIXEDTIME,850,J01,-768.5
1,FIXEDTIME,900,J01,-1267.5
1,FIXEDTIME,950,J01,-549.5
1,FIXEDTIME,1000,J01,-498.5
1,FIXEDTIME,1050,J01,-715.5
2,FIXEDTIME,50,J01,-1107.5
2,FIXEDTIME,100,J01,-1783.0
2,FIXEDTIME,150,J01,-679.0
2,FIXEDTIME,200,J01,-1192.0
2,FIXEDTIME,250,J01,-4372.0
2,FIXEDTIME,300,J01,-3425.5
2,FIXEDTIME,350,J01,-898.5
2,FIXEDTIME,400,J01,-804.0
2,FIXEDTIME,450,J01,-871.0
2,FIXEDTIME,500,J01,-1601.5
2,FIXEDTIME,550,J01,-1125.5
2,FIXEDTIME,600,J01,-2595.0
2,FIXEDTIME,650,J01,-1231.0
2,FIXEDTIME,700,J01,-1573.5
2,FIXEDTIME,750,J01,-998.0
2,FIXEDTIME,800,J01,-687.5
2,FIXEDTIME,850,J01,-744.0
2,FIXEDTIME,900,J01,-1291.0
2,FIXEDTIME,950,J01,-573.5
2,FIXEDTIME,1000,J01,-598.5
2,FIXEDTIME,1050,J01,-602.0
3,FIXEDTIME,50,J01,-909.5
3,FIXEDTIME,100,J01,-1727.5
3,FIXEDTIME,150,J01,-686.0
3,FIXEDTIME,200,J01,-899.0
3,FIXEDTIME,250,J01,-1036.5
3,FIXEDTIME,300,J01,-1430.0
3,FIXEDTIME,350,J01,-765.0
3,FIXEDTIME,400,J01,-1303.0
3,FIXEDTIME,450,J01,-869.0
3,FIXEDTIME,500,J01,-1521.5
3,FIXEDTIME,550,J01,-520.5
3,FIXEDTIME,600,J01,-1534.0
3,FIXEDTIME,650,J01,-1479.5
3,FIXEDTIME,700,J01,-1479.5
3,FIXEDTIME,750,J01,-527.5
3,FIXEDTIME,800,J01,-769.5
3,FIXEDTIME,850,J01,-846.5
3,FIXEDTIME,900,J01,-1246.5
3,FIXEDTIME,950,J01,-609.0
3,FIXEDTIME,1000,J01,-424.0
3,FIXEDTIME,1050,J01,-599.0
4,FIXEDTIME,50,J01,-1595.0
4,FIXEDTIME,100,J01,-1599.5
4,FIXEDTIME,150,J01,-616.0
4,FIXEDTIME,200,J01,-1863.0
4,FIXEDTIME,250,J01,-1159.5
4,FIXEDTIME,300,J01,-1589.5
4,FIXEDTIME,350,J01,-932.0
4,FIXEDTIME,400,J01,-1185.5
4,FIXEDTIME,450,J01,-815.5
4,FIXEDTIME,500,J01,-1517.0
4,FIXEDTIME,550,J01,-1605.0
4,FIXEDTIME,600,J01,-3358.5
4,FIXEDTIME,650,J01,-1488.0
4,FIXEDTIME,700,J01,-1830.0
4,FIXEDTIME,750,J01,-606.0
4,FIXEDTIME,800,J01,-839.5
4,FIXEDTIME,850,J01,-834.5
4,FIXEDTIME,900,J01,-1216.0
4,FIXEDTIME,950,J01,-510.5
4,FIXEDTIME,1000,J01,-496.5
4,FIXEDTIME,1050,J01,-601.0
5,FIXEDTIME,50,J01,-1261.5
5,FIXEDTIME,100,J01,-1681.0
5,FIXEDTIME,150,J01,-700.0
5,FIXEDTIME,200,J01,-836.0
5,FIXEDTIME,250,J01,-1432.0
5,FIXEDTIME,300,J01,-1640.0
5,FIXEDTIME,350,J01,-1765.0
5,FIXEDTIME,400,J01,-890.0
5,FIXEDTIME,450,J01,-1007.0
5,FIXEDTIME,500,J01,-1945.0
5,FIXEDTIME,550,J01,-1198.5
5,FIXEDTIME,600,J01,-1259.0
5,FIXEDTIME,650,J01,-1018.5
