5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -1.5}, {'J01': 1}, {'J01': 1}, 
20.0, {'J01': -26.5}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -81.5}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -151.5}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -158.5}, {'J01': 4}, {'J01': 7}, 
40.0, {'J01': -231.5}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -186.0}, {'J01': 3}, {'J01': 9}, 
50.0, {'J01': -119.0}, {'J01': 3}, {'J01': 10}, 
55.0, {'J01': -195.5}, {'J01': 3}, {'J01': 13}, 
60.0, {'J01': -343.0}, {'J01': 4}, {'J01': 22}, 
65.0, {'J01': -321.5}, {'J01': 4}, {'J01': 19}, 
70.0, {'J01': -161.5}, {'J01': 4}, {'J01': 10}, 
75.0, {'J01': -180.5}, {'J01': 4}, {'J01': 11}, 
80.0, {'J01': -311.5}, {'J01': 4}, {'J01': 20}, 
85.0, {'J01': -443.0}, {'J01': 4}, {'J01': 21}, 
90.0, {'J01': -372.5}, {'J01': 5}, {'J01': 18}, 
95.0, {'J01': -510.5}, {'J01': 6}, {'J01': 21}, 
100.0, {'J01': -748.0}, {'J01': 6}, {'J01': 29}, 
105.0, {'J01': -759.0}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -461.5}, {'J01': 5}, {'J01': 18}, 
115.0, {'J01': -475.5}, {'J01': 4}, {'J01': 17}, 
120.0, {'J01': -656.5}, {'J01': 4}, {'J01': 22}, 
125.0, {'J01': -831.5}, {'J01': 6}, {'J01': 28}, 
130.0, {'J01': -895.5}, {'J01': 8}, {'J01': 29}, 
135.0, {'J01': -1119.0}, {'J01': 8}, {'J01': 31}, 
140.0, {'J01': -1441.0}, {'J01': 8}, {'J01': 36}, 
145.0, {'J01': -1345.0}, {'J01': 7}, {'J01': 30}, 
150.0, {'J01': -908.0}, {'J01': 4}, {'J01': 21}, 
155.0, {'J01': -897.5}, {'J01': 4}, {'J01': 18}, 
160.0, {'J01': -1085.5}, {'J01': 4}, {'J01': 23}, 
165.0, {'J01': -1208.0}, {'J01': 7}, {'J01': 31}, 
170.0, {'J01': -1190.5}, {'J01': 8}, {'J01': 31}, 
175.0, {'J01': -1316.0}, {'J01': 8}, {'J01': 32}, 
180.0, {'J01': -1640.5}, {'J01': 8}, {'J01': 35}, 
185.0, {'J01': -2002.0}, {'J01': 8}, {'J01': 38}, 
190.0, {'J01': -2382.0}, {'J01': 8}, {'J01': 38}, 
195.0, {'J01': -2719.5}, {'J01': 8}, {'J01': 38}, 
200.0, {'J01': -3069.5}, {'J01': 8}, {'J01': 39}, 
205.0, {'J01': -3176.5}, {'J01': 8}, {'J01': 36}, 
210.0, {'J01': -3259.5}, {'J01': 8}, {'J01': 33}, 
215.0, {'J01': -3528.5}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': -3874.0}, {'J01': 8}, {'J01': 37}, 
225.0, {'J01': -2511.5}, {'J01': 7}, {'J01': 28}, 
230.0, {'J01': -1371.5}, {'J01': 4}, {'J01': 17}, 
235.0, {'J01': -1163.0}, {'J01': 4}, {'J01': 15}, 
240.0, {'J01': -1325.5}, {'J01': 4}, {'J01': 21}, 
245.0, {'J01': -1365.5}, {'J01': 6}, {'J01': 25}, 
250.0, {'J01': -1392.5}, {'J01': 8}, {'J01': 26}, 
255.0, {'J01': -1658.5}, {'J01': 8}, {'J01': 28}, 
260.0, {'J01': -1946.0}, {'J01': 8}, {'J01': 30}, 
265.0, {'J01': -2138.5}, {'J01': 8}, {'J01': 31}, 
270.0, {'J01': -2238.5}, {'J01': 8}, {'J01': 30}, 
275.0, {'J01': -2519.5}, {'J01': 8}, {'J01': 32}, 
280.0, {'J01': -2847.5}, {'J01': 8}, {'J01': 36}, 
285.0, {'J01': -3028.5}, {'J01': 8}, {'J01': 33}, 
290.0, {'J01': -3217.0}, {'J01': 8}, {'J01': 32}, 
295.0, {'J01': -3511.0}, {'J01': 8}, {'J01': 35}, 
300.0, {'J01': -3870.0}, {'J01': 9}, {'J01': 40}, 
305.0, {'J01': -3450.0}, {'J01': 10}, {'J01': 37}, 
310.0, {'J01': -1741.0}, {'J01': 6}, {'J01': 24}, 
315.0, {'J01': -1561.0}, {'J01': 5}, {'J01': 23}, 
