episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FMA2C,2695026.0,2628365.5,36739.0,38683.0,12889.0,0.0,-218.30981,115.60061,-1293.4,16.0,0.4904,0.0069,0.2499,0.0,0.0,0.0,0.0,1080,53.0
2,FMA2C,2586312.0,3057494.0,23542.5,40650.0,14933.0,0.0,-224.7237,121.81289,-1043.4,17.0,0.5395,0.0042,0.2687,0.0,0.0,0.0,0.0,1080,37.2
3,FMA2C,2621390.5,2571113.5,37092.0,39430.0,13876.0,0.0,-223.63287,114.50869,-1137.4,21.0,0.4916,0.0071,0.2603,0.0,0.0,0.0,0.0,1080,37.1
4,FMA2C,2607126.0,2729112.5,42923.0,41035.0,15061.0,0.0,-223.13602,114.67799,-1026.4,17.0,0.5073,0.008,0.2685,0.0,0.0,0.0,0.0,1080,37.1
5,FMA2C,2595874.5,1853286.0,54327.5,37792.0,11814.0,0.0,-212.21926,104.18114,-999.2,17.0,0.4115,0.0121,0.2382,0.0,0.0,0.0,0.0,1080,37.0
6,FMA2C,2539906.0,1060583.5,26166.5,34579.0,9281.0,0.0,-197.01407,106.28378,-931.6,19.0,0.2924,0.0072,0.2116,0.0,0.0,0.0,0.0,1080,36.2
7,FMA2C,2430383.5,753873.0,29883.5,33898.0,8082.0,0.0,-187.8675,93.74122,-949.2,16.0,0.2345,0.0093,0.1925,0.0,0.0,0.0,0.0,1080,36.4
8,FMA2C,2508189.5,1698371.0,35391.0,36539.0,10878.0,0.0,-202.10398,104.40641,-1025.2,17.0,0.4004,0.0083,0.2294,0.0,0.0,0.0,0.0,1080,36.5
9,FMA2C,2563864.5,909269.0,43603.5,34888.0,9040.0,0.0,-196.07556,103.40744,-1316.0,17.0,0.2586,0.0124,0.2058,0.0,0.0,0.0,0.0,1080,36.1
10,FMA2C,2753739.5,2321982.5,34349.5,39381.0,13731.0,0.0,-226.05583,131.94212,-1414.4,18.0,0.4544,0.0067,0.2585,0.0,0.0,0.0,0.0,1080,36.5
11,FMA2C,2624700.5,1096735.5,33767.0,35761.0,9718.0,0.0,-200.66204,104.99571,-1055.2,17.0,0.2921,0.009,0.2137,0.0,0.0,0.0,0.0,1080,36.2
