5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -2.0, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -12.0, 'top_mgr': 2}, {'J01': 3}, {'J01': 5}, 
20.0, {'J01': -19.200000000000003, 'top_mgr': 2}, {'J01': 3}, {'J01': 7}, 
25.0, {'J01': -30.4, 'top_mgr': 2}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -49.800000000000004, 'top_mgr': 0}, {'J01': 4}, {'J01': 12}, 
35.0, {'J01': -76.6, 'top_mgr': 0}, {'J01': 5}, {'J01': 17}, 
40.0, {'J01': -85.19999999999999, 'top_mgr': 3}, {'J01': 6}, {'J01': 21}, 
45.0, {'J01': -92.8, 'top_mgr': 6}, {'J01': 7}, {'J01': 20}, 
50.0, {'J01': -117.4, 'top_mgr': 3}, {'J01': 7}, {'J01': 21}, 
55.0, {'J01': -141.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -188.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 29}, 
65.0, {'J01': -206.4, 'top_mgr': 5}, {'J01': 8}, {'J01': 31}, 
70.0, {'J01': -206.20000000000002, 'top_mgr': 4}, {'J01': 8}, {'J01': 29}, 
75.0, {'J01': -225.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
80.0, {'J01': -249.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
85.0, {'J01': -286.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 32}, 
90.0, {'J01': -243.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 30}, 
95.0, {'J01': -263.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
100.0, {'J01': -284.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 30}, 
105.0, {'J01': -319.40000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 34}, 
110.0, {'J01': -356.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
115.0, {'J01': -381.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 34}, 
120.0, {'J01': -349.59999999999997, 'top_mgr': 8}, {'J01': 6}, {'J01': 31}, 
125.0, {'J01': -274.4, 'top_mgr': 12}, {'J01': 4}, {'J01': 22}, 
130.0, {'J01': -286.6, 'top_mgr': 7}, {'J01': 4}, {'J01': 19}, 
135.0, {'J01': -299.6000000000001, 'top_mgr': 5}, {'J01': 4}, {'J01': 16}, 
140.0, {'J01': -293.20000000000005, 'top_mgr': 7}, {'J01': 4}, {'J01': 15}, 
145.0, {'J01': -299.4, 'top_mgr': 7}, {'J01': 4}, {'J01': 12}, 
150.0, {'J01': -189.20000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 12}, 
155.0, {'J01': -188.80000000000004, 'top_mgr': 4}, {'J01': 3}, {'J01': 12}, 
160.0, {'J01': -231.00000000000006, 'top_mgr': 2}, {'J01': 4}, {'J01': 25}, 
165.0, {'J01': -281.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 34}, 
170.0, {'J01': -301.40000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
175.0, {'J01': -324.20000000000005, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
180.0, {'J01': -346.40000000000003, 'top_mgr': 6}, {'J01': 8}, {'J01': 32}, 
185.0, {'J01': -397.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
190.0, {'J01': -387.6, 'top_mgr': 5}, {'J01': 8}, {'J01': 34}, 
195.0, {'J01': -312.6, 'top_mgr': 8}, {'J01': 7}, {'J01': 31}, 
200.0, {'J01': -307.4000000000001, 'top_mgr': 3}, {'J01': 7}, {'J01': 35}, 
205.0, {'J01': -327.6000000000001, 'top_mgr': 2}, {'J01': 7}, {'J01': 34}, 
210.0, {'J01': -366.0000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
215.0, {'J01': -399.60000000000014, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
220.0, {'J01': -409.59999999999997, 'top_mgr': 6}, {'J01': 8}, {'J01': 33}, 
225.0, {'J01': -434.4, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
230.0, {'J01': -427.59999999999997, 'top_mgr': 2}, {'J01': 8}, {'J01': 36}, 
235.0, {'J01': -463.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 39}, 
240.0, {'J01': -402.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 39}, 
245.0, {'J01': -371.79999999999995, 'top_mgr': 4}, {'J01': 8}, {'J01': 38}, 
250.0, {'J01': -375.80000000000007, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
255.0, {'J01': -412.80000000000007, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
260.0, {'J01': -387.4000000000001, 'top_mgr': 7}, {'J01': 9}, {'J01': 37}, 
265.0, {'J01': -373.4000000000001, 'top_mgr': 10}, {'J01': 6}, {'J01': 30}, 
270.0, {'J01': -286.80000000000007, 'top_mgr': 14}, {'J01': 4}, {'J01': 20}, 
275.0, {'J01': -258.40000000000003, 'top_mgr': 9}, {'J01': 4}, {'J01': 15}, 
280.0, {'J01': -202.2, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
285.0, {'J01': -172.79999999999998, 'top_mgr': 7}, {'J01': 4}, {'J01': 15}, 
290.0, {'J01': -203.6, 'top_mgr': 3}, {'J01': 3}, {'J01': 25}, 
295.0, {'J01': -161.2, 'top_mgr': 6}, {'J01': 7}, {'J01': 28}, 
300.0, {'J01': -170.60000000000002, 'top_mgr': 1}, {'J01': 8}, {'J01': 33}, 
305.0, {'J01': -206.20000000000002, 'top_mgr': 2}, {'J01': 8}, {'J01': 34}, 
310.0, {'J01': -246.20000000000002, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
315.0, {'J01': -279.00000000000006, 'top_mgr': 4}, {'J01': 8}, {'J01': 38}, 
320.0, {'J01': -244.59999999999997, 'top_mgr': 13}, {'J01': 6}, {'J01': 28}, 
325.0, {'J01': -248.79999999999998, 'top_mgr': 11}, {'J01': 5}, {'J01': 23}, 
330.0, {'J01': -256.4, 'top_mgr': 8}, {'J01': 5}, {'J01': 20}, 
335.0, {'J01': -265.59999999999997, 'top_mgr': 10}, {'J01': 5}, {'J01': 21}, 
340.0, {'J01': -301.6, 'top_mgr': 9}, {'J01': 5}, {'J01': 21}, 
345.0, {'J01': -279.0, 'top_mgr': 7}, {'J01': 5}, {'J01': 22}, 
350.0, {'J01': -218.39999999999998, 'top_mgr': 5}, {'J01': 5}, {'J01': 21}, 
355.0, {'J01': -185.00000000000003, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
360.0, {'J01': -163.20000000000002, 'top_mgr': 4}, {'J01': 4}, {'J01': 20}, 
365.0, {'J01': -206.4, 'top_mgr': 1}, {'J01': 7}, {'J01': 30}, 
370.0, {'J01': -199.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 30}, 
375.0, {'J01': -232.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
380.0, {'J01': -258.6, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
385.0, {'J01': -298.0, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
390.0, {'J01': -224.20000000000002, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
395.0, {'J01': -225.20000000000002, 'top_mgr': 5}, {'J01': 8}, {'J01': 34}, 
400.0, {'J01': -261.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
405.0, {'J01': -277.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 34}, 
410.0, {'J01': -291.4, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
415.0, {'J01': -318.4, 'top_mgr': 5}, {'J01': 8}, {'J01': 35}, 
420.0, {'J01': -318.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
425.0, {'J01': -360.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
430.0, {'J01': -414.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 47}, 
