episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FMA2C,3700677.0,8834479.5,87031.5,54349.0,27608.0,6048.0,-355.58028,212.11588,-2053.4,19.0,0.6999,0.0069,0.3137,0.0687,0.0,0.0,0.0,1080,43.4
2,FMA2C,3576337.0,2886875.5,90009.5,43074.0,16493.0,5714.0,-279.09593,138.40837,-1440.8,20.0,0.4405,0.0137,0.2526,0.0875,0.0,0.0,0.0,1080,27.5
3,FMA2C,3361042.0,2276011.5,169335.5,40958.0,14839.0,6639.0,-272.92398,165.93272,-1630.2,16.0,0.392,0.0292,0.2377,0.1063,0.0,0.0,0.0,1080,27.6
4,FMA2C,3221541.0,4428738.0,61892.0,47152.0,20647.0,5158.0,-294.13602,133.45621,-1336.0,19.0,0.5743,0.008,0.283,0.0707,0.0,0.0,0.0,1080,27.4
5,FMA2C,3553261.5,7342738.5,122817.0,53489.0,26729.0,6324.0,-337.27194,175.42802,-1525.6,20.0,0.6664,0.0111,0.3089,0.0731,0.0,0.0,0.0,1080,28.6
6,FMA2C,3442791.0,7725607.0,72936.5,53724.0,27413.0,5606.0,-343.06759,188.1756,-1601.0,18.0,0.6872,0.0065,0.316,0.0646,0.0,0.0,0.0,1080,29.5
7,FMA2C,3262971.0,2523793.0,101066.5,41865.0,14924.0,5985.0,-269.37491,125.40291,-1304.8,19.0,0.4286,0.0172,0.2377,0.0953,0.0,0.0,0.0,1080,29.3
8,FMA2C,3563814.5,3338950.5,69822.5,43278.0,16698.0,5681.0,-293.81741,171.65528,-1885.4,18.0,0.4789,0.01,0.2543,0.0865,0.0,0.0,0.0,1080,27.8
9,FMA2C,3227581.0,4279577.0,67104.5,44763.0,18589.0,5477.0,-286.32917,173.05432,-1457.0,18.0,0.565,0.0089,0.2701,0.0796,0.0,0.0,0.0,1080,27.7
10,FMA2C,4371992.0,15555148.0,90482.5,62252.0,35316.0,5724.0,-447.40546,285.66635,-2155.8,18.0,0.7771,0.0045,0.3419,0.0554,0.0,0.0,0.0,1080,31.6
